actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
181,PT08M49.00S,2025-12-06T01:41:10.5Z,2,REGULAR,3pt,Jump Shot,[],203914,25.706307490144546,12.990196078431374,1610612749,31,49,2025-12-06T01:41:16Z,1810000,False,185.0,189.0,1,left,MISS G. Harris 26' 3PT,[203914],1610612749.0,MIL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Right Center,26.45,Missed,,,,,,,,,,,,,,,,,,
182,PT08M46.00S,2025-12-06T01:41:13.5Z,2,REGULAR,rebound,defensive,[],1642272,,,1610612755,31,49,2025-12-06T01:41:16Z,1820000,False,,,0,,J. McCain REBOUND (Off:0 Def:2),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,181.0,2.0,2.0,0.0,,,,,
183,PT08M29.00S,2025-12-06T01:41:30.1Z,2,REGULAR,2pt,Jump Shot,[],202331,94.1688567674113,75.98039215686273,1610612755,31,49,2025-12-06T01:41:38Z,1830000,False,130.0,2.0,1,right,MISS P. George 12' turnaround fadeaway Shot,[202331],1610612755.0,PHI,turnaround fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Right,12.99,Missed,,,,,,,,,,,,,,,,,,
184,PT08M26.00S,2025-12-06T01:41:33.1Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,31,49,2025-12-06T01:41:38Z,1840000,False,,,0,,B. Portis REBOUND (Off:0 Def:2),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,183.0,2.0,2.0,0.0,,,,,
185,PT08M22.00S,2025-12-06T01:41:37.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628398,4.28712220762155,49.50980392156863,1610612749,31,49,2025-12-06T01:41:45Z,1850000,False,2.0,-12.0,1,left,MISS K. Kuzma driving floating bank Shot,[1628398],1610612749.0,MIL,driving floating bank,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,1.25,Missed,,,,,,,,,,,,,,,,,,
186,PT08M20.00S,2025-12-06T01:41:39.6Z,2,REGULAR,rebound,defensive,[],1642272,,,1610612755,31,49,2025-12-06T01:50:05Z,1860000,False,,,0,,J. McCain REBOUND (Off:0 Def:3),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,185.0,3.0,3.0,0.0,,,,,
187,PT08M16.00S,2025-12-06T01:41:50.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631133,75.50919842312747,11.76470588235294,1610612755,31,49,2025-12-06T02:19:12Z,1870000,False,-191.0,178.0,1,right,MISS J. Walker 26' running 3PT,[1631133],1610612755.0,PHI,running,,,Walker,J. Walker,,,,,Above the Break 3,24+ Left Center,26.1,Missed,,,,,,,,,,,,,,,,,,
188,PT08M14.00S,2025-12-06T01:41:52.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612749,31,49,2025-12-06T02:19:12Z,1880000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,187.0,,,,,,,,
190,PT08M14.00S,2025-12-06T01:42:01.8Z,2,REGULAR,substitution,out,[],203914,,,1610612749,31,49,2025-12-06T01:51:44Z,1900000,False,,,0,,SUB out: G. Harris,[203914],1610612749.0,MIL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M14.00S,2025-12-06T01:42:01.8Z,2,REGULAR,substitution,out,[],1628398,,,1610612749,31,49,2025-12-06T01:51:44Z,1910000,False,,,0,,SUB out: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M14.00S,2025-12-06T01:42:01.8Z,2,REGULAR,substitution,in,[],1630579,,,1610612749,31,49,2025-12-06T01:51:44Z,1920000,False,,,0,,SUB in: J. Sims,[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT08M14.00S,2025-12-06T01:42:01.8Z,2,REGULAR,substitution,in,[],1631157,,,1610612749,31,49,2025-12-06T01:51:44Z,1930000,False,,,0,,SUB in: R. Rollins,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT07M58.00S,2025-12-06T01:42:24.5Z,2,REGULAR,turnover,lost ball,[],1630579,,,1610612749,31,49,2025-12-06T01:42:29Z,1940000,False,,,0,,J. Sims lost ball TURNOVER (1 TO),"[1630579, 1642272]",1610612749.0,MIL,,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,1.0,McCain,1642272.0,,,,,,,,,,,,,,
195,PT07M58.00S,2025-12-06T01:42:24.5Z,2,REGULAR,steal,,[],1642272,,,1610612755,31,49,2025-12-06T01:43:25Z,1950000,False,,,0,,J. McCain STEAL (1 STL),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
196,PT07M51.00S,2025-12-06T01:42:32.6Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1642272,79.5006570302234,35.071997549019606,1610612755,31,49,2025-12-06T01:42:40Z,1960000,False,-75.0,140.0,1,right,MISS J. McCain 15' pullup Shot,[1642272],1610612755.0,PHI,pullup,,,McCain,J. McCain,,,,,Mid-Range,8-16 Center,15.88,Missed,,,,,,,,,,,,,,,,,,
197,PT07M47.00S,2025-12-06T01:42:36.6Z,2,REGULAR,rebound,defensive,[],1630579,,,1610612749,31,49,2025-12-06T01:42:40Z,1970000,False,,,0,,J. Sims REBOUND (Off:2 Def:3),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,196.0,5.0,3.0,2.0,,,,,
198,PT07M39.00S,2025-12-06T01:42:43.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630579,5.732588699080158,48.28431372549019,1610612749,33,49,2025-12-06T01:42:48Z,1980000,False,9.0,1.0,1,left,J. Sims alley-oop DUNK (2 PTS) (K. Porter Jr. 5 AST),"[1630579, 1629645]",1610612749.0,MIL,alley-oop,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,0.87,Made,2.0,,,,,,,,,,,,,K. Porter Jr.,1629645.0,5.0,,
200,PT07M32.00S,2025-12-06T01:42:57.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,33,49,2025-12-06T01:42:57Z,2000000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT07M32.00S,2025-12-06T01:45:18.8Z,2,REGULAR,substitution,out,[],1629018,,,1610612755,33,49,2025-12-06T01:45:50Z,2010000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT07M32.00S,2025-12-06T01:45:18.8Z,2,REGULAR,substitution,out,[],1642272,,,1610612755,33,49,2025-12-06T01:45:50Z,2020000,False,,,0,,SUB out: J. McCain,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT07M32.00S,2025-12-06T01:45:18.8Z,2,REGULAR,substitution,out,[],1631133,,,1610612755,33,49,2025-12-06T01:45:50Z,2030000,False,,,0,,SUB out: J. Walker,[1631133],1610612755.0,PHI,,,,Walker,J. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT07M32.00S,2025-12-06T01:45:18.8Z,2,REGULAR,substitution,in,[],1631260,,,1610612755,33,49,2025-12-06T01:45:50Z,2040000,False,,,0,,SUB in: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT07M32.00S,2025-12-06T01:45:18.8Z,2,REGULAR,substitution,in,[],1630178,,,1610612755,33,49,2025-12-06T01:45:50Z,2050000,False,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT07M32.00S,2025-12-06T01:45:18.8Z,2,REGULAR,substitution,in,[],1631230,,,1610612755,33,49,2025-12-06T01:45:50Z,2060000,False,,,0,,SUB in: D. Barlow,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT07M19.00S,2025-12-06T01:46:08.7Z,2,REGULAR,foul,personal,['2freethrow'],1631260,,,1610612755,33,49,2025-12-06T01:46:20Z,2070000,False,,,0,,A. Green shooting personal FOUL (1 PF) (George 2 FT),"[1631260, 202331]",1610612749.0,MIL,shooting,,,Green,A. Green,,,,,Mid-Range,16-24 Left Center,,,,,,,1628954.0,1.0,0.0,George,202331.0,,,,,,,,,
209,PT07M19.00S,2025-12-06T01:46:35.4Z,2,REGULAR,freethrow,1 of 2,[],202331,,,1610612755,33,50,2025-12-06T01:46:35Z,2090000,False,,,0,,P. George Free Throw 1 of 2 (8 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
210,PT07M19.00S,2025-12-06T01:46:50.5Z,2,REGULAR,freethrow,2 of 2,[],202331,,,1610612755,33,51,2025-12-06T01:46:50Z,2100000,False,,,0,,P. George Free Throw 2 of 2 (9 PTS),[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
211,PT06M56.00S,2025-12-06T01:47:12.9Z,2,REGULAR,2pt,Jump Shot,[],1626171,14.536793692509855,10.294117647058822,1610612749,35,51,2025-12-06T01:47:18Z,2110000,False,199.0,84.0,1,left,B. Portis 21' Jump Shot (13 PTS) (K. Porter Jr. 6 AST),"[1626171, 1629645]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,16-24 Right,21.56,Made,13.0,,,,,,,,,,,,,K. Porter Jr.,1629645.0,6.0,,
213,PT06M45.00S,2025-12-06T01:47:23.7Z,2,REGULAR,2pt,Jump Shot,[],202331,94.03745072273325,23.774509803921568,1610612755,35,53,2025-12-06T01:47:30Z,2130000,False,-131.0,4.0,1,right,P. George 13' step back Jump Shot (11 PTS),[202331],1610612755.0,PHI,step back,,,George,P. George,,,,,Mid-Range,8-16 Left,13.11,Made,11.0,,,,,,,,,,,,,,,,,
214,PT06M31.00S,2025-12-06T01:47:37.9Z,2,REGULAR,turnover,bad pass,[],1629645,,,1610612749,35,53,2025-12-06T01:47:44Z,2140000,False,,,0,,K. Porter Jr. bad pass TURNOVER (4 TO),"[1629645, 1631230]",1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,4.0,Barlow,1631230.0,,,,,,,,,,,,,,
215,PT06M31.00S,2025-12-06T01:47:37.9Z,2,REGULAR,steal,,[],1631230,,,1610612755,35,53,2025-12-06T02:17:05Z,2150000,False,,,0,,D. Barlow STEAL (1 STL),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
216,PT06M19.00S,2025-12-06T01:47:50.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],200768,74.98357424441524,8.333333333333332,1610612755,35,53,2025-12-06T01:47:55Z,2160000,False,-208.0,183.0,1,right,MISS K. Lowry 27' 3PT,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,27.71,Missed,,,,,,,,,,,,,,,,,,
217,PT06M19.00S,2025-12-06T01:47:53.2Z,2,REGULAR,rebound,offensive,[],203083,,,1610612755,35,53,2025-12-06T01:47:53Z,2170000,False,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,216.0,2.0,1.0,1.0,,,,,
218,PT06M19.00S,2025-12-06T01:47:54.9Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1626171,,,1610612755,35,53,2025-12-06T01:48:06Z,2180000,False,,,0,,B. Portis shooting personal FOUL (2 PF) (Drummond 2 FT),"[1626171, 203083]",1610612749.0,MIL,shooting,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,2.0,0.0,Drummond,203083.0,,,,,,,,,
220,PT06M19.00S,2025-12-06T01:48:24.1Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203083,,,1610612755,35,53,2025-12-06T01:48:24Z,2200000,False,,,0,,MISS A. Drummond Free Throw 1 of 2,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
221,PT06M19.00S,2025-12-06T01:48:24.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,35,53,2025-12-06T01:48:24Z,2210000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,220.0,,,,,,,,
222,PT06M19.00S,2025-12-06T01:48:25.6Z,2,REGULAR,substitution,out,[],1626171,,,1610612755,35,53,2025-12-06T01:48:32Z,2220000,False,,,0,,SUB out: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M19.00S,2025-12-06T01:48:25.6Z,2,REGULAR,substitution,in,[],1626167,,,1610612755,35,53,2025-12-06T01:48:32Z,2230000,False,,,0,,SUB in: M. Turner,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT06M19.00S,2025-12-06T01:48:37.7Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203083,,,1610612755,35,54,2025-12-06T01:48:37Z,2240000,False,,,0,,A. Drummond Free Throw 2 of 2 (1 PTS),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
225,PT05M58.00S,2025-12-06T01:48:57.8Z,2,REGULAR,3pt,Jump Shot,[],1626167,32.59075229960578,47.84773284313725,1610612749,35,54,2025-12-06T01:49:04Z,2250000,False,11.0,254.0,1,left,MISS M. Turner 25' 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,25.41,Missed,,,,,,,,,,,,,,,,,,
226,PT05M55.00S,2025-12-06T01:49:00.8Z,2,REGULAR,rebound,defensive,[],200768,,,1610612755,35,54,2025-12-06T01:49:04Z,2260000,False,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,225.0,1.0,1.0,0.0,,,,,
227,PT05M49.00S,2025-12-06T01:49:07.4Z,2,REGULAR,3pt,Jump Shot,[],200768,79.84559789750328,91.91176470588235,1610612755,35,57,2025-12-06T01:49:15Z,2270000,False,210.0,137.0,1,right,K. Lowry 25' 3PT  (3 PTS) (D. Barlow 2 AST),"[200768, 1631230]",1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,25.04,Made,3.0,,,,,,,,,,,,,D. Barlow,1631230.0,2.0,,
229,PT05M48.00S,2025-12-06T01:49:16.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,35,57,2025-12-06T01:49:16Z,2290000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT05M48.00S,2025-12-06T01:51:22.9Z,2,REGULAR,substitution,out,[],200768,,,1610612749,35,57,2025-12-06T01:51:51Z,2300000,False,,,0,,SUB out: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT05M48.00S,2025-12-06T01:51:22.9Z,2,REGULAR,substitution,out,[],202331,,,1610612749,35,57,2025-12-06T01:51:51Z,2310000,False,,,0,,SUB out: P. George,[202331],1610612755.0,PHI,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT05M48.00S,2025-12-06T01:51:22.9Z,2,REGULAR,substitution,in,[],1642845,,,1610612749,35,57,2025-12-06T01:51:51Z,2320000,False,,,0,,SUB in: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT05M48.00S,2025-12-06T01:51:22.9Z,2,REGULAR,substitution,in,[],1629656,,,1610612749,35,57,2025-12-06T01:51:51Z,2330000,False,,,0,,SUB in: Q. Grimes,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT05M34.00S,2025-12-06T01:52:19.5Z,2,REGULAR,3pt,Jump Shot,[],1626167,12.828515111695138,2.450980392156863,1610612749,35,57,2025-12-06T01:52:28Z,2340000,False,238.0,68.0,1,left,MISS M. Turner 24' 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,24.73,Missed,,,,,,,,,,,,,,,,,,
235,PT05M32.00S,2025-12-06T01:52:21.5Z,2,REGULAR,rebound,defensive,[],1629656,,,1610612755,35,57,2025-12-06T01:52:50Z,2350000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:2),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,234.0,2.0,2.0,0.0,,,,,
236,PT05M30.00S,2025-12-06T01:52:23.8Z,2,REGULAR,turnover,lost ball,[],1629656,,,1610612755,35,57,2025-12-06T01:52:31Z,2360000,False,,,0,,Q. Grimes lost ball TURNOVER (4 TO),"[1629656, 1631157]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,4.0,Rollins,1631157.0,,,,,,,,,,,,,,
237,PT05M30.00S,2025-12-06T01:52:23.8Z,2,REGULAR,steal,,[],1631157,,,1610612749,35,57,2025-12-06T01:52:27Z,2370000,False,,,0,,R. Rollins STEAL (1 STL),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
238,PT05M27.00S,2025-12-06T01:52:31.5Z,2,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612749,35,57,2025-12-06T01:52:47Z,2380000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Turner 2 FT),"[1630178, 1626167]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,202041.0,1.0,0.0,Turner,1626167.0,,,,,,,,,
240,PT05M27.00S,2025-12-06T01:52:54.8Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1626167,,,1610612749,35,57,2025-12-06T01:52:54Z,2400000,False,,,0,,MISS M. Turner Free Throw 1 of 2,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
241,PT05M27.00S,2025-12-06T01:52:54.8Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,35,57,2025-12-06T01:52:54Z,2410000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,240.0,,,,,,,,
242,PT05M27.00S,2025-12-06T01:53:09.0Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1626167,,,1610612749,36,57,2025-12-06T01:53:09Z,2420000,False,,,0,,M. Turner Free Throw 2 of 2 (7 PTS),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
243,PT05M13.00S,2025-12-06T01:53:23.4Z,2,REGULAR,3pt,Jump Shot,[],1629656,72.88107752956637,83.08823529411765,1610612755,36,60,2025-12-06T01:53:30Z,2430000,False,165.0,202.0,1,right,Q. Grimes 26' 3PT  (6 PTS) (T. Maxey 4 AST),"[1629656, 1630178]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,26.14,Made,6.0,,,,,,,,,,,,,T. Maxey,1630178.0,4.0,,
245,PT04M56.00S,2025-12-06T01:53:41.2Z,2,REGULAR,2pt,Jump Shot,[],1631157,22.552562417871222,40.931372549019606,1610612749,36,60,2025-12-06T01:53:46Z,2450000,False,45.0,159.0,1,left,MISS R. Rollins 16' pullup Shot,[1631157],1610612749.0,MIL,pullup,,,Rollins,R. Rollins,,,,,Mid-Range,16-24 Center,16.58,Missed,,,,,,,,,,,,,,,,,,
246,PT04M52.00S,2025-12-06T01:53:45.2Z,2,REGULAR,rebound,defensive,[],1642845,,,1610612755,36,60,2025-12-06T01:53:46Z,2460000,False,,,0,,V. Edgecombe REBOUND (Off:0 Def:1),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,245.0,1.0,1.0,0.0,,,,,
247,PT04M42.00S,2025-12-06T01:53:54.9Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203083,85.62746386333771,47.549019607843135,1610612755,36,62,2025-12-06T01:54:00Z,2470000,False,-12.0,83.0,1,right,A. Drummond 8' turnaround Hook (3 PTS),[203083],1610612755.0,PHI,turnaround,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,8.35,Made,3.0,,,,,,,,,,,,,,,,,
250,PT04M14.00S,2025-12-06T01:55:03.2Z,2,REGULAR,3pt,Jump Shot,[],1631260,7.884362680683312,93.89552696078431,1610612749,36,62,2025-12-06T02:00:53Z,2500000,False,-219.0,22.0,1,left,MISS A. Green 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Left Corner 3,24+ Left,22.06,Missed,,,,,,,,,,,,,,,,,,
251,PT04M13.00S,2025-12-06T01:55:04.2Z,2,REGULAR,rebound,defensive,[],1631230,,,1610612755,36,62,2025-12-06T02:00:53Z,2510000,False,,,0,,D. Barlow REBOUND (Off:1 Def:2),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,250.0,3.0,2.0,1.0,,,,,
252,PT04M04.00S,2025-12-06T01:55:16.4Z,2,REGULAR,foul,offensive,[],203083,,,1610612755,36,62,2025-12-06T01:55:29Z,2520000,False,,,0,,A. Drummond offensive FOUL (1 PF),"[203083, 1631260]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,16-24 Center,,,,,,,202041.0,1.0,0.0,Green,1631260.0,,,,,,,,,
254,PT04M04.00S,2025-12-06T01:55:16.4Z,2,REGULAR,turnover,offensive foul,[],203083,,,1610612755,36,62,2025-12-06T01:55:16Z,2540000,False,,,0,,A. Drummond offensive foul TURNOVER (1 TO),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,16-24 Center,,,,1.0,,,202041.0,,,,,,,,,,,,,
255,PT04M04.00S,2025-12-06T01:55:28.2Z,2,REGULAR,substitution,out,[],1629645,,,1610612749,36,62,2025-12-06T01:55:33Z,2550000,False,,,0,,SUB out: K. Porter Jr.,[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M04.00S,2025-12-06T01:55:28.2Z,2,REGULAR,substitution,in,[],1628398,,,1610612749,36,62,2025-12-06T01:55:33Z,2560000,False,,,0,,SUB in: K. Kuzma,[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT03M49.00S,2025-12-06T01:55:53.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1631157,22.552562417871222,75.49019607843137,1610612749,36,62,2025-12-06T01:56:00Z,2570000,False,-127.0,159.0,1,left,MISS R. Rollins 20' step back Shot,[1631157],1610612749.0,MIL,step back,,,Rollins,R. Rollins,,,,,Mid-Range,16-24 Left Center,20.42,Missed,,,,,,,,,,,,,,,,,,
258,PT03M45.00S,2025-12-06T01:55:57.2Z,2,REGULAR,rebound,defensive,[],203083,,,1610612755,36,62,2025-12-06T01:55:57Z,2580000,False,,,0,,A. Drummond REBOUND (Off:1 Def:2),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,257.0,3.0,2.0,1.0,,,,,
259,PT03M39.00S,2025-12-06T01:56:03.6Z,2,REGULAR,turnover,bad pass,[],203083,,,1610612755,36,62,2025-12-06T01:56:11Z,2590000,False,,,0,,A. Drummond bad pass TURNOVER (2 TO),"[203083, 1628398]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,,2.0,Kuzma,1628398.0,,,,,,,,,,,,,,
260,PT03M39.00S,2025-12-06T01:56:03.6Z,2,REGULAR,steal,,[],1628398,,,1610612749,36,62,2025-12-06T01:56:06Z,2600000,False,,,0,,K. Kuzma STEAL (1 STL),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
261,PT03M22.00S,2025-12-06T01:56:20.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1631260,10.11826544021025,95.12101715686273,1610612749,36,62,2025-12-06T02:04:10Z,2610000,False,-226.0,43.0,1,left,MISS A. Green step back 3PT - blocked,"[1631260, 1630178]",1610612749.0,MIL,step back,,,Green,A. Green,,,,,Left Corner 3,24+ Left,22.96,Missed,,,,,,,,,,,,,,,,,Maxey,1630178.0
262,PT03M22.00S,2025-12-06T01:56:20.4Z,2,REGULAR,block,,[],1630178,,,1610612749,36,62,2025-12-06T01:56:26Z,2620000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
263,PT03M22.00S,2025-12-06T01:56:20.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612749,36,62,2025-12-06T01:56:31Z,2630000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,261.0,,,,,,,,
265,PT03M17.00S,2025-12-06T01:56:44.7Z,2,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1631157,25.443495400788436,46.32352941176471,1610612749,38,62,2025-12-06T02:04:37Z,2650000,False,18.0,187.0,1,left,R. Rollins 18' pullup Jump Shot (9 PTS),[1631157],1610612749.0,MIL,pullup,,,Rollins,R. Rollins,,,,,Mid-Range,16-24 Center,18.76,Made,9.0,,,,,,,,,,,,,,,,,
