actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
197,PT09M31.00S,2022-01-16T18:49:52.5Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1626168,,,1610612765,41,47,2022-01-16T18:50:23Z,1940000,,,0,,MISS T. Lyles Free Throw 2 of 2,[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,Missed,,,,,,,,,,,,,,,,,,,
198,PT09M28.00S,2022-01-16T18:49:55.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612756,41,47,2022-01-16T18:50:23Z,1950000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,197.0,,,,,,,,,,,,,,,,,,
199,PT09M28.00S,2022-01-16T18:50:21.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,41,47,2022-01-16T18:50:21Z,1960000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT09M21.00S,2022-01-16T18:50:31.7Z,2,REGULAR,turnover,traveling,[],1626166,,,1610612756,41,47,2022-01-16T18:50:39Z,1970000,,,0,,C. Payne traveling TURNOVER (2 TO),[1626166],1610612756.0,PHX,,,,,,,1628172.0,Payne,C. Payne,,,,,,,,,,,,,,,2.0,,,,,,
201,PT09M21.00S,2022-01-16T18:50:42.2Z,2,REGULAR,substitution,out,[],201580,,,1610612765,41,47,2022-01-16T18:50:56Z,1980000,,,0,,SUB out: J. McGee,[201580],1610612756.0,PHX,,,,,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,
202,PT09M21.00S,2022-01-16T18:50:42.2Z,2,REGULAR,substitution,in,[],1630188,,,1610612765,41,47,2022-01-16T18:50:56Z,1990000,,,0,,SUB in: J. Smith,[1630188],1610612756.0,PHX,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,
203,PT09M08.00S,2022-01-16T18:51:04.6Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626168,26.10052562417871,83.82352941176471,1610612765,41,47,2022-01-16T18:51:12Z,2000000,-169.0,193.0,1,left,MISS T. Lyles 25' 3PT,[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,25.65,Missed,,,,,,,,,,,,,,,,,,,
204,PT09M02.00S,2022-01-16T18:51:10.6Z,2,REGULAR,rebound,defensive,[],1630688,,,1610612756,41,47,2022-01-16T18:51:12Z,2010000,,,0,,I. Wainright REBOUND (Off:0 Def:1),[1630688],1610612756.0,PHX,,,,,,,,Wainright,I. Wainright,,,203.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
205,PT08M57.00S,2022-01-16T18:51:15.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626166,92.19776609724047,55.392156862745104,1610612756,41,49,2022-01-16T18:51:25Z,2020000,27.0,21.0,1,right,C. Payne driving finger roll Layup (6 PTS),[1626166],1610612756.0,PHX,driving finger roll,,,,,,,Payne,C. Payne,3.41,Made,,,,,6.0,,,,,,,,,,,,,,
206,PT08M57.00S,2022-01-16T18:51:21.8Z,2,REGULAR,timeout,full,['team'],0,,,1610612765,41,49,2022-01-16T18:51:21Z,2030000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT08M57.00S,2022-01-16T18:53:00.9Z,2,REGULAR,substitution,out,[],1628367,,,1610612765,41,49,2022-01-16T18:54:07Z,2040000,,,0,,SUB out: J. Jackson,[1628367],1610612765.0,DET,,,,,,,,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,
208,PT08M57.00S,2022-01-16T18:53:00.9Z,2,REGULAR,substitution,out,[],1630688,,,1610612765,41,49,2022-01-16T18:54:07Z,2050000,,,0,,SUB out: I. Wainright,[1630688],1610612756.0,PHX,,,,,,,,Wainright,I. Wainright,,,,,,,,,,,,,,,,,,,,,
209,PT08M57.00S,2022-01-16T18:53:00.9Z,2,REGULAR,substitution,in,[],1628977,,,1610612765,41,49,2022-01-16T18:54:07Z,2060000,,,0,,SUB in: H. Diallo,[1628977],1610612765.0,DET,,,,,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,
210,PT08M57.00S,2022-01-16T18:53:00.9Z,2,REGULAR,substitution,in,[],1628969,,,1610612765,41,49,2022-01-16T18:54:07Z,2070000,,,0,,SUB in: M. Bridges,[1628969],1610612756.0,PHX,,,,,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,
211,PT08M38.00S,2022-01-16T18:54:34.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628969,,,1610612765,41,49,2022-01-16T18:54:50Z,2080000,,,0,,M. Bridges personal FOUL (2 PF) (Lyles 2 FT),"[1628969, 1626168]",1610612756.0,PHX,,,,,,,201246.0,Bridges,M. Bridges,,,,,,,,,,,2.0,0.0,Lyles,1626168.0,,,,,,,
213,PT08M38.00S,2022-01-16T18:55:06.6Z,2,REGULAR,freethrow,1 of 2,[],1626168,,,1610612765,42,49,2022-01-16T18:55:06Z,2100000,,,0,,T. Lyles Free Throw 1 of 2 (8 PTS),[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,Made,,,,,8.0,,,,,,,,,,,,,,
214,PT08M38.00S,2022-01-16T18:55:32.6Z,2,REGULAR,freethrow,2 of 2,[],1626168,,,1610612765,43,49,2022-01-16T18:55:32Z,2110000,,,0,,T. Lyles Free Throw 2 of 2 (9 PTS),[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,Made,,,,,9.0,,,,,,,,,,,,,,
215,PT08M18.00S,2022-01-16T18:55:52.8Z,2,REGULAR,2pt,Jump Shot,[],1628969,83.919185282523,66.42156862745098,1610612756,43,51,2022-01-16T18:55:57Z,2120000,82.0,99.0,1,right,M. Bridges 12' pullup Jump Shot (8 PTS),[1628969],1610612756.0,PHX,pullup,,,,,,,Bridges,M. Bridges,12.84,Made,,,,,8.0,,,,,,,,,,,,,,
216,PT07M59.00S,2022-01-16T18:56:11.5Z,2,REGULAR,2pt,Jump Shot,[],1626168,4.944152431011826,73.77450980392157,1610612765,43,51,2022-01-16T18:56:17Z,2130000,-119.0,-6.0,1,left,MISS T. Lyles 11' turnaround fadeaway Shot,[1626168],1610612765.0,DET,turnaround fadeaway,,,,,,,Lyles,T. Lyles,11.91,Missed,,,,,,,,,,,,,,,,,,,
217,PT07M57.00S,2022-01-16T18:56:13.5Z,2,REGULAR,rebound,defensive,[],101108,,,1610612756,43,51,2022-01-16T18:56:17Z,2140000,,,0,,C. Paul REBOUND (Off:0 Def:3),[101108],1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,216.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
218,PT07M47.00S,2022-01-16T18:56:23.9Z,2,REGULAR,turnover,bad pass,[],101108,,,1610612756,43,51,2022-01-16T18:56:28Z,2150000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1630199]",1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,,,,,,,,,,,,,1.0,Stanley,1630199.0,,,,
219,PT07M47.00S,2022-01-16T18:56:23.9Z,2,REGULAR,steal,,[],1630199,,,1610612765,43,51,2022-01-16T18:56:26Z,2160000,,,0,,C. Stanley STEAL (1 STL),[1630199],1610612765.0,DET,,,,,,,,Stanley,C. Stanley,,,,,,,,,,,,,,,,,,,,,
220,PT07M39.00S,2022-01-16T18:56:31.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628977,11.12023653088042,47.549019607843135,1610612765,43,51,2022-01-16T18:56:37Z,2170000,12.0,52.0,1,left,MISS H. Diallo driving Layup - blocked,"[1628977, 1630188]",1610612765.0,DET,driving,,,,,,,Diallo,H. Diallo,5.34,Missed,,,,,,,,,,,,,,,,,Smith,1630188.0,
221,PT07M39.00S,2022-01-16T18:56:31.9Z,2,REGULAR,block,,[],1630188,,,1610612765,43,51,2022-01-16T18:56:34Z,2180000,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612756.0,PHX,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,
222,PT07M35.00S,2022-01-16T18:56:35.9Z,2,REGULAR,rebound,offensive,[],1626168,,,1610612765,43,51,2022-01-16T18:56:37Z,2190000,,,0,,T. Lyles REBOUND (Off:1 Def:2),[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,,220.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
223,PT07M32.00S,2022-01-16T18:56:38.5Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",202709,35.955978975032856,40.68627450980392,1610612765,46,51,2022-01-16T18:56:46Z,2200000,47.0,285.0,1,left,C. Joseph 28' 3PT  (4 PTS) (T. Lyles 1 AST),"[202709, 1626168]",1610612765.0,DET,,,,,,,,Joseph,C. Joseph,28.93,Made,,,,,4.0,T. Lyles,1626168.0,1.0,,,,,,,,,,,
225,PT07M13.00S,2022-01-16T18:57:03.2Z,2,REGULAR,foul,personal,[],1630240,,,1610612756,46,51,2022-01-16T18:57:44Z,2220000,,,0,,S. Lee personal FOUL (1 PF),"[1630240, 101108]",1610612765.0,DET,,,,,,,204058.0,Lee,S. Lee,,,,,,,,,,,1.0,0.0,Paul,101108.0,,,,,,,
227,PT07M13.00S,2022-01-16T18:57:12.9Z,2,REGULAR,substitution,out,[],1626168,,,1610612756,46,51,2022-01-16T18:57:42Z,2240000,,,0,,SUB out: T. Lyles,[1626168],1610612765.0,DET,,,,,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,
228,PT07M13.00S,2022-01-16T18:57:12.9Z,2,REGULAR,substitution,out,[],1630240,,,1610612756,46,51,2022-01-16T18:57:42Z,2250000,,,0,,SUB out: S. Lee,[1630240],1610612765.0,DET,,,,,,,,Lee,S. Lee,,,,,,,,,,,,,,,,,,,,,
229,PT07M13.00S,2022-01-16T18:57:12.9Z,2,REGULAR,substitution,out,[],1630188,,,1610612756,46,51,2022-01-16T18:57:42Z,2260000,,,0,,SUB out: J. Smith,[1630188],1610612756.0,PHX,,,,,,,,Smith,J. Smith,,,,,,,,,,,,,,,,,,,,,
230,PT07M13.00S,2022-01-16T18:57:12.9Z,2,REGULAR,substitution,out,[],1626166,,,1610612756,46,51,2022-01-16T18:57:42Z,2270000,,,0,,SUB out: C. Payne,[1626166],1610612756.0,PHX,,,,,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,
231,PT07M13.00S,2022-01-16T18:57:12.9Z,2,REGULAR,substitution,in,[],1630165,,,1610612756,46,51,2022-01-16T18:57:42Z,2280000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,
232,PT07M13.00S,2022-01-16T18:57:12.9Z,2,REGULAR,substitution,in,[],1630191,,,1610612756,46,51,2022-01-16T18:57:42Z,2290000,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,
233,PT07M13.00S,2022-01-16T18:57:12.9Z,2,REGULAR,substitution,in,[],202687,,,1610612756,46,51,2022-01-16T18:57:42Z,2300000,,,0,,SUB in: B. Biyombo,[202687],1610612756.0,PHX,,,,,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,
234,PT07M13.00S,2022-01-16T18:57:12.9Z,2,REGULAR,substitution,in,[],203109,,,1610612756,46,51,2022-01-16T18:57:42Z,2310000,,,0,,SUB in: J. Crowder,[203109],1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,
235,PT07M05.00S,2022-01-16T18:57:51.2Z,2,REGULAR,2pt,Jump Shot,[],101108,87.33574244415243,74.26470588235294,1610612756,46,51,2022-01-16T18:57:57Z,2320000,121.0,67.0,1,right,MISS C. Paul 13' pullup Shot,[101108],1610612756.0,PHX,pullup,,,,,,,Paul,C. Paul,13.83,Missed,,,,,,,,,,,,,,,,,,,
236,PT06M59.00S,2022-01-16T18:57:57.2Z,2,REGULAR,rebound,defensive,[],1630199,,,1610612765,46,51,2022-01-16T18:57:57Z,2330000,,,0,,C. Stanley REBOUND (Off:0 Def:1),[1630199],1610612765.0,DET,,,,,,,,Stanley,C. Stanley,,,235.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
237,PT06M50.00S,2022-01-16T18:58:05.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630191,18.084756898817346,62.254901960784316,1610612765,46,51,2022-01-16T18:58:10Z,2340000,-61.0,117.0,1,left,MISS I. Stewart 13' Jump Shot,[1630191],1610612765.0,DET,,,,,,,,Stewart,I. Stewart,13.25,Missed,,,,,,,,,,,,,,,,,,,
238,PT06M48.00S,2022-01-16T18:58:07.4Z,2,REGULAR,rebound,defensive,[],101108,,,1610612756,46,51,2022-01-16T18:58:10Z,2350000,,,0,,C. Paul REBOUND (Off:0 Def:4),[101108],1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,237.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
239,PT06M30.00S,2022-01-16T18:58:26.3Z,2,REGULAR,3pt,Jump Shot,[],203109,83.919185282523,95.09803921568627,1610612756,46,51,2022-01-16T18:58:31Z,2360000,225.0,99.0,1,right,MISS J. Crowder 24' 3PT,[203109],1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,24.62,Missed,,,,,,,,,,,,,,,,,,,
240,PT06M26.00S,2022-01-16T18:58:30.3Z,2,REGULAR,rebound,defensive,[],202709,,,1610612765,46,51,2022-01-16T18:58:31Z,2370000,,,0,,C. Joseph REBOUND (Off:0 Def:2),[202709],1610612765.0,DET,,,,,,,,Joseph,C. Joseph,,,239.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
241,PT06M06.00S,2022-01-16T18:58:50.3Z,2,REGULAR,2pt,Jump Shot,[],202709,24.392247043363994,57.84313725490197,1610612765,46,51,2022-01-16T18:58:55Z,2380000,-39.0,177.0,1,left,MISS C. Joseph 18' pullup Shot,[202709],1610612765.0,DET,pullup,,,,,,,Joseph,C. Joseph,18.11,Missed,,,,,,,,,,,,,,,,,,,
242,PT06M02.00S,2022-01-16T18:58:54.3Z,2,REGULAR,rebound,offensive,[],1628977,,,1610612765,46,51,2022-01-16T18:58:55Z,2390000,,,0,,H. Diallo REBOUND (Off:1 Def:1),[1628977],1610612765.0,DET,,,,,,,,Diallo,H. Diallo,,,241.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
243,PT05M59.00S,2022-01-16T18:58:56.4Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630165,18.873193166885677,92.40196078431373,1610612765,46,51,2022-01-16T18:59:00Z,2400000,-212.0,125.0,1,left,MISS K. Hayes 24' 3PT,[1630165],1610612765.0,DET,,,,,,,,Hayes,K. Hayes,24.61,Missed,,,,,,,,,,,,,,,,,,,
244,PT05M56.00S,2022-01-16T18:58:59.4Z,2,REGULAR,rebound,defensive,[],203109,,,1610612756,46,51,2022-01-16T18:59:00Z,2410000,,,0,,J. Crowder REBOUND (Off:0 Def:2),[203109],1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,,,243.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
245,PT05M41.00S,2022-01-16T18:59:14.3Z,2,REGULAR,2pt,Jump Shot,[],101108,73.9323258869908,55.14705882352941,1610612756,46,51,2022-01-16T18:59:19Z,2420000,26.0,193.0,1,right,MISS C. Paul 19' pullup Shot,[101108],1610612756.0,PHX,pullup,,,,,,,Paul,C. Paul,19.42,Missed,,,,,,,,,,,,,,,,,,,
246,PT05M39.00S,2022-01-16T18:59:16.3Z,2,REGULAR,rebound,defensive,[],1630165,,,1610612765,46,51,2022-01-16T18:59:19Z,2430000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,,,,,Hayes,K. Hayes,,,245.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
262,PT05M35.00S,2022-01-16T18:59:18.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630165,15.505913272010513,48.943014705882355,1610612765,46,51,2022-01-16T19:01:12Z,2435000,5.0,93.0,1,left,MISS K. Hayes 9' driving Layup - blocked,"[1630165, 101108]",1610612765.0,DET,driving,,,,,,,Hayes,K. Hayes,9.35,Missed,,,,,,,,,,,,,,,,,Paul,101108.0,
263,PT05M35.00S,2022-01-16T18:59:18.3Z,2,REGULAR,block,,[],101108,,,1610612765,46,51,2022-01-16T19:01:12Z,2437500,,,0,,C. Paul BLOCK (1 BLK),[101108],1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,
264,PT05M35.00S,2022-01-16T18:59:18.3Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612756,46,51,2022-01-16T19:01:12Z,2438750,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,262.0,,,,,,,,,,,,,,,,,,
248,PT05M35.00S,2022-01-16T18:59:31.5Z,2,REGULAR,substitution,out,[],1630165,,,1610612756,46,51,2022-01-16T19:00:03Z,2450000,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,
249,PT05M35.00S,2022-01-16T18:59:31.5Z,2,REGULAR,substitution,out,[],1629013,,,1610612756,46,51,2022-01-16T19:00:03Z,2460000,,,0,,SUB out: L. Shamet,[1629013],1610612756.0,PHX,,,,,,,,Shamet,L. Shamet,,,,,,,,,,,,,,,,,,,,,
250,PT05M35.00S,2022-01-16T18:59:31.5Z,2,REGULAR,substitution,in,[],1630595,,,1610612756,46,51,2022-01-16T19:00:03Z,2470000,,,0,,SUB in: C. Cunningham,[1630595],1610612765.0,DET,,,,,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,
251,PT05M35.00S,2022-01-16T18:59:31.5Z,2,REGULAR,substitution,in,[],1626164,,,1610612756,46,51,2022-01-16T19:00:03Z,2480000,,,0,,SUB in: D. Booker,[1626164],1610612756.0,PHX,,,,,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,
252,PT05M35.00S,2022-01-16T19:00:13.0Z,2,REGULAR,substitution,out,[],202709,,,1610612756,46,51,2022-01-16T19:00:23Z,2490000,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,,,,,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,
253,PT05M35.00S,2022-01-16T19:00:13.0Z,2,REGULAR,substitution,in,[],1630165,,,1610612756,46,51,2022-01-16T19:00:23Z,2500000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,
254,PT05M22.00S,2022-01-16T19:00:35.3Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612756,46,51,2022-01-16T19:00:35Z,2510000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M22.00S,2022-01-16T19:00:37.3Z,2,REGULAR,substitution,out,[],1630199,,,1610612756,46,51,2022-01-16T19:00:45Z,2520000,,,0,,SUB out: C. Stanley,[1630199],1610612765.0,DET,,,,,,,,Stanley,C. Stanley,,,,,,,,,,,,,,,,,,,,,
256,PT05M22.00S,2022-01-16T19:00:37.3Z,2,REGULAR,substitution,in,[],1630180,,,1610612756,46,51,2022-01-16T19:00:45Z,2530000,,,0,,SUB in: S. Bey,[1630180],1610612765.0,DET,,,,,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,
257,PT05M18.00S,2022-01-16T19:00:58.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,85.10183968462549,42.8921568627451,1610612756,46,51,2022-01-16T19:01:21Z,2540000,-36.0,88.0,1,right,MISS M. Bridges 9' Jump Shot - blocked,"[1628969, 1628977]",1610612756.0,PHX,,,,,,,,Bridges,M. Bridges,9.44,Missed,,,,,,,,,,,,,,,,,Diallo,1628977.0,
258,PT05M18.00S,2022-01-16T19:00:58.9Z,2,REGULAR,block,,[],1628977,,,1610612756,46,51,2022-01-16T19:01:01Z,2550000,,,0,,H. Diallo BLOCK (1 BLK),[1628977],1610612765.0,DET,,,,,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,
259,PT05M14.00S,2022-01-16T19:01:02.9Z,2,REGULAR,rebound,offensive,[],203109,,,1610612756,46,51,2022-01-16T19:01:21Z,2560000,,,0,,J. Crowder REBOUND (Off:1 Def:2),[203109],1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,,,257.0,3.0,2.0,1.0,,,,,,,,,,,,,,,
260,PT05M13.00S,2022-01-16T19:01:04.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,91.98423127463863,3.699448529411765,1610612756,46,51,2022-01-16T19:02:43Z,2570000,-232.0,23.0,1,right,MISS M. Bridges 3PT,[1628969],1610612756.0,PHX,,,,,,,,Bridges,M. Bridges,23.26,Missed,,,,,,,,,,,,,,,,,,,
261,PT05M09.00S,2022-01-16T19:01:08.7Z,2,REGULAR,rebound,defensive,[],1630165,,,1610612765,46,51,2022-01-16T19:01:25Z,2580000,,,0,,K. Hayes REBOUND (Off:0 Def:2),[1630165],1610612765.0,DET,,,,,,,,Hayes,K. Hayes,,,260.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
265,PT04M58.00S,2022-01-16T19:01:20.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1628977,11.251642575558476,42.40196078431372,1610612765,46,51,2022-01-16T19:01:29Z,2590000,38.0,53.0,1,left,MISS H. Diallo 6' driving Hook,[1628977],1610612765.0,DET,driving,,,,,,,Diallo,H. Diallo,6.55,Missed,,,,,,,,,,,,,,,,,,,
266,PT04M54.00S,2022-01-16T19:01:24.0Z,2,REGULAR,rebound,defensive,[],202687,,,1610612756,46,51,2022-01-16T19:01:29Z,2600000,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612756.0,PHX,,,,,,,,Biyombo,B. Biyombo,,,265.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
267,PT04M48.00S,2022-01-16T19:01:30.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630595,,,1610612756,46,51,2022-01-16T19:02:06Z,2610000,,,0,,C. Cunningham shooting personal FOUL (2 PF) (Biyombo 2 FT),"[1630595, 202687]",1610612765.0,DET,shooting,,,,,,204058.0,Cunningham,C. Cunningham,,,,,,,,,,,2.0,0.0,Biyombo,202687.0,,,,,,,
269,PT04M48.00S,2022-01-16T19:02:07.7Z,2,REGULAR,freethrow,1 of 2,[],202687,,,1610612756,46,51,2022-01-16T19:02:07Z,2630000,,,0,,MISS B. Biyombo Free Throw 1 of 2,[202687],1610612756.0,PHX,,,,,,,,Biyombo,B. Biyombo,,Missed,,,,,,,,,,,,,,,,,,,
270,PT04M48.00S,2022-01-16T19:02:07.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,46,51,2022-01-16T19:02:07Z,2640000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,269.0,,,,,,,,,,,,,,,,,,
271,PT04M48.00S,2022-01-16T19:02:08.5Z,2,REGULAR,substitution,out,[],101108,,,1610612756,46,51,2022-01-16T19:02:13Z,2650000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,
272,PT04M48.00S,2022-01-16T19:02:08.5Z,2,REGULAR,substitution,in,[],1626166,,,1610612756,46,51,2022-01-16T19:02:13Z,2660000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,
273,PT04M48.00S,2022-01-16T19:02:27.7Z,2,REGULAR,freethrow,2 of 2,[],202687,,,1610612756,46,52,2022-01-16T19:02:27Z,2670000,,,0,,B. Biyombo Free Throw 2 of 2 (1 PTS),[202687],1610612756.0,PHX,,,,,,,,Biyombo,B. Biyombo,,Made,,,,,1.0,,,,,,,,,,,,,,
274,PT04M31.00S,2022-01-16T19:02:45.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630191,13.354139290407357,46.32352941176471,1610612765,46,52,2022-01-16T19:02:50Z,2680000,18.0,73.0,1,left,MISS I. Stewart 7' Jump Shot - blocked,"[1630191, 202687]",1610612765.0,DET,,,,,,,,Stewart,I. Stewart,7.53,Missed,,,,,,,,,,,,,,,,,Biyombo,202687.0,
275,PT04M31.00S,2022-01-16T19:02:45.6Z,2,REGULAR,block,,[],202687,,,1610612765,46,52,2022-01-16T19:02:48Z,2690000,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612756.0,PHX,,,,,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,
276,PT04M27.00S,2022-01-16T19:02:49.6Z,2,REGULAR,rebound,defensive,[],203109,,,1610612756,46,52,2022-01-16T19:02:50Z,2700000,,,0,,J. Crowder REBOUND (Off:1 Def:3),[203109],1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,,,274.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
277,PT04M16.00S,2022-01-16T19:03:00.4Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202687,88.12417871222075,54.41176470588235,1610612756,46,52,2022-01-16T19:04:10Z,2710000,22.0,59.0,1,right,MISS B. Biyombo 6' floating Shot,[202687],1610612756.0,PHX,floating,,,,,,,Biyombo,B. Biyombo,6.31,Missed,,,,,,,,,,,,,,,,,,,
278,PT04M14.00S,2022-01-16T19:03:02.4Z,2,REGULAR,rebound,defensive,[],1630180,,,1610612765,46,52,2022-01-16T19:03:04Z,2720000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,,,,,Bey,S. Bey,,,277.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
279,PT04M07.00S,2022-01-16T19:03:10.2Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203109,,,1610612765,46,52,2022-01-16T19:03:26Z,2730000,,,0,,J. Crowder shooting personal FOUL (1 PF) (Cunningham 2 FT),"[203109, 1630595]",1610612756.0,PHX,shooting,,,,,,204058.0,Crowder,J. Crowder,,,,,,,,,,,1.0,0.0,Cunningham,1630595.0,,,,,,,
281,PT04M07.00S,2022-01-16T19:03:32.9Z,2,REGULAR,freethrow,1 of 2,[],1630595,,,1610612765,47,52,2022-01-16T19:03:32Z,2750000,,,0,,C. Cunningham Free Throw 1 of 2 (11 PTS),[1630595],1610612765.0,DET,,,,,,,,Cunningham,C. Cunningham,,Made,,,,,11.0,,,,,,,,,,,,,,
282,PT04M07.00S,2022-01-16T19:03:47.7Z,2,REGULAR,freethrow,2 of 2,[],1630595,,,1610612765,47,52,2022-01-16T19:03:47Z,2760000,,,0,,MISS C. Cunningham Free Throw 2 of 2,[1630595],1610612765.0,DET,,,,,,,,Cunningham,C. Cunningham,,Missed,,,,,,,,,,,,,,,,,,,
