actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,playerName,playerNameI,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
179,PT10M53.00S,2021-11-02T23:39:19.2Z,2,REGULAR,turnover,bad pass,[],1628367,,,1610612765,22,29,2021-11-02T23:39:28Z,1760000,,,0,,J. Jackson bad pass TURNOVER (1 TO),"[1628367, 1626192]",1610612765.0,DET,Jackson,J. Jackson,,,,,,,1.0,Connaughton,1626192.0,,,,,,,,,,,,,,,,,,
180,PT10M53.00S,2021-11-02T23:39:19.2Z,2,REGULAR,steal,,[],1626192,,,1610612749,22,29,2021-11-02T23:39:21Z,1770000,,,0,,P. Connaughton STEAL (2 STL),[1626192],1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT10M48.00S,2021-11-02T23:39:25.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626192,6.4881734559789805,53.92156862745098,1610612749,22,29,2021-11-02T23:43:37Z,1780000,-20.0,8.0,1,left,MISS P. Connaughton running Layup,[1626192],1610612749.0,MIL,Connaughton,P. Connaughton,running,,,,,,,,,2.14,Missed,,,,,,,,,,,,,,,,
182,PT10M48.00S,2021-11-02T23:39:25.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612765,22,29,2021-11-02T23:39:33Z,1790000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,181.0,,,,,,,,,
183,PT10M48.00S,2021-11-02T23:39:32.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,22,29,2021-11-02T23:39:32Z,1800000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT10M34.00S,2021-11-02T23:39:51.9Z,2,REGULAR,3pt,Jump Shot,[],1628402,71.92838370565046,87.99019607843137,1610612765,22,29,2021-11-02T23:44:36Z,1810000,190.0,211.0,1,right,MISS F. Jackson 28' pullup 3PT,[1628402],1610612765.0,DET,Jackson,F. Jackson,pullup,,,,,,,,,28.42,Missed,,,,,,,,,,,,,,,,
185,PT10M32.00S,2021-11-02T23:39:53.9Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,22,29,2021-11-02T23:39:58Z,1820000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:4),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,184.0,4.0,4.0,0.0,,,,,,
186,PT10M27.00S,2021-11-02T23:39:59.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629620,25.54204993429697,86.27450980392157,1610612749,22,29,2021-11-02T23:40:14Z,1830000,-181.0,188.0,1,left,MISS J. Robinson 26' 3PT,[1629620],1610612749.0,MIL,Robinson,J. Robinson,,,,,,,,,,26.1,Missed,,,,,,,,,,,,,,,,
187,PT10M24.00S,2021-11-02T23:40:02.8Z,2,REGULAR,rebound,defensive,[],203482,,,1610612765,22,29,2021-11-02T23:40:14Z,1840000,,,0,,K. Olynyk REBOUND (Off:0 Def:2),[203482],1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,186.0,2.0,2.0,0.0,,,,,,
188,PT10M09.00S,2021-11-02T23:40:17.3Z,2,REGULAR,3pt,Jump Shot,[],1628367,93.87319316688567,3.9215686274509807,1610612765,22,29,2021-11-02T23:40:21Z,1850000,-230.0,5.0,1,right,MISS J. Jackson 3PT,[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,23.05,Missed,,,,,,,,,,,,,,,,
189,PT10M06.00S,2021-11-02T23:40:20.3Z,2,REGULAR,rebound,defensive,[],203918,,,1610612749,22,29,2021-11-02T23:40:21Z,1860000,,,0,,R. Hood REBOUND (Off:0 Def:1),[203918],1610612749.0,MIL,Hood,R. Hood,,,,,,,,,,,,,,,,,,188.0,1.0,1.0,0.0,,,,,,
190,PT10M01.00S,2021-11-02T23:40:27.0Z,2,REGULAR,turnover,traveling,[],203507,,,1610612749,22,29,2021-11-02T23:40:36Z,1870000,,,0,,G. Antetokounmpo traveling TURNOVER (3 TO),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,3.0,,,,,,,,,,,,,,,1628951.0,,,,,
191,PT10M01.00S,2021-11-02T23:40:30.2Z,2,REGULAR,substitution,out,[],1628367,,,1610612765,22,29,2021-11-02T23:40:34Z,1880000,,,0,,SUB out: J. Jackson,[1628367],1610612765.0,DET,Jackson,J. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT10M01.00S,2021-11-02T23:40:30.2Z,2,REGULAR,substitution,in,[],1630180,,,1610612765,22,29,2021-11-02T23:40:34Z,1890000,,,0,,SUB in: S. Bey,[1630180],1610612765.0,DET,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M45.00S,2021-11-02T23:40:56.4Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626168,81.7838370565046,95.58823529411765,1610612765,25,29,2021-11-02T23:41:17Z,1900000,228.0,119.0,1,right,T. Lyles 25' 3PT  (3 PTS) (F. Jackson 1 AST),"[1626168, 1628402]",1610612765.0,DET,Lyles,T. Lyles,,,,,,,,,,25.7,Made,3.0,F. Jackson,1628402.0,1.0,,,,,,,,,,,,
195,PT09M31.00S,2021-11-02T23:41:09.8Z,2,REGULAR,3pt,Jump Shot,[],203918,29.48423127463863,77.45098039215686,1610612749,25,29,2021-11-02T23:42:07Z,1920000,-137.0,225.0,1,left,MISS R. Hood 26' 3PT,[203918],1610612749.0,MIL,Hood,R. Hood,,,,,,,,,,26.33,Missed,,,,,,,,,,,,,,,,
196,PT09M31.00S,2021-11-02T23:41:09.8Z,2,REGULAR,rebound,defensive,[],1628402,,,1610612765,25,29,2021-11-02T23:42:07Z,1930000,,,0,,F. Jackson REBOUND (Off:0 Def:2),[1628402],1610612765.0,DET,Jackson,F. Jackson,,,,,,,,,,,,,,,,,,195.0,2.0,2.0,0.0,,,,,,
197,PT09M25.00S,2021-11-02T23:41:18.9Z,2,REGULAR,foul,personal,['2freethrow'],203918,,,1610612765,25,29,2021-11-02T23:41:30Z,1940000,,,0,,R. Hood shooting personal FOUL (1 PF) (Joseph 2 FT),"[203918, 202709]",1610612749.0,MIL,Hood,R. Hood,shooting,,,,,,,,,,,,,,,,,,,,,101283.0,1.0,0.0,Joseph,202709.0,
199,PT09M25.00S,2021-11-02T23:41:46.6Z,2,REGULAR,freethrow,1 of 2,[],202709,,,1610612765,26,29,2021-11-02T23:41:46Z,1960000,,,0,,C. Joseph Free Throw 1 of 2 (1 PTS),[202709],1610612765.0,DET,Joseph,C. Joseph,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
200,PT09M25.00S,2021-11-02T23:41:47.7Z,2,REGULAR,substitution,out,[],1629620,,,1610612765,26,29,2021-11-02T23:41:51Z,1970000,,,0,,SUB out: J. Robinson,[1629620],1610612749.0,MIL,Robinson,J. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,PT09M25.00S,2021-11-02T23:41:47.7Z,2,REGULAR,substitution,in,[],201588,,,1610612765,26,29,2021-11-02T23:41:51Z,1980000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT09M25.00S,2021-11-02T23:42:02.4Z,2,REGULAR,freethrow,2 of 2,[],202709,,,1610612765,27,29,2021-11-02T23:42:02Z,1990000,,,0,,C. Joseph Free Throw 2 of 2 (2 PTS),[202709],1610612765.0,DET,Joseph,C. Joseph,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
203,PT09M11.00S,2021-11-02T23:42:17.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1626192,7.408015768725363,46.32352941176471,1610612749,27,31,2021-11-02T23:42:25Z,2000000,18.0,17.0,1,left,P. Connaughton driving Hook (2 PTS) (G. Antetokounmpo 4 AST),"[1626192, 203507]",1610612749.0,MIL,Connaughton,P. Connaughton,driving,,,,,,,,,2.51,Made,2.0,G. Antetokounmpo,203507.0,4.0,,,,,,,,,,,,
204,PT08M59.00S,2021-11-02T23:42:29.2Z,2,REGULAR,3pt,Jump Shot,[],1626168,70.22010512483574,25.0,1610612765,27,31,2021-11-02T23:42:37Z,2010000,-125.0,227.0,1,right,MISS T. Lyles 25' 3PT,[1626168],1610612765.0,DET,Lyles,T. Lyles,,,,,,,,,,25.95,Missed,,,,,,,,,,,,,,,,
205,PT08M57.00S,2021-11-02T23:42:31.1Z,2,REGULAR,rebound,offensive,[],203482,,,1610612765,27,31,2021-11-02T23:42:31Z,2020000,,,0,,K. Olynyk REBOUND (Off:1 Def:2),[203482],1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,204.0,3.0,2.0,1.0,,,,,,
206,PT08M55.00S,2021-11-02T23:42:33.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1628402,73.76806833114324,85.5392156862745,1610612765,27,31,2021-11-02T23:42:40Z,2030000,178.0,194.0,1,right,MISS F. Jackson 26' 3PT,[1628402],1610612765.0,DET,Jackson,F. Jackson,,,,,,,,,,26.32,Missed,,,,,,,,,,,,,,,,
207,PT08M52.00S,2021-11-02T23:42:36.7Z,2,REGULAR,rebound,defensive,[],1626192,,,1610612749,27,31,2021-11-02T23:42:40Z,2040000,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,206.0,1.0,1.0,0.0,,,,,,
208,PT08M42.00S,2021-11-02T23:42:45.4Z,2,REGULAR,3pt,Jump Shot,[],1626192,33.42641261498029,78.67647058823529,1610612749,27,34,2021-11-02T23:42:51Z,2050000,-143.0,262.0,1,left,P. Connaughton 29' 3PT  (5 PTS) (G. Hill 2 AST),"[1626192, 201588]",1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,29.84,Made,5.0,G. Hill,201588.0,2.0,,,,,,,,,,,,
210,PT08M34.00S,2021-11-02T23:42:56.4Z,2,REGULAR,foul,personal,['3freethrow'],203648,,,1610612765,27,34,2021-11-02T23:43:10Z,2070000,,,0,,T. Antetokounmpo shooting personal FOUL (1 PF) (Jackson 3 FT),"[203648, 1628402]",1610612749.0,MIL,Antetokounmpo,T. Antetokounmpo,shooting,,,,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Jackson,1628402.0,
212,PT08M34.00S,2021-11-02T23:43:21.4Z,2,REGULAR,freethrow,1 of 3,[],1628402,,,1610612765,28,34,2021-11-02T23:44:00Z,2090000,,,0,,F. Jackson Free Throw 1 of 3 (3 PTS),[1628402],1610612765.0,DET,Jackson,F. Jackson,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
213,PT08M34.00S,2021-11-02T23:43:21.4Z,2,REGULAR,freethrow,2 of 3,[],1628402,,,1610612765,28,34,2021-11-02T23:44:00Z,2100000,,,0,,MISS F. Jackson Free Throw 2 of 3,[1628402],1610612765.0,DET,Jackson,F. Jackson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
214,PT08M34.00S,2021-11-02T23:43:21.4Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612765,28,34,2021-11-02T23:44:00Z,2110000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,213.0,,,,,,,,,
215,PT08M34.00S,2021-11-02T23:43:35.9Z,2,REGULAR,substitution,out,[],202709,,,1610612765,28,34,2021-11-02T23:43:46Z,2120000,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M34.00S,2021-11-02T23:43:35.9Z,2,REGULAR,substitution,out,[],203918,,,1610612765,28,34,2021-11-02T23:43:46Z,2130000,,,0,,SUB out: R. Hood,[203918],1610612749.0,MIL,Hood,R. Hood,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT08M34.00S,2021-11-02T23:43:35.9Z,2,REGULAR,substitution,out,[],203648,,,1610612765,28,34,2021-11-02T23:43:46Z,2140000,,,0,,SUB out: T. Antetokounmpo,[203648],1610612749.0,MIL,Antetokounmpo,T. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M34.00S,2021-11-02T23:43:35.9Z,2,REGULAR,substitution,in,[],1630595,,,1610612765,28,34,2021-11-02T23:43:46Z,2150000,,,0,,SUB in: C. Cunningham,[1630595],1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M34.00S,2021-11-02T23:43:35.9Z,2,REGULAR,substitution,in,[],1628960,,,1610612765,28,34,2021-11-02T23:43:46Z,2160000,,,0,,SUB in: G. Allen,[1628960],1610612749.0,MIL,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M34.00S,2021-11-02T23:43:35.9Z,2,REGULAR,substitution,in,[],1626171,,,1610612765,28,34,2021-11-02T23:43:46Z,2170000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M34.00S,2021-11-02T23:43:21.4Z,2,REGULAR,freethrow,3 of 3,[],1628402,,,1610612765,28,34,2021-11-02T23:44:00Z,2180000,,,0,,MISS F. Jackson Free Throw 3 of 3,[1628402],1610612765.0,DET,Jackson,F. Jackson,,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
222,PT08M31.00S,2021-11-02T23:43:24.4Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,28,34,2021-11-02T23:44:00Z,2190000,,,0,,B. Portis REBOUND (Off:2 Def:1),[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,221.0,3.0,1.0,2.0,,,,,,
223,PT08M13.00S,2021-11-02T23:44:15.9Z,2,REGULAR,foul,personal,['2freethrow'],1626168,,,1610612749,28,34,2021-11-02T23:44:27Z,2200000,,,0,,T. Lyles shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1626168, 203507]",1610612765.0,DET,Lyles,T. Lyles,shooting,,,,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Antetokounmpo,203507.0,
225,PT08M13.00S,2021-11-02T23:44:50.0Z,2,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,28,35,2021-11-02T23:44:50Z,2220000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (9 PTS),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,,,
226,PT08M13.00S,2021-11-02T23:44:51.0Z,2,REGULAR,substitution,out,[],1626192,,,1610612749,28,35,2021-11-02T23:44:56Z,2230000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M13.00S,2021-11-02T23:44:51.0Z,2,REGULAR,substitution,in,[],1628400,,,1610612749,28,35,2021-11-02T23:44:56Z,2240000,,,0,,SUB in: S. Ojeleye,[1628400],1610612749.0,MIL,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M13.00S,2021-11-02T23:45:14.7Z,2,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,28,36,2021-11-02T23:45:14Z,2250000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (10 PTS),[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,,,
229,PT07M47.00S,2021-11-02T23:45:42.9Z,2,REGULAR,3pt,Jump Shot,[],1630180,74.1622864651774,86.02941176470588,1610612765,28,36,2021-11-02T23:45:47Z,2260000,180.0,190.0,1,right,MISS S. Bey 26' 3PT,[1630180],1610612765.0,DET,Bey,S. Bey,,,,,,,,,,26.21,Missed,,,,,,,,,,,,,,,,
230,PT07M44.00S,2021-11-02T23:45:45.9Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612749,28,36,2021-11-02T23:45:47Z,2270000,,,0,,S. Ojeleye REBOUND (Off:0 Def:1),[1628400],1610612749.0,MIL,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,229.0,1.0,1.0,0.0,,,,,,
231,PT07M43.00S,2021-11-02T23:45:49.5Z,2,REGULAR,turnover,out-of-bounds,[],201588,,,1610612749,28,36,2021-11-02T23:45:57Z,2280000,,,0,,G. Hill bad pass out-of-bounds TURNOVER (1 TO),[201588],1610612749.0,MIL,Hill,G. Hill,bad pass,,,,,,1.0,,,,,,,,,,,,,,,101283.0,,,,,
232,PT07M43.00S,2021-11-02T23:45:53.3Z,2,REGULAR,substitution,out,[],203507,,,1610612765,28,36,2021-11-02T23:46:02Z,2290000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M43.00S,2021-11-02T23:45:53.3Z,2,REGULAR,substitution,in,[],1626192,,,1610612765,28,36,2021-11-02T23:46:02Z,2300000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M24.00S,2021-11-02T23:46:23.2Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1626168,93.47897503285151,3.67647058823529,1610612765,31,36,2021-11-02T23:46:27Z,2310000,-232.0,9.0,1,right,T. Lyles 3PT  (6 PTS) (C. Cunningham 2 AST),"[1626168, 1630595]",1610612765.0,DET,Lyles,T. Lyles,,,,,,,,,,23.18,Made,6.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,
236,PT07M01.00S,2021-11-02T23:46:46.1Z,2,REGULAR,3pt,Jump Shot,[],1626192,7.145203679369246,96.32352941176471,1610612749,31,39,2021-11-02T23:46:50Z,2330000,-232.0,15.0,1,left,P. Connaughton 3PT  (8 PTS) (G. Hill 3 AST),"[1626192, 201588]",1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,23.21,Made,8.0,G. Hill,201588.0,3.0,,,,,,,,,,,,
238,PT06M41.00S,2021-11-02T23:47:07.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203482,93.74178712220763,40.931372549019606,1610612765,31,39,2021-11-02T23:49:49Z,2350000,-45.0,6.0,1,right,MISS K. Olynyk bank Shot,[203482],1610612765.0,DET,Olynyk,K. Olynyk,bank,,,,,,,,,4.57,Missed,,,,,,,,,,,,,,,,
239,PT06M41.00S,2021-11-02T23:47:07.7Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612749,31,39,2021-11-02T23:47:15Z,2360000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,238.0,,,,,,,,,
240,PT06M41.00S,2021-11-02T23:47:12.8Z,2,REGULAR,foul,personal,[],203482,,,1610612749,31,39,2021-11-02T23:47:58Z,2370000,,,0,,K. Olynyk loose ball personal FOUL (1 PF),"[203482, 1626192]",1610612765.0,DET,Olynyk,K. Olynyk,loose ball,,,,,,,,,,,,,,,,,,,,,1628951.0,1.0,0.0,Connaughton,1626192.0,
242,PT06M41.00S,2021-11-02T23:47:22.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,31,39,2021-11-02T23:47:22Z,2390000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT06M41.00S,2021-11-02T23:47:23.0Z,2,REGULAR,substitution,out,[],1628402,,,1610612749,31,39,2021-11-02T23:50:04Z,2400000,,,0,,SUB out: F. Jackson,[1628402],1610612765.0,DET,Jackson,F. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT06M41.00S,2021-11-02T23:47:23.0Z,2,REGULAR,substitution,out,[],203482,,,1610612749,31,39,2021-11-02T23:50:04Z,2410000,,,0,,SUB out: K. Olynyk,[203482],1610612765.0,DET,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M41.00S,2021-11-02T23:47:23.0Z,2,REGULAR,substitution,in,[],1630165,,,1610612749,31,39,2021-11-02T23:50:04Z,2420000,,,0,,SUB in: K. Hayes,[1630165],1610612765.0,DET,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M41.00S,2021-11-02T23:47:23.0Z,2,REGULAR,substitution,in,[],1630191,,,1610612749,31,39,2021-11-02T23:50:04Z,2430000,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT06M20.00S,2021-11-02T23:50:28.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626171,13.715505913272011,60.049019607843135,1610612749,31,41,2021-11-02T23:50:36Z,2440000,-50.0,76.0,1,left,B. Portis 9' driving Layup (3 PTS) (G. Hill 4 AST),"[1626171, 201588]",1610612749.0,MIL,Portis,B. Portis,driving,,,,,,,,,9.14,Made,3.0,G. Hill,201588.0,4.0,,,,,,,,,,,,
249,PT06M01.00S,2021-11-02T23:50:46.9Z,2,REGULAR,3pt,Jump Shot,[],1626168,72.7168199737188,78.67647058823529,1610612765,31,41,2021-11-02T23:50:51Z,2450000,143.0,204.0,1,right,MISS T. Lyles 24' 3PT,[1626168],1610612765.0,DET,Lyles,T. Lyles,,,,,,,,,,24.94,Missed,,,,,,,,,,,,,,,,
250,PT05M58.00S,2021-11-02T23:50:49.9Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612749,31,41,2021-11-02T23:50:51Z,2460000,,,0,,S. Ojeleye REBOUND (Off:0 Def:2),[1628400],1610612749.0,MIL,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,249.0,2.0,2.0,0.0,,,,,,
251,PT05M56.00S,2021-11-02T23:50:54.9Z,2,REGULAR,turnover,out-of-bounds,[],1628400,,,1610612749,31,41,2021-11-02T23:56:13Z,2470000,,,0,,S. Ojeleye bad pass out-of-bounds TURNOVER (1 TO),[1628400],1610612749.0,MIL,Ojeleye,S. Ojeleye,bad pass,,,,,,1.0,,,,,,,,,,,,,,,101283.0,,,,,
252,PT05M34.00S,2021-11-02T23:51:25.3Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630165,81.65243101182654,43.627450980392155,1610612765,33,41,2021-11-02T23:51:34Z,2480000,-32.0,120.0,1,right,K. Hayes 12' pullup Jump Shot (2 PTS) (T. Lyles 1 AST),"[1630165, 1626168]",1610612765.0,DET,Hayes,K. Hayes,pullup,,,,,,,,,12.42,Made,2.0,T. Lyles,1626168.0,1.0,,,,,,,,,,,,
253,PT05M22.00S,2021-11-02T23:51:37.3Z,2,REGULAR,3pt,Jump Shot,[],1626192,36.0545335085414,72.54901960784314,1610612749,33,44,2021-11-02T23:51:42Z,2490000,-113.0,286.0,1,left,P. Connaughton 30' 3PT  (11 PTS) (G. Hill 5 AST),"[1626192, 201588]",1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,30.78,Made,11.0,G. Hill,201588.0,5.0,,,,,,,,,,,,
254,PT05M04.00S,2021-11-02T23:51:55.7Z,2,REGULAR,3pt,Jump Shot,[],1630595,72.9796320630749,17.40196078431373,1610612765,33,44,2021-11-02T23:52:13Z,2500000,-163.0,201.0,1,right,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,25.92,Missed,,,,,,,,,,,,,,,,
255,PT05M01.00S,2021-11-02T23:51:58.6Z,2,REGULAR,rebound,defensive,[],1628400,,,1610612749,33,44,2021-11-02T23:51:58Z,2510000,,,0,,S. Ojeleye REBOUND (Off:0 Def:3),[1628400],1610612749.0,MIL,Ojeleye,S. Ojeleye,,,,,,,,,,,,,,,,,,254.0,3.0,3.0,0.0,,,,,,
256,PT04M47.00S,2021-11-02T23:52:12.5Z,2,REGULAR,2pt,Jump Shot,[],1626171,20.285808147174762,83.33333333333334,1610612749,33,46,2021-11-02T23:52:20Z,2520000,-167.0,138.0,1,left,B. Portis 21' Jump Shot (5 PTS) (G. Hill 6 AST),"[1626171, 201588]",1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,21.65,Made,5.0,G. Hill,201588.0,6.0,,,,,,,,,,,,
258,PT04M30.00S,2021-11-02T23:52:29.3Z,2,REGULAR,3pt,Jump Shot,[],1626168,95.84428383705651,2.6960784313725554,1610612765,33,46,2021-11-02T23:52:38Z,2540000,-237.0,-13.0,1,right,MISS T. Lyles 3PT,[1626168],1610612765.0,DET,Lyles,T. Lyles,,,,,,,,,,23.69,Missed,,,,,,,,,,,,,,,,
259,PT04M28.00S,2021-11-02T23:52:31.3Z,2,REGULAR,rebound,defensive,[],1626171,,,1610612749,33,46,2021-11-02T23:52:38Z,2550000,,,0,,B. Portis REBOUND (Off:2 Def:2),[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,258.0,4.0,2.0,2.0,,,,,,
261,PT04M07.00S,2021-11-02T23:52:52.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,8.590670170827863,50.98039215686275,1610612749,33,46,2021-11-02T23:57:04Z,2560000,-5.0,28.0,1,left,MISS G. Allen driving floating Shot,[1628960],1610612749.0,MIL,Allen,G. Allen,driving floating,,,,,,,,,2.87,Missed,,,,,,,,,,,,,,,,
262,PT04M02.00S,2021-11-02T23:52:57.6Z,2,REGULAR,rebound,offensive,[],1626171,,,1610612749,33,46,2021-11-02T23:57:04Z,2570000,,,0,,B. Portis REBOUND (Off:3 Def:2),[1626171],1610612749.0,MIL,Portis,B. Portis,,,,,,,,,,,,,,,,,,261.0,5.0,2.0,3.0,,,,,,
263,PT04M02.00S,2021-11-02T23:52:56.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626171,5.590000152587891,50.0,1610612749,33,46,2021-11-02T23:52:56Z,2580000,0.0,0.0,1,left,MISS B. Portis tip Layup,[1626171],1610612749.0,MIL,Portis,B. Portis,tip,,,,,,,,,0.0,Missed,,,,,,,,,,,,,,,,
264,PT04M01.00S,2021-11-02T23:52:58.6Z,2,REGULAR,rebound,defensive,[],1626168,,,1610612765,33,46,2021-11-02T23:52:58Z,2590000,,,0,,T. Lyles REBOUND (Off:0 Def:1),[1626168],1610612765.0,DET,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,263.0,1.0,1.0,0.0,,,,,,
265,PT03M57.00S,2021-11-02T23:53:03.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,74.29369250985545,86.51960784313725,1610612765,33,46,2021-11-02T23:53:13Z,2600000,183.0,189.0,1,right,MISS C. Cunningham 26' 3PT,[1630595],1610612765.0,DET,Cunningham,C. Cunningham,,,,,,,,,,26.29,Missed,,,,,,,,,,,,,,,,
