actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
180,PT09M51.00S,2022-11-08T03:50:22.8Z,2,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612747,49,38,2022-11-08T03:50:26Z,1770000,,,0,,N. Alexander-Walker shooting personal FOUL (1 PF) (Jones 2 FT),"[1629638, 1627745]",1610612762.0,UTA,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,1628480.0,1.0,0.0,Jones,1627745.0,,,,,,,,,,,,,,,
182,PT09M51.00S,2022-11-08T03:50:43.2Z,2,REGULAR,freethrow,1 of 2,[],1627745,,,1610612747,49,39,2022-11-08T03:50:43Z,1790000,,,0,,D. Jones Free Throw 1 of 2 (1 PTS),[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
183,PT09M51.00S,2022-11-08T03:50:55.2Z,2,REGULAR,freethrow,2 of 2,[],1627745,,,1610612747,49,40,2022-11-08T03:50:55Z,1800000,,,0,,D. Jones Free Throw 2 of 2 (2 PTS),[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
184,PT09M41.00S,2022-11-08T03:51:07.4Z,2,REGULAR,3pt,Jump Shot,[],1629659,24.52365308804205,87.00980392156863,1610612762,49,40,2022-11-08T03:51:13Z,1810000,-185.0,178.0,1,left,MISS T. Horton-Tucker 25' 3PT,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Above the Break 3,24+ Left Center,,,,,,25.67,Missed,,,,,,,,,,,,,
185,PT09M37.00S,2022-11-08T03:51:11.4Z,2,REGULAR,rebound,defensive,[],1629308,,,1610612747,49,40,2022-11-08T03:51:13Z,1820000,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:2),[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,184.0,2.0,2.0,0.0,,,,,
186,PT09M26.00S,2022-11-08T03:51:21.6Z,2,REGULAR,turnover,bad pass,[],1629308,,,1610612747,49,40,2022-11-08T03:51:29Z,1830000,,,0,,J. Toscano-Anderson bad pass TURNOVER (1 TO),"[1629308, 1629659]",1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,,,Horton-Tucker,1629659.0
187,PT09M26.00S,2022-11-08T03:51:21.6Z,2,REGULAR,steal,,[],1629659,,,1610612762,49,40,2022-11-08T03:51:23Z,1840000,,,0,,T. Horton-Tucker STEAL (1 STL),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
188,PT09M23.00S,2022-11-08T03:51:26.1Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover', 'defensivegoaltending']",1629659,5.338370565045992,45.34313725490196,1610612762,51,40,2022-11-08T03:52:21Z,1850000,23.0,-2.0,1,left,T. Horton-Tucker running Layup (7 PTS),[1629659],1610612762.0,UTA,running,,,Horton-Tucker,T. Horton-Tucker,,,,,Restricted Area,0-8 Center,,,,,,2.34,Made,7.0,,,,,,,,,,,,
190,PT09M23.00S,2022-11-08T03:51:30.8Z,2,REGULAR,violation,defensive goaltending,[],1629308,,,1610612762,51,40,2022-11-08T03:51:41Z,1870000,,,0,,J. Toscano-Anderson defensive goaltending VIOLATION,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,1151.0,,,,,,,,,,,,,,,,,,,
191,PT09M10.00S,2022-11-08T03:51:52.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201566,91.40932982917214,44.6078431372549,1610612747,51,42,2022-11-08T03:51:57Z,1880000,-27.0,28.0,1,right,R. Westbrook driving Layup (14 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,3.91,Made,14.0,,,,,,,,,,,,
192,PT08M54.00S,2022-11-08T03:52:09.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629638,11.383048620236531,59.068627450980394,1610612762,51,42,2022-11-08T03:52:58Z,1890000,-45.0,55.0,1,left,MISS N. Alexander-Walker 7' driving floating Shot,[1629638],1610612762.0,UTA,driving floating,,,Alexander-Walker,N. Alexander-Walker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.09,Missed,,,,,,,,,,,,,
193,PT08M47.00S,2022-11-08T03:52:16.0Z,2,REGULAR,rebound,offensive,[],1631117,,,1610612762,51,42,2022-11-08T03:52:58Z,1900000,,,0,,W. Kessler REBOUND (Off:2 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,192.0,3.0,1.0,2.0,,,,,
194,PT08M47.00S,2022-11-08T03:52:14.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631117,5.590000152587891,50.0,1610612762,51,42,2022-11-08T03:52:14Z,1910000,0.0,0.0,1,left,MISS W. Kessler tip Layup,[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,,,,0.0,Missed,,,,,,,,,,,,,
195,PT08M46.00S,2022-11-08T03:52:16.0Z,2,REGULAR,rebound,offensive,[],1631117,,,1610612762,51,42,2022-11-08T03:52:15Z,1920000,,,0,,W. Kessler REBOUND (Off:3 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,194.0,4.0,1.0,3.0,,,,,
196,PT08M46.00S,2022-11-08T03:52:16.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631117,5.590000152587891,50.0,1610612762,53,42,2022-11-08T03:52:15Z,1930000,0.0,0.0,1,left,W. Kessler tip Layup (6 PTS),[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Mid-Range,8-16 Left,,,,,,0.0,Made,6.0,,,,,,,,,,,,
197,PT08M37.00S,2022-11-08T03:52:25.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629308,87.99277266754271,42.64705882352941,1610612747,53,42,2022-11-08T03:52:30Z,1940000,-37.0,60.0,1,right,MISS J. Toscano-Anderson 7' driving Layup - blocked,"[1629308, 1631117]",1610612747.0,LAL,driving,,,Toscano-Anderson,J. Toscano-Anderson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.07,Missed,,,,,,,,,,Kessler,1631117.0,,
198,PT08M37.00S,2022-11-08T03:52:25.3Z,2,REGULAR,block,,[],1631117,,,1610612747,53,42,2022-11-08T03:52:28Z,1950000,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
199,PT08M34.00S,2022-11-08T03:52:28.3Z,2,REGULAR,rebound,offensive,[],1631108,,,1610612747,53,42,2022-11-08T03:52:30Z,1960000,,,0,,M. Christie REBOUND (Off:1 Def:0),[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,197.0,1.0,0.0,1.0,,,,,
200,PT08M32.00S,2022-11-08T03:52:30.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631108,82.34231274638634,5.392156862745098,1610612747,53,42,2022-11-08T03:54:14Z,1970000,-223.0,113.0,1,right,MISS M. Christie 25' 3PT,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,,,,,,25.02,Missed,,,,,,,,,,,,,
201,PT08M30.00S,2022-11-08T03:52:32.6Z,2,REGULAR,rebound,defensive,[],200752,,,1610612762,53,42,2022-11-08T03:53:01Z,1980000,,,0,,R. Gay REBOUND (Off:0 Def:2),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,200.0,2.0,2.0,0.0,,,,,
202,PT08M21.00S,2022-11-08T03:52:41.1Z,2,REGULAR,3pt,Jump Shot,[],1629638,4.418528252299605,2.2058823529411766,1610612762,53,42,2022-11-08T03:52:47Z,1990000,239.0,-11.0,1,left,MISS N. Alexander-Walker 3PT,[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,Right Corner 3,24+ Right,,,,,,23.93,Missed,,,,,,,,,,,,,
203,PT08M18.00S,2022-11-08T03:52:44.1Z,2,REGULAR,rebound,defensive,[],1627745,,,1610612747,53,42,2022-11-08T03:52:47Z,2000000,,,0,,D. Jones REBOUND (Off:0 Def:1),[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,202.0,1.0,1.0,0.0,,,,,
204,PT08M13.00S,2022-11-08T03:52:50.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629308,92.72339027595268,3.1862745098039214,1610612747,53,42,2022-11-08T03:52:56Z,2010000,-234.0,16.0,1,right,MISS J. Toscano-Anderson 3PT,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Left Corner 3,24+ Left,,,,,,23.46,Missed,,,,,,,,,,,,,
205,PT08M10.00S,2022-11-08T03:52:53.2Z,2,REGULAR,rebound,defensive,[],200752,,,1610612762,53,42,2022-11-08T03:52:56Z,2020000,,,0,,R. Gay REBOUND (Off:0 Def:3),[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,204.0,3.0,3.0,0.0,,,,,
206,PT07M57.00S,2022-11-08T03:53:05.1Z,2,REGULAR,turnover,bad pass,[],1629638,,,1610612762,53,42,2022-11-08T03:53:09Z,2030000,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 201566]",1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,,,Westbrook,201566.0
207,PT07M57.00S,2022-11-08T03:53:05.1Z,2,REGULAR,steal,,[],201566,,,1610612747,53,42,2022-11-08T03:53:06Z,2040000,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
208,PT07M53.00S,2022-11-08T03:53:09.8Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201566,93.38042049934296,54.41176470588235,1610612747,53,44,2022-11-08T03:53:22Z,2050000,22.0,10.0,1,right,R. Westbrook running Layup (16 PTS),[201566],1610612747.0,LAL,running,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,2.41,Made,16.0,,,,,,,,,,,,
209,PT07M53.00S,2022-11-08T03:53:13.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612762,53,44,2022-11-08T03:53:13Z,2060000,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,out,[],1629659,,,1610612762,53,44,2022-11-08T03:56:27Z,2070000,,,0,,SUB out: T. Horton-Tucker,[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,out,[],200752,,,1610612762,53,44,2022-11-08T03:56:27Z,2080000,,,0,,SUB out: R. Gay,[200752],1610612762.0,UTA,,,,Gay,R. Gay,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,out,[],1631117,,,1610612762,53,44,2022-11-08T03:56:27Z,2090000,,,0,,SUB out: W. Kessler,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,out,[],201566,,,1610612762,53,44,2022-11-08T03:56:27Z,2100000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,out,[],1628972,,,1610612762,53,44,2022-11-08T03:56:27Z,2110000,,,0,,SUB out: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,out,[],1627745,,,1610612762,53,44,2022-11-08T03:56:27Z,2120000,,,0,,SUB out: D. Jones,[1627745],1610612747.0,LAL,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,out,[],1629308,,,1610612762,53,44,2022-11-08T03:56:27Z,2130000,,,0,,SUB out: J. Toscano-Anderson,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,in,[],1629012,,,1610612762,53,44,2022-11-08T03:56:27Z,2140000,,,0,,SUB in: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,in,[],1628374,,,1610612762,53,44,2022-11-08T03:56:27Z,2150000,,,0,,SUB in: L. Markkanen,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,in,[],203482,,,1610612762,53,44,2022-11-08T03:56:27Z,2160000,,,0,,SUB in: K. Olynyk,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,in,[],203076,,,1610612762,53,44,2022-11-08T03:56:27Z,2170000,,,0,,SUB in: A. Davis,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,in,[],1629134,,,1610612762,53,44,2022-11-08T03:56:27Z,2180000,,,0,,SUB in: K. Nunn,[1629134],1610612747.0,LAL,,,,Nunn,K. Nunn,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,in,[],1629117,,,1610612762,53,44,2022-11-08T03:56:27Z,2190000,,,0,,SUB in: W. Gabriel,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M53.00S,2022-11-08T03:55:49.3Z,2,REGULAR,substitution,in,[],1630559,,,1610612762,53,44,2022-11-08T03:56:27Z,2200000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M37.00S,2022-11-08T03:56:37.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629638,6.915243101182654,55.88235294117647,1610612762,53,44,2022-11-08T03:57:50Z,2210000,-29.0,13.0,1,left,MISS N. Alexander-Walker driving Layup,[1629638],1610612762.0,UTA,driving,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,,,,,,3.19,Missed,,,,,,,,,,,,,
225,PT07M34.00S,2022-11-08T03:56:40.6Z,2,REGULAR,rebound,defensive,[],1630559,,,1610612747,53,44,2022-11-08T03:56:45Z,2220000,,,0,,A. Reaves REBOUND (Off:0 Def:3),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,224.0,3.0,3.0,0.0,,,,,
226,PT07M30.00S,2022-11-08T03:56:43.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631108,89.04402102496715,2.450980392156863,1610612747,53,47,2022-11-08T03:58:31Z,2230000,-238.0,50.0,1,right,M. Christie 24' 3PT running (6 PTS) (A. Reaves 1 AST),"[1631108, 1630559]",1610612747.0,LAL,running,,,Christie,M. Christie,,,,,Left Corner 3,24+ Left,,,,,,24.3,Made,6.0,A. Reaves,1630559.0,1.0,,,,,,,,,
228,PT07M12.00S,2022-11-08T03:57:01.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203482,6.915243101182654,43.13725490196079,1610612762,55,47,2022-11-08T03:59:01Z,2250000,34.0,13.0,1,left,K. Olynyk cutting Layup (6 PTS) (J. Clarkson 3 AST),"[203482, 203903]",1610612762.0,UTA,cutting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,3.65,Made,6.0,J. Clarkson,203903.0,3.0,,,,,,,,,
230,PT06M51.00S,2022-11-08T03:57:22.4Z,2,REGULAR,2pt,Hook,[],203076,92.06636005256242,31.372549019607842,1610612747,55,49,2022-11-08T03:57:29Z,2270000,-93.0,22.0,1,right,A. Davis 9' turnaround Hook (12 PTS),[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,,,,9.57,Made,12.0,,,,,,,,,,,,
231,PT06M38.00S,2022-11-08T03:57:35.1Z,2,REGULAR,turnover,bad pass,[],203482,,,1610612762,55,49,2022-11-08T03:57:38Z,2280000,,,0,,K. Olynyk bad pass TURNOVER (2 TO),"[203482, 203076]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,2.0,,,Davis,203076.0
232,PT06M38.00S,2022-11-08T03:57:35.1Z,2,REGULAR,steal,,[],203076,,,1610612747,55,49,2022-11-08T03:57:36Z,2290000,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
233,PT06M34.00S,2022-11-08T03:57:41.9Z,2,REGULAR,foul,personal,['2freethrow'],1629638,,,1610612747,55,49,2022-11-08T03:57:50Z,2300000,,,0,,N. Alexander-Walker shooting personal FOUL (2 PF) (Reaves 2 FT),"[1629638, 1630559]",1610612762.0,UTA,shooting,,,Alexander-Walker,N. Alexander-Walker,,,,,Restricted Area,0-8 Center,202049.0,2.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
235,PT06M34.00S,2022-11-08T03:58:08.9Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1630559,,,1610612747,55,50,2022-11-08T03:58:08Z,2320000,,,0,,A. Reaves Free Throw 1 of 2 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
236,PT06M34.00S,2022-11-08T03:58:09.5Z,2,REGULAR,substitution,out,[],203903,,,1610612747,55,50,2022-11-08T03:58:12Z,2330000,,,0,,SUB out: J. Clarkson,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M34.00S,2022-11-08T03:58:09.5Z,2,REGULAR,substitution,out,[],1629638,,,1610612747,55,50,2022-11-08T03:58:12Z,2340000,,,0,,SUB out: N. Alexander-Walker,[1629638],1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M34.00S,2022-11-08T03:58:09.5Z,2,REGULAR,substitution,in,[],1627736,,,1610612747,55,50,2022-11-08T03:58:12Z,2350000,,,0,,SUB in: M. Beasley,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT06M34.00S,2022-11-08T03:58:09.5Z,2,REGULAR,substitution,in,[],201144,,,1610612747,55,50,2022-11-08T03:58:12Z,2360000,,,0,,SUB in: M. Conley,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M34.00S,2022-11-08T03:58:26.1Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1630559,,,1610612747,55,51,2022-11-08T03:58:26Z,2370000,,,0,,A. Reaves Free Throw 2 of 2 (4 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
241,PT06M24.00S,2022-11-08T03:58:38.7Z,2,REGULAR,3pt,Jump Shot,[],1627736,22.421156373193167,88.97058823529412,1610612762,55,51,2022-11-08T03:58:44Z,2380000,-195.0,158.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,,,,,,25.11,Missed,,,,,,,,,,,,,
242,PT06M22.00S,2022-11-08T03:58:40.7Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612762,55,51,2022-11-08T03:58:44Z,2390000,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,241.0,,,,,,,,
244,PT06M10.00S,2022-11-08T03:59:11.7Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1628374,9.674770039421814,22.30392156862745,1610612762,57,51,2022-11-08T04:00:15Z,2410000,138.0,38.0,1,left,L. Markkanen 14' turnaround fadeaway bank Jump Shot (2 PTS),[1628374],1610612762.0,UTA,turnaround fadeaway bank,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Right,,,,,,14.37,Made,2.0,,,,,,,,,,,,
245,PT05M50.00S,2022-11-08T03:59:32.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203076,91.01511169513797,43.13725490196079,1610612747,57,53,2022-11-08T03:59:37Z,2420000,-34.0,32.0,1,right,A. Davis driving Layup (14 PTS),[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.69,Made,14.0,,,,,,,,,,,,
246,PT05M50.00S,2022-11-08T03:59:35.0Z,2,REGULAR,foul,personal,['1freethrow'],1628374,,,1610612747,57,53,2022-11-08T03:59:40Z,2430000,,,0,,L. Markkanen shooting personal FOUL (1 PF) (Davis 1 FT),"[1628374, 203076]",1610612762.0,UTA,shooting,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,1151.0,1.0,0.0,Davis,203076.0,,,,,,,,,,,,,,,
248,PT05M50.00S,2022-11-08T03:59:59.5Z,2,REGULAR,freethrow,1 of 1,[],203076,,,1610612747,57,54,2022-11-08T03:59:59Z,2450000,,,0,,A. Davis Free Throw 1 of 1 (15 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,Made,15.0,,,,,,,,,,,,
249,PT05M39.00S,2022-11-08T04:00:13.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,14.273981603153747,49.01960784313725,1610612762,59,54,2022-11-08T04:00:18Z,2460000,5.0,82.0,1,left,M. Conley 8' driving floating Jump Shot (5 PTS),[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.18,Made,5.0,,,,,,,,,,,,
250,PT05M19.00S,2022-11-08T04:00:35.5Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203482,,,1610612747,59,54,2022-11-08T04:00:39Z,2470000,,,0,,K. Olynyk shooting personal FOUL (2 PF) (Reaves 2 FT),"[203482, 1630559]",1610612762.0,UTA,shooting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,1628480.0,2.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
252,PT05M19.00S,2022-11-08T04:01:03.0Z,2,REGULAR,freethrow,1 of 2,[],1630559,,,1610612747,59,55,2022-11-08T04:01:03Z,2490000,,,0,,A. Reaves Free Throw 1 of 2 (5 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,Made,5.0,,,,,,,,,,,,
253,PT05M19.00S,2022-11-08T04:01:03.9Z,2,REGULAR,substitution,out,[],1631108,,,1610612747,59,55,2022-11-08T04:01:11Z,2500000,,,0,,SUB out: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT05M19.00S,2022-11-08T04:01:03.9Z,2,REGULAR,substitution,in,[],1628972,,,1610612747,59,55,2022-11-08T04:01:11Z,2510000,,,0,,SUB in: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M19.00S,2022-11-08T04:01:24.5Z,2,REGULAR,freethrow,2 of 2,[],1630559,,,1610612747,59,56,2022-11-08T04:01:24Z,2520000,,,0,,A. Reaves Free Throw 2 of 2 (6 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,Made,6.0,,,,,,,,,,,,
256,PT05M08.00S,2022-11-08T04:01:36.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,19.66162943495401,65.44117647058823,1610612762,59,56,2022-11-08T04:02:03Z,2530000,-77.0,132.0,1,left,MISS L. Markkanen 15' fadeaway Shot,[1628374],1610612762.0,UTA,fadeaway,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Left,,,,,,15.32,Missed,,,,,,,,,,,,,
257,PT05M06.00S,2022-11-08T04:01:38.3Z,2,REGULAR,rebound,defensive,[],1628972,,,1610612747,59,56,2022-11-08T04:01:41Z,2540000,,,0,,T. Brown Jr. REBOUND (Off:0 Def:1),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,256.0,1.0,1.0,0.0,,,,,
258,PT04M51.00S,2022-11-08T04:01:53.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203076,91.01511169513797,50.49019607843137,1610612747,59,56,2022-11-08T04:02:34Z,2550000,2.0,32.0,1,right,MISS A. Davis Layup,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,3.21,Missed,,,,,,,,,,,,,
259,PT04M51.00S,2022-11-08T04:01:53.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612762,59,56,2022-11-08T04:02:00Z,2560000,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,258.0,,,,,,,,
