actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
182,PT11M22.00S,2021-12-09T01:40:39.4Z,2,REGULAR,freethrow,2 of 2,[],1629651,,,1610612751,32,25,2021-12-09T01:40:39Z,1820000,,,0,,N. Claxton Free Throw 2 of 2 (2 PTS),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
183,PT11M02.00S,2021-12-09T01:41:01.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630231,92.72339027595268,49.26470588235294,1610612745,34,25,2021-12-09T01:41:10Z,1830000,-4.0,16.0,1,right,K. Martin Jr. cutting DUNK (4 PTS) (J. Christopher 1 AST),"[1630231, 1630528]",1610612745.0,HOU,cutting,,,Martin Jr.,K. Martin Jr.,,,,,1.63,Made,4.0,,,,,,,,,,,,,,,J. Christopher,1630528.0,1.0,
185,PT10M53.00S,2021-12-09T01:41:09.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,10.068988173455978,37.5,1610612751,34,25,2021-12-09T01:43:21Z,1850000,62.0,42.0,1,left,MISS C. Thomas 7' driving floating Shot - blocked,"[1630560, 1630231]",1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,7.54,Missed,,,,,,,,,Martin Jr.,1630231.0,,,,,,,,,
186,PT10M53.00S,2021-12-09T01:41:09.9Z,2,REGULAR,block,,[],1630231,,,1610612751,34,25,2021-12-09T01:41:12Z,1860000,,,0,,K. Martin Jr. BLOCK (1 BLK),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT10M50.00S,2021-12-09T01:41:12.9Z,2,REGULAR,rebound,offensive,[],201988,,,1610612751,34,25,2021-12-09T01:41:16Z,1870000,,,0,,P. Mills REBOUND (Off:1 Def:0),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,185.0,1.0,0.0,1.0,,,,,,,,,,,,,,
188,PT10M48.00S,2021-12-09T01:41:15.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201988,22.158344283837057,10.784313725490197,1610612751,34,25,2021-12-09T01:41:18Z,1880000,196.0,156.0,1,left,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.05,Missed,,,,,,,,,,,,,,,,,,,
189,PT10M46.00S,2021-12-09T01:41:17.5Z,2,REGULAR,rebound,defensive,[],201571,,,1610612745,34,25,2021-12-09T01:41:17Z,1890000,,,0,,D. Augustin REBOUND (Off:0 Def:1),[201571],1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,,,188.0,1.0,1.0,0.0,,,,,,,,,,,,,,
190,PT10M40.00S,2021-12-09T01:41:22.8Z,2,REGULAR,3pt,Jump Shot,[],1629726,78.26872536136662,9.558823529411764,1610612745,34,25,2021-12-09T01:41:27Z,1900000,-202.0,152.0,1,right,MISS G. Mathews 25' 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,25.28,Missed,,,,,,,,,,,,,,,,,,,
191,PT10M39.00S,2021-12-09T01:41:23.8Z,2,REGULAR,rebound,defensive,[],201935,,,1610612751,34,25,2021-12-09T01:41:27Z,1910000,,,0,,J. Harden REBOUND (Off:0 Def:5),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,190.0,5.0,5.0,0.0,,,,,,,,,,,,,,
192,PT10M32.00S,2021-12-09T01:41:31.2Z,2,REGULAR,turnover,lost ball,[],201935,,,1610612751,34,25,2021-12-09T01:41:38Z,1920000,,,0,,J. Harden lost ball TURNOVER (3 TO),"[201935, 201571]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,3.0,Augustin,201571.0,,,,,,,,,,,
193,PT10M32.00S,2021-12-09T01:41:31.2Z,2,REGULAR,steal,,[],201571,,,1610612745,34,25,2021-12-09T01:41:34Z,1930000,,,0,,D. Augustin STEAL (1 STL),[201571],1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT10M28.00S,2021-12-09T01:41:35.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629726,92.46057818659659,52.450980392156865,1610612745,36,25,2021-12-09T01:41:59Z,1940000,12.0,18.0,1,right,G. Mathews running Layup (2 PTS) (D. Augustin 1 AST),"[1629726, 201571]",1610612745.0,HOU,running,,,Mathews,G. Mathews,,,,,2.21,Made,2.0,,,,,,,,,,,,,,,D. Augustin,201571.0,1.0,
196,PT10M26.00S,2021-12-09T01:41:42.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,36,25,2021-12-09T01:41:42Z,1960000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT10M15.00S,2021-12-09T01:45:01.9Z,2,REGULAR,turnover,out-of-bounds,[],201935,,,1610612751,36,25,2021-12-09T01:45:07Z,1970000,,,0,,J. Harden bad pass out-of-bounds TURNOVER (4 TO),[201935],1610612751.0,BKN,bad pass,,,Harden,J. Harden,,,,,,,,,,,,4.0,,,,,1628171.0,,,,,,,,
199,PT09M59.00S,2021-12-09T01:45:31.8Z,2,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612745,36,25,2021-12-09T01:45:37Z,1990000,,,0,,N. Claxton shooting personal FOUL (1 PF) (Sengun 2 FT),"[1629651, 1630578]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Sengun,1630578.0,,,,
201,PT09M59.00S,2021-12-09T01:45:50.5Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1630578,,,1610612745,37,25,2021-12-09T01:45:50Z,2010000,,,0,,A. Sengun Free Throw 1 of 2 (3 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
202,PT09M59.00S,2021-12-09T01:46:08.0Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],1630578,,,1610612745,38,25,2021-12-09T01:46:08Z,2020000,,,0,,A. Sengun Free Throw 2 of 2 (4 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
203,PT09M48.00S,2021-12-09T01:46:20.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201935,9.149145860709593,43.627450980392155,1610612751,38,25,2021-12-09T01:46:34Z,2030000,32.0,34.0,1,left,MISS J. Harden driving Layup - blocked,"[201935, 1630528]",1610612751.0,BKN,driving,,,Harden,J. Harden,,,,,4.63,Missed,,,,,,,,,Christopher,1630528.0,,,,,,,,,
204,PT09M48.00S,2021-12-09T01:46:20.3Z,2,REGULAR,block,,[],1630528,,,1610612751,38,25,2021-12-09T01:46:22Z,2040000,,,0,,J. Christopher BLOCK (1 BLK),[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT09M48.00S,2021-12-09T01:46:20.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,38,25,2021-12-09T01:46:34Z,2050000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,203.0,,,,,,,,,,,,,,,,,
206,PT09M48.00S,2021-12-09T01:46:25.0Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,38,25,2021-12-09T01:46:25Z,2060000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT09M41.00S,2021-12-09T01:46:48.0Z,2,REGULAR,foul,personal,[],1630528,,,1610612751,38,25,2021-12-09T01:46:54Z,2070000,,,0,,J. Christopher personal FOUL (1 PF),"[1630528, 201935]",1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Harden,201935.0,,,,
209,PT09M34.00S,2021-12-09T01:47:09.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",201935,8.623521681997373,55.88235294117647,1610612751,38,27,2021-12-09T01:47:14Z,2090000,-29.0,29.0,1,left,J. Harden turnaround bank Jump Shot (6 PTS),[201935],1610612751.0,BKN,turnaround bank,,,Harden,J. Harden,,,,,4.1,Made,6.0,,,,,,,,,,,,,,,,,,
210,PT09M09.00S,2021-12-09T01:47:33.9Z,2,REGULAR,3pt,Jump Shot,[],1630528,92.19776609724047,94.36274509803921,1610612745,41,27,2021-12-09T01:47:43Z,2100000,222.0,21.0,1,right,J. Christopher 3PT  (3 PTS) (K. Martin Jr. 1 AST),"[1630528, 1630231]",1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,22.28,Made,3.0,,,,,,,,,,,,,,,K. Martin Jr.,1630231.0,1.0,
212,PT08M53.00S,2021-12-09T01:47:49.9Z,2,REGULAR,3pt,Jump Shot,[],201935,32.670827858081466,23.774509803921568,1610612751,41,27,2021-12-09T01:50:03Z,2120000,131.0,255.0,1,left,MISS J. Harden 28' pullup 3PT,[201935],1610612751.0,BKN,pullup,,,Harden,J. Harden,,,,,28.64,Missed,,,,,,,,,,,,,,,,,,,
213,PT08M52.00S,2021-12-09T01:47:50.9Z,2,REGULAR,rebound,defensive,[],1630578,,,1610612745,41,27,2021-12-09T01:47:55Z,2130000,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,212.0,1.0,1.0,0.0,,,,,,,,,,,,,,
214,PT08M36.00S,2021-12-09T01:48:07.0Z,2,REGULAR,3pt,Jump Shot,[],1630528,71.30420499342969,79.65686274509804,1610612745,44,27,2021-12-09T01:48:11Z,2140000,148.0,217.0,1,right,J. Christopher 26' 3PT  (6 PTS) (D. Augustin 2 AST),"[1630528, 201571]",1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,26.3,Made,6.0,,,,,,,,,,,,,,,D. Augustin,201571.0,2.0,
216,PT08M23.00S,2021-12-09T01:48:20.1Z,2,REGULAR,3pt,Jump Shot,[],201988,23.603810775295663,12.5,1610612751,44,27,2021-12-09T01:48:25Z,2160000,188.0,169.0,1,left,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,25.27,Missed,,,,,,,,,,,,,,,,,,,
217,PT08M22.00S,2021-12-09T01:48:21.1Z,2,REGULAR,rebound,offensive,[],1629651,,,1610612751,44,27,2021-12-09T01:48:25Z,2170000,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,216.0,3.0,2.0,1.0,,,,,,,,,,,,,,
218,PT08M22.00S,2021-12-09T01:48:23.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,6.652431011826544,52.450980392156865,1610612751,44,29,2021-12-09T01:50:13Z,2180000,-12.0,10.0,1,left,N. Claxton tip Layup (4 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,1.59,Made,4.0,,,,,,,,,,,,,,,,,,
220,PT08M05.00S,2021-12-09T01:48:40.6Z,2,REGULAR,foul,personal,['3freethrow'],1629651,,,1610612745,44,29,2021-12-09T01:51:34Z,2200000,,,0,,N. Claxton flagrant-type-1 personal FOUL (2 PF) (Mathews 3 FT),"[1629651, 1629726]",1610612751.0,BKN,flagrant-type-1,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,201639.0,2.0,0.0,Mathews,1629726.0,,,,
222,PT08M05.00S,2021-12-09T01:49:08.1Z,2,REGULAR,instantreplay,request,[],0,,,1610612745,44,29,2021-12-09T01:50:53Z,2220000,,,0,,,[],,,overturned,,,,,,,,,,,,,,,,,,,,,201639.0,,,,,,,,Common Foul to Flagrant 1
223,PT08M05.00S,2021-12-09T01:51:36.0Z,2,REGULAR,freethrow,1 of 3,[],1629726,,,1610612745,44,29,2021-12-09T01:53:00Z,2230000,,,0,,MISS G. Mathews flagrant Free Throw 1 of 3,[1629726],1610612745.0,HOU,flagrant,,,Mathews,G. Mathews,,,,,,Missed,,,,,,,,,,,,,,,,,,,
224,PT08M05.00S,2021-12-09T01:51:36.0Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612745,44,29,2021-12-09T01:53:00Z,2240000,,,0,,TEAM offensive REBOUND,[],1610612745.0,HOU,,,,,,,,,,,,,223.0,,,,,,,,,,,,,,,,,
225,PT08M05.00S,2021-12-09T01:51:36.0Z,2,REGULAR,freethrow,2 of 3,[],1629726,,,1610612745,45,29,2021-12-09T01:53:00Z,2250000,,,0,,G. Mathews flagrant Free Throw 2 of 3 (3 PTS),[1629726],1610612745.0,HOU,flagrant,,,Mathews,G. Mathews,,,,,,Made,3.0,,,,,,,,,,,,,,,,,,
226,PT08M05.00S,2021-12-09T01:51:36.0Z,2,REGULAR,freethrow,3 of 3,[],1629726,,,1610612745,46,29,2021-12-09T01:53:00Z,2260000,,,0,,G. Mathews flagrant Free Throw 3 of 3 (4 PTS),[1629726],1610612745.0,HOU,flagrant,,,Mathews,G. Mathews,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
227,PT07M55.00S,2021-12-09T01:52:30.0Z,2,REGULAR,3pt,Jump Shot,[],1630528,93.64323258869908,4.901960784313726,1610612745,49,29,2021-12-09T01:52:38Z,2270000,-225.0,7.0,1,right,J. Christopher 3PT  (9 PTS) (D. Augustin 3 AST),"[1630528, 201571]",1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,22.56,Made,9.0,,,,,,,,,,,,,,,D. Augustin,201571.0,3.0,
230,PT07M42.00S,2021-12-09T01:52:47.1Z,2,REGULAR,foul,personal,['2freethrow'],1630528,,,1610612751,49,29,2021-12-09T01:53:23Z,2300000,,,0,,J. Christopher shooting personal FOUL (2 PF) (Harden 2 FT),"[1630528, 201935]",1610612745.0,HOU,shooting,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,201639.0,2.0,0.0,Harden,201935.0,,,,
232,PT07M42.00S,2021-12-09T01:53:10.5Z,2,REGULAR,freethrow,1 of 2,[],201935,,,1610612751,49,30,2021-12-09T01:53:10Z,2320000,,,0,,J. Harden Free Throw 1 of 2 (7 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,7.0,,,,,,,,,,,,,,,,,,
233,PT07M42.00S,2021-12-09T01:53:11.3Z,2,REGULAR,substitution,out,[],1630560,,,1610612751,49,30,2021-12-09T01:53:16Z,2330000,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M42.00S,2021-12-09T01:53:11.3Z,2,REGULAR,substitution,out,[],1629651,,,1610612751,49,30,2021-12-09T01:53:16Z,2340000,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M42.00S,2021-12-09T01:53:11.3Z,2,REGULAR,substitution,in,[],1628971,,,1610612751,49,30,2021-12-09T01:53:16Z,2350000,,,0,,SUB in: B. Brown,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M42.00S,2021-12-09T01:53:11.3Z,2,REGULAR,substitution,in,[],201933,,,1610612751,49,30,2021-12-09T01:53:16Z,2360000,,,0,,SUB in: B. Griffin,[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M42.00S,2021-12-09T01:53:32.4Z,2,REGULAR,freethrow,2 of 2,[],201935,,,1610612751,49,31,2021-12-09T01:53:32Z,2370000,,,0,,J. Harden Free Throw 2 of 2 (8 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
238,PT07M34.00S,2021-12-09T01:53:43.6Z,2,REGULAR,foul,personal,[],201933,,,1610612745,49,31,2021-12-09T01:53:51Z,2380000,,,0,,B. Griffin personal FOUL (1 PF),"[201933, 1630578]",1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,201639.0,1.0,0.0,Sengun,1630578.0,,,,
240,PT07M20.00S,2021-12-09T01:54:13.6Z,2,REGULAR,3pt,Jump Shot,[],1630231,89.30683311432325,4.166666666666666,1610612745,49,31,2021-12-09T01:54:19Z,2400000,-229.0,48.0,1,right,MISS K. Martin Jr. 3PT,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,23.42,Missed,,,,,,,,,,,,,,,,,,,
241,PT07M17.00S,2021-12-09T01:54:16.6Z,2,REGULAR,rebound,offensive,[],1630578,,,1610612745,49,31,2021-12-09T01:54:19Z,2410000,,,0,,A. Sengun REBOUND (Off:1 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,240.0,2.0,1.0,1.0,,,,,,,,,,,,,,
242,PT07M14.00S,2021-12-09T01:54:19.0Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1629726,92.46057818659659,3.9215686274509802,1610612745,49,31,2021-12-09T01:54:24Z,2420000,-230.0,18.0,1,right,MISS G. Mathews 3PT,[1629726],1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,23.11,Missed,,,,,,,,,,,,,,,,,,,
243,PT07M13.00S,2021-12-09T01:54:20.0Z,2,REGULAR,rebound,defensive,[],201933,,,1610612751,49,31,2021-12-09T01:54:24Z,2430000,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,242.0,1.0,1.0,0.0,,,,,,,,,,,,,,
244,PT07M06.00S,2021-12-09T01:54:27.6Z,2,REGULAR,3pt,Jump Shot,[],201988,20.05584756898817,6.862745098039216,1610612751,49,34,2021-12-09T01:55:05Z,2440000,216.0,136.0,1,left,P. Mills 25' 3PT step back (9 PTS) (J. Harden 3 AST),"[201988, 201935]",1610612751.0,BKN,step back,,,Mills,P. Mills,,,,,25.5,Made,9.0,,,,,,,,,,,,,,,J. Harden,201935.0,3.0,
246,PT07M04.00S,2021-12-09T01:54:39.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,49,34,2021-12-09T01:54:39Z,2460000,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M04.00S,2021-12-09T01:56:34.8Z,2,REGULAR,substitution,out,[],201571,,,1610612745,49,34,2021-12-09T01:57:12Z,2470000,,,0,,SUB out: D. Augustin,[201571],1610612745.0,HOU,,,,Augustin,D. Augustin,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M04.00S,2021-12-09T01:56:34.8Z,2,REGULAR,substitution,out,[],1630578,,,1610612745,49,34,2021-12-09T01:57:12Z,2480000,,,0,,SUB out: A. Sengun,[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M04.00S,2021-12-09T01:56:34.8Z,2,REGULAR,substitution,in,[],1626174,,,1610612745,49,34,2021-12-09T01:57:12Z,2490000,,,0,,SUB in: C. Wood,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M04.00S,2021-12-09T01:56:34.8Z,2,REGULAR,substitution,in,[],201569,,,1610612745,49,34,2021-12-09T01:57:12Z,2500000,,,0,,SUB in: E. Gordon,[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT06M47.00S,2021-12-09T01:58:02.1Z,2,REGULAR,3pt,Jump Shot,[],1626174,70.51576872536137,75.0,1610612745,49,34,2021-12-09T01:58:07Z,2510000,125.0,225.0,1,right,MISS C. Wood 25' 3PT,[1626174],1610612745.0,HOU,,,,Wood,C. Wood,,,,,25.71,Missed,,,,,,,,,,,,,,,,,,,
252,PT06M46.00S,2021-12-09T01:58:03.1Z,2,REGULAR,rebound,defensive,[],201933,,,1610612751,49,34,2021-12-09T01:58:07Z,2520000,,,0,,B. Griffin REBOUND (Off:0 Def:2),[201933],1610612751.0,BKN,,,,Griffin,B. Griffin,,,,,,,,251.0,2.0,2.0,0.0,,,,,,,,,,,,,,
253,PT06M39.00S,2021-12-09T01:58:09.8Z,2,REGULAR,3pt,Jump Shot,[],201935,31.488173455978973,35.049019607843135,1610612751,49,34,2021-12-09T01:58:16Z,2530000,75.0,243.0,1,left,MISS J. Harden 25' step back 3PT,[201935],1610612751.0,BKN,step back,,,Harden,J. Harden,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,,
254,PT06M37.00S,2021-12-09T01:58:11.8Z,2,REGULAR,rebound,defensive,[],1630231,,,1610612745,49,34,2021-12-09T01:58:16Z,2540000,,,0,,K. Martin Jr. REBOUND (Off:0 Def:1),[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,253.0,1.0,1.0,0.0,,,,,,,,,,,,,,
255,PT06M25.00S,2021-12-09T01:58:24.7Z,2,REGULAR,turnover,out-of-bounds,[],1630528,,,1610612745,49,34,2021-12-09T01:58:30Z,2550000,,,0,,J. Christopher step out-of-bounds TURNOVER (1 TO),[1630528],1610612745.0,HOU,step,,,Christopher,J. Christopher,,,,,,,,,,,,1.0,,,,,1628171.0,,,,,,,,
256,PT06M13.00S,2021-12-09T01:58:48.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630561,21.76412614980289,91.17647058823529,1610612751,49,37,2021-12-09T01:58:53Z,2560000,-206.0,152.0,1,left,D. Duke Jr. 25' 3PT  (3 PTS) (B. Brown 1 AST),"[1630561, 1628971]",1610612751.0,BKN,,,,Duke Jr.,D. Duke Jr.,,,,,25.6,Made,3.0,,,,,,,,,,,,,,,B. Brown,1628971.0,1.0,
258,PT06M01.00S,2021-12-09T01:59:02.2Z,2,REGULAR,turnover,punched ball,[],201569,,,1610612745,49,37,2021-12-09T01:59:07Z,2580000,,,0,,E. Gordon punched ball TURNOVER (1 TO),[201569],1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,1.0,,,,,204059.0,,,,,,,,
259,PT06M01.00S,2021-12-09T01:59:06.1Z,2,REGULAR,substitution,out,[],1630231,,,1610612751,49,37,2021-12-09T01:59:12Z,2590000,,,0,,SUB out: K. Martin Jr.,[1630231],1610612745.0,HOU,,,,Martin Jr.,K. Martin Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT06M01.00S,2021-12-09T01:59:06.1Z,2,REGULAR,substitution,out,[],1630528,,,1610612751,49,37,2021-12-09T01:59:12Z,2600000,,,0,,SUB out: J. Christopher,[1630528],1610612745.0,HOU,,,,Christopher,J. Christopher,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT06M01.00S,2021-12-09T01:59:06.1Z,2,REGULAR,substitution,in,[],1629717,,,1610612751,49,37,2021-12-09T01:59:12Z,2610000,,,0,,SUB in: A. Brooks,[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M01.00S,2021-12-09T01:59:06.1Z,2,REGULAR,substitution,in,[],1630256,,,1610612751,49,37,2021-12-09T01:59:12Z,2620000,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT05M51.00S,2021-12-09T01:59:24.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630256,,,1610612751,49,37,2021-12-09T01:59:33Z,2630000,,,0,,J. Tate shooting personal FOUL (2 PF) (Harden 2 FT),"[1630256, 201935]",1610612745.0,HOU,shooting,,,Tate,J. Tate,,,,,,,,,,,,,,,,,1628171.0,2.0,0.0,Harden,201935.0,,,,
265,PT05M51.00S,2021-12-09T01:59:52.3Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],201935,,,1610612751,49,38,2021-12-09T01:59:52Z,2650000,,,0,,J. Harden Free Throw 1 of 2 (9 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
266,PT05M51.00S,2021-12-09T02:00:11.2Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],201935,,,1610612751,49,39,2021-12-09T02:00:11Z,2660000,,,0,,J. Harden Free Throw 2 of 2 (10 PTS),[201935],1610612751.0,BKN,,,,Harden,J. Harden,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
267,PT05M40.00S,2021-12-09T02:00:24.3Z,2,REGULAR,turnover,lost ball,[],201569,,,1610612745,49,39,2021-12-09T02:00:29Z,2670000,,,0,,E. Gordon lost ball TURNOVER (2 TO),"[201569, 1628971]",1610612745.0,HOU,,,,Gordon,E. Gordon,,,,,,,,,,,,2.0,Brown,1628971.0,,,,,,,,,,,
268,PT05M40.00S,2021-12-09T02:00:24.3Z,2,REGULAR,steal,,[],1628971,,,1610612751,49,39,2021-12-09T02:00:27Z,2680000,,,0,,B. Brown STEAL (1 STL),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT05M37.00S,2021-12-09T02:00:27.8Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628971,6.389618922470433,52.450980392156865,1610612751,49,41,2021-12-09T02:00:34Z,2690000,-12.0,8.0,1,left,B. Brown running DUNK (4 PTS),[1628971],1610612751.0,BKN,running,,,Brown,B. Brown,,,,,1.45,Made,4.0,,,,,,,,,,,,,,,,,,
270,PT05M33.00S,2021-12-09T02:00:37.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612745,49,41,2021-12-09T02:00:37Z,2700000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT05M13.00S,2021-12-09T02:01:03.2Z,2,REGULAR,3pt,Jump Shot,[],1629726,77.34888304862024,92.8921568627451,1610612745,52,41,2021-12-09T02:01:08Z,2710000,214.0,160.0,1,right,G. Mathews 26' 3PT  (7 PTS) (A. Brooks 2 AST),"[1629726, 1629717]",1610612745.0,HOU,,,,Mathews,G. Mathews,,,,,26.78,Made,7.0,,,,,,,,,,,,,,,A. Brooks,1629717.0,2.0,
273,PT05M01.00S,2021-12-09T02:01:13.8Z,2,REGULAR,turnover,bad pass,[],201935,,,1610612751,52,41,2021-12-09T02:01:17Z,2730000,,,0,,J. Harden bad pass TURNOVER (5 TO),"[201935, 1629717]",1610612751.0,BKN,,,,Harden,J. Harden,,,,,,,,,,,,5.0,Brooks,1629717.0,,,,,,,,,,,
274,PT05M01.00S,2021-12-09T02:01:13.8Z,2,REGULAR,steal,,[],1629717,,,1610612745,52,41,2021-12-09T02:01:15Z,2740000,,,0,,A. Brooks STEAL (1 STL),[1629717],1610612745.0,HOU,,,,Brooks,A. Brooks,,,,,,,,,,,,,,,,,,,,,,,,,
