actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
177,PT10M02.00S,2022-11-05T21:40:03.4Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1630284,,,1610612753,38,27,2022-11-05T21:40:03Z,1730000,,,0,,K. Harris Free Throw 1 of 2 (1 PTS),[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
178,PT10M02.00S,2022-11-05T21:40:20.0Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1630284,,,1610612753,39,27,2022-11-05T21:40:20Z,1740000,,,0,,K. Harris Free Throw 2 of 2 (2 PTS),[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
180,PT09M53.00S,2022-11-05T21:40:35.7Z,2,REGULAR,foul,offensive,[],1631099,,,1610612758,39,27,2022-11-05T21:40:53Z,1760000,,,0,,K. Murray off-the-ball offensive FOUL (1 PF),"[1631099, 1630284]",1610612758.0,SAC,off-the-ball,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1201.0,1.0,0.0,Harris,1630284.0,,
182,PT09M53.00S,2022-11-05T21:40:35.7Z,2,REGULAR,turnover,offensive foul,[],1631099,,,1610612758,39,27,2022-11-05T21:40:35Z,1780000,,,0,,K. Murray offensive foul TURNOVER (1 TO),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,,,,,,1201.0,,,,,,
183,PT09M44.00S,2022-11-05T21:41:04.4Z,2,REGULAR,foul,offensive,[],203082,,,1610612753,39,27,2022-11-05T21:41:41Z,1790000,,,0,,T. Ross off-the-ball offensive FOUL (1 PF),"[203082, 1631099]",1610612753.0,ORL,off-the-ball,,,Ross,T. Ross,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,2714.0,1.0,0.0,Murray,1631099.0,,
185,PT09M44.00S,2022-11-05T21:41:04.4Z,2,REGULAR,turnover,offensive foul,[],203082,,,1610612753,39,27,2022-11-05T21:41:22Z,1810000,,,0,,T. Ross offensive foul TURNOVER (1 TO),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Mid-Range,16-24 Center,,,,,,,,1.0,,,,,,2714.0,,,,,,
186,PT09M29.00S,2022-11-05T21:41:26.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628370,67.36202365308804,64.70588235294117,1610612758,39,30,2022-11-05T21:41:34Z,1820000,74.0,254.0,1,right,M. Monk 26' 3PT  (5 PTS) (D. Fox 1 AST),"[1628370, 1628368]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Above the Break 3,24+ Center,26.47,Made,,,,,5.0,,,,D. Fox,1628368.0,1.0,,,,,,,
188,PT09M17.00S,2022-11-05T21:41:39.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630284,7.5722733245729295,56.372549019607845,1610612753,41,30,2022-11-05T21:42:58Z,1840000,-32.0,19.0,1,left,K. Harris alley-oop Layup (4 PTS) (F. Wagner 3 AST),"[1630284, 1630532]",1610612753.0,ORL,alley-oop,,,Harris,K. Harris,,,,,Restricted Area,0-8 Center,3.7,Made,,,,,4.0,,,,F. Wagner,1630532.0,3.0,,,,,,,
190,PT09M17.00S,2022-11-05T21:41:46.5Z,2,REGULAR,timeout,full,['team'],0,,,1610612758,41,30,2022-11-05T21:41:46Z,1860000,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M17.00S,2022-11-05T21:44:01.4Z,2,REGULAR,substitution,out,[],1631099,,,1610612758,41,30,2022-11-05T21:44:23Z,1870000,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M17.00S,2022-11-05T21:44:01.4Z,2,REGULAR,substitution,out,[],1626158,,,1610612758,41,30,2022-11-05T21:44:23Z,1880000,,,0,,SUB out: R. Holmes,[1626158],1610612758.0,SAC,,,,Holmes,R. Holmes,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT09M17.00S,2022-11-05T21:44:01.4Z,2,REGULAR,substitution,in,[],1628989,,,1610612758,41,30,2022-11-05T21:44:23Z,1890000,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT09M17.00S,2022-11-05T21:44:01.4Z,2,REGULAR,substitution,in,[],1627734,,,1610612758,41,30,2022-11-05T21:44:23Z,1900000,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT09M07.00S,2022-11-05T21:44:44.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629056,92.32917214191852,54.90196078431373,1610612758,41,32,2022-11-05T21:44:56Z,1910000,25.0,20.0,1,right,T. Davis cutting Layup (2 PTS) (D. Fox 2 AST),"[1629056, 1628368]",1610612758.0,SAC,cutting,,,Davis,T. Davis,,,,,Restricted Area,0-8 Center,3.14,Made,,,,,2.0,,,,D. Fox,1628368.0,2.0,,,,,,,
197,PT08M48.00S,2022-11-05T21:45:04.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,6.1268068331143235,50.73529411764706,1610612753,43,32,2022-11-05T21:45:10Z,1930000,-4.0,5.0,1,left,W. Carter Jr. alley-oop DUNK (9 PTS) (F. Wagner 4 AST),"[1628976, 1630532]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,9.0,,,,F. Wagner,1630532.0,4.0,,,,,,,
199,PT08M38.00S,2022-11-05T21:45:14.2Z,2,REGULAR,3pt,Jump Shot,[],1629056,69.72733245729303,30.637254901960787,1610612758,43,32,2022-11-05T21:45:22Z,1950000,-97.0,232.0,1,right,MISS T. Davis 25' step back 3PT,[1629056],1610612758.0,SAC,step back,,,Davis,T. Davis,,,,,Above the Break 3,24+ Left Center,25.15,Missed,,,,,,,,,,,,,,,,,,
200,PT08M34.00S,2022-11-05T21:45:18.2Z,2,REGULAR,rebound,defensive,[],203082,,,1610612753,43,32,2022-11-05T21:45:22Z,1960000,,,0,,T. Ross REBOUND (Off:0 Def:1),[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Above the Break 3,24+ Left Center,,,199.0,1.0,1.0,0.0,,,,,,,,,,,,,,
201,PT08M23.00S,2022-11-05T21:45:29.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,6.652431011826544,46.568627450980394,1610612753,45,32,2022-11-05T21:45:37Z,1970000,17.0,10.0,1,left,F. Wagner driving finger roll Layup (15 PTS) (W. Carter Jr. 2 AST),"[1630532, 1628976]",1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.99,Made,,,,,15.0,,,,W. Carter Jr.,1628976.0,2.0,,,,,,,
202,PT08M04.00S,2022-11-05T21:45:48.3Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,90.75229960578186,41.17647058823529,1610612758,45,34,2022-11-05T21:45:52Z,1980000,-44.0,34.0,1,right,D. Sabonis turnaround Hook (9 PTS),[1627734],1610612758.0,SAC,turnaround,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,5.59,Made,,,,,9.0,,,,,,,,,,,,,
203,PT07M50.00S,2022-11-05T21:46:02.5Z,2,REGULAR,2pt,Jump Shot,[],1629643,8.360709592641262,70.09803921568627,1610612753,45,34,2022-11-05T21:46:11Z,1990000,-100.0,26.0,1,left,MISS C. Okeke 10' pullup Shot,[1629643],1610612753.0,ORL,pullup,,,Okeke,C. Okeke,,,,,Mid-Range,8-16 Left,10.38,Missed,,,,,,,,,,,,,,,,,,
205,PT07M50.00S,2022-11-05T21:46:02.5Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,45,34,2022-11-05T21:46:11Z,2000000,,,0,,D. Sabonis REBOUND (Off:0 Def:2),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,8-16 Left,,,203.0,2.0,2.0,0.0,,,,,,,,,,,,,,
206,PT07M40.00S,2022-11-05T21:46:11.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,91.14651773981603,50.73529411764706,1610612758,45,36,2022-11-05T21:46:18Z,2010000,4.0,31.0,1,right,D. Sabonis cutting finger roll Layup (11 PTS) (T. Davis 2 AST),"[1627734, 1629056]",1610612758.0,SAC,cutting finger roll,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.09,Made,,,,,11.0,,,,T. Davis,1629056.0,2.0,,,,,,,
208,PT07M24.00S,2022-11-05T21:46:30.3Z,2,REGULAR,foul,personal,['2freethrow'],1627734,,,1610612753,45,36,2022-11-05T21:46:56Z,2030000,,,0,,D. Sabonis shooting personal FOUL (2 PF) (Carter Jr. 2 FT),"[1627734, 1628976]",1610612758.0,SAC,shooting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,2714.0,2.0,0.0,Carter Jr.,1628976.0,,
210,PT07M24.00S,2022-11-05T21:47:06.6Z,2,REGULAR,freethrow,1 of 2,[],1628976,,,1610612753,46,36,2022-11-05T21:47:06Z,2050000,,,0,,W. Carter Jr. Free Throw 1 of 2 (10 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
211,PT07M24.00S,2022-11-05T21:47:07.5Z,2,REGULAR,substitution,out,[],203082,,,1610612753,46,36,2022-11-05T21:47:15Z,2060000,,,0,,SUB out: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M24.00S,2022-11-05T21:47:07.5Z,2,REGULAR,substitution,out,[],1629056,,,1610612753,46,36,2022-11-05T21:47:15Z,2070000,,,0,,SUB out: T. Davis,[1629056],1610612758.0,SAC,,,,Davis,T. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M24.00S,2022-11-05T21:47:07.5Z,2,REGULAR,substitution,in,[],1630181,,,1610612753,46,36,2022-11-05T21:47:15Z,2080000,,,0,,SUB in: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M24.00S,2022-11-05T21:47:07.5Z,2,REGULAR,substitution,in,[],203084,,,1610612753,46,36,2022-11-05T21:47:15Z,2090000,,,0,,SUB in: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M24.00S,2022-11-05T21:47:34.1Z,2,REGULAR,freethrow,2 of 2,[],1628976,,,1610612753,47,36,2022-11-05T21:47:34Z,2100000,,,0,,W. Carter Jr. Free Throw 2 of 2 (11 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
216,PT07M11.00S,2022-11-05T21:47:50.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,86.28449408672799,60.29411764705882,1610612758,47,36,2022-11-05T21:47:55Z,2110000,51.0,76.0,1,right,MISS D. Sabonis 9' Hook,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Right,9.21,Missed,,,,,,,,,,,,,,,,,,
217,PT07M09.00S,2022-11-05T21:47:52.7Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,47,36,2022-11-05T21:47:55Z,2120000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Right,,,216.0,1.0,1.0,0.0,,,,,,,,,,,,,,
218,PT06M55.00S,2022-11-05T21:48:06.8Z,2,REGULAR,3pt,Jump Shot,[],1629643,6.783837056504599,96.07843137254902,1610612753,47,36,2022-11-05T21:48:12Z,2130000,-230.0,11.0,1,left,MISS C. Okeke 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Left Corner 3,24+ Left,23.07,Missed,,,,,,,,,,,,,,,,,,
219,PT06M51.00S,2022-11-05T21:48:10.8Z,2,REGULAR,rebound,defensive,[],1628989,,,1610612758,47,36,2022-11-05T21:48:12Z,2140000,,,0,,K. Huerter REBOUND (Off:0 Def:1),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Left Corner 3,24+ Left,,,218.0,1.0,1.0,0.0,,,,,,,,,,,,,,
220,PT06M46.00S,2022-11-05T21:48:15.4Z,2,REGULAR,3pt,Jump Shot,[],1628989,67.23061760840999,64.2156862745098,1610612758,47,39,2022-11-05T21:48:27Z,2150000,71.0,256.0,1,right,K. Huerter 26' 3PT  (3 PTS) (D. Sabonis 2 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,26.52,Made,,,,,3.0,,,,D. Sabonis,1627734.0,2.0,,,,,,,
222,PT06M29.00S,2022-11-05T21:48:35.7Z,2,REGULAR,foul,personal,[],1628989,,,1610612753,47,39,2022-11-05T21:49:10Z,2170000,,,0,,K. Huerter personal FOUL (1 PF),"[1628989, 1630532]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,2714.0,1.0,0.0,Wagner,1630532.0,,
224,PT06M29.00S,2022-11-05T21:48:43.1Z,2,REGULAR,substitution,out,[],1630532,,,1610612753,47,39,2022-11-05T21:49:07Z,2190000,,,0,,SUB out: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT06M29.00S,2022-11-05T21:48:43.1Z,2,REGULAR,substitution,out,[],1628976,,,1610612753,47,39,2022-11-05T21:49:07Z,2200000,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT06M29.00S,2022-11-05T21:48:43.1Z,2,REGULAR,substitution,in,[],1630591,,,1610612753,47,39,2022-11-05T21:49:07Z,2210000,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT06M29.00S,2022-11-05T21:48:43.1Z,2,REGULAR,substitution,in,[],1631094,,,1610612753,47,39,2022-11-05T21:49:07Z,2220000,,,0,,SUB in: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M14.00S,2022-11-05T21:49:24.9Z,2,REGULAR,turnover,shot clock,['team'],0,,,1610612753,47,39,2022-11-05T21:49:34Z,2230000,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,2714.0,,,,,,
229,PT06M00.00S,2022-11-05T21:50:00.4Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627734,89.17542706964521,49.754901960784316,1610612758,47,41,2022-11-05T21:50:08Z,2240000,-1.0,49.0,1,right,D. Sabonis driving Hook (13 PTS),[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,4.93,Made,,,,,13.0,,,,,,,,,,,,,
230,PT06M00.00S,2022-11-05T21:50:03.7Z,2,REGULAR,foul,personal,['1freethrow'],1631094,,,1610612758,47,41,2022-11-05T21:50:34Z,2250000,,,0,,P. Banchero shooting personal FOUL (1 PF) (Sabonis 1 FT),"[1631094, 1627734]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203177.0,1.0,0.0,Sabonis,1627734.0,,
232,PT06M00.00S,2022-11-05T21:50:11.6Z,2,REGULAR,substitution,out,[],1630284,,,1610612758,47,41,2022-11-05T21:50:14Z,2270000,,,0,,SUB out: K. Harris,[1630284],1610612753.0,ORL,,,,Harris,K. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT06M00.00S,2022-11-05T21:50:11.6Z,2,REGULAR,substitution,in,[],1629626,,,1610612758,47,41,2022-11-05T21:50:14Z,2280000,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT06M00.00S,2022-11-05T21:50:35.7Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1627734,,,1610612758,47,41,2022-11-05T21:50:39Z,2290000,,,0,,MISS D. Sabonis Free Throw 1 of 1,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
235,PT05M55.00S,2022-11-05T21:50:40.7Z,2,REGULAR,rebound,defensive,[],1631094,,,1610612753,47,41,2022-11-05T21:50:39Z,2300000,,,0,,P. Banchero REBOUND (Off:0 Def:3),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,234.0,3.0,3.0,0.0,,,,,,,,,,,,,,
236,PT05M42.00S,2022-11-05T21:50:50.5Z,2,REGULAR,3pt,Jump Shot,[],1630591,6.521024967148489,96.56862745098039,1610612753,47,41,2022-11-05T21:50:55Z,2310000,-233.0,9.0,1,left,MISS J. Suggs 3PT,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,23.3,Missed,,,,,,,,,,,,,,,,,,
237,PT05M39.00S,2022-11-05T21:50:53.5Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,47,41,2022-11-05T21:50:55Z,2320000,,,0,,D. Sabonis REBOUND (Off:0 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Left Corner 3,24+ Left,,,236.0,3.0,3.0,0.0,,,,,,,,,,,,,,
238,PT05M35.00S,2022-11-05T21:50:57.0Z,2,REGULAR,turnover,lost ball,[],1627734,,,1610612758,47,41,2022-11-05T21:51:03Z,2330000,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1629643]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Okeke,1629643.0,,,,,,,,,,
239,PT05M35.00S,2022-11-05T21:50:57.0Z,2,REGULAR,steal,,[],1629643,,,1610612753,47,41,2022-11-05T21:50:59Z,2340000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
240,PT05M31.00S,2022-11-05T21:51:01.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631094,5.601182654402102,50.73529411764706,1610612753,49,41,2022-11-05T21:51:10Z,2350000,-4.0,0.0,1,left,P. Banchero running alley-oop DUNK (7 PTS) (J. Suggs 2 AST),"[1631094, 1630591]",1610612753.0,ORL,running alley-oop,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.37,Made,,,,,7.0,,,,J. Suggs,1630591.0,2.0,,,,,,,
242,PT05M19.00S,2022-11-05T21:51:12.7Z,2,REGULAR,3pt,Jump Shot,[],203084,89.30683311432325,96.07843137254902,1610612758,49,41,2022-11-05T21:51:18Z,2370000,230.0,48.0,1,right,MISS H. Barnes 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,23.53,Missed,,,,,,,,,,,,,,,,,,
243,PT05M17.00S,2022-11-05T21:51:14.7Z,2,REGULAR,rebound,defensive,[],1631094,,,1610612753,49,41,2022-11-05T21:51:18Z,2380000,,,0,,P. Banchero REBOUND (Off:0 Def:4),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Right Corner 3,24+ Right,,,242.0,4.0,4.0,0.0,,,,,,,,,,,,,,
245,PT05M13.00S,2022-11-05T21:51:25.7Z,2,REGULAR,substitution,out,[],1628370,,,1610612753,49,41,2022-11-05T21:51:30Z,2400000,,,0,,SUB out: M. Monk,[1628370],1610612758.0,SAC,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT05M13.00S,2022-11-05T21:51:25.7Z,2,REGULAR,substitution,in,[],1631099,,,1610612753,49,41,2022-11-05T21:51:30Z,2410000,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT05M10.00S,2022-11-05T21:51:58.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1631094,6.389618922470433,50.98039215686274,1610612753,51,41,2022-11-05T21:52:04Z,2420000,-5.0,8.0,1,left,P. Banchero alley-oop DUNK (9 PTS) (J. Suggs 3 AST),"[1631094, 1630591]",1610612753.0,ORL,alley-oop,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,9.0,,,,J. Suggs,1630591.0,3.0,,,,,,,
249,PT04M43.00S,2022-11-05T21:52:25.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,80.6340341655716,63.23529411764706,1610612758,51,41,2022-11-05T21:52:30Z,2440000,66.0,130.0,1,right,MISS D. Fox 14' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Center,14.54,Missed,,,,,,,,,,,,,,,,,,
250,PT04M40.00S,2022-11-05T21:52:28.5Z,2,REGULAR,rebound,defensive,[],1629626,,,1610612753,51,41,2022-11-05T21:52:28Z,2450000,,,0,,B. Bol REBOUND (Off:1 Def:2),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,In The Paint (Non-RA),8-16 Center,,,249.0,3.0,2.0,1.0,,,,,,,,,,,,,,
251,PT04M28.00S,2022-11-05T21:52:40.1Z,2,REGULAR,3pt,Jump Shot,[],1631094,33.590670170827856,49.01960784313725,1610612753,51,41,2022-11-05T21:52:48Z,2460000,5.0,263.0,1,left,MISS P. Banchero 26' pullup 3PT,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Center,26.33,Missed,,,,,,,,,,,,,,,,,,
252,PT04M26.00S,2022-11-05T21:52:42.1Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612758,51,41,2022-11-05T21:52:48Z,2470000,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Center,,,251.0,,,,,,,,,,,,,,,,,
254,PT04M26.00S,2022-11-05T21:52:47.1Z,2,REGULAR,substitution,out,[],203084,,,1610612758,51,41,2022-11-05T21:52:51Z,2490000,,,0,,SUB out: H. Barnes,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT04M26.00S,2022-11-05T21:52:47.1Z,2,REGULAR,substitution,in,[],1626168,,,1610612758,51,41,2022-11-05T21:52:51Z,2500000,,,0,,SUB in: T. Lyles,[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M26.00S,2022-11-05T21:53:01.7Z,2,REGULAR,timeout,full,['team'],0,,,1610612758,51,41,2022-11-05T21:53:01Z,2510000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M07.00S,2022-11-05T21:56:36.0Z,2,REGULAR,violation,kicked ball,[],1631094,,,1610612758,51,41,2022-11-05T21:56:54Z,2540000,,,0,,P. Banchero kicked ball VIOLATION,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,2714.0,,,,,,
260,PT04M02.00S,2022-11-05T21:56:41.1Z,2,REGULAR,3pt,Jump Shot,[],1628368,72.48685939553219,81.61764705882352,1610612758,51,41,2022-11-05T21:56:48Z,2550000,158.0,206.0,1,right,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.98,Missed,,,,,,,,,,,,,,,,,,
261,PT03M58.00S,2022-11-05T21:56:44.6Z,2,REGULAR,rebound,defensive,[],1631094,,,1610612753,51,41,2022-11-05T21:56:44Z,2560000,,,0,,P. Banchero REBOUND (Off:0 Def:5),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,,,260.0,5.0,5.0,0.0,,,,,,,,,,,,,,
262,PT03M43.00S,2022-11-05T21:57:00.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,14.14257555847569,47.794117647058826,1610612753,53,41,2022-11-05T21:57:08Z,2570000,11.0,80.0,1,left,P. Banchero 8' driving floating Jump Shot (11 PTS),[1631094],1610612753.0,ORL,driving floating,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,8.11,Made,,,,,11.0,,,,,,,,,,,,,
263,PT03M36.00S,2022-11-05T21:57:07.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,86.94152431011827,51.225490196078425,1610612758,53,41,2022-11-05T21:57:43Z,2580000,6.0,70.0,1,right,MISS D. Fox 7' Layup,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,In The Paint (Non-RA),0-8 Center,7.05,Missed,,,,,,,,,,,,,,,,,,
264,PT03M32.00S,2022-11-05T21:57:11.8Z,2,REGULAR,rebound,offensive,[],1627734,,,1610612758,53,41,2022-11-05T21:57:23Z,2590000,,,0,,D. Sabonis REBOUND (Off:1 Def:3),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,263.0,4.0,3.0,1.0,,,,,,,,,,,,,,
265,PT03M31.00S,2022-11-05T21:57:11.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,91.14651773981603,49.50980392156863,1610612758,53,43,2022-11-05T21:57:29Z,2600000,-2.0,31.0,1,right,D. Sabonis putback Layup (15 PTS),[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.08,Made,,,,,15.0,,,,,,,,,,,,,
266,PT03M14.00S,2022-11-05T21:57:28.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631094,15.982260183968464,59.068627450980394,1610612753,55,43,2022-11-05T21:57:35Z,2610000,-45.0,98.0,1,left,P. Banchero 10' pullup Jump Shot (13 PTS),[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,10.77,Made,,,,,13.0,,,,,,,,,,,,,
