actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
454,PT02M01.00S,2022-12-01T01:43:26.1Z,3,REGULAR,3pt,Jump Shot,[],1631100,23.602166595659494,13.725490196078432,1610612737,73,94,2022-12-01T01:43:34Z,4500000,False,181.0,169.0,1,left,MISS A. Griffin 24' 3PT,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,Above the Break 3,24+ Right Center,24.82,Missed,,,,,,,,,,,,,,,,,,
455,PT01M56.00S,2022-12-01T01:43:31.1Z,3,REGULAR,rebound,offensive,[],1630168,,,1610612737,73,94,2022-12-01T01:43:34Z,4510000,False,,,0,,O. Okongwu REBOUND (Off:3 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,454.0,5.0,2.0,3.0,,,,
456,PT01M56.00S,2022-12-01T01:43:31.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630168,5.590000152587891,50.0,1610612737,73,96,2022-12-01T01:43:31Z,4520000,False,0.0,0.0,1,left,O. Okongwu tip Layup (4 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
457,PT01M39.00S,2022-12-01T01:43:47.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,92.45893400696042,51.225490196078425,1610612753,73,96,2022-12-01T01:43:52Z,4530000,False,6.0,18.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1.94,Missed,,,,,,,,,,,,,,,,,,
458,PT01M37.00S,2022-12-01T01:43:49.9Z,3,REGULAR,rebound,defensive,[],1626163,,,1610612737,73,96,2022-12-01T01:43:52Z,4540000,False,,,0,,F. Kaminsky REBOUND (Off:0 Def:1),[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,457.0,1.0,1.0,0.0,,,,
460,PT01M14.00S,2022-12-01T01:44:35.2Z,3,REGULAR,3pt,Jump Shot,[],1626163,25.441851221152266,82.1078431372549,1610612737,73,96,2022-12-01T01:44:42Z,4560000,False,-161.0,187.0,1,left,MISS F. Kaminsky 24' 3PT,[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,Above the Break 3,24+ Left Center,24.62,Missed,,,,,,,,,,,,,,,,,,
461,PT01M11.00S,2022-12-01T01:44:37.9Z,3,REGULAR,rebound,defensive,[],1630175,,,1610612753,73,96,2022-12-01T01:44:37Z,4570000,False,,,0,,C. Anthony REBOUND (Off:0 Def:2),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,460.0,2.0,2.0,0.0,,,,
462,PT01M05.00S,2022-12-01T01:44:43.9Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,70.90834267975936,77.69607843137256,1610612753,73,96,2022-12-01T01:45:09Z,4580000,False,138.0,221.0,1,right,MISS F. Wagner 26' running pullup 3PT,[1630532],1610612753.0,ORL,running pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,26.08,Missed,,,,,,,,,,,,,,,,,,
463,PT01M03.00S,2022-12-01T01:44:45.9Z,3,REGULAR,rebound,defensive,[],1629027,,,1610612737,73,96,2022-12-01T01:44:50Z,4590000,False,,,0,,T. Young REBOUND (Off:0 Def:2),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,462.0,2.0,2.0,0.0,,,,
464,PT00M58.90S,2022-12-01T01:44:51.9Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630168,5.468132430087878,52.94117647058824,1610612737,73,98,2022-12-01T01:44:59Z,4600000,False,-15.0,-1.0,1,left,O. Okongwu cutting Layup (6 PTS) (T. Young 11 AST),"[1630168, 1629027]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,1.47,Made,6.0,T. Young,1629027.0,11.0,,,,,,,,,,,,,,
467,PT00M42.00S,2022-12-01T01:45:30.6Z,3,REGULAR,turnover,traveling,[],1631094,,,1610612753,73,98,2022-12-01T01:45:40Z,4630000,False,,,0,,P. Banchero traveling TURNOVER (3 TO),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Left Center,,,,,,,1198.0,,,,,3.0,,,,,,,,
468,PT00M30.70S,2022-12-01T01:45:55.0Z,3,REGULAR,3pt,Jump Shot,['fromturnover'],1629027,30.172468829562256,21.813725490196077,1610612737,73,98,2022-12-01T01:45:59Z,4640000,False,141.0,231.0,1,left,MISS T. Young 27' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,27.07,Missed,,,,,,,,,,,,,,,,,,
