actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
176,PT10M46.00S,2022-11-27T23:43:33.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203082,31.617935321020862,36.029411764705884,1610612753,34,36,2022-11-27T23:43:38Z,1750000,False,70.0,245.0,1,left,MISS T. Ross 25' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Above the Break 3,24+ Center,,25.45,Missed,,,,,,,,,,,,,,,,,
177,PT10M42.00S,2022-11-27T23:43:37.6Z,2,REGULAR,rebound,defensive,[],1627863,,,1610612755,34,36,2022-11-27T23:43:38Z,1760000,False,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Above the Break 3,24+ Center,,,,,,176.0,1.0,1.0,0.0,,,,,,,,,,,
178,PT10M37.00S,2022-11-27T23:43:45.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627777,91.67049773889208,53.92156862745098,1610612755,34,38,2022-11-27T23:43:59Z,1770000,False,20.0,26.0,1,right,G. Niang driving reverse Layup (4 PTS) (F. Korkmaz 3 AST),"[1627777, 1627788]",1610612755.0,PHI,driving reverse,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,3.24,Made,,,,,,,4.0,F. Korkmaz,1627788.0,3.0,,,,,,,
180,PT10M37.00S,2022-11-27T23:43:49.0Z,2,REGULAR,foul,personal,['1freethrow'],1629678,,,1610612755,34,38,2022-11-27T23:43:58Z,1790000,False,,,0,,A. Schofield shooting personal FOUL (1 PF) (Niang 1 FT),"[1629678, 1627777]",1610612753.0,ORL,shooting,,,Schofield,A. Schofield,,,,,Restricted Area,0-8 Center,1155.0,,,,,,,,,,,,,1.0,0.0,Niang,1627777.0,,,
182,PT10M37.00S,2022-11-27T23:44:10.8Z,2,REGULAR,freethrow,1 of 1,[],1627777,,,1610612755,34,38,2022-11-27T23:44:14Z,1810000,False,,,0,,MISS G. Niang Free Throw 1 of 1,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
183,PT10M34.00S,2022-11-27T23:44:13.8Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612753,34,38,2022-11-27T23:44:14Z,1820000,False,,,0,,M. Wagner REBOUND (Off:1 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,182.0,2.0,1.0,1.0,,,,,,,,,,,
184,PT10M21.00S,2022-11-27T23:44:26.2Z,2,REGULAR,3pt,Jump Shot,[],1629021,21.631075925488666,90.19607843137256,1610612753,34,38,2022-11-27T23:44:31Z,1830000,False,-201.0,151.0,1,left,MISS M. Wagner 25' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Left Center,,25.13,Missed,,,,,,,,,,,,,,,,,
185,PT10M17.00S,2022-11-27T23:44:30.2Z,2,REGULAR,rebound,defensive,[],1627788,,,1610612755,34,38,2022-11-27T23:44:31Z,1840000,False,,,0,,F. Korkmaz REBOUND (Off:0 Def:1),[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,Above the Break 3,24+ Left Center,,,,,,184.0,1.0,1.0,0.0,,,,,,,,,,,
186,PT10M05.00S,2022-11-27T23:44:41.6Z,2,REGULAR,3pt,Jump Shot,[],1629003,78.44940867279895,89.72886029411765,1610612755,34,41,2022-11-27T23:47:45Z,1850000,False,199.0,150.0,1,right,S. Milton 24' 3PT  (5 PTS) (G. Niang 2 AST),"[1629003, 1627777]",1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Right Center,,24.89,Made,,,,,,,5.0,G. Niang,1627777.0,2.0,,,,,,,
188,PT10M05.00S,2022-11-27T23:44:46.7Z,2,REGULAR,timeout,full,['team'],0,,,1610612753,34,41,2022-11-27T23:44:46Z,1870000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT10M05.00S,2022-11-27T23:46:51.6Z,2,REGULAR,substitution,out,[],1629021,,,1610612753,34,41,2022-11-27T23:47:14Z,1880000,False,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT10M05.00S,2022-11-27T23:46:51.6Z,2,REGULAR,substitution,in,[],1628964,,,1610612753,34,41,2022-11-27T23:47:14Z,1890000,False,,,0,,SUB in: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M46.00S,2022-11-27T23:48:06.0Z,2,REGULAR,3pt,Jump Shot,[],1630181,22.682324282913108,12.990196078431374,1610612753,34,41,2022-11-27T23:48:13Z,1900000,False,185.0,161.0,1,left,MISS R. Hampton 24' 3PT,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Right Center,,24.5,Missed,,,,,,,,,,,,,,,,,
192,PT09M42.00S,2022-11-27T23:48:10.0Z,2,REGULAR,rebound,defensive,[],1629003,,,1610612755,34,41,2022-11-27T23:48:13Z,1910000,False,,,0,,S. Milton REBOUND (Off:0 Def:1),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,Above the Break 3,24+ Right Center,,,,,,191.0,1.0,1.0,0.0,,,,,,,,,,,
193,PT09M28.00S,2022-11-27T23:48:24.1Z,2,REGULAR,3pt,Jump Shot,[],1627777,65.5206948479591,57.35294117647059,1610612755,34,41,2022-11-27T23:48:29Z,1920000,False,37.0,272.0,1,right,MISS G. Niang 27' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Center,,27.41,Missed,,,,,,,,,,,,,,,,,
194,PT09M24.00S,2022-11-27T23:48:28.1Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,34,41,2022-11-27T23:48:29Z,1930000,False,,,0,,R. Hampton REBOUND (Off:0 Def:1),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,Above the Break 3,24+ Center,,,,,,193.0,1.0,1.0,0.0,,,,,,,,,,,
195,PT09M19.00S,2022-11-27T23:48:36.2Z,2,REGULAR,turnover,out-of-bounds,[],1630181,,,1610612753,34,41,2022-11-27T23:48:46Z,1940000,False,,,0,,R. Hampton step out-of-bounds TURNOVER (1 TO),[1630181],1610612753.0,ORL,step,,,Hampton,R. Hampton,,,,,Mid-Range,16-24 Right,1628487.0,,,,,,,,,,,,,,,,,1.0,,
196,PT09M01.00S,2022-11-27T23:49:10.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627777,93.11596423035068,53.18627450980392,1610612755,34,43,2022-11-27T23:49:16Z,1950000,False,16.0,12.0,1,right,G. Niang driving Layup (6 PTS) (S. Milton 2 AST),"[1627777, 1629003]",1610612755.0,PHI,driving,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,2.0,Made,,,,,,,6.0,S. Milton,1629003.0,2.0,,,,,,,
198,PT08M48.00S,2022-11-27T23:49:21.8Z,2,REGULAR,turnover,bad pass,[],203082,,,1610612753,34,43,2022-11-27T23:49:27Z,1970000,False,,,0,,T. Ross bad pass TURNOVER (3 TO),"[203082, 1630194]",1610612753.0,ORL,,,,Ross,T. Ross,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,3.0,Reed,1630194.0
199,PT08M48.00S,2022-11-27T23:49:21.8Z,2,REGULAR,steal,,[],1630194,,,1610612755,34,43,2022-11-27T23:49:23Z,1980000,False,,,0,,P. Reed STEAL (1 STL),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
200,PT08M45.00S,2022-11-27T23:49:25.7Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630194,93.24737027502874,50.49019607843137,1610612755,34,45,2022-11-27T23:49:33Z,1990000,False,2.0,11.0,1,right,P. Reed running DUNK (4 PTS),[1630194],1610612755.0,PHI,running,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,1.13,Made,,,,,,,4.0,,,,,,,,,,
201,PT08M21.00S,2022-11-27T23:49:49.5Z,2,REGULAR,3pt,Jump Shot,[],1631216,27.412941891323094,22.058823529411764,1610612753,37,45,2022-11-27T23:49:55Z,2000000,False,140.0,205.0,1,left,C. Houstan 24' 3PT  (3 PTS) (R. Hampton 1 AST),"[1631216, 1630181]",1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Right Center,,24.82,Made,,,,,,,3.0,R. Hampton,1630181.0,1.0,,,,,,,
203,PT08M01.00S,2022-11-27T23:50:09.1Z,2,REGULAR,3pt,Jump Shot,[],1627863,84.44316528159904,96.81372549019608,1610612755,37,45,2022-11-27T23:50:14Z,2020000,False,234.0,94.0,1,right,MISS D. House Jr. 25' 3PT,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Above the Break 3,24+ Right,,25.22,Missed,,,,,,,,,,,,,,,,,
204,PT07M57.00S,2022-11-27T23:50:13.1Z,2,REGULAR,rebound,defensive,[],1629678,,,1610612753,37,45,2022-11-27T23:50:14Z,2030000,False,,,0,,A. Schofield REBOUND (Off:1 Def:1),[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,Above the Break 3,24+ Right,,,,,,203.0,2.0,1.0,1.0,,,,,,,,,,,
205,PT07M48.00S,2022-11-27T23:50:21.8Z,2,REGULAR,3pt,Jump Shot,[],203082,24.916227042440045,87.5,1610612753,37,45,2022-11-27T23:50:28Z,2040000,False,-188.0,182.0,1,left,MISS T. Ross 26' 3PT,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,Above the Break 3,24+ Left Center,,26.11,Missed,,,,,,,,,,,,,,,,,
206,PT07M46.00S,2022-11-27T23:50:23.8Z,2,REGULAR,rebound,offensive,[],1629678,,,1610612753,37,45,2022-11-27T23:50:28Z,2050000,False,,,0,,A. Schofield REBOUND (Off:2 Def:1),[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,Above the Break 3,24+ Left Center,,,,,,205.0,3.0,1.0,2.0,,,,,,,,,,,
208,PT07M46.00S,2022-11-27T23:50:29.2Z,2,REGULAR,substitution,out,[],1630181,,,1610612753,37,45,2022-11-27T23:50:50Z,2070000,False,,,0,,SUB out: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M46.00S,2022-11-27T23:50:29.2Z,2,REGULAR,substitution,out,[],1629678,,,1610612753,37,45,2022-11-27T23:50:50Z,2080000,False,,,0,,SUB out: A. Schofield,[1629678],1610612753.0,ORL,,,,Schofield,A. Schofield,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M46.00S,2022-11-27T23:50:29.2Z,2,REGULAR,substitution,out,[],1627777,,,1610612753,37,45,2022-11-27T23:50:50Z,2090000,False,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M46.00S,2022-11-27T23:50:29.2Z,2,REGULAR,substitution,out,[],1627863,,,1610612753,37,45,2022-11-27T23:50:50Z,2100000,False,,,0,,SUB out: D. House Jr.,[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M46.00S,2022-11-27T23:50:29.2Z,2,REGULAR,substitution,in,[],1630532,,,1610612753,37,45,2022-11-27T23:50:50Z,2110000,False,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M46.00S,2022-11-27T23:50:29.2Z,2,REGULAR,substitution,in,[],1631094,,,1610612753,37,45,2022-11-27T23:50:50Z,2120000,False,,,0,,SUB in: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M46.00S,2022-11-27T23:50:29.2Z,2,REGULAR,substitution,in,[],200782,,,1610612753,37,45,2022-11-27T23:50:50Z,2130000,False,,,0,,SUB in: P. Tucker,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M46.00S,2022-11-27T23:50:29.2Z,2,REGULAR,substitution,in,[],202699,,,1610612753,37,45,2022-11-27T23:50:50Z,2140000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT07M40.00S,2022-11-27T23:50:55.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1631216,20.71123361274228,11.029411764705882,1610612753,37,45,2022-11-27T23:51:02Z,2150000,False,195.0,142.0,1,left,MISS C. Houstan 24' 3PT,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Right Center,,24.13,Missed,,,,,,,,,,,,,,,,,
217,PT07M33.00S,2022-11-27T23:51:02.2Z,2,REGULAR,rebound,defensive,[],1630194,,,1610612755,37,45,2022-11-27T23:51:02Z,2160000,False,,,0,,P. Reed REBOUND (Off:0 Def:3),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Right Center,,,,,,216.0,3.0,3.0,0.0,,,,,,,,,,,
219,PT07M23.00S,2022-11-27T23:51:19.2Z,2,REGULAR,foul,personal,['2freethrow'],1631094,,,1610612755,37,45,2022-11-27T23:51:42Z,2180000,False,,,0,,P. Banchero shooting personal FOUL (3 PF) (Milton 2 FT),"[1631094, 1629003]",1610612753.0,ORL,shooting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,202041.0,,,,,,,,,,,,,3.0,0.0,Milton,1629003.0,,,
221,PT07M23.00S,2022-11-27T23:52:04.0Z,2,REGULAR,substitution,out,[],203082,,,1610612755,37,45,2022-11-27T23:52:18Z,2200000,False,,,0,,SUB out: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT07M23.00S,2022-11-27T23:52:04.0Z,2,REGULAR,substitution,out,[],1631094,,,1610612755,37,45,2022-11-27T23:52:18Z,2210000,False,,,0,,SUB out: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M23.00S,2022-11-27T23:52:04.0Z,2,REGULAR,substitution,out,[],1627788,,,1610612755,37,45,2022-11-27T23:52:18Z,2220000,False,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M23.00S,2022-11-27T23:52:04.0Z,2,REGULAR,substitution,in,[],1629626,,,1610612755,37,45,2022-11-27T23:52:18Z,2230000,False,,,0,,SUB in: B. Bol,[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M23.00S,2022-11-27T23:52:04.0Z,2,REGULAR,substitution,in,[],203914,,,1610612755,37,45,2022-11-27T23:52:18Z,2240000,False,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M23.00S,2022-11-27T23:52:04.0Z,2,REGULAR,substitution,in,[],1629001,,,1610612755,37,45,2022-11-27T23:52:18Z,2250000,False,,,0,,SUB in: D. Melton,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M23.00S,2022-11-27T23:52:22.5Z,2,REGULAR,freethrow,1 of 2,[],1629003,,,1610612755,37,46,2022-11-27T23:52:22Z,2260000,False,,,0,,S. Milton Free Throw 1 of 2 (6 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,Made,,,,,,,6.0,,,,,,,,,,
228,PT07M23.00S,2022-11-27T23:52:23.2Z,2,REGULAR,freethrow,2 of 2,[],1629003,,,1610612755,37,47,2022-11-27T23:52:23Z,2270000,False,,,0,,S. Milton Free Throw 2 of 2 (7 PTS),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,Made,,,,,,,7.0,,,,,,,,,,
229,PT07M06.00S,2022-11-27T23:52:42.1Z,2,REGULAR,3pt,Jump Shot,[],1631216,28.06997211471337,80.3921568627451,1610612753,37,47,2022-11-27T23:52:47Z,2280000,False,-152.0,211.0,1,left,MISS C. Houstan 26' 3PT,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,Above the Break 3,24+ Left Center,,26.04,Missed,,,,,,,,,,,,,,,,,
230,PT07M01.00S,2022-11-27T23:52:47.1Z,2,REGULAR,rebound,defensive,[],1630194,,,1610612755,37,47,2022-11-27T23:52:47Z,2290000,False,,,0,,P. Reed REBOUND (Off:0 Def:4),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Left Center,,,,,,229.0,4.0,4.0,0.0,,,,,,,,,,,
233,PT06M38.00S,2022-11-27T23:53:23.1Z,2,REGULAR,3pt,Jump Shot,[],202699,76.55880260091573,91.17647058823529,1610612755,37,50,2022-11-27T23:53:30Z,2310000,False,206.0,168.0,1,right,T. Harris 26' 3PT  (12 PTS) (S. Milton 3 AST),"[202699, 1629003]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,26.56,Made,,,,,,,12.0,S. Milton,1629003.0,3.0,,,,,,,
235,PT06M16.00S,2022-11-27T23:53:44.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629626,20.18560943403006,65.68627450980392,1610612753,39,50,2022-11-27T23:53:50Z,2330000,False,-78.0,137.0,1,left,B. Bol 15' pullup Jump Shot (4 PTS),[1629626],1610612753.0,ORL,pullup,,,Bol,B. Bol,,,,,In The Paint (Non-RA),8-16 Left,,15.8,Made,,,,,,,4.0,,,,,,,,,,
236,PT06M02.00S,2022-11-27T23:53:59.6Z,2,REGULAR,2pt,Jump Shot,[],202699,82.60348065610627,28.676470588235293,1610612755,39,50,2022-11-27T23:54:05Z,2340000,False,-107.0,111.0,1,right,MISS T. Harris 15' Jump Shot,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,15.39,Missed,,,,,,,,,,,,,,,,,
237,PT05M59.00S,2022-11-27T23:54:02.6Z,2,REGULAR,rebound,defensive,[],1629626,,,1610612753,39,50,2022-11-27T23:54:05Z,2350000,False,,,0,,B. Bol REBOUND (Off:0 Def:2),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,8-16 Left,,,,,,236.0,2.0,2.0,0.0,,,,,,,,,,,
238,PT05M50.00S,2022-11-27T23:54:11.6Z,2,REGULAR,3pt,Jump Shot,[],1628964,22.945136372269218,88.48039215686273,1610612753,39,50,2022-11-27T23:54:16Z,2360000,False,-192.0,163.0,1,left,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Left Center,,25.23,Missed,,,,,,,,,,,,,,,,,
239,PT05M46.00S,2022-11-27T23:54:15.6Z,2,REGULAR,rebound,defensive,[],1629001,,,1610612755,39,50,2022-11-27T23:54:16Z,2370000,False,,,0,,D. Melton REBOUND (Off:0 Def:2),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Left Center,,,,,,238.0,2.0,2.0,0.0,,,,,,,,,,,
240,PT05M43.00S,2022-11-27T23:54:17.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629001,93.51018236438485,53.431372549019606,1610612755,39,52,2022-11-27T23:54:25Z,2380000,False,17.0,9.0,1,right,D. Melton running Layup (9 PTS),[1629001],1610612755.0,PHI,running,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,1.92,Made,,,,,,,9.0,,,,,,,,,,
241,PT05M28.00S,2022-11-27T23:54:34.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203914,7.702035189614816,45.09803921568628,1610612753,39,52,2022-11-27T23:54:40Z,2390000,False,25.0,20.0,1,left,MISS G. Harris driving Layup - blocked,"[203914, 1630194]",1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,,3.16,Missed,Reed,1630194.0,,,,,,,,,,,,,,,
242,PT05M28.00S,2022-11-27T23:54:34.8Z,2,REGULAR,block,,[],1630194,,,1610612753,39,52,2022-11-27T23:54:37Z,2400000,False,,,0,,P. Reed BLOCK (1 BLK),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
243,PT05M28.00S,2022-11-27T23:54:34.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612753,39,52,2022-11-27T23:54:40Z,2410000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,241.0,,,,,,,,,,,,,,
245,PT05M26.00S,2022-11-27T23:54:54.2Z,2,REGULAR,foul,personal,[],1630194,,,1610612753,39,52,2022-11-27T23:55:41Z,2430000,False,,,0,,P. Reed loose ball personal FOUL (1 PF),"[1630194, 1629626]",1610612755.0,PHI,loose ball,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,202041.0,,,,,,,,,,,,,1.0,0.0,Bol,1629626.0,,,
247,PT05M20.00S,2022-11-27T23:55:23.6Z,2,REGULAR,turnover,bad pass,[],1630532,,,1610612753,39,52,2022-11-27T23:55:33Z,2450000,False,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 202699]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Harris,202699.0
248,PT05M20.00S,2022-11-27T23:55:23.6Z,2,REGULAR,steal,,[],202699,,,1610612755,39,52,2022-11-27T23:55:25Z,2460000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
249,PT05M02.00S,2022-11-27T23:55:41.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629003,91.27627960485792,53.431372549019606,1610612755,39,54,2022-11-27T23:55:47Z,2470000,False,17.0,30.0,1,right,S. Milton driving reverse Layup (9 PTS) (T. Harris 1 AST),"[1629003, 202699]",1610612755.0,PHI,driving reverse,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,3.41,Made,,,,,,,9.0,T. Harris,202699.0,1.0,,,,,,,
250,PT04M51.00S,2022-11-27T23:55:52.7Z,2,REGULAR,3pt,Jump Shot,[],203914,3.2342296705609397,96.07843137254902,1610612753,39,54,2022-11-27T23:55:58Z,2480000,False,-230.0,-22.0,1,left,MISS G. Harris 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Left Corner 3,24+ Left,,23.15,Missed,,,,,,,,,,,,,,,,,
251,PT04M47.00S,2022-11-27T23:55:56.7Z,2,REGULAR,rebound,defensive,[],1630194,,,1610612755,39,54,2022-11-27T23:55:58Z,2490000,False,,,0,,P. Reed REBOUND (Off:0 Def:5),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Left Corner 3,24+ Left,,,,,,250.0,5.0,5.0,0.0,,,,,,,,,,,
253,PT04M29.00S,2022-11-27T23:56:14.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630194,91.80190378357014,54.90196078431373,1610612755,39,56,2022-11-27T23:56:22Z,2500000,False,25.0,25.0,1,right,P. Reed driving DUNK (6 PTS) (S. Milton 4 AST),"[1630194, 1629003]",1610612755.0,PHI,driving,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,3.47,Made,,,,,,,6.0,S. Milton,1629003.0,4.0,,,,,,,
255,PT04M29.00S,2022-11-27T23:56:21.4Z,2,REGULAR,timeout,full,['team'],0,,,1610612753,39,56,2022-11-27T23:56:21Z,2520000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M29.00S,2022-11-27T23:58:37.3Z,2,REGULAR,substitution,out,[],1631216,,,1610612753,39,56,2022-11-27T23:59:07Z,2530000,False,,,0,,SUB out: C. Houstan,[1631216],1610612753.0,ORL,,,,Houstan,C. Houstan,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M29.00S,2022-11-27T23:58:37.3Z,2,REGULAR,substitution,out,[],1628964,,,1610612753,39,56,2022-11-27T23:59:07Z,2540000,False,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M29.00S,2022-11-27T23:58:37.3Z,2,REGULAR,substitution,in,[],1631094,,,1610612753,39,56,2022-11-27T23:59:07Z,2550000,False,,,0,,SUB in: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M29.00S,2022-11-27T23:58:37.3Z,2,REGULAR,substitution,in,[],1629021,,,1610612753,39,56,2022-11-27T23:59:07Z,2560000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT04M13.00S,2022-11-27T23:59:29.1Z,2,REGULAR,turnover,lost ball,[],1629626,,,1610612753,39,56,2022-11-28T00:01:34Z,2570000,False,,,0,,B. Bol lost ball TURNOVER (1 TO),"[1629626, 202699]",1610612753.0,ORL,,,,Bol,B. Bol,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Harris,202699.0
261,PT04M13.00S,2022-11-27T23:59:29.1Z,2,REGULAR,steal,,[],202699,,,1610612755,39,56,2022-11-28T00:01:05Z,2580000,False,,,0,,T. Harris STEAL (2 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
262,PT03M51.00S,2022-11-27T23:59:47.2Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],202699,77.215832824306,58.08823529411765,1610612755,39,58,2022-11-27T23:59:55Z,2590000,False,40.0,162.0,1,right,T. Harris 16' turnaround Jump Shot (14 PTS),[202699],1610612755.0,PHI,turnaround,,,Harris,T. Harris,,,,,Mid-Range,16-24 Center,,16.67,Made,,,,,,,14.0,,,,,,,,,,
