actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
73,PT06M14.00S,2022-01-22T00:22:58.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,11,16,2022-01-22T00:22:58Z,730000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M14.00S,2022-01-22T00:24:50.4Z,1,REGULAR,substitution,out,[],1628964,,,1610612753,11,16,2022-01-22T00:25:36Z,740000,,,0,,SUB out: M. Bamba,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M14.00S,2022-01-22T00:24:50.4Z,1,REGULAR,substitution,out,[],2730,,,1610612753,11,16,2022-01-22T00:25:36Z,750000,,,0,,SUB out: D. Howard,[2730],1610612747.0,LAL,,,,Howard,D. Howard,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M14.00S,2022-01-22T00:24:50.4Z,1,REGULAR,substitution,in,[],1628976,,,1610612753,11,16,2022-01-22T00:25:36Z,760000,,,0,,SUB in: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M14.00S,2022-01-22T00:24:50.4Z,1,REGULAR,substitution,in,[],1626169,,,1610612753,11,16,2022-01-22T00:25:36Z,770000,,,0,,SUB in: S. Johnson,[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M57.00S,2022-01-22T00:26:02.4Z,1,REGULAR,2pt,Jump Shot,[],203082,17.427726675427067,32.59803921568628,1610612753,11,16,2022-01-22T00:26:08Z,780000,87.0,111.0,1,left,MISS T. Ross 14' pullup Shot - blocked,"[203082, 1626169]",1610612753.0,ORL,pullup,,,Ross,T. Ross,,,,,14.13,Missed,Johnson,1626169.0,,,,,,,,,,,,,,,,,
79,PT05M57.00S,2022-01-22T00:26:02.4Z,1,REGULAR,block,,[],1626169,,,1610612753,11,16,2022-01-22T00:26:05Z,790000,,,0,,S. Johnson BLOCK (1 BLK),[1626169],1610612747.0,LAL,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M57.00S,2022-01-22T00:26:02.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,11,16,2022-01-22T00:26:08Z,800000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,
81,PT05M57.00S,2022-01-22T00:26:08.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,11,16,2022-01-22T00:26:25Z,810000,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,2004.0,,,,,,,,,,,,
82,PT05M41.00S,2022-01-22T00:26:29.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",2544,90.22667542706965,54.166666666666664,1610612747,11,16,2022-01-22T00:29:35Z,820000,21.0,39.0,1,right,MISS L. James reverse Layup - blocked,"[2544, 1628976]",1610612747.0,LAL,reverse,,,James,L. James,,,,,4.46,Missed,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,
