actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
265,PT03M19.00S,2022-03-22T23:57:14.2Z,2,REGULAR,rebound,defensive,[],203110,,,1610612744,39,34,2022-03-22T23:57:30Z,2640000,,,0,,D. Green REBOUND (Off:0 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,264.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
266,PT03M19.00S,2022-03-22T23:57:26.0Z,2,REGULAR,foul,offensive,[],1630228,,,1610612744,39,34,2022-03-22T23:59:43Z,2650000,,,0,,J. Kuminga off-the-ball offensive FOUL (1 PF),"[1630228, 1630175]",1610612744.0,GSW,off-the-ball,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,1146.0,1.0,0.0,Anthony,1630175.0,
268,PT03M19.00S,2022-03-22T23:57:26.0Z,2,REGULAR,turnover,offensive foul,[],1630228,,,1610612744,39,34,2022-03-22T23:57:26Z,2670000,,,0,,J. Kuminga offensive foul TURNOVER (1 TO),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,1.0,,,,,,,,,1146.0,,,,,
269,PT03M02.00S,2022-03-22T23:57:50.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628976,5.995400788436268,53.18627450980392,1610612753,41,34,2022-03-23T00:00:05Z,2680000,-16.0,4.0,1,left,W. Carter Jr. cutting Layup (6 PTS) (R. Hampton 2 AST),"[1628976, 1630181]",1610612753.0,ORL,cutting,,,Carter Jr.,W. Carter Jr.,,,,,1.64,Made,,,,,,,,,,6.0,R. Hampton,1630181.0,2.0,,,,,,
271,PT02M44.00S,2022-03-22T23:58:09.3Z,2,REGULAR,3pt,Jump Shot,[],1627814,66.3107752956636,60.5392156862745,1610612744,41,34,2022-03-22T23:58:13Z,2700000,53.0,264.0,1,right,MISS D. Lee 26' 3PT,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,26.94,Missed,,,,,,,,,,,,,,,,,,,
272,PT02M42.00S,2022-03-22T23:58:11.3Z,2,REGULAR,rebound,defensive,[],1630175,,,1610612753,41,34,2022-03-22T23:58:13Z,2710000,,,0,,C. Anthony REBOUND (Off:0 Def:4),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,271.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
273,PT02M32.00S,2022-03-22T23:58:22.2Z,2,REGULAR,3pt,Jump Shot,[],1630181,32.14520367936925,52.20588235294118,1610612753,41,34,2022-03-22T23:58:28Z,2720000,-11.0,250.0,1,left,MISS R. Hampton 24' pullup 3PT,[1630181],1610612753.0,ORL,pullup,,,Hampton,R. Hampton,,,,,24.99,Missed,,,,,,,,,,,,,,,,,,,
274,PT02M26.00S,2022-03-22T23:58:28.2Z,2,REGULAR,rebound,defensive,[],203952,,,1610612744,41,34,2022-03-22T23:58:28Z,2730000,,,0,,A. Wiggins REBOUND (Off:0 Def:3),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,273.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
275,PT02M09.00S,2022-03-22T23:58:43.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,92.19776609724047,45.34313725490196,1610612744,41,36,2022-03-22T23:58:48Z,2740000,-23.0,21.0,1,right,J. Kuminga cutting Layup (10 PTS) (D. Green 4 AST),"[1630228, 203110]",1610612744.0,GSW,cutting,,,Kuminga,J. Kuminga,,,,,3.12,Made,,,,,,,,,,10.0,D. Green,203110.0,4.0,,,,,,
277,PT02M03.00S,2022-03-22T23:58:50.4Z,2,REGULAR,3pt,Jump Shot,[],1628964,25.312089356110377,14.950980392156863,1610612753,41,36,2022-03-22T23:58:54Z,2760000,175.0,185.0,1,left,MISS M. Bamba 25' 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.51,Missed,,,,,,,,,,,,,,,,,,,
278,PT02M00.00S,2022-03-22T23:58:53.5Z,2,REGULAR,rebound,offensive,[],1628976,,,1610612753,41,36,2022-03-22T23:58:53Z,2770000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:3),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,277.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
279,PT01M55.00S,2022-03-22T23:59:01.4Z,2,REGULAR,foul,personal,['2freethrow'],1630228,,,1610612753,41,36,2022-03-22T23:59:18Z,2780000,,,0,,J. Kuminga shooting personal FOUL (2 PF) (Carter Jr. 2 FT),"[1630228, 1628976]",1610612744.0,GSW,shooting,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,1627962.0,2.0,0.0,Carter Jr.,1628976.0,
281,PT01M55.00S,2022-03-22T23:59:33.3Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628976,,,1610612753,41,36,2022-03-22T23:59:33Z,2800000,,,0,,MISS W. Carter Jr. Free Throw 1 of 2,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Missed,,,,,,,,,,,,,,,,,,,
282,PT01M55.00S,2022-03-22T23:59:33.3Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,41,36,2022-03-22T23:59:33Z,2810000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,281.0,,,,,,,,,,,,,,,,,,
283,PT01M55.00S,2022-03-22T23:59:34.6Z,2,REGULAR,substitution,out,[],1627814,,,1610612753,41,36,2022-03-22T23:59:41Z,2820000,,,0,,SUB out: D. Lee,[1627814],1610612744.0,GSW,,,,Lee,D. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
284,PT01M55.00S,2022-03-22T23:59:34.6Z,2,REGULAR,substitution,in,[],202691,,,1610612753,41,36,2022-03-22T23:59:41Z,2830000,,,0,,SUB in: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
285,PT01M55.00S,2022-03-22T23:59:54.7Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1628976,,,1610612753,42,36,2022-03-22T23:59:54Z,2840000,,,0,,W. Carter Jr. Free Throw 2 of 2 (7 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,,,,,,,,,,7.0,,,,,,,,,
286,PT01M34.00S,2022-03-23T00:00:17.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630228,90.62089356110381,45.588235294117645,1610612744,42,36,2022-03-23T00:00:24Z,2850000,-22.0,36.0,1,right,MISS J. Kuminga driving Layup,[1630228],1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,4.2,Missed,,,,,,,,,,,,,,,,,,,
287,PT01M34.00S,2022-03-23T00:00:17.2Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612753,42,36,2022-03-23T00:00:24Z,2860000,,,0,,TEAM defensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,286.0,,,,,,,,,,,,,,,,,,
288,PT01M34.00S,2022-03-23T00:00:26.4Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630228,,,1610612753,42,36,2022-03-23T00:02:20Z,2870000,,,0,,J. Kuminga personal FOUL (3 PF) (Bamba 2 FT),"[1630228, 1628964]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,1627962.0,3.0,0.0,Bamba,1628964.0,
290,PT01M34.00S,2022-03-23T00:00:52.7Z,2,REGULAR,freethrow,1 of 2,[],1628964,,,1610612753,42,36,2022-03-23T00:00:52Z,2890000,,,0,,MISS M. Bamba Free Throw 1 of 2,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,Missed,,,,,,,,,,,,,,,,,,,
291,PT01M34.00S,2022-03-23T00:00:52.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,42,36,2022-03-23T00:00:52Z,2900000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,290.0,,,,,,,,,,,,,,,,,,
292,PT01M34.00S,2022-03-23T00:00:53.8Z,2,REGULAR,substitution,out,[],1630228,,,1610612753,42,36,2022-03-23T00:01:07Z,2910000,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,
293,PT01M34.00S,2022-03-23T00:00:53.8Z,2,REGULAR,substitution,in,[],203490,,,1610612753,42,36,2022-03-23T00:01:07Z,2920000,,,0,,SUB in: O. Porter Jr.,[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT01M34.00S,2022-03-23T00:01:13.0Z,2,REGULAR,freethrow,2 of 2,[],1628964,,,1610612753,43,36,2022-03-23T00:01:13Z,2930000,,,0,,M. Bamba Free Throw 2 of 2 (3 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
295,PT01M19.00S,2022-03-23T00:01:27.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,91.01511169513797,52.20588235294118,1610612744,43,36,2022-03-23T00:01:32Z,2940000,11.0,32.0,1,right,MISS J. Poole running Layup,[1629673],1610612744.0,GSW,running,,,Poole,J. Poole,,,,,3.38,Missed,,,,,,,,,,,,,,,,,,,
296,PT01M17.00S,2022-03-23T00:01:29.9Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,43,36,2022-03-23T00:01:32Z,2950000,,,0,,R. Hampton REBOUND (Off:0 Def:2),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,295.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
297,PT01M14.00S,2022-03-23T00:01:37.6Z,2,REGULAR,foul,offensive,[],1628964,,,1610612753,43,36,2022-03-23T00:02:40Z,2960000,,,0,,M. Bamba off-the-ball offensive FOUL (1 PF),"[1628964, 1629673]",1610612753.0,ORL,off-the-ball,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,1204.0,1.0,0.0,Poole,1629673.0,
299,PT01M14.00S,2022-03-23T00:01:37.6Z,2,REGULAR,turnover,offensive foul,[],1628964,,,1610612753,43,36,2022-03-23T00:02:40Z,2980000,,,0,,M. Bamba offensive foul TURNOVER (2 TO),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,,,,,2.0,,,,,,,,,1627962.0,,,,,
309,PT00M50.50S,2022-03-23T00:02:02.9Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],202691,90.75229960578186,7.598039215686274,1610612744,43,38,2022-03-23T00:05:23Z,2990000,-212.0,34.0,1,right,K. Thompson 21' pullup Jump Shot (8 PTS),[202691],1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,21.48,Made,,,,,,,,,,8.0,,,,,,,,,
302,PT00M29.10S,2022-03-23T00:03:17.1Z,2,REGULAR,3pt,Jump Shot,[],1628976,31.61957950065703,61.274509803921575,1610612753,46,38,2022-03-23T00:05:29Z,3010000,-56.0,245.0,1,left,W. Carter Jr. 25' 3PT pullup (10 PTS) (C. Anthony 4 AST),"[1628976, 1630175]",1610612753.0,ORL,pullup,,,Carter Jr.,W. Carter Jr.,,,,,25.11,Made,,,,,,,,,,10.0,C. Anthony,1630175.0,4.0,,,,,,
304,PT00M02.30S,2022-03-23T00:03:47.7Z,2,REGULAR,3pt,Jump Shot,[],203952,79.71419185282524,5.88235294117647,1610612744,46,38,2022-03-23T00:03:51Z,3030000,-221.0,138.0,1,right,MISS A. Wiggins 26' pullup 3PT,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,26.03,Missed,,,,,,,,,,,,,,,,,,,
305,PT00M00.10S,2022-03-23T00:03:50.0Z,2,REGULAR,rebound,defensive,[],1628976,,,1610612753,46,38,2022-03-23T00:03:50Z,3040000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:4),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,304.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
306,PT00M00.00S,2022-03-23T00:03:52.9Z,2,REGULAR,3pt,Jump Shot,[],1628976,55.92969776609724,48.03921568627451,1610612753,46,38,2022-03-23T00:06:03Z,3050000,10.0,473.0,1,left,MISS W. Carter Jr. 47' running 3PT,[1628976],1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,47.33,Missed,,,,,,,,,,,,,,,,,,,
307,PT00M00.00S,2022-03-23T00:03:52.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612753,46,38,2022-03-23T00:06:03Z,3060000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,306.0,,,,,,,,,,,,,,,,,,
308,PT00M00.00S,2022-03-23T00:03:56.8Z,2,REGULAR,period,end,[],0,,,1610612753,46,38,2022-03-23T00:03:56Z,3070000,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT12M00.00S,2022-03-23T00:18:21.5Z,3,REGULAR,substitution,out,['startperiod'],203110,,,1610612753,46,38,2022-03-23T00:19:23Z,3080000,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT12M00.00S,2022-03-23T00:18:21.5Z,3,REGULAR,substitution,in,['startperiod'],1626172,,,1610612753,46,38,2022-03-23T00:19:23Z,3090000,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2022-03-23T00:19:19.5Z,3,REGULAR,period,start,[],0,,,1610612753,46,38,2022-03-23T00:19:23Z,3100000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT11M36.00S,2022-03-23T00:19:42.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,90.88370565045992,50.49019607843137,1610612753,46,38,2022-03-23T00:19:48Z,3110000,2.0,33.0,1,right,MISS F. Wagner driving Layup,[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,3.33,Missed,,,,,,,,,,,,,,,,,,,
314,PT11M32.00S,2022-03-23T00:19:46.1Z,3,REGULAR,rebound,defensive,[],203490,,,1610612744,46,38,2022-03-23T00:19:46Z,3120000,,,0,,O. Porter Jr. REBOUND (Off:1 Def:5),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,313.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
315,PT11M16.00S,2022-03-23T00:20:10.1Z,3,REGULAR,foul,technical,['1freethrow'],1628964,,,1610612744,46,38,2022-03-23T00:20:27Z,3130000,,,0,,M. Bamba defensive-3-second technical FOUL (1 Tech),[1628964],1610612753.0,ORL,defensive-3-second,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,1146.0,1.0,1.0,,,
316,PT11M16.00S,2022-03-23T00:20:28.7Z,3,REGULAR,freethrow,1 of 1,[],202691,,,1610612744,46,39,2022-03-23T00:20:28Z,3140000,,,0,,K. Thompson technical Free Throw 1 of 1 (9 PTS),[202691],1610612744.0,GSW,technical,,,Thompson,K. Thompson,,,,,,Made,,,,,,,,,,9.0,,,,,,,,,
317,PT11M03.00S,2022-03-23T00:20:55.3Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,16.90210249671485,49.754901960784316,1610612744,46,39,2022-03-23T00:21:00Z,3150000,1.0,106.0,1,left,MISS A. Wiggins 10' driving floating Shot,[203952],1610612744.0,GSW,driving floating,,,Wiggins,A. Wiggins,,,,,10.64,Missed,,,,,,,,,,,,,,,,,,,
318,PT10M59.00S,2022-03-23T00:20:59.3Z,3,REGULAR,rebound,offensive,[],203952,,,1610612744,46,39,2022-03-23T00:21:00Z,3160000,,,0,,A. Wiggins REBOUND (Off:1 Def:3),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,317.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
319,PT10M58.00S,2022-03-23T00:20:59.6Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,25.443495400788436,81.61764705882352,1610612744,46,39,2022-03-23T00:21:05Z,3170000,-158.0,187.0,1,left,MISS J. Poole 24' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,24.46,Missed,,,,,,,,,,,,,,,,,,,
320,PT10M55.00S,2022-03-23T00:21:02.6Z,3,REGULAR,rebound,offensive,[],203490,,,1610612744,46,39,2022-03-23T00:21:05Z,3180000,,,0,,O. Porter Jr. REBOUND (Off:2 Def:5),[203490],1610612744.0,GSW,,,,Porter Jr.,O. Porter Jr.,,,,,,,319.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
321,PT10M55.00S,2022-03-23T00:21:04.5Z,3,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203490,5.590000152587891,50.0,1610612744,46,39,2022-03-23T00:21:14Z,3190000,0.0,0.0,1,left,MISS O. Porter Jr. tip Layup,[203490],1610612744.0,GSW,tip,,,Porter Jr.,O. Porter Jr.,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
322,PT10M55.00S,2022-03-23T00:21:04.5Z,3,REGULAR,rebound,offensive,['team'],0,,,1610612744,46,39,2022-03-23T00:21:14Z,3200000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,321.0,,,,,,,,,,,,,,,,,,
323,PT10M55.00S,2022-03-23T00:21:14.2Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,46,39,2022-03-23T00:21:14Z,3210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,PT10M53.00S,2022-03-23T00:21:23.3Z,3,REGULAR,3pt,Jump Shot,['2ndchance'],202691,22.421156373193167,86.76470588235294,1610612744,46,42,2022-03-23T00:21:28Z,3220000,-184.0,158.0,1,left,K. Thompson 24' 3PT  (12 PTS) (J. Poole 3 AST),"[202691, 1629673]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,24.26,Made,,,,,,,,,,12.0,J. Poole,1629673.0,3.0,,,,,,
326,PT10M41.00S,2022-03-23T00:21:34.7Z,3,REGULAR,3pt,Jump Shot,[],1628976,75.3777923784494,11.029411764705882,1610612753,46,42,2022-03-23T00:21:39Z,3240000,-195.0,179.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,,
327,PT10M38.00S,2022-03-23T00:21:37.7Z,3,REGULAR,rebound,defensive,[],203952,,,1610612744,46,42,2022-03-23T00:21:39Z,3250000,,,0,,A. Wiggins REBOUND (Off:1 Def:4),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,326.0,5.0,4.0,1.0,,,,,,,,,,,,,,,
328,PT10M35.00S,2022-03-23T00:21:43.9Z,3,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612744,46,42,2022-03-23T00:22:07Z,3260000,,,0,,M. Bamba shooting personal FOUL (2 PF) (Looney 2 FT),"[1628964, 1626172]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,1627962.0,2.0,1.0,Looney,1626172.0,
330,PT10M35.00S,2022-03-23T00:22:09.1Z,3,REGULAR,freethrow,1 of 2,['fastbreak'],1626172,,,1610612744,46,42,2022-03-23T00:22:09Z,3280000,,,0,,MISS K. Looney Free Throw 1 of 2,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Missed,,,,,,,,,,,,,,,,,,,
331,PT10M35.00S,2022-03-23T00:22:09.1Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,46,42,2022-03-23T00:22:09Z,3290000,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,,,,
332,PT10M35.00S,2022-03-23T00:22:24.8Z,3,REGULAR,freethrow,2 of 2,['fastbreak'],1626172,,,1610612744,46,43,2022-03-23T00:22:24Z,3300000,,,0,,K. Looney Free Throw 2 of 2 (3 PTS),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,Made,,,,,,,,,,3.0,,,,,,,,,
333,PT10M19.00S,2022-03-23T00:22:41.1Z,3,REGULAR,turnover,bad pass,[],1630532,,,1610612753,46,43,2022-03-23T00:22:47Z,3310000,,,0,,F. Wagner bad pass TURNOVER (1 TO),"[1630532, 202691]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,1.0,Thompson,202691.0,,,,,,,,,,,,
334,PT10M19.00S,2022-03-23T00:22:41.1Z,3,REGULAR,steal,,[],202691,,,1610612744,46,43,2022-03-23T00:22:43Z,3320000,,,0,,K. Thompson STEAL (2 STL),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT10M14.00S,2022-03-23T00:22:47.4Z,3,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202691,11.908672798948752,64.4607843137255,1610612744,46,43,2022-03-23T00:22:53Z,3330000,-72.0,59.0,1,left,MISS K. Thompson 9' turnaround Shot,[202691],1610612744.0,GSW,turnaround,,,Thompson,K. Thompson,,,,,9.36,Missed,,,,,,,,,,,,,,,,,,,
336,PT10M10.00S,2022-03-23T00:22:50.5Z,3,REGULAR,rebound,offensive,[],1626172,,,1610612744,46,43,2022-03-23T00:22:50Z,3340000,,,0,,K. Looney REBOUND (Off:1 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,335.0,4.0,3.0,1.0,,,,,,,,,,,,,,,
337,PT10M08.00S,2022-03-23T00:22:52.0Z,3,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203952,32.14520367936925,49.01960784313725,1610612744,46,43,2022-03-23T00:22:57Z,3350000,5.0,250.0,1,left,MISS A. Wiggins 24' 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,24.97,Missed,,,,,,,,,,,,,,,,,,,
338,PT10M04.00S,2022-03-23T00:22:56.0Z,3,REGULAR,rebound,defensive,[],1628976,,,1610612753,46,43,2022-03-23T00:22:57Z,3360000,,,0,,W. Carter Jr. REBOUND (Off:1 Def:5),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,337.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
339,PT09M51.00S,2022-03-23T00:23:08.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,91.93495400788436,44.11764705882353,1610612753,48,43,2022-03-23T00:23:12Z,3370000,-29.0,23.0,1,right,F. Wagner driving Layup (10 PTS),[1630532],1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,3.75,Made,,,,,,,,,,10.0,,,,,,,,,
340,PT09M35.00S,2022-03-23T00:23:24.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,6.1268068331143235,46.32352941176471,1610612744,48,45,2022-03-23T00:23:30Z,3380000,18.0,5.0,1,left,K. Looney Layup (5 PTS) (O. Porter Jr. 1 AST),"[1626172, 203490]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,1.91,Made,,,,,,,,,,5.0,O. Porter Jr.,203490.0,1.0,,,,,,
342,PT09M23.00S,2022-03-23T00:23:37.8Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,91.40932982917214,44.6078431372549,1610612753,48,45,2022-03-23T00:23:41Z,3400000,-27.0,28.0,1,right,MISS C. Anthony driving Layup,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,3.91,Missed,,,,,,,,,,,,,,,,,,,
343,PT09M22.00S,2022-03-23T00:23:40.3Z,3,REGULAR,rebound,offensive,[],1628976,,,1610612753,48,45,2022-03-23T00:23:40Z,3410000,,,0,,W. Carter Jr. REBOUND (Off:2 Def:5),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,342.0,7.0,5.0,2.0,,,,,,,,,,,,,,,
344,PT09M22.00S,2022-03-23T00:23:42.0Z,3,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628976,92.46057818659659,50.0,1610612753,50,45,2022-03-23T00:23:49Z,3420000,0.0,18.0,1,right,W. Carter Jr. putback Layup (12 PTS),[1628976],1610612753.0,ORL,putback,,,Carter Jr.,W. Carter Jr.,,,,,1.84,Made,,,,,,,,,,12.0,,,,,,,,,
345,PT09M22.00S,2022-03-23T00:23:47.6Z,3,REGULAR,foul,personal,['1freethrow'],1626172,,,1610612753,50,45,2022-03-23T00:24:09Z,3430000,,,0,,K. Looney shooting personal FOUL (1 PF) (Carter Jr. 1 FT),"[1626172, 1628976]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,1627962.0,1.0,0.0,Carter Jr.,1628976.0,
347,PT09M22.00S,2022-03-23T00:24:14.1Z,3,REGULAR,freethrow,1 of 1,['2ndchance'],1628976,,,1610612753,51,45,2022-03-23T00:24:14Z,3450000,,,0,,W. Carter Jr. Free Throw 1 of 1 (13 PTS),[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,Made,,,,,,,,,,13.0,,,,,,,,,
348,PT09M10.00S,2022-03-23T00:24:30.6Z,3,REGULAR,stoppage,out-of-bounds,[],0,,,1610612744,51,45,2022-03-23T00:24:30Z,3460000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,PT08M57.00S,2022-03-23T00:24:54.6Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,5.601182654402102,54.65686274509803,1610612744,51,47,2022-03-23T00:25:17Z,3470000,-23.0,0.0,1,left,J. Poole driving reverse Layup (7 PTS),[1629673],1610612744.0,GSW,driving reverse,,,Poole,J. Poole,,,,,2.33,Made,,,,,,,,,,7.0,,,,,,,,,
350,PT08M46.00S,2022-03-23T00:25:05.2Z,3,REGULAR,2pt,Jump Shot,[],1630175,75.3777923784494,28.676470588235293,1610612753,51,47,2022-03-23T00:25:09Z,3480000,-107.0,179.0,1,right,MISS C. Anthony 20' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,20.83,Missed,,,,,,,,,,,,,,,,,,,
351,PT08M43.00S,2022-03-23T00:25:08.2Z,3,REGULAR,rebound,defensive,[],203952,,,1610612744,51,47,2022-03-23T00:25:09Z,3490000,,,0,,A. Wiggins REBOUND (Off:1 Def:5),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,350.0,6.0,5.0,1.0,,,,,,,,,,,,,,,
