actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
254,PT06M11.00S,2022-11-08T00:44:05.2Z,2,REGULAR,3pt,Jump Shot,[],204001,66.04796320630749,50.73529411764706,1610612764,28,33,2022-11-08T00:44:11Z,2440000,4.0,267.0,1,right,K. Porzingis 26' 3PT  (8 PTS) (J. Goodwin 2 AST),"[204001, 1630692]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Center,26.66,Made,8.0,J. Goodwin,1630692.0,2.0,,,,,,,,,,,,,,
256,PT05M55.00S,2022-11-08T00:44:27.0Z,2,REGULAR,foul,personal,[],1630166,,,1610612766,28,33,2022-11-08T00:48:42Z,2460000,,,0,,D. Avdija personal FOUL (2 PF),"[1630166, 1629667]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2714.0,2.0,0.0,McDaniels,1629667.0
258,PT05M55.00S,2022-11-08T00:44:42.0Z,2,REGULAR,substitution,out,[],1630208,,,1610612766,28,33,2022-11-08T00:44:55Z,2480000,,,0,,SUB out: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT05M55.00S,2022-11-08T00:44:42.0Z,2,REGULAR,substitution,out,[],1629667,,,1610612766,28,33,2022-11-08T00:44:55Z,2490000,,,0,,SUB out: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT05M55.00S,2022-11-08T00:44:42.0Z,2,REGULAR,substitution,out,[],1628420,,,1610612766,28,33,2022-11-08T00:44:55Z,2500000,,,0,,SUB out: M. Morris,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT05M55.00S,2022-11-08T00:44:42.0Z,2,REGULAR,substitution,in,[],1626162,,,1610612766,28,33,2022-11-08T00:44:55Z,2510000,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT05M55.00S,2022-11-08T00:44:42.0Z,2,REGULAR,substitution,in,[],203486,,,1610612766,28,33,2022-11-08T00:44:55Z,2520000,,,0,,SUB in: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
263,PT05M55.00S,2022-11-08T00:44:42.0Z,2,REGULAR,substitution,in,[],1630264,,,1610612766,28,33,2022-11-08T00:44:55Z,2530000,,,0,,SUB in: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
264,PT05M49.00S,2022-11-08T00:44:58.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",204001,,,1610612766,28,33,2022-11-08T00:45:15Z,2540000,,,0,,K. Porzingis shooting personal FOUL (1 PF) (Plumlee 2 FT),"[204001, 203486]",1610612764.0,WAS,shooting,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Plumlee,203486.0
266,PT05M49.00S,2022-11-08T00:45:23.2Z,2,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,28,33,2022-11-08T00:45:23Z,2560000,,,0,,MISS M. Plumlee Free Throw 1 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
267,PT05M49.00S,2022-11-08T00:45:23.2Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612766,28,33,2022-11-08T00:45:23Z,2570000,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,266.0,,,,,,,,,,,,,
268,PT05M49.00S,2022-11-08T00:45:38.7Z,2,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,29,33,2022-11-08T00:45:38Z,2580000,,,0,,M. Plumlee Free Throw 2 of 2 (3 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
269,PT05M31.00S,2022-11-08T00:45:58.1Z,2,REGULAR,3pt,Jump Shot,[],1630166,69.99014454664915,23.284313725490197,1610612764,29,33,2022-11-08T00:46:05Z,2590000,-134.0,230.0,1,right,MISS D. Avdija 26' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,26.56,Missed,,,,,,,,,,,,,,,,,,
270,PT05M28.00S,2022-11-08T00:46:01.3Z,2,REGULAR,rebound,defensive,[],203486,,,1610612766,29,33,2022-11-08T00:46:01Z,2600000,,,0,,M. Plumlee REBOUND (Off:3 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,,,,,269.0,5.0,2.0,3.0,,,,,,,,,,
271,PT05M16.00S,2022-11-08T00:46:12.5Z,2,REGULAR,3pt,Jump Shot,[],1626162,32.14520367936925,34.068627450980394,1610612766,29,33,2022-11-08T00:46:18Z,2610000,80.0,250.0,1,left,MISS K. Oubre Jr. 26' 3PT,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,26.21,Missed,,,,,,,,,,,,,,,,,,
272,PT05M14.00S,2022-11-08T00:46:14.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612764,29,33,2022-11-08T00:46:18Z,2620000,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,271.0,,,,,,,,,,,,,
274,PT04M56.00S,2022-11-08T00:46:47.5Z,2,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612764,29,33,2022-11-08T00:47:08Z,2640000,,,0,,K. Oubre Jr. shooting personal FOUL (2 PF) (Avdija 2 FT),"[1626162, 1630166]",1610612766.0,CHA,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2714.0,2.0,0.0,Avdija,1630166.0
276,PT04M56.00S,2022-11-08T00:47:14.5Z,2,REGULAR,freethrow,1 of 2,[],1630166,,,1610612764,29,33,2022-11-08T00:47:14Z,2660000,,,0,,MISS D. Avdija Free Throw 1 of 2,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
277,PT04M56.00S,2022-11-08T00:47:14.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,29,33,2022-11-08T00:47:14Z,2670000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,276.0,,,,,,,,,,,,,
278,PT04M56.00S,2022-11-08T00:47:29.1Z,2,REGULAR,freethrow,2 of 2,[],1630166,,,1610612764,29,34,2022-11-08T00:47:29Z,2680000,,,0,,D. Avdija Free Throw 2 of 2 (1 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
279,PT04M39.00S,2022-11-08T00:47:46.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,6.915243101182654,55.14705882352941,1610612766,29,34,2022-11-08T00:47:57Z,2690000,-26.0,13.0,1,left,MISS K. Oubre Jr. driving Layup,[1626162],1610612766.0,CHA,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.86,Missed,,,,,,,,,,,,,,,,,,
280,PT04M37.00S,2022-11-08T00:47:48.3Z,2,REGULAR,rebound,offensive,[],203486,,,1610612766,29,34,2022-11-08T00:47:48Z,2700000,,,0,,M. Plumlee REBOUND (Off:4 Def:2),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,,279.0,6.0,2.0,4.0,,,,,,,,,,
281,PT04M37.00S,2022-11-08T00:47:51.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630550,8.623521681997373,49.754901960784316,1610612766,31,34,2022-11-08T00:48:02Z,2710000,1.0,29.0,1,left,J. Thor driving Layup (2 PTS) (T. Maledon 1 AST),"[1630550, 1630177]",1610612766.0,CHA,driving,,,Thor,J. Thor,,,,,Restricted Area,0-8 Center,2.86,Made,2.0,T. Maledon,1630177.0,1.0,,,,,,,,,,,,,,
283,PT04M37.00S,2022-11-08T00:47:57.6Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630166,,,1610612766,31,34,2022-11-08T00:48:07Z,2730000,,,0,,D. Avdija shooting personal FOUL (3 PF) (Thor 1 FT),"[1630166, 1630550]",1610612764.0,WAS,shooting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2714.0,3.0,0.0,Thor,1630550.0
285,PT04M37.00S,2022-11-08T00:48:09.1Z,2,REGULAR,substitution,out,[],1630166,,,1610612766,31,34,2022-11-08T00:48:42Z,2750000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
286,PT04M37.00S,2022-11-08T00:48:09.1Z,2,REGULAR,substitution,in,[],1628398,,,1610612766,31,34,2022-11-08T00:48:42Z,2760000,,,0,,SUB in: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
287,PT04M37.00S,2022-11-08T00:48:18.2Z,2,REGULAR,freethrow,1 of 1,['2ndchance'],1630550,,,1610612766,32,34,2022-11-08T00:48:18Z,2770000,,,0,,J. Thor Free Throw 1 of 1 (3 PTS),[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
288,PT04M10.00S,2022-11-08T00:48:46.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,87.72996057818659,38.48039215686275,1610612764,32,34,2022-11-08T00:48:50Z,2780000,-58.0,63.0,1,right,MISS K. Porzingis 8' Jump Shot,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Left,8.52,Missed,,,,,,,,,,,,,,,,,,
289,PT04M08.00S,2022-11-08T00:48:48.9Z,2,REGULAR,rebound,defensive,[],1626162,,,1610612766,32,34,2022-11-08T00:48:48Z,2790000,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,288.0,1.0,1.0,0.0,,,,,,,,,,
290,PT04M03.00S,2022-11-08T00:48:57.7Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630692,,,1610612766,32,34,2022-11-08T00:49:18Z,2800000,,,0,,J. Goodwin personal FOUL (1 PF) (Plumlee 2 FT),"[1630692, 203486]",1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Plumlee,203486.0
292,PT04M03.00S,2022-11-08T00:49:24.5Z,2,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,33,34,2022-11-08T00:49:49Z,2820000,,,0,,M. Plumlee Free Throw 1 of 2 (4 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
293,PT04M03.00S,2022-11-08T00:49:27.4Z,2,REGULAR,substitution,out,[],1630550,,,1610612766,33,34,2022-11-08T00:49:31Z,2830000,,,0,,SUB out: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
294,PT04M03.00S,2022-11-08T00:49:27.4Z,2,REGULAR,substitution,in,[],1629667,,,1610612766,33,34,2022-11-08T00:49:31Z,2840000,,,0,,SUB in: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
295,PT04M03.00S,2022-11-08T00:49:24.5Z,2,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,33,34,2022-11-08T00:49:49Z,2850000,,,0,,MISS M. Plumlee Free Throw 2 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
296,PT03M59.00S,2022-11-08T00:49:28.5Z,2,REGULAR,rebound,defensive,[],204001,,,1610612764,33,34,2022-11-08T00:49:49Z,2860000,,,0,,K. Porzingis REBOUND (Off:1 Def:3),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,,,,,,295.0,4.0,3.0,1.0,,,,,,,,,,
297,PT03M43.00S,2022-11-08T00:50:04.4Z,2,REGULAR,3pt,Jump Shot,[],203115,86.5473061760841,3.9215686274509802,1610612764,33,34,2022-11-08T00:50:22Z,2870000,-230.0,74.0,1,right,MISS W. Barton 24' 3PT,[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,Left Corner 3,24+ Left,24.2,Missed,,,,,,,,,,,,,,,,,,
298,PT03M38.00S,2022-11-08T00:50:09.4Z,2,REGULAR,rebound,offensive,[],1630692,,,1610612764,33,34,2022-11-08T00:50:57Z,2880000,,,0,,J. Goodwin REBOUND (Off:1 Def:2),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Left Corner 3,24+ Left,,,,,,,297.0,3.0,2.0,1.0,,,,,,,,,,
299,PT03M38.00S,2022-11-08T00:50:10.0Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630692,94.40999984741211,50.0,1610612764,33,36,2022-11-08T00:50:51Z,2890000,0.0,0.0,1,right,J. Goodwin putback Layup (7 PTS),[1630692],1610612764.0,WAS,putback,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,0.0,Made,7.0,,,,,,,,,,,,,,,,,
300,PT03M38.00S,2022-11-08T00:50:20.2Z,2,REGULAR,foul,technical,"['inpenalty', '1freethrow']",1630692,,,1610612766,33,36,2022-11-08T00:50:37Z,2900000,,,0,,J. Goodwin technical FOUL (1 Tech),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,2714.0,1.0,1.0,,
301,PT03M38.00S,2022-11-08T00:50:38.0Z,2,REGULAR,freethrow,1 of 1,[],1626162,,,1610612766,34,36,2022-11-08T00:50:38Z,2910000,,,0,,K. Oubre Jr. technical Free Throw 1 of 1 (6 PTS),[1626162],1610612766.0,CHA,technical,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
302,PT03M29.00S,2022-11-08T00:51:00.5Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,5.863994743758213,51.71568627450981,1610612766,36,36,2022-11-08T00:51:05Z,2920000,-9.0,3.0,1,left,K. Oubre Jr. DUNK (8 PTS) (M. Plumlee 2 AST),"[1626162, 203486]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,0.9,Made,8.0,M. Plumlee,203486.0,2.0,,,,,,,,,,,,,,
304,PT03M29.00S,2022-11-08T00:51:04.1Z,2,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630264,,,1610612766,36,36,2022-11-08T00:51:22Z,2940000,,,0,,A. Gill shooting personal FOUL (3 PF) (Oubre Jr. 1 FT),"[1630264, 1626162]",1610612764.0,WAS,shooting,,,Gill,A. Gill,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1628953.0,3.0,0.0,Oubre Jr.,1626162.0
306,PT03M29.00S,2022-11-08T00:51:23.3Z,2,REGULAR,substitution,out,[],1630177,,,1610612766,36,36,2022-11-08T00:52:04Z,2960000,,,0,,SUB out: T. Maledon,[1630177],1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT03M29.00S,2022-11-08T00:51:23.3Z,2,REGULAR,substitution,in,[],1626179,,,1610612766,36,36,2022-11-08T00:52:04Z,2970000,,,0,,SUB in: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT03M29.00S,2022-11-08T00:51:39.8Z,2,REGULAR,freethrow,1 of 1,[],1626162,,,1610612766,37,36,2022-11-08T00:51:39Z,2980000,,,0,,K. Oubre Jr. Free Throw 1 of 1 (9 PTS),[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
309,PT03M17.00S,2022-11-08T00:51:51.0Z,2,REGULAR,2pt,Jump Shot,[],204001,76.69185282522996,50.73529411764706,1610612764,37,38,2022-11-08T00:51:56Z,2990000,4.0,167.0,1,right,K. Porzingis 16' Jump Shot (10 PTS) (J. Goodwin 3 AST),"[204001, 1630692]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Center,16.66,Made,10.0,J. Goodwin,1630692.0,3.0,,,,,,,,,,,,,,
310,PT03M05.00S,2022-11-08T00:52:02.7Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203486,10.200394218134035,49.50980392156863,1610612766,37,38,2022-11-08T00:52:08Z,3000000,2.0,43.0,1,left,MISS M. Plumlee Hook,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,4.35,Missed,,,,,,,,,,,,,,,,,,
311,PT03M05.00S,2022-11-08T00:52:02.7Z,2,REGULAR,rebound,defensive,[],1628398,,,1610612764,37,38,2022-11-08T00:52:08Z,3010000,,,0,,K. Kuzma REBOUND (Off:0 Def:3),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,,,,310.0,3.0,3.0,0.0,,,,,,,,,,
312,PT03M05.00S,2022-11-08T00:52:13.8Z,2,REGULAR,turnover,out-of-bounds,[],1628398,,,1610612764,37,38,2022-11-08T00:52:23Z,3020000,,,0,,K. Kuzma step out-of-bounds TURNOVER (2 TO),[1628398],1610612764.0,WAS,step,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,2.0,,,,,1628953.0,,,,
314,PT02M53.00S,2022-11-08T00:52:30.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629667,33.196452036793694,41.42156862745098,1610612766,40,38,2022-11-08T00:52:36Z,3030000,43.0,260.0,1,left,J. McDaniels 26' 3PT  (5 PTS) (D. Smith Jr. 3 AST),"[1629667, 1628372]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,26.3,Made,5.0,D. Smith Jr.,1628372.0,3.0,,,,,,,,,,,,,,
316,PT02M35.00S,2022-11-08T00:52:49.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630264,92.46057818659659,49.754901960784316,1610612764,40,40,2022-11-08T00:52:53Z,3050000,-1.0,18.0,1,right,A. Gill cutting Layup (4 PTS) (J. Goodwin 4 AST),"[1630264, 1630692]",1610612764.0,WAS,cutting,,,Gill,A. Gill,,,,,Restricted Area,0-8 Center,1.84,Made,4.0,J. Goodwin,1630692.0,4.0,,,,,,,,,,,,,,
318,PT02M24.00S,2022-11-08T00:52:59.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,18.347568988173457,53.92156862745098,1610612766,42,40,2022-11-08T00:53:04Z,3070000,-20.0,120.0,1,left,T. Rozier 12' pullup Jump Shot (8 PTS) (M. Plumlee 3 AST),"[1626179, 203486]",1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,12.16,Made,8.0,M. Plumlee,203486.0,3.0,,,,,,,,,,,,,,
319,PT02M23.00S,2022-11-08T00:53:14.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,42,40,2022-11-08T00:53:14Z,3080000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT02M07.00S,2022-11-08T00:56:13.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630692,92.9862023653088,47.30392156862745,1610612764,42,42,2022-11-08T00:56:18Z,3090000,-13.0,13.0,1,right,J. Goodwin driving finger roll Layup (9 PTS) (K. Porzingis 2 AST),"[1630692, 204001]",1610612764.0,WAS,driving finger roll,,,Goodwin,J. Goodwin,,,,,Restricted Area,0-8 Center,1.9,Made,9.0,K. Porzingis,204001.0,2.0,,,,,,,,,,,,,,
322,PT01M52.00S,2022-11-08T00:56:27.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,7.5722733245729295,48.03921568627451,1610612766,44,42,2022-11-08T00:56:54Z,3100000,10.0,19.0,1,left,K. Oubre Jr. reverse DUNK (11 PTS) (M. Plumlee 4 AST),"[1626162, 203486]",1610612766.0,CHA,reverse,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.11,Made,11.0,M. Plumlee,203486.0,4.0,,,,,,,,,,,,,,
324,PT01M39.00S,2022-11-08T00:56:41.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,89.17542706964521,53.18627450980392,1610612764,44,42,2022-11-08T00:56:48Z,3120000,16.0,49.0,1,right,MISS K. Kuzma driving Layup - blocked,"[1628398, 1628372]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,5.18,Missed,,,,,,,,,,,,Smith Jr.,1628372.0,,,,,
325,PT01M39.00S,2022-11-08T00:56:41.2Z,2,REGULAR,block,,[],1628372,,,1610612764,44,42,2022-11-08T00:56:43Z,3130000,,,0,,D. Smith Jr. BLOCK (2 BLK),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
326,PT01M36.00S,2022-11-08T00:56:44.2Z,2,REGULAR,rebound,defensive,[],1628372,,,1610612766,44,42,2022-11-08T00:56:48Z,3140000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:2),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,324.0,2.0,2.0,0.0,,,,,,,,,,
327,PT01M33.00S,2022-11-08T00:56:46.5Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626162,5.995400788436268,52.450980392156865,1610612766,46,42,2022-11-08T00:58:01Z,3150000,-12.0,4.0,1,left,K. Oubre Jr. running reverse Layup (13 PTS) (D. Smith Jr. 4 AST),"[1626162, 1628372]",1610612766.0,CHA,running reverse,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.29,Made,13.0,D. Smith Jr.,1628372.0,4.0,,,,,,,,,,,,,,
329,PT01M22.00S,2022-11-08T00:57:03.4Z,2,REGULAR,foul,personal,[],1626179,,,1610612764,46,42,2022-11-08T00:59:31Z,3170000,,,0,,T. Rozier personal FOUL (1 PF),"[1626179, 1630692]",1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,203054.0,1.0,0.0,Goodwin,1630692.0
331,PT01M22.00S,2022-11-08T00:57:21.4Z,2,REGULAR,substitution,out,[],1626162,,,1610612764,46,42,2022-11-08T00:57:37Z,3190000,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
332,PT01M22.00S,2022-11-08T00:57:21.4Z,2,REGULAR,substitution,out,[],203486,,,1610612764,46,42,2022-11-08T00:57:37Z,3200000,,,0,,SUB out: M. Plumlee,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,,,,,,,,,,,,,,,,,,,
333,PT01M22.00S,2022-11-08T00:57:21.4Z,2,REGULAR,substitution,out,[],1630264,,,1610612764,46,42,2022-11-08T00:57:37Z,3210000,,,0,,SUB out: A. Gill,[1630264],1610612764.0,WAS,,,,Gill,A. Gill,,,,,,,,,,,,,,,,,,,,,,,,,,
334,PT01M22.00S,2022-11-08T00:57:21.4Z,2,REGULAR,substitution,in,[],1630547,,,1610612764,46,42,2022-11-08T00:57:37Z,3220000,,,0,,SUB in: J. Bouknight,[1630547],1610612766.0,CHA,,,,Bouknight,J. Bouknight,,,,,,,,,,,,,,,,,,,,,,,,,,
335,PT01M22.00S,2022-11-08T00:57:21.4Z,2,REGULAR,substitution,in,[],1630208,,,1610612764,46,42,2022-11-08T00:57:37Z,3230000,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
336,PT01M22.00S,2022-11-08T00:57:21.4Z,2,REGULAR,substitution,in,[],1629060,,,1610612764,46,42,2022-11-08T00:57:37Z,3240000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
356,PT01M22.00S,2022-11-08T00:57:21.4Z,2,REGULAR,substitution,out,[],1630692,,,1610612764,46,42,2022-11-08T01:04:13Z,3245000,,,0,,SUB out: J. Goodwin,[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,
357,PT01M22.00S,2022-11-08T00:57:21.4Z,2,REGULAR,substitution,in,[],1628420,,,1610612764,46,42,2022-11-08T01:04:13Z,3247500,,,0,,SUB in: M. Morris,[1628420],1610612764.0,WAS,,,,Morris,M. Morris,,,,,,,,,,,,,,,,,,,,,,,,,,
338,PT01M16.00S,2022-11-08T00:57:40.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629060,93.38042049934296,50.98039215686274,1610612764,46,44,2022-11-08T00:59:52Z,3250000,5.0,10.0,1,right,R. Hachimura driving Layup (5 PTS),[1629060],1610612764.0,WAS,driving,,,Hachimura,R. Hachimura,,,,,Restricted Area,0-8 Center,1.09,Made,5.0,,,,,,,,,,,,,,,,,
339,PT00M56.90S,2022-11-08T00:57:59.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626179,13.87976346911958,56.127450980392155,1610612766,46,44,2022-11-08T00:58:02Z,3260000,-31.0,78.0,1,left,MISS T. Rozier 8' pullup Shot,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),8-16 Center,8.38,Missed,,,,,,,,,,,,,,,,,,
340,PT00M55.70S,2022-11-08T00:58:00.4Z,2,REGULAR,rebound,defensive,[],203115,,,1610612764,46,44,2022-11-08T00:58:02Z,3270000,,,0,,W. Barton REBOUND (Off:0 Def:3),[203115],1610612764.0,WAS,,,,Barton,W. Barton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,339.0,3.0,3.0,0.0,,,,,,,,,,
