shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
07:23,58,PT07M23.00S,2022-12-10T00:16:18.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203486,92.72339027595268,51.225490196078425,1610612766,9,7,2022-12-10T00:16:25Z,580000,False,6.0,16.0,1,right,M. Plumlee running DUNK (4 PTS),[203486],24,1610612766.0,CHA,running,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,,,,,,1.7,Made,,,,,4.0,,,,,,,,
07:09,59,PT07M09.00S,2022-12-10T00:16:32.1Z,1,REGULAR,3pt,Jump Shot,[],1629628,32.013797634691194,49.754901960784316,1610612752,9,7,2022-12-10T00:16:36Z,590000,False,1.0,248.0,1,left,MISS R. Barrett 24' 3PT,[1629628],9,1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,,,,,,24.84,Missed,,,,,,,,,,,,,
07:06,60,PT07M06.00S,2022-12-10T00:16:35.1Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,9,7,2022-12-10T00:16:36Z,600000,False,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],3,1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Center,,,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,
06:58,61,PT06M58.00S,2022-12-10T00:16:42.9Z,1,REGULAR,3pt,Jump Shot,[],1629667,71.96123521681997,19.11764705882353,1610612766,9,7,2022-12-10T00:16:47Z,610000,False,-154.0,211.0,1,right,MISS J. McDaniels 26' 3PT,[1629667],6,1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Left Center,,,,,,26.15,Missed,,,,,,,,,,,,,
06:55,62,PT06M55.00S,2022-12-10T00:16:45.9Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,7,2022-12-10T00:16:47Z,620000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],30,1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,
06:48,63,PT06M48.00S,2022-12-10T00:16:52.9Z,1,REGULAR,3pt,Jump Shot,[],1628973,5.075558475689881,2.696078431372549,1610612752,9,7,2022-12-10T00:16:58Z,630000,False,237.0,-5.0,1,left,MISS J. Brunson 3PT,[1628973],11,1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Right Corner 3,24+ Right,,,,,,23.65,Missed,,,,,,,,,,,,,
06:43,64,PT06M43.00S,2022-12-10T00:16:57.9Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,9,7,2022-12-10T00:16:58Z,640000,False,,,0,,M. Robinson REBOUND (Off:2 Def:1),[1629011],23,1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Right Corner 3,24+ Right,,,,,,,,63.0,3.0,1.0,2.0,,,,,,,,,
06:40,65,PT06M40.00S,2022-12-10T00:17:00.6Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,9,7,2022-12-10T00:17:06Z,650000,False,,,0,,J. Brunson bad pass TURNOVER (2 TO),"[1628973, 1626162]",11,1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,2.0,Oubre Jr.,1626162.0
06:40,66,PT06M40.00S,2022-12-10T00:17:00.6Z,1,REGULAR,steal,,[],1626162,,,1610612766,9,7,2022-12-10T00:17:02Z,660000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],12,1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
06:38,67,PT06M38.00S,2022-12-10T00:17:05.2Z,1,REGULAR,foul,personal,[],1629656,,,1610612766,9,7,2022-12-10T00:22:01Z,670000,False,,,0,,Q. Grimes personal FOUL (1 PF),"[1629656, 1629667]",6,1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,2715.0,1.0,0.0,McDaniels,1629667.0,,,,,,,,,,,,,,,
06:38,69,PT06M38.00S,2022-12-10T00:17:30.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,9,7,2022-12-10T00:17:30Z,690000,False,,,0,,CHA Timeout,[],,1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:38,70,PT06M38.00S,2022-12-10T00:19:14.6Z,1,REGULAR,substitution,out,[],1626179,,,1610612766,9,7,2022-12-10T00:20:01Z,700000,False,,,0,,SUB out: T. Rozier,[1626179],3,1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
06:38,71,PT06M38.00S,2022-12-10T00:19:14.6Z,1,REGULAR,substitution,in,[],1630177,,,1610612766,9,7,2022-12-10T00:20:01Z,710000,False,,,0,,SUB in: T. Maledon,[1630177],9,1610612766.0,CHA,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,,
