actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
533,PT07M22.00S,2026-02-02T02:05:29.2Z,4,REGULAR,rebound,defensive,[],1628404,,,1610612752,97,88,2026-02-02T02:05:29Z,5310000,False,,,0,,J. Hart REBOUND (Off:0 Def:4),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,532.0,4.0,4.0,0.0,,,,,,,,,,,,,,
534,PT07M06.00S,2026-02-02T02:05:44.7Z,4,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642278,11.645860709592641,63.970588235294116,1610612752,97,88,2026-02-02T02:05:49Z,5320000,False,-70.0,57.0,1,left,MISS T. Kolek 9' turnaround fadeaway Shot,[1642278],1610612752.0,NYK,turnaround fadeaway,,,Kolek,T. Kolek,,,,,In The Paint (Non-RA),8-16 Left,9.02,Missed,,,,,,,,,,,,,,,,,,
535,PT07M04.00S,2026-02-02T02:05:46.7Z,4,REGULAR,rebound,defensive,[],1629029,,,1610612747,97,88,2026-02-02T02:05:49Z,5330000,False,,,0,,L. Dončić REBOUND (Off:0 Def:14),[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,In The Paint (Non-RA),8-16 Left,,,534.0,14.0,14.0,0.0,,,,,,,,,,,,,,
536,PT07M02.00S,2026-02-02T02:05:51.2Z,4,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612747,97,88,2026-02-02T02:05:58Z,5340000,False,,,0,,K. Towns shooting personal FOUL (3 PF) (James 2 FT),"[1626157, 2544]",1610612752.0,NYK,shooting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,,,,,203054.0,3.0,0.0,James,2544.0,,,,,
538,PT07M02.00S,2026-02-02T02:06:18.8Z,4,REGULAR,freethrow,1 of 2,['fastbreak'],2544,,,1610612747,97,88,2026-02-02T02:07:24Z,5360000,False,,,0,,MISS L. James Free Throw 1 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
539,PT07M02.00S,2026-02-02T02:06:18.8Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612747,97,88,2026-02-02T02:07:24Z,5370000,False,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,,,538.0,,,,,,,,,,,,,,,,,
540,PT07M02.00S,2026-02-02T02:06:18.9Z,4,REGULAR,substitution,out,[],1642278,,,1610612747,97,88,2026-02-02T02:06:31Z,5380000,False,,,0,,SUB out: T. Kolek,[1642278],1610612752.0,NYK,,,,Kolek,T. Kolek,,,,,,,,,,,,,,,,,,,,,,,,,,
541,PT07M02.00S,2026-02-02T02:06:18.9Z,4,REGULAR,substitution,out,[],1628404,,,1610612747,97,88,2026-02-02T02:06:31Z,5390000,False,,,0,,SUB out: J. Hart,[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,,,,,,,,,
542,PT07M02.00S,2026-02-02T02:06:18.9Z,4,REGULAR,substitution,out,[],203935,,,1610612747,97,88,2026-02-02T02:06:31Z,5400000,False,,,0,,SUB out: M. Smart,[203935],1610612747.0,LAL,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,,
543,PT07M02.00S,2026-02-02T02:06:18.9Z,4,REGULAR,substitution,in,[],1628969,,,1610612747,97,88,2026-02-02T02:06:31Z,5410000,False,,,0,,SUB in: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
