actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
170,PT11M30.00S,2023-12-17T20:39:04.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612753,29,31,2023-12-17T20:39:12Z,1640000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,Above the Break 3,24+ Left Center,,,169.0,,,,,,,,,,,,,,,,,
173,PT11M28.00S,2023-12-17T20:39:23.1Z,2,REGULAR,foul,personal,['2freethrow'],1628369,,,1610612753,29,31,2023-12-17T20:39:36Z,1660000,False,,,0,,J. Tatum shooting personal FOUL (2 PF) (Isaac 2 FT),"[1628369, 1628371]",1610612738.0,BOS,shooting,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1627961.0,,,,,,,2.0,0.0,Isaac,1628371.0
175,PT11M28.00S,2023-12-17T20:39:52.4Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628371,,,1610612753,29,32,2023-12-17T20:39:52Z,1680000,False,,,0,,J. Isaac Free Throw 1 of 2 (1 PTS),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
178,PT11M28.00S,2023-12-17T20:39:52.4Z,2,REGULAR,violation,lane,[],201950,,,1610612753,29,32,2023-12-17T20:40:51Z,1685000,False,,,0,,J. Holiday lane VIOLATION,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M28.00S,2023-12-17T20:39:52.4Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1628371,,,1610612753,29,33,2023-12-17T20:40:51Z,1690000,False,,,0,,J. Isaac Free Throw 2 of 2 (2 PTS),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
179,PT11M09.00S,2023-12-17T20:41:09.6Z,2,REGULAR,3pt,Jump Shot,[],201950,88.38699080157687,4.166666666666666,1610612738,29,33,2023-12-17T20:41:14Z,1710000,False,-229.0,57.0,1,right,MISS J. Holiday 3PT,[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Left Corner 3,24+ Left,23.61,Missed,,,,,,,,,,,,,,,,,,
180,PT11M07.00S,2023-12-17T20:41:11.6Z,2,REGULAR,rebound,offensive,[],1630573,,,1610612738,29,33,2023-12-17T20:41:14Z,1720000,False,,,0,,S. Hauser REBOUND (Off:1 Def:0),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Left Corner 3,24+ Left,,,179.0,1.0,0.0,1.0,,,,,,,,,,,,,,
181,PT11M03.00S,2023-12-17T20:41:23.5Z,2,REGULAR,turnover,backcourt,[],1630573,,,1610612738,29,33,2023-12-17T20:41:32Z,1730000,False,,,0,,S. Hauser backcourt TURNOVER (1 TO),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,201639.0,1.0,,,,,,,,,
182,PT10M52.00S,2023-12-17T20:41:43.3Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1630175,16.63929040735874,74.75490196078431,1610612753,29,33,2023-12-17T20:41:48Z,1740000,False,-124.0,104.0,1,left,MISS C. Anthony 16' pullup Shot,[1630175],1610612753.0,ORL,pullup,,,Anthony,C. Anthony,,,,,Mid-Range,16-24 Left Center,16.16,Missed,,,,,,,,,,,,,,,,,,
183,PT10M49.00S,2023-12-17T20:41:46.3Z,2,REGULAR,rebound,defensive,[],201950,,,1610612738,29,33,2023-12-17T20:41:48Z,1750000,False,,,0,,J. Holiday REBOUND (Off:1 Def:2),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Left Center,,,182.0,3.0,2.0,1.0,,,,,,,,,,,,,,
184,PT10M42.00S,2023-12-17T20:41:52.9Z,2,REGULAR,3pt,Jump Shot,[],1628369,69.46452036793693,21.568627450980394,1610612738,29,33,2023-12-17T20:41:58Z,1760000,False,-142.0,235.0,1,right,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,27.42,Missed,,,,,,,,,,,,,,,,,,
185,PT10M40.00S,2023-12-17T20:41:54.9Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612753,29,33,2023-12-17T20:41:58Z,1770000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Left Center,,,184.0,1.0,1.0,0.0,,,,,,,,,,,,,,
186,PT10M37.00S,2023-12-17T20:41:59.5Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630532,28.33442838370565,81.37254901960785,1610612753,29,33,2023-12-17T21:02:14Z,1780000,False,-157.0,214.0,1,left,MISS F. Wagner 26' running 3PT,[1630532],1610612753.0,ORL,running,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,26.52,Missed,,,,,,,,,,,,,,,,,,
187,PT10M34.00S,2023-12-17T20:42:02.5Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,29,33,2023-12-17T20:42:05Z,1790000,False,,,0,,J. Tatum REBOUND (Off:2 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,186.0,4.0,2.0,2.0,,,,,,,,,,,,,,
188,PT10M29.00S,2023-12-17T20:42:07.3Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628369,92.59198423127464,55.392156862745104,1610612738,31,33,2023-12-17T21:02:47Z,1800000,False,27.0,17.0,1,right,J. Tatum running Layup (11 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.2,Made,,,,,,,11.0,,,,,,,,,,,
189,PT10M12.00S,2023-12-17T20:42:23.4Z,2,REGULAR,3pt,Jump Shot,[],1630532,29.122864651773984,81.12745098039215,1610612753,31,33,2023-12-17T20:42:29Z,1810000,False,-156.0,221.0,1,left,MISS F. Wagner 27' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,27.05,Missed,,,,,,,,,,,,,,,,,,
190,PT10M09.00S,2023-12-17T20:42:26.4Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,31,33,2023-12-17T20:42:29Z,1820000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,,,189.0,1.0,1.0,0.0,,,,,,,,,,,,,,
193,PT09M53.00S,2023-12-17T20:42:42.2Z,2,REGULAR,2pt,Jump Shot,[],1628369,87.46714848883047,74.50980392156863,1610612738,31,33,2023-12-17T20:42:49Z,1830000,False,123.0,65.0,1,right,MISS J. Tatum 13' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,13.88,Missed,,,,,,,,,,,,,,,,,,
194,PT09M51.00S,2023-12-17T20:42:44.2Z,2,REGULAR,rebound,defensive,[],1629021,,,1610612753,31,33,2023-12-17T20:42:49Z,1840000,False,,,0,,M. Wagner REBOUND (Off:0 Def:2),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Mid-Range,8-16 Right,,,193.0,2.0,2.0,0.0,,,,,,,,,,,,,,
195,PT09M41.00S,2023-12-17T20:42:55.8Z,2,REGULAR,3pt,Jump Shot,[],1629021,34.11629434954008,46.32352941176471,1610612753,31,33,2023-12-17T20:43:02Z,1850000,False,18.0,268.0,1,left,MISS M. Wagner 26' 3PT,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Above the Break 3,24+ Center,26.88,Missed,,,,,,,,,,,,,,,,,,
196,PT09M37.00S,2023-12-17T20:42:59.8Z,2,REGULAR,rebound,defensive,[],1630573,,,1610612738,31,33,2023-12-17T20:43:07Z,1860000,False,,,0,,S. Hauser REBOUND (Off:1 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,,,195.0,2.0,1.0,1.0,,,,,,,,,,,,,,
197,PT09M29.00S,2023-12-17T20:43:06.6Z,2,REGULAR,3pt,Jump Shot,[],1630573,67.88764783180025,28.921568627450984,1610612738,31,33,2023-12-17T20:43:11Z,1870000,False,-105.0,249.0,1,right,MISS S. Hauser 27' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Left Center,27.08,Missed,,,,,,,,,,,,,,,,,,
198,PT09M26.00S,2023-12-17T20:43:09.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,31,33,2023-12-17T21:08:25Z,1880000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,197.0,,,,,,,,,,,,,,,,,
199,PT09M26.00S,2023-12-17T20:43:13.2Z,2,REGULAR,foul,personal,[],1629021,,,1610612738,31,33,2023-12-17T21:08:25Z,1890000,False,,,0,,M. Wagner loose ball personal FOUL (2 PF),"[1629021, 1629674]",1610612753.0,ORL,loose ball,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1627961.0,,,,,,,2.0,0.0,Queta,1629674.0
201,PT09M26.00S,2023-12-17T20:43:38.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,31,33,2023-12-17T21:08:25Z,1910000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M15.00S,2023-12-17T20:47:29.6Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",201950,88.51839684625493,41.911764705882355,1610612738,31,33,2023-12-17T21:08:25Z,1930000,False,-40.0,55.0,1,right,MISS J. Holiday 6' driving Hook,[201950],1610612738.0,BOS,driving,,,Holiday,J. Holiday,,,,,In The Paint (Non-RA),0-8 Center,6.86,Missed,,,,,,,,,,,,,,,,,,
205,PT09M14.00S,2023-12-17T20:47:30.6Z,2,REGULAR,rebound,offensive,[],1630202,,,1610612738,31,33,2023-12-17T20:47:36Z,1940000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:1),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,,,204.0,2.0,1.0,1.0,,,,,,,,,,,,,,
206,PT09M09.00S,2023-12-17T20:47:36.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630202,86.81011826544021,3.431372549019608,1610612738,34,33,2023-12-17T21:05:50Z,1950000,False,-233.0,71.0,1,right,P. Pritchard 24' 3PT step back (3 PTS),[1630202],1610612738.0,BOS,step back,,,Pritchard,P. Pritchard,,,,,Left Corner 3,24+ Left,24.35,Made,,,,,,,3.0,,,,,,,,,,,
207,PT08M48.00S,2023-12-17T20:47:56.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,11.12023653088042,45.34313725490196,1610612753,34,33,2023-12-17T20:48:05Z,1960000,False,23.0,52.0,1,left,MISS C. Anthony driving Layup,[1630175],1610612753.0,ORL,driving,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,5.7,Missed,,,,,,,,,,,,,,,,,,
208,PT08M45.00S,2023-12-17T20:47:59.9Z,2,REGULAR,rebound,defensive,[],1629674,,,1610612738,34,33,2023-12-17T20:48:05Z,1970000,False,,,0,,N. Queta REBOUND (Off:0 Def:1),[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,,,207.0,1.0,1.0,0.0,,,,,,,,,,,,,,
209,PT08M41.00S,2023-12-17T20:48:04.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],201950,71.17279894875165,18.627450980392158,1610612738,37,33,2023-12-17T20:48:10Z,1980000,False,-157.0,218.0,1,right,J. Holiday 26' 3PT running pullup (7 PTS),[201950],1610612738.0,BOS,running pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,26.9,Made,,,,,,,7.0,,,,,,,,,,,
210,PT08M18.00S,2023-12-17T20:48:29.9Z,2,REGULAR,foul,personal,['2freethrow'],1630202,,,1610612753,37,33,2023-12-17T20:48:49Z,1990000,False,,,0,,P. Pritchard shooting personal FOUL (1 PF) (Wagner 2 FT),"[1630202, 1629021]",1610612738.0,BOS,shooting,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,201639.0,,,,,,,1.0,0.0,Wagner,1629021.0
213,PT08M18.00S,2023-12-17T20:48:58.7Z,2,REGULAR,freethrow,1 of 2,[],1629021,,,1610612753,37,33,2023-12-17T20:48:58Z,2010000,False,,,0,,MISS M. Wagner Free Throw 1 of 2,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
214,PT08M18.00S,2023-12-17T20:48:58.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,37,33,2023-12-17T20:48:58Z,2020000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,,,213.0,,,,,,,,,,,,,,,,,
215,PT08M18.00S,2023-12-17T20:49:16.8Z,2,REGULAR,freethrow,2 of 2,[],1629021,,,1610612753,37,34,2023-12-17T20:49:16Z,2030000,False,,,0,,M. Wagner Free Throw 2 of 2 (1 PTS),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
216,PT08M07.00S,2023-12-17T20:49:30.8Z,2,REGULAR,foul,offensive,[],1628369,,,1610612738,37,34,2023-12-17T20:51:59Z,2040000,False,,,0,,J. Tatum charge offensive FOUL (3 PF),"[1628369, 1629021]",1610612738.0,BOS,charge,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201639.0,,,,,,,3.0,0.0,Wagner,1629021.0
220,PT08M07.00S,2023-12-17T20:49:30.8Z,2,REGULAR,turnover,offensive foul,[],1628369,,,1610612738,37,34,2023-12-17T20:49:30Z,2055000,False,,,0,,J. Tatum offensive foul TURNOVER (1 TO),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201639.0,1.0,,,,,,,,,
218,PT08M07.00S,2023-12-17T20:49:48.6Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,37,34,2023-12-17T20:49:30Z,2060000,False,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M07.00S,2023-12-17T20:52:10.8Z,2,REGULAR,substitution,out,[],1628369,,,1610612753,37,34,2023-12-17T20:52:26Z,2080000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M07.00S,2023-12-17T20:52:10.8Z,2,REGULAR,substitution,out,[],1630573,,,1610612753,37,34,2023-12-17T20:52:26Z,2090000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M07.00S,2023-12-17T20:52:10.8Z,2,REGULAR,substitution,out,[],1629021,,,1610612753,37,34,2023-12-17T20:52:26Z,2100000,False,,,0,,SUB out: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M07.00S,2023-12-17T20:52:10.8Z,2,REGULAR,substitution,in,[],1627759,,,1610612753,37,34,2023-12-17T20:52:26Z,2110000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M07.00S,2023-12-17T20:52:10.8Z,2,REGULAR,substitution,in,[],201143,,,1610612753,37,34,2023-12-17T20:52:26Z,2120000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M07.00S,2023-12-17T20:52:10.8Z,2,REGULAR,substitution,in,[],1631094,,,1610612753,37,34,2023-12-17T20:52:26Z,2130000,False,,,0,,SUB in: P. Banchero,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M48.00S,2023-12-17T20:53:01.3Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630175,29.38567674113009,76.9607843137255,1610612753,37,34,2023-12-17T21:11:36Z,2140000,False,-135.0,224.0,1,left,MISS C. Anthony 26' step back 3PT,[1630175],1610612753.0,ORL,step back,,,Anthony,C. Anthony,,,,,Above the Break 3,24+ Left Center,26.12,Missed,,,,,,,,,,,,,,,,,,
228,PT07M45.00S,2023-12-17T20:53:04.3Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,37,34,2023-12-17T20:53:06Z,2150000,False,,,0,,J. Brown REBOUND (Off:1 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,227.0,3.0,2.0,1.0,,,,,,,,,,,,,,
229,PT07M35.00S,2023-12-17T20:53:14.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1629674,87.20433639947439,48.28431372549019,1610612738,37,34,2023-12-17T20:53:19Z,2160000,False,-9.0,68.0,1,right,MISS N. Queta 6' turnaround Hook,[1629674],1610612738.0,BOS,turnaround,,,Queta,N. Queta,,,,,In The Paint (Non-RA),0-8 Center,6.83,Missed,,,,,,,,,,,,,,,,,,
230,PT07M33.00S,2023-12-17T20:53:16.8Z,2,REGULAR,rebound,defensive,[],1631094,,,1610612753,37,34,2023-12-17T20:53:19Z,2170000,False,,,0,,P. Banchero REBOUND (Off:0 Def:5),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,229.0,5.0,5.0,0.0,,,,,,,,,,,,,,
231,PT07M30.00S,2023-12-17T20:53:19.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203914,33.065045992115635,18.38235294117647,1610612753,37,34,2023-12-17T20:53:27Z,2180000,False,158.0,258.0,1,left,MISS G. Harris 30' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Right Center,30.28,Missed,,,,,,,,,,,,,,,,,,
232,PT07M27.00S,2023-12-17T20:53:22.7Z,2,REGULAR,rebound,defensive,[],201950,,,1610612738,37,34,2023-12-17T20:53:27Z,2190000,False,,,0,,J. Holiday REBOUND (Off:1 Def:3),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,231.0,4.0,3.0,1.0,,,,,,,,,,,,,,
233,PT07M22.00S,2023-12-17T20:53:27.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201950,92.85479632063075,50.245098039215684,1610612738,39,34,2023-12-17T20:53:33Z,2200000,False,1.0,15.0,1,right,J. Holiday running Layup (9 PTS) (J. Brown 2 AST),"[201950, 1627759]",1610612738.0,BOS,running,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,9.0,,,,,J. Brown,1627759.0,2.0,,,,
235,PT07M05.00S,2023-12-17T20:53:45.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,12.828515111695138,50.245098039215684,1610612753,39,34,2023-12-17T20:53:53Z,2220000,False,-1.0,68.0,1,left,MISS F. Wagner 6' turnaround Hook,[1630532],1610612753.0,ORL,turnaround,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.81,Missed,,,,,,,,,,,,,,,,,,
236,PT07M02.00S,2023-12-17T20:53:48.0Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,39,34,2023-12-17T20:53:53Z,2230000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:2),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,,,235.0,3.0,2.0,1.0,,,,,,,,,,,,,,
237,PT06M55.00S,2023-12-17T20:53:55.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630202,91.67214191852825,59.068627450980394,1610612738,39,34,2023-12-17T20:54:00Z,2240000,False,45.0,26.0,1,right,MISS P. Pritchard driving Layup - blocked,"[1630202, 1628371]",1610612738.0,BOS,driving,,,Pritchard,P. Pritchard,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,Isaac,1628371.0,,,,,,,,,,,,
386,PT06M55.00S,2023-12-17T20:53:55.4Z,2,REGULAR,block,,[],1628371,,,1610612738,39,34,2023-12-17T21:33:54Z,2245000,False,,,0,,J. Isaac BLOCK (1 BLK),[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
238,PT06M52.00S,2023-12-17T20:53:58.4Z,2,REGULAR,rebound,defensive,[],1631094,,,1610612753,39,34,2023-12-17T21:33:54Z,2250000,False,,,0,,P. Banchero REBOUND (Off:0 Def:6),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),0-8 Center,,,237.0,6.0,6.0,0.0,,,,,,,,,,,,,,
239,PT06M38.00S,2023-12-17T20:54:11.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630175,10.200394218134035,37.5,1610612753,39,36,2023-12-17T20:54:17Z,2260000,False,62.0,43.0,1,left,C. Anthony 7' driving floating Jump Shot (2 PTS),[1630175],1610612753.0,ORL,driving floating,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),0-8 Center,7.61,Made,,,,,,,2.0,,,,,,,,,,,
240,PT06M25.00S,2023-12-17T20:54:24.8Z,2,REGULAR,3pt,Jump Shot,[],1627759,68.80749014454665,62.99019607843137,1610612738,39,36,2023-12-17T20:54:30Z,2270000,False,65.0,241.0,1,right,MISS J. Brown 24' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,24.93,Missed,,,,,,,,,,,,,,,,,,
241,PT06M23.00S,2023-12-17T20:54:26.8Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,39,36,2023-12-17T20:54:30Z,2280000,False,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Center,,,240.0,2.0,2.0,0.0,,,,,,,,,,,,,,
242,PT06M18.00S,2023-12-17T20:54:31.9Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631094,29.517082785808146,21.813725490196077,1610612753,39,39,2023-12-17T21:16:16Z,2290000,False,141.0,225.0,1,left,P. Banchero 26' 3PT running pullup (22 PTS),[1631094],1610612753.0,ORL,running pullup,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Right Center,26.55,Made,,,,,,,22.0,,,,,,,,,,,
243,PT06M01.00S,2023-12-17T20:54:48.4Z,2,REGULAR,2pt,Jump Shot,[],201950,80.76544021024968,84.06862745098039,1610612738,41,39,2023-12-17T20:54:53Z,2300000,False,170.0,128.0,1,right,J. Holiday 21' pullup Jump Shot (11 PTS),[201950],1610612738.0,BOS,pullup,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Right Center,21.32,Made,,,,,,,11.0,,,,,,,,,,,
244,PT05M48.00S,2023-12-17T20:55:01.5Z,2,REGULAR,2pt,Jump Shot,[],1631094,7.5722733245729295,25.0,1610612753,41,41,2023-12-17T20:55:08Z,2310000,False,125.0,19.0,1,left,P. Banchero 12' turnaround fadeaway Jump Shot (24 PTS),[1631094],1610612753.0,ORL,turnaround fadeaway,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,12.64,Made,,,,,,,24.0,,,,,,,,,,,
245,PT05M32.00S,2023-12-17T20:55:18.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,81.42247043363994,59.31372549019608,1610612738,43,41,2023-12-17T20:55:23Z,2320000,False,47.0,122.0,1,right,J. Brown 13' floating Jump Shot (4 PTS),[1627759],1610612738.0,BOS,floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,13.07,Made,,,,,,,4.0,,,,,,,,,,,
246,PT05M20.00S,2023-12-17T20:55:29.3Z,2,REGULAR,3pt,Jump Shot,[],1630532,26.231931668856767,84.55882352941177,1610612753,43,41,2023-12-17T20:55:35Z,2330000,False,-173.0,194.0,1,left,MISS F. Wagner 25' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,25.99,Missed,,,,,,,,,,,,,,,,,,
247,PT05M19.00S,2023-12-17T20:55:30.3Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,43,41,2023-12-17T20:55:35Z,2340000,False,,,0,,A. Horford REBOUND (Off:1 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,246.0,3.0,2.0,1.0,,,,,,,,,,,,,,
248,PT05M03.00S,2023-12-17T20:55:47.7Z,2,REGULAR,3pt,Jump Shot,[],201143,71.43561103810775,79.90196078431373,1610612738,46,41,2023-12-17T20:55:53Z,2350000,False,150.0,216.0,1,right,A. Horford 26' 3PT  (5 PTS) (J. Brown 3 AST),"[201143, 1627759]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.27,Made,,,,,,,5.0,,,,,J. Brown,1627759.0,3.0,,,,
250,PT04M45.00S,2023-12-17T20:56:20.3Z,2,REGULAR,turnover,out-of-bounds,[],1630175,,,1610612753,46,41,2023-12-17T20:56:26Z,2370000,False,,,0,,C. Anthony bad pass out-of-bounds TURNOVER (1 TO),[1630175],1610612753.0,ORL,bad pass,,,Anthony,C. Anthony,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,201639.0,1.0,,,,,,,,,
251,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,46,41,2023-12-17T20:56:40Z,2380000,False,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,out,[],1629674,,,1610612738,46,41,2023-12-17T20:56:40Z,2390000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT04M45.00S,2023-12-17T20:56:22.6Z,2,REGULAR,substitution,out,[],1628371,,,1610612738,46,41,2023-12-17T20:56:40Z,2400000,False,,,0,,SUB out: J. Isaac,[1628371],1610612753.0,ORL,,,,Isaac,J. Isaac,,,,,,,,,,,,,,,,,,,,,,,,,,
