actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,playerName,playerNameI,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
171,PT00M39.30S,2023-12-02T01:11:44.4Z,1,REGULAR,foul,personal,"['inpenalty', '1freethrow']",1630573,,,1610612755,41,36,2023-12-02T01:11:54Z,1690000,False,,,0,,S. Hauser shooting personal FOUL (2 PF) (Beverley 1 FT),"[1630573, 201976]",1610612738.0,BOS,shooting,,,,,,Mid-Range,8-16 Right,,Hauser,S. Hauser,,,,,,,,,,,,,,,202007.0,2.0,0.0,Beverley,201976.0
173,PT00M39.30S,2023-12-02T01:11:58.1Z,1,REGULAR,freethrow,1 of 1,[],201976,,,1610612755,41,36,2023-12-02T01:11:58Z,1710000,False,,,0,,MISS P. Beverley Free Throw 1 of 1,[201976],1610612755.0,PHI,,,,,,,,,,Beverley,P. Beverley,,,,Missed,,,,,,,,,,,,,,,
174,PT00M37.90S,2023-12-02T01:11:59.7Z,1,REGULAR,rebound,defensive,[],1629674,,,1610612738,41,36,2023-12-02T01:11:59Z,1720000,False,,,0,,N. Queta REBOUND (Off:1 Def:1),[1629674],1610612738.0,BOS,,,,,,,,,,Queta,N. Queta,,,,,,,,,173.0,2.0,1.0,1.0,,,,,,,
175,PT00M33.50S,2023-12-02T01:12:04.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628401,80.23981603153744,93.87254901960785,1610612738,41,36,2023-12-02T01:17:20Z,1730000,False,219.0,133.0,1,right,MISS D. White 25' running pullup 3PT,[1628401],1610612738.0,BOS,running pullup,,,,,,Above the Break 3,24+ Right Center,,White,D. White,,,25.67,Missed,,,,,,,,,,,,,,,
177,PT00M31.70S,2023-12-02T01:12:09.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,41,36,2023-12-02T01:12:09Z,1740000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,175.0,,,,,,,,,,
179,PT00M13.00S,2023-12-02T01:12:31.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,10.200394218134035,57.35294117647059,1610612755,41,36,2023-12-02T01:18:17Z,1760000,False,-37.0,43.0,1,left,MISS D. Melton driving Layup - blocked,"[1629001, 1630625]",1610612755.0,PHI,driving,,,,,,In The Paint (Non-RA),0-8 Center,,Melton,D. Melton,,,5.69,Missed,,,,,,,,,Banton,1630625.0,,,,,
184,PT00M13.00S,2023-12-02T01:12:31.6Z,1,REGULAR,block,,[],1630625,,,1610612755,41,36,2023-12-02T01:15:49Z,1765000,False,,,0,,D. Banton BLOCK (1 BLK),[1630625],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,
180,PT00M08.20S,2023-12-02T01:12:36.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,41,36,2023-12-02T01:12:36Z,1770000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,White,D. White,,,,,,,,,179.0,1.0,1.0,0.0,,,,,,,
181,PT00M02.70S,2023-12-02T01:12:44.0Z,1,REGULAR,3pt,Jump Shot,[],1630573,79.71419185282524,95.34313725490196,1610612738,44,36,2023-12-02T01:18:57Z,1780000,False,227.0,138.0,1,right,S. Hauser 26' 3PT  (8 PTS) (P. Pritchard 2 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,Hauser,S. Hauser,,,26.55,Made,8.0,P. Pritchard,1630202.0,2.0,,,,,,,,,,,
183,PT00M00.00S,2023-12-02T01:14:09.5Z,1,REGULAR,period,end,[],0,,,1610612755,44,36,2023-12-02T01:14:09Z,1800000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2023-12-02T01:15:58.7Z,2,REGULAR,substitution,out,['startperiod'],1628401,,,1610612755,44,36,2023-12-02T01:16:21Z,1810000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2023-12-02T01:15:58.7Z,2,REGULAR,substitution,out,['startperiod'],1630625,,,1610612755,44,36,2023-12-02T01:16:21Z,1820000,False,,,0,,SUB out: D. Banton,[1630625],1610612738.0,BOS,,,,,,,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2023-12-02T01:15:58.7Z,2,REGULAR,substitution,out,['startperiod'],203496,,,1610612755,44,36,2023-12-02T01:16:21Z,1830000,False,,,0,,SUB out: R. Covington,[203496],1610612755.0,PHI,,,,,,,,,,Covington,R. Covington,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2023-12-02T01:15:58.7Z,2,REGULAR,substitution,in,['startperiod'],1628369,,,1610612755,44,36,2023-12-02T01:16:21Z,1840000,False,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2023-12-02T01:15:58.7Z,2,REGULAR,substitution,in,['startperiod'],201950,,,1610612755,44,36,2023-12-02T01:16:21Z,1850000,False,,,0,,SUB in: J. Holiday,[201950],1610612738.0,BOS,,,,,,,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,
190,PT12M00.00S,2023-12-02T01:15:58.7Z,2,REGULAR,substitution,in,['startperiod'],202694,,,1610612755,44,36,2023-12-02T01:16:21Z,1860000,False,,,0,,SUB in: M. Morris Sr.,[202694],1610612755.0,PHI,,,,,,,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
191,PT12M00.00S,2023-12-02T01:16:32.9Z,2,REGULAR,period,start,[],0,,,1610612738,44,36,2023-12-02T01:16:32Z,1870000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT11M51.00S,2023-12-02T01:16:43.0Z,2,REGULAR,2pt,Jump Shot,[],201950,88.51839684625493,67.15686274509804,1610612738,44,36,2023-12-02T01:16:55Z,1880000,False,86.0,55.0,1,right,MISS J. Holiday 10' driving floating Shot - blocked,"[201950, 1628964]",1610612738.0,BOS,driving floating,,,,,,Mid-Range,8-16 Right,,Holiday,J. Holiday,,,10.21,Missed,,,,,,,,,Bamba,1628964.0,,,,,
193,PT11M51.00S,2023-12-02T01:16:43.0Z,2,REGULAR,block,,[],1628964,,,1610612738,44,36,2023-12-02T01:16:45Z,1890000,False,,,0,,M. Bamba BLOCK (1 BLK),[1628964],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Right,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,
194,PT11M50.00S,2023-12-02T01:16:44.0Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,44,36,2023-12-02T01:16:55Z,1900000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,192.0,,,,,,,,,,
196,PT11M43.00S,2023-12-02T01:17:04.6Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630573,87.07293035479631,99.26470588235294,1610612738,44,36,2023-12-02T01:17:10Z,1920000,False,246.0,69.0,1,right,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,,Hauser,S. Hauser,,,25.58,Missed,,,,,,,,,,,,,,,
197,PT11M42.00S,2023-12-02T01:17:05.6Z,2,REGULAR,rebound,defensive,[],202694,,,1610612755,44,36,2023-12-02T01:17:10Z,1930000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:2),[202694],1610612755.0,PHI,,,,,,,Right Corner 3,24+ Right,,Morris Sr.,M. Morris Sr.,,,,,,,,,196.0,2.0,2.0,0.0,,,,,,,
198,PT11M30.00S,2023-12-02T01:17:20.8Z,2,REGULAR,foul,personal,[],1630202,,,1610612755,44,36,2023-12-02T01:17:27Z,1940000,False,,,0,,P. Pritchard personal FOUL (1 PF),"[1630202, 202699]",1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,1662.0,1.0,0.0,Harris,202699.0
200,PT11M17.00S,2023-12-02T01:17:50.6Z,2,REGULAR,3pt,Jump Shot,[],202694,9.280551905387648,97.79411764705883,1610612755,44,36,2023-12-02T01:18:01Z,1960000,False,-239.0,35.0,1,left,MISS M. Morris Sr. 24' 3PT,[202694],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,Morris Sr.,M. Morris Sr.,,,24.15,Missed,,,,,,,,,,,,,,,
201,PT11M16.00S,2023-12-02T01:17:51.6Z,2,REGULAR,rebound,offensive,[],1628964,,,1610612755,44,36,2023-12-02T01:18:01Z,1970000,False,,,0,,M. Bamba REBOUND (Off:2 Def:0),[1628964],1610612755.0,PHI,,,,,,,Left Corner 3,24+ Left,,Bamba,M. Bamba,,,,,,,,,200.0,2.0,0.0,2.0,,,,,,,
202,PT11M15.00S,2023-12-02T01:17:55.5Z,2,REGULAR,foul,personal,['2freethrow'],201950,,,1610612755,44,36,2023-12-02T01:18:05Z,1980000,False,,,0,,J. Holiday shooting personal FOUL (1 PF) (Bamba 2 FT),"[201950, 1628964]",1610612738.0,BOS,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,Holiday,J. Holiday,,,,,,,,,,,,,,,202007.0,1.0,0.0,Bamba,1628964.0
204,PT11M15.00S,2023-12-02T01:18:13.7Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1628964,,,1610612755,44,36,2023-12-02T01:18:13Z,2000000,False,,,0,,MISS M. Bamba Free Throw 1 of 2,[1628964],1610612755.0,PHI,,,,,,,,,,Bamba,M. Bamba,,,,Missed,,,,,,,,,,,,,,,
205,PT11M15.00S,2023-12-02T01:18:13.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,44,36,2023-12-02T01:18:13Z,2010000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,204.0,,,,,,,,,,
206,PT11M15.00S,2023-12-02T01:18:25.6Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1628964,,,1610612755,44,37,2023-12-02T01:18:25Z,2020000,False,,,0,,M. Bamba Free Throw 2 of 2 (1 PTS),[1628964],1610612755.0,PHI,,,,,,,,,,Bamba,M. Bamba,,,,Made,1.0,,,,,,,,,,,,,,
207,PT11M06.00S,2023-12-02T01:18:36.5Z,2,REGULAR,3pt,Jump Shot,[],1628369,70.38436268068331,80.88235294117648,1610612738,44,37,2023-12-02T01:18:42Z,2030000,False,154.0,226.0,1,right,MISS J. Tatum 27' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,,,,Above the Break 3,24+ Right Center,,Tatum,J. Tatum,,,27.36,Missed,,,,,,,,,,,,,,,
208,PT11M05.00S,2023-12-02T01:18:37.5Z,2,REGULAR,rebound,defensive,[],202694,,,1610612755,44,37,2023-12-02T01:18:42Z,2040000,False,,,0,,M. Morris Sr. REBOUND (Off:0 Def:3),[202694],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,,Morris Sr.,M. Morris Sr.,,,,,,,,,207.0,3.0,3.0,0.0,,,,,,,
209,PT10M54.00S,2023-12-02T01:18:47.8Z,2,REGULAR,2pt,Jump Shot,[],202694,19.793035479632064,82.35294117647058,1610612755,44,39,2023-12-02T01:18:51Z,2050000,False,-162.0,134.0,1,left,M. Morris Sr. 20' pullup Jump Shot (3 PTS),[202694],1610612755.0,PHI,pullup,,,,,,Mid-Range,16-24 Left Center,,Morris Sr.,M. Morris Sr.,,,20.98,Made,3.0,,,,,,,,,,,,,,
210,PT10M41.00S,2023-12-02T01:19:01.0Z,2,REGULAR,3pt,Jump Shot,[],1628369,73.9323258869908,87.25490196078431,1610612738,47,39,2023-12-02T01:19:06Z,2060000,False,186.0,193.0,1,right,J. Tatum 26' 3PT  (12 PTS) (J. Holiday 2 AST),"[1628369, 201950]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,Tatum,J. Tatum,,,26.79,Made,12.0,J. Holiday,201950.0,2.0,,,,,,,,,,,
212,PT10M38.00S,2023-12-02T01:19:10.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,47,39,2023-12-02T01:19:10Z,2080000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT10M17.00S,2023-12-02T01:22:50.8Z,2,REGULAR,3pt,Jump Shot,[],1629001,33.196452036793694,65.44117647058823,1610612755,47,42,2023-12-02T01:22:56Z,2100000,False,-77.0,260.0,1,left,D. Melton 27' 3PT step back (9 PTS),[1629001],1610612755.0,PHI,step back,,,,,,Above the Break 3,24+ Center,,Melton,D. Melton,,,27.07,Made,9.0,,,,,,,,,,,,,,
215,PT10M04.00S,2023-12-02T01:23:04.1Z,2,REGULAR,turnover,bad pass,[],1628369,,,1610612738,47,42,2023-12-02T01:23:07Z,2110000,False,,,0,,J. Tatum bad pass TURNOVER (3 TO),"[1628369, 202694]",1610612738.0,BOS,,,,,,,Mid-Range,8-16 Right,3.0,Tatum,J. Tatum,Morris Sr.,202694.0,,,,,,,,,,,,,,,,,
216,PT10M04.00S,2023-12-02T01:23:04.1Z,2,REGULAR,steal,,[],202694,,,1610612755,47,42,2023-12-02T01:23:05Z,2120000,False,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612755.0,PHI,,,,,,,Mid-Range,8-16 Right,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
217,PT10M00.00S,2023-12-02T01:23:08.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202694,7.5722733245729295,49.26470588235294,1610612755,47,44,2023-12-02T01:23:12Z,2130000,False,4.0,19.0,1,left,M. Morris Sr. running Layup (5 PTS),[202694],1610612755.0,PHI,running,,,,,,Restricted Area,0-8 Center,,Morris Sr.,M. Morris Sr.,,,1.91,Made,5.0,,,,,,,,,,,,,,
218,PT09M42.00S,2023-12-02T01:23:26.3Z,2,REGULAR,3pt,Jump Shot,[],1630202,64.86530880420499,13.23529411764706,1610612738,47,44,2023-12-02T01:23:31Z,2140000,False,-184.0,278.0,1,right,MISS P. Pritchard 33' 3PT,[1630202],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,Pritchard,P. Pritchard,,,33.31,Missed,,,,,,,,,,,,,,,
219,PT09M40.00S,2023-12-02T01:23:28.3Z,2,REGULAR,rebound,defensive,[],1628964,,,1610612755,47,44,2023-12-02T01:23:31Z,2150000,False,,,0,,M. Bamba REBOUND (Off:2 Def:1),[1628964],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,Bamba,M. Bamba,,,,,,,,,218.0,3.0,1.0,2.0,,,,,,,
220,PT09M32.00S,2023-12-02T01:23:39.1Z,2,REGULAR,foul,personal,[],1629674,,,1610612755,47,44,2023-12-02T01:23:44Z,2160000,False,,,0,,N. Queta personal FOUL (1 PF),"[1629674, 202699]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,Queta,N. Queta,,,,,,,,,,,,,,,1662.0,1.0,0.0,Harris,202699.0
222,PT09M32.00S,2023-12-02T01:23:51.9Z,2,REGULAR,substitution,out,[],1629674,,,1610612755,47,44,2023-12-02T01:23:56Z,2180000,False,,,0,,SUB out: N. Queta,[1629674],1610612738.0,BOS,,,,,,,,,,Queta,N. Queta,,,,,,,,,,,,,,,,,,,
223,PT09M32.00S,2023-12-02T01:23:51.9Z,2,REGULAR,substitution,in,[],201143,,,1610612755,47,44,2023-12-02T01:23:56Z,2190000,False,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,,,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,
224,PT09M32.00S,2023-12-02T01:23:59.0Z,2,REGULAR,substitution,out,[],1628964,,,1610612755,47,44,2023-12-02T01:24:01Z,2200000,False,,,0,,SUB out: M. Bamba,[1628964],1610612755.0,PHI,,,,,,,,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,
225,PT09M32.00S,2023-12-02T01:23:59.0Z,2,REGULAR,substitution,in,[],1630194,,,1610612755,47,44,2023-12-02T01:24:01Z,2210000,False,,,0,,SUB in: P. Reed,[1630194],1610612755.0,PHI,,,,,,,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,
226,PT09M24.00S,2023-12-02T01:24:19.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],201976,8.623521681997373,55.392156862745104,1610612755,47,46,2023-12-02T01:24:24Z,2220000,False,-27.0,29.0,1,left,P. Beverley driving reverse Layup (11 PTS),[201976],1610612755.0,PHI,driving reverse,,,,,,Restricted Area,0-8 Center,,Beverley,P. Beverley,,,3.93,Made,11.0,,,,,,,,,,,,,,
227,PT09M12.00S,2023-12-02T01:24:32.0Z,2,REGULAR,2pt,Jump Shot,[],201143,77.87450722733246,46.568627450980394,1610612738,49,46,2023-12-02T01:24:35Z,2230000,False,-17.0,155.0,1,right,A. Horford 15' fadeaway Jump Shot (8 PTS) (J. Holiday 3 AST),"[201143, 201950]",1610612738.0,BOS,fadeaway,,,,,,Mid-Range,8-16 Center,,Horford,A. Horford,,,15.64,Made,8.0,J. Holiday,201950.0,3.0,,,,,,,,,,,
229,PT08M58.00S,2023-12-02T01:24:45.2Z,2,REGULAR,3pt,Jump Shot,[],1629001,29.517082785808146,21.568627450980394,1610612755,49,49,2023-12-02T01:24:49Z,2250000,False,142.0,225.0,1,left,D. Melton 26' 3PT pullup (12 PTS),[1629001],1610612755.0,PHI,pullup,,,,,,Above the Break 3,24+ Right Center,,Melton,D. Melton,,,26.62,Made,12.0,,,,,,,,,,,,,,
230,PT08M39.00S,2023-12-02T01:25:04.9Z,2,REGULAR,3pt,Jump Shot,[],1630202,68.54467805519053,76.47058823529412,1610612738,49,49,2023-12-02T01:25:10Z,2260000,False,132.0,243.0,1,right,MISS P. Pritchard 27' 3PT,[1630202],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,Pritchard,P. Pritchard,,,27.69,Missed,,,,,,,,,,,,,,,
231,PT08M36.00S,2023-12-02T01:25:07.9Z,2,REGULAR,rebound,offensive,[],1630573,,,1610612738,49,49,2023-12-02T01:25:10Z,2270000,False,,,0,,S. Hauser REBOUND (Off:1 Def:1),[1630573],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,Hauser,S. Hauser,,,,,,,,,230.0,2.0,1.0,1.0,,,,,,,
232,PT08M27.00S,2023-12-02T01:25:17.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630573,73.66951379763469,10.784313725490197,1610612738,52,49,2023-12-02T01:25:21Z,2280000,False,-196.0,195.0,1,right,S. Hauser 27' 3PT  (11 PTS) (P. Pritchard 3 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,Hauser,S. Hauser,,,27.66,Made,11.0,P. Pritchard,1630202.0,3.0,,,,,,,,,,,
234,PT08M08.00S,2023-12-02T01:25:36.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202694,8.360709592641262,44.11764705882353,1610612755,52,49,2023-12-02T01:26:04Z,2300000,False,29.0,26.0,1,left,MISS M. Morris Sr. driving Layup - blocked,"[202694, 1630573]",1610612755.0,PHI,driving,,,,,,Restricted Area,0-8 Center,,Morris Sr.,M. Morris Sr.,,,3.93,Missed,,,,,,,,,Hauser,1630573.0,,,,,
246,PT08M08.00S,2023-12-02T01:25:36.8Z,2,REGULAR,block,,[],1630573,,,1610612755,52,49,2023-12-02T01:27:37Z,2305000,False,,,0,,S. Hauser BLOCK (1 BLK),[1630573],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,
235,PT08M07.00S,2023-12-02T01:25:37.8Z,2,REGULAR,rebound,offensive,[],202694,,,1610612755,52,49,2023-12-02T01:27:45Z,2310000,False,,,0,,M. Morris Sr. REBOUND (Off:1 Def:3),[202694],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,Morris Sr.,M. Morris Sr.,,,,,,,,,234.0,4.0,3.0,1.0,,,,,,,
247,PT08M07.00S,2023-12-02T01:25:43.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202694,7.046649145860711,48.03921568627451,1610612755,52,49,2023-12-02T01:28:07Z,2315000,False,10.0,14.0,1,left,MISS M. Morris Sr. tip Layup,[202694],1610612755.0,PHI,tip,,,,,,Restricted Area,0-8 Center,,Morris Sr.,M. Morris Sr.,,,1.68,Missed,,,,,,,,,,,,,,,
248,PT08M06.00S,2023-12-02T01:25:44.7Z,2,REGULAR,rebound,defensive,[],201950,,,1610612738,52,49,2023-12-02T01:28:07Z,2317500,False,,,0,,J. Holiday REBOUND (Off:0 Def:2),[201950],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,Holiday,J. Holiday,,,,,,,,,247.0,2.0,2.0,0.0,,,,,,,
236,PT07M57.00S,2023-12-02T01:25:50.6Z,2,REGULAR,turnover,traveling,[],1628369,,,1610612738,52,49,2023-12-02T01:26:07Z,2320000,False,,,0,,J. Tatum traveling TURNOVER (4 TO),[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,4.0,Tatum,J. Tatum,,,,,,,,,,,,,,,202007.0,,,,
237,PT07M57.00S,2023-12-02T01:26:00.2Z,2,REGULAR,substitution,out,[],1630573,,,1610612755,52,49,2023-12-02T01:26:02Z,2330000,False,,,0,,SUB out: S. Hauser,[1630573],1610612738.0,BOS,,,,,,,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,
238,PT07M57.00S,2023-12-02T01:26:00.2Z,2,REGULAR,substitution,in,[],1627759,,,1610612755,52,49,2023-12-02T01:26:02Z,2340000,False,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,,,,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,
239,PT07M35.00S,2023-12-02T01:26:27.4Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1630194,8.09789750328515,49.01960784313725,1610612755,52,51,2023-12-02T01:26:32Z,2350000,False,5.0,24.0,1,left,P. Reed cutting DUNK (8 PTS) (T. Harris 2 AST),"[1630194, 202699]",1610612755.0,PHI,cutting,,,,,,Restricted Area,0-8 Center,,Reed,P. Reed,,,2.41,Made,8.0,T. Harris,202699.0,2.0,,,,,,,,,,,
241,PT07M23.00S,2023-12-02T01:26:39.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,90.75229960578186,54.166666666666664,1610612738,52,51,2023-12-02T01:29:45Z,2370000,False,21.0,34.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,,,,Restricted Area,0-8 Center,,Brown,J. Brown,,,4.02,Missed,,,,,,,,,,,,,,,
242,PT07M21.00S,2023-12-02T01:26:41.8Z,2,REGULAR,rebound,defensive,[],201976,,,1610612755,52,51,2023-12-02T01:26:45Z,2380000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,Beverley,P. Beverley,,,,,,,,,241.0,1.0,1.0,0.0,,,,,,,
243,PT07M18.00S,2023-12-02T01:26:45.2Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202699,6.915243101182654,46.32352941176471,1610612755,52,53,2023-12-02T01:29:16Z,2390000,False,18.0,13.0,1,left,T. Harris running Layup (8 PTS) (P. Beverley 3 AST),"[202699, 201976]",1610612755.0,PHI,running,,,,,,Restricted Area,0-8 Center,,Harris,T. Harris,,,2.22,Made,8.0,P. Beverley,201976.0,3.0,,,,,,,,,,,
245,PT07M18.00S,2023-12-02T01:26:50.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,52,53,2023-12-02T01:26:50Z,2410000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M18.00S,2023-12-02T01:29:10.7Z,2,REGULAR,substitution,out,[],202694,,,1610612738,52,53,2023-12-02T01:29:38Z,2420000,False,,,0,,SUB out: M. Morris Sr.,[202694],1610612755.0,PHI,,,,,,,,,,Morris Sr.,M. Morris Sr.,,,,,,,,,,,,,,,,,,,
250,PT07M18.00S,2023-12-02T01:29:10.7Z,2,REGULAR,substitution,out,[],201976,,,1610612738,52,53,2023-12-02T01:29:38Z,2430000,False,,,0,,SUB out: P. Beverley,[201976],1610612755.0,PHI,,,,,,,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,
251,PT07M18.00S,2023-12-02T01:29:10.7Z,2,REGULAR,substitution,in,[],1630231,,,1610612738,52,53,2023-12-02T01:29:38Z,2440000,False,,,0,,SUB in: K. Martin,[1630231],1610612755.0,PHI,,,,,,,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,
252,PT07M18.00S,2023-12-02T01:29:10.7Z,2,REGULAR,substitution,in,[],1627788,,,1610612738,52,53,2023-12-02T01:29:38Z,2450000,False,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,,,,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,
253,PT06M58.00S,2023-12-02T01:30:31.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,87.46714848883047,56.61764705882353,1610612738,52,53,2023-12-02T01:30:44Z,2460000,False,33.0,65.0,1,right,MISS J. Brown 7' driving floating Shot,[1627759],1610612738.0,BOS,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,Brown,J. Brown,,,7.32,Missed,,,,,,,,,,,,,,,
254,PT06M57.00S,2023-12-02T01:30:32.9Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612755,52,53,2023-12-02T01:30:44Z,2470000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,253.0,,,,,,,,,,
256,PT06M34.00S,2023-12-02T01:30:59.4Z,2,REGULAR,3pt,Jump Shot,[],1627788,22.026938239159,93.13725490196079,1610612755,52,53,2023-12-02T01:31:04Z,2490000,False,-216.0,155.0,1,left,MISS F. Korkmaz 26' 3PT,[1627788],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Left Center,,Korkmaz,F. Korkmaz,,,26.54,Missed,,,,,,,,,,,,,,,
257,PT06M32.00S,2023-12-02T01:31:01.4Z,2,REGULAR,rebound,defensive,[],1630202,,,1610612738,52,53,2023-12-02T01:31:40Z,2500000,False,,,0,,P. Pritchard REBOUND (Off:0 Def:1),[1630202],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,Pritchard,P. Pritchard,,,,,,,,,256.0,1.0,1.0,0.0,,,,,,,
