actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
167,PT11M45.00S,2025-02-08T01:07:41.1Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,28,26,2025-02-08T01:11:21Z,1620000,False,,,0,,K. Ware REBOUND (Off:5 Def:2),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,166.0,7.0,2.0,5.0,,,,,,,
168,PT11M33.00S,2025-02-08T01:07:50.9Z,2,REGULAR,3pt,Jump Shot,[],1631107,9.461235216819972,3.1632965686274446,1610612748,28,29,2025-02-08T01:11:33Z,1630000,False,234.0,36.0,1,left,N. Jović 3PT  (3 PTS) (K. Ware 3 AST),"[1631107, 1642276]",1610612748.0,MIA,,,,Jović,N. Jović,,,,,Right Corner 3,24+ Right,,,,,,23.7,Made,,,,,,,3.0,K. Ware,1642276.0,3.0,,,
170,PT11M25.00S,2025-02-08T01:08:01.1Z,2,REGULAR,turnover,lost ball,[],1630533,,,1610612751,28,29,2025-02-08T01:12:13Z,1650000,False,,,0,,Z. Williams lost ball TURNOVER (1 TO),"[1630533, 1631107]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Jović,1631107.0
171,PT11M25.00S,2025-02-08T01:08:01.1Z,2,REGULAR,steal,,[],1631107,,,1610612748,28,29,2025-02-08T01:08:03Z,1660000,False,,,0,,N. Jović STEAL (1 STL),[1631107],1610612748.0,MIA,,,,Jović,N. Jović,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
172,PT11M20.00S,2025-02-08T01:08:05.2Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642276,6.964520367936927,42.133884803921575,1610612748,28,31,2025-02-08T01:12:34Z,1670000,False,39.0,13.0,1,left,K. Ware running alley-oop DUNK (4 PTS) (J. Jaquez Jr. 1 AST),"[1642276, 1631170]",1610612748.0,MIA,running alley-oop,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,4.14,Made,,,,,,,4.0,J. Jaquez Jr.,1631170.0,1.0,,,
174,PT11M19.00S,2025-02-08T01:08:08.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,28,31,2025-02-08T01:08:08Z,1690000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M00.00S,2025-02-08T01:11:36.6Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630549,94.48094612352168,44.584865196078425,1610612751,28,31,2025-02-08T01:14:19Z,1710000,False,-27.0,-1.0,1,right,MISS D. Sharpe Hook - blocked,"[1630549, 1626179]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,2.71,Missed,Rozier,1626179.0,,,,,,,,,,,
177,PT11M00.00S,2025-02-08T01:11:36.6Z,2,REGULAR,block,,[],1626179,,,1610612751,28,31,2025-02-08T01:11:38Z,1720000,False,,,0,,T. Rozier BLOCK (1 BLK),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
178,PT10M58.00S,2025-02-08T01:11:38.6Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,28,31,2025-02-08T01:14:19Z,1730000,False,,,0,,K. Ware REBOUND (Off:5 Def:3),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Restricted Area,0-8 Center,,,,,,,,,,176.0,8.0,3.0,5.0,,,,,,,
179,PT10M53.00S,2025-02-08T01:11:43.5Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1642276,12.220762155059134,54.71813725490196,1610612748,28,33,2025-02-08T01:14:46Z,1740000,False,-24.0,62.0,1,left,K. Ware 6' running DUNK (6 PTS) (T. Rozier 2 AST),"[1642276, 1626179]",1610612748.0,MIA,running,,,Ware,K. Ware,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.67,Made,,,,,,,6.0,T. Rozier,1626179.0,2.0,,,
182,PT10M41.00S,2025-02-08T01:11:55.1Z,2,REGULAR,3pt,Jump Shot,[],1631213,95.53219448094612,3.653492647058826,1610612751,28,33,2025-02-08T01:15:00Z,1760000,False,-232.0,-11.0,1,right,MISS T. Martin 3PT,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Left Corner 3,24+ Left,,,,,,23.19,Missed,,,,,,,,,,,,,
183,PT10M39.00S,2025-02-08T01:11:57.1Z,2,REGULAR,rebound,defensive,[],1642276,,,1610612748,28,33,2025-02-08T01:15:00Z,1770000,False,,,0,,K. Ware REBOUND (Off:5 Def:4),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Left Corner 3,24+ Left,,,,,,,,,,182.0,9.0,4.0,5.0,,,,,,,
185,PT10M35.00S,2025-02-08T01:12:03.6Z,2,REGULAR,foul,technical,['1freethrow'],1626156,,,1610612748,28,33,2025-02-08T01:15:15Z,1790000,False,,,0,,D. Russell technical FOUL (1 Tech),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,1628172.0,1.0,1.0,,,,,,,,,,,,,,,,,
186,PT10M35.00S,2025-02-08T01:12:24.1Z,2,REGULAR,freethrow,1 of 1,[],1626179,,,1610612748,28,34,2025-02-08T01:12:24Z,1800000,False,,,0,,T. Rozier technical Free Throw 1 of 1 (6 PTS),[1626179],1610612748.0,MIA,technical,,,Rozier,T. Rozier,,,,,,,,,,,,,Made,,,,,,,6.0,,,,,,
187,PT10M19.00S,2025-02-08T01:12:56.3Z,2,REGULAR,turnover,bad pass,[],1631107,,,1610612748,28,34,2025-02-08T01:15:37Z,1810000,False,,,0,,N. Jović bad pass TURNOVER (1 TO),"[1631107, 1626156]",1610612748.0,MIA,,,,Jović,N. Jović,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,1.0,Russell,1626156.0
188,PT10M19.00S,2025-02-08T01:12:56.3Z,2,REGULAR,steal,,[],1626156,,,1610612751,28,34,2025-02-08T01:12:57Z,1820000,False,,,0,,D. Russell STEAL (2 STL),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
189,PT10M13.00S,2025-02-08T01:13:02.0Z,2,REGULAR,foul,personal,['2freethrow'],1626179,,,1610612751,28,34,2025-02-08T01:15:50Z,1830000,False,,,0,,T. Rozier shooting personal FOUL (1 PF) (Evbuomwan 2 FT),"[1626179, 1641787]",1610612748.0,MIA,shooting,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,202007.0,1.0,0.0,Evbuomwan,1641787.0,,,,,,,,,,,,,,,
191,PT10M13.00S,2025-02-08T01:13:30.1Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641787,,,1610612751,29,34,2025-02-08T01:13:30Z,1850000,False,,,0,,T. Evbuomwan Free Throw 1 of 2 (1 PTS),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,Made,,,,,,,1.0,,,,,,
192,PT10M13.00S,2025-02-08T01:13:48.7Z,2,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641787,,,1610612751,30,34,2025-02-08T01:13:48Z,1860000,False,,,0,,T. Evbuomwan Free Throw 2 of 2 (2 PTS),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,Made,,,,,,,2.0,,,,,,
193,PT10M13.00S,2025-02-08T01:13:54.2Z,2,REGULAR,foul,technical,['1freethrow'],1630553,,,1610612748,30,34,2025-02-08T01:14:17Z,1870000,False,,,0,,K. Johnson technical FOUL (1 Tech),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,1628172.0,0.0,1.0,,,,,,,,,,,,,,,,,
194,PT10M13.00S,2025-02-08T01:14:20.1Z,2,REGULAR,freethrow,1 of 1,[],1626179,,,1610612748,30,34,2025-02-08T01:14:20Z,1880000,False,,,0,,MISS T. Rozier technical Free Throw 1 of 1,[1626179],1610612748.0,MIA,technical,,,Rozier,T. Rozier,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
195,PT10M13.00S,2025-02-08T01:14:20.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612748,30,34,2025-02-08T01:14:20Z,1890000,False,,,0,,TEAM offensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,,,,,,,,,,,,194.0,,,,,,,,,,
196,PT10M02.00S,2025-02-08T01:14:45.7Z,2,REGULAR,foul,personal,[],1631213,,,1610612748,30,34,2025-02-08T01:16:38Z,1900000,False,,,0,,T. Martin personal FOUL (1 PF),"[1631213, 1631107]",1610612751.0,BKN,,,,Martin,T. Martin,,,,,Mid-Range,16-24 Right Center,2534.0,1.0,0.0,Jović,1631107.0,,,,,,,,,,,,,,,
198,PT09M51.00S,2025-02-08T01:15:12.3Z,2,REGULAR,2pt,Hook,[],1631107,10.512483574244413,67.04580269607843,1610612748,30,34,2025-02-08T01:17:06Z,1920000,False,-85.0,46.0,1,left,MISS N. Jović 9' driving Hook - blocked,"[1631107, 1630549]",1610612748.0,MIA,driving,,,Jović,N. Jović,,,,,Mid-Range,8-16 Left,,,,,,9.7,Missed,Sharpe,1630549.0,,,,,,,,,,,
199,PT09M51.00S,2025-02-08T01:15:12.3Z,2,REGULAR,block,,[],1630549,,,1610612748,30,34,2025-02-08T01:15:14Z,1930000,False,,,0,,D. Sharpe BLOCK (1 BLK),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
200,PT09M50.00S,2025-02-08T01:15:13.3Z,2,REGULAR,rebound,defensive,[],1641787,,,1610612751,30,34,2025-02-08T01:17:06Z,1940000,False,,,0,,T. Evbuomwan REBOUND (Off:0 Def:2),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Mid-Range,8-16 Left,,,,,,,,,,198.0,2.0,2.0,0.0,,,,,,,
201,PT09M40.00S,2025-02-08T01:15:21.6Z,2,REGULAR,2pt,Jump Shot,[],1641787,91.67214191852825,6.61764705882353,1610612751,32,34,2025-02-08T01:15:32Z,1950000,False,-217.0,26.0,1,right,T. Evbuomwan 21' Jump Shot (4 PTS) (Z. Williams 2 AST),"[1641787, 1630533]",1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,Mid-Range,16-24 Left,,,,,,21.84,Made,,,,,,,4.0,Z. Williams,1630533.0,2.0,,,
203,PT09M18.00S,2025-02-08T01:15:44.8Z,2,REGULAR,3pt,Jump Shot,[],1629130,8.54139290407359,4.388786764705884,1610612748,32,37,2025-02-08T01:17:35Z,1970000,False,228.0,28.0,1,left,D. Robinson 3PT  (8 PTS) (J. Jaquez Jr. 2 AST),"[1629130, 1631170]",1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Right Corner 3,24+ Right,,,,,,22.98,Made,,,,,,,8.0,J. Jaquez Jr.,1631170.0,2.0,,,
205,PT09M03.00S,2025-02-08T01:16:00.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641787,88.30486202365309,56.93550857843137,1610612751,32,37,2025-02-08T01:17:55Z,1990000,False,35.0,57.0,1,right,MISS T. Evbuomwan 6' driving floating bank Shot,[1641787],1610612751.0,BKN,driving floating bank,,,Evbuomwan,T. Evbuomwan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.71,Missed,,,,,,,,,,,,,
206,PT09M01.00S,2025-02-08T01:16:02.9Z,2,REGULAR,rebound,offensive,[],1630549,,,1610612751,32,37,2025-02-08T01:17:55Z,2000000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,205.0,2.0,1.0,1.0,,,,,,,
207,PT09M01.00S,2025-02-08T01:16:09.6Z,2,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint', 'defensivegoaltending']",1630549,90.93298291721419,49.364276960784316,1610612751,34,37,2025-02-08T01:18:10Z,2010000,False,-3.0,33.0,1,right,D. Sharpe tip DUNK (5 PTS),[1630549],1610612751.0,BKN,tip,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,,,,,,3.29,Made,,,,,,,5.0,,,,,,
208,PT09M01.00S,2025-02-08T01:16:11.9Z,2,REGULAR,violation,defensive goaltending,[],1642276,,,1610612751,34,37,2025-02-08T01:16:20Z,2020000,False,,,0,,K. Ware defensive goaltending VIOLATION,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,202007.0,,,,,,,,,,,,,,,,,,,
209,PT08M47.00S,2025-02-08T01:16:33.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,12.352168199737193,50.8578431372549,1610612748,34,37,2025-02-08T01:18:44Z,2030000,False,-4.0,64.0,1,left,MISS D. Robinson 6' driving finger roll Layup - blocked,"[1629130, 1641787]",1610612748.0,MIA,driving finger roll,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.37,Missed,Evbuomwan,1641787.0,,,,,,,,,,,
210,PT08M47.00S,2025-02-08T01:16:33.1Z,2,REGULAR,block,,[],1641787,,,1610612748,34,37,2025-02-08T01:16:34Z,2040000,False,,,0,,T. Evbuomwan BLOCK (2 BLK),[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
211,PT08M46.00S,2025-02-08T01:16:34.1Z,2,REGULAR,rebound,defensive,[],1630533,,,1610612751,34,37,2025-02-08T01:18:44Z,2050000,False,,,0,,Z. Williams REBOUND (Off:1 Def:3),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,209.0,4.0,3.0,1.0,,,,,,,
212,PT08M42.00S,2025-02-08T01:16:38.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1626156,74.72076215505913,9.558823529411764,1610612751,34,37,2025-02-08T01:19:29Z,2060000,False,-202.0,185.0,1,right,MISS D. Russell 27' running 3PT,[1626156],1610612751.0,BKN,running,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,27.41,Missed,,,,,,,,,,,,,
213,PT08M38.00S,2025-02-08T01:16:42.3Z,2,REGULAR,rebound,defensive,[],1631170,,,1610612748,34,37,2025-02-08T01:19:29Z,2070000,False,,,0,,J. Jaquez Jr. REBOUND (Off:2 Def:1),[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,212.0,3.0,1.0,2.0,,,,,,,
214,PT08M28.00S,2025-02-08T01:16:52.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,5.913272010512486,59.04564950980392,1610612748,34,37,2025-02-08T01:19:47Z,2080000,False,-45.0,3.0,1,left,MISS D. Robinson driving reverse Layup,[1629130],1610612748.0,MIA,driving reverse,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.53,Missed,,,,,,,,,,,,,
215,PT08M27.00S,2025-02-08T01:16:53.3Z,2,REGULAR,rebound,defensive,[],1631213,,,1610612751,34,37,2025-02-08T01:19:47Z,2090000,False,,,0,,T. Martin REBOUND (Off:0 Def:3),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,214.0,3.0,3.0,0.0,,,,,,,
216,PT08M21.00S,2025-02-08T01:17:02.1Z,2,REGULAR,turnover,traveling,[],1630533,,,1610612751,34,37,2025-02-08T01:20:03Z,2100000,False,,,0,,Z. Williams traveling TURNOVER (2 TO),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,202007.0,,,,,,,,,,,,,,,,,2.0,,
218,PT08M21.00S,2025-02-08T01:17:08.6Z,2,REGULAR,foul,technical,['1freethrow'],1629130,,,1610612748,34,37,2025-02-08T01:20:20Z,2120000,False,,,0,,D. Robinson technical FOUL (1 Tech),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,1628172.0,1.0,1.0,,,,,,,,,,,,,,,,,
219,PT08M21.00S,2025-02-08T01:17:25.3Z,2,REGULAR,freethrow,1 of 1,[],1626156,,,1610612748,35,37,2025-02-08T01:17:25Z,2130000,False,,,0,,D. Russell technical Free Throw 1 of 1 (8 PTS),[1626156],1610612751.0,BKN,technical,,,Russell,D. Russell,,,,,,,,,,,,,Made,,,,,,,8.0,,,,,,
220,PT08M21.00S,2025-02-08T01:17:26.0Z,2,REGULAR,substitution,out,[],1626156,,,1610612748,35,37,2025-02-08T01:17:46Z,2140000,False,,,0,,SUB out: D. Russell,[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M21.00S,2025-02-08T01:17:26.0Z,2,REGULAR,substitution,out,[],1630533,,,1610612748,35,37,2025-02-08T01:17:46Z,2150000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M21.00S,2025-02-08T01:17:26.0Z,2,REGULAR,substitution,in,[],1630570,,,1610612748,35,37,2025-02-08T01:17:46Z,2160000,False,,,0,,SUB in: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M21.00S,2025-02-08T01:17:26.0Z,2,REGULAR,substitution,in,[],1630553,,,1610612748,35,37,2025-02-08T01:17:46Z,2170000,False,,,0,,SUB in: K. Johnson,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M21.00S,2025-02-08T01:17:26.0Z,2,REGULAR,substitution,out,[],1641787,,,1610612748,35,37,2025-02-08T01:17:54Z,2180000,False,,,0,,SUB out: T. Evbuomwan,[1641787],1610612751.0,BKN,,,,Evbuomwan,T. Evbuomwan,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT08M21.00S,2025-02-08T01:17:26.0Z,2,REGULAR,substitution,in,[],1629661,,,1610612748,35,37,2025-02-08T01:17:54Z,2190000,False,,,0,,SUB in: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT08M10.00S,2025-02-08T01:17:57.3Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626179,12.220762155059134,58.455882352941174,1610612748,35,39,2025-02-08T01:21:09Z,2200000,False,-42.0,62.0,1,left,T. Rozier 7' driving finger roll Layup (8 PTS) (K. Ware 4 AST),"[1626179, 1642276]",1610612748.0,MIA,driving finger roll,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,7.54,Made,,,,,,,8.0,K. Ware,1642276.0,4.0,,,
228,PT07M50.00S,2025-02-08T01:18:16.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630570,91.85282522996059,56.3265931372549,1610612751,37,39,2025-02-08T01:21:24Z,2220000,False,32.0,24.0,1,right,T. Watford driving Layup (4 PTS),[1630570],1610612751.0,BKN,driving,,,Watford,T. Watford,,,,,Restricted Area,0-8 Center,,,,,,3.97,Made,,,,,,,4.0,,,,,,
231,PT07M30.00S,2025-02-08T01:18:40.7Z,2,REGULAR,substitution,out,[],1631213,,,1610612748,37,39,2025-02-08T01:18:49Z,2250000,False,,,0,,SUB out: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT07M30.00S,2025-02-08T01:18:40.7Z,2,REGULAR,substitution,out,[],1630549,,,1610612748,37,39,2025-02-08T01:18:49Z,2260000,False,,,0,,SUB out: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M30.00S,2025-02-08T01:18:40.7Z,2,REGULAR,substitution,out,[],1631170,,,1610612748,37,39,2025-02-08T01:18:49Z,2270000,False,,,0,,SUB out: J. Jaquez Jr.,[1631170],1610612748.0,MIA,,,,Jaquez Jr.,J. Jaquez Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M30.00S,2025-02-08T01:18:40.7Z,2,REGULAR,substitution,in,[],1630592,,,1610612748,37,39,2025-02-08T01:18:49Z,2280000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M30.00S,2025-02-08T01:18:40.7Z,2,REGULAR,substitution,in,[],1629651,,,1610612748,37,39,2025-02-08T01:18:49Z,2290000,False,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M30.00S,2025-02-08T01:18:40.7Z,2,REGULAR,substitution,in,[],1641796,,,1610612748,37,39,2025-02-08T01:18:49Z,2300000,False,,,0,,SUB in: P. Larsson,[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT07M25.00S,2025-02-08T01:19:08.1Z,2,REGULAR,3pt,Jump Shot,[],1629130,25.04927726675427,9.803921568627452,1610612748,37,39,2025-02-08T01:22:01Z,2310000,False,201.0,183.0,1,left,MISS D. Robinson 27' step back 3PT,[1629130],1610612748.0,MIA,step back,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Right Center,,,,,,27.18,Missed,,,,,,,,,,,,,
238,PT07M23.00S,2025-02-08T01:19:10.1Z,2,REGULAR,rebound,defensive,[],1629651,,,1610612751,37,39,2025-02-08T01:22:01Z,2320000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,237.0,2.0,1.0,1.0,,,,,,,
239,PT07M15.00S,2025-02-08T01:19:20.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1630553,88.61695137976346,45.58823529411765,1610612751,37,39,2025-02-08T01:22:34Z,2330000,False,-22.0,55.0,1,right,MISS K. Johnson driving Hook,[1630553],1610612751.0,BKN,driving,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.88,Missed,,,,,,,,,,,,,
240,PT07M11.00S,2025-02-08T01:19:24.2Z,2,REGULAR,rebound,offensive,[],1629651,,,1610612751,37,39,2025-02-08T01:22:34Z,2340000,False,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,239.0,3.0,1.0,2.0,,,,,,,
241,PT07M07.00S,2025-02-08T01:19:26.7Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630553,75.607752956636,6.372549019607845,1610612751,37,39,2025-02-08T01:23:30Z,2350000,False,-218.0,177.0,1,right,MISS K. Johnson 28' 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,28.08,Missed,,,,,,,,,,,,,
242,PT07M04.00S,2025-02-08T01:19:29.7Z,2,REGULAR,rebound,defensive,[],1626179,,,1610612748,37,39,2025-02-08T01:23:07Z,2360000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,241.0,1.0,1.0,0.0,,,,,,,
243,PT06M51.00S,2025-02-08T01:19:42.7Z,2,REGULAR,foul,personal,[],1630592,,,1610612748,37,39,2025-02-08T01:23:16Z,2370000,False,,,0,,J. Wilson personal FOUL (1 PF),"[1630592, 1641796]",1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Mid-Range,16-24 Center,202007.0,1.0,0.0,Larsson,1641796.0,,,,,,,,,,,,,,,
245,PT06M51.00S,2025-02-08T01:19:49.9Z,2,REGULAR,substitution,out,[],1642276,,,1610612748,37,39,2025-02-08T01:19:54Z,2390000,False,,,0,,SUB out: K. Ware,[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT06M51.00S,2025-02-08T01:19:49.9Z,2,REGULAR,substitution,in,[],1628389,,,1610612748,37,39,2025-02-08T01:19:54Z,2400000,False,,,0,,SUB in: B. Adebayo,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M42.00S,2025-02-08T01:20:15.3Z,2,REGULAR,3pt,Jump Shot,[],1626179,14.0604467805519,96.30055147058823,1610612748,37,42,2025-02-08T01:24:10Z,2410000,False,-232.0,80.0,1,left,T. Rozier 24' 3PT  (11 PTS) (N. Jović 2 AST),"[1626179, 1631107]",1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Left Corner 3,24+ Left,,,,,,24.48,Made,,,,,,,11.0,N. Jović,1631107.0,2.0,,,
249,PT06M25.00S,2025-02-08T01:20:34.1Z,2,REGULAR,foul,personal,[],1641796,,,1610612751,37,42,2025-02-08T01:24:27Z,2430000,False,,,0,,P. Larsson personal FOUL (1 PF),"[1641796, 1629651]",1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Left Center,1628172.0,1.0,0.0,Claxton,1629651.0,,,,,,,,,,,,,,,
251,PT06M25.00S,2025-02-08T01:20:43.2Z,2,REGULAR,substitution,out,[],1629130,,,1610612751,37,42,2025-02-08T01:20:48Z,2450000,False,,,0,,SUB out: D. Robinson,[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT06M25.00S,2025-02-08T01:20:43.2Z,2,REGULAR,substitution,in,[],1629639,,,1610612751,37,42,2025-02-08T01:20:48Z,2460000,False,,,0,,SUB in: T. Herro,[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,,
253,PT06M23.00S,2025-02-08T01:21:04.0Z,2,REGULAR,foul,personal,['2freethrow'],1641796,,,1610612751,37,42,2025-02-08T01:24:51Z,2470000,False,,,0,,P. Larsson shooting personal FOUL (2 PF) (Johnson 2 FT),"[1641796, 1629661]",1610612748.0,MIA,shooting,,,Larsson,P. Larsson,,,,,In The Paint (Non-RA),0-8 Center,1628172.0,2.0,0.0,Johnson,1629661.0,,,,,,,,,,,,,,,
