actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
67,PT06M04.00S,2025-01-22T00:47:25.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,27.54599211563732,78.43137254901961,1610612752,7,15,2025-01-22T00:47:30Z,670000,False,-142.0,206.0,1,left,MISS M. Bridges 25' running pullup 3PT,[1628969],1610612752.0,NYK,running pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,25.06,Missed,,,,,,,,,,,,,,,,
68,PT06M00.00S,2025-01-22T00:47:29.3Z,1,REGULAR,rebound,defensive,[],1630592,,,1610612751,7,15,2025-01-22T00:47:30Z,680000,False,,,0,,J. Wilson REBOUND (Off:0 Def:2),[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,
69,PT05M52.00S,2025-01-22T00:47:38.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,90.88370565045992,40.68627450980392,1610612751,9,15,2025-01-22T00:49:50Z,690000,False,-47.0,33.0,1,right,N. Claxton driving bank Hook (2 PTS),[1629651],1610612751.0,BKN,driving bank,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,5.72,Made,2.0,,,,,,,,,,,,,,,
70,PT05M26.00S,2025-01-22T00:48:04.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,6.521024967148489,95.09803921568627,1610612752,9,15,2025-01-22T00:48:08Z,700000,False,-225.0,9.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,22.57,Missed,,,,,,,,,,,,,,,,
71,PT05M22.00S,2025-01-22T00:48:08.1Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,9,15,2025-01-22T00:48:08Z,710000,False,,,0,,J. Hart REBOUND (Off:1 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,,,,,,,,,,,70.0,3.0,2.0,1.0,,,,,,
72,PT05M16.00S,2025-01-22T00:48:13.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628969,6.783837056504599,47.30392156862745,1610612752,9,17,2025-01-22T00:48:18Z,720000,False,13.0,11.0,1,left,M. Bridges cutting Layup (5 PTS) (K. Towns 3 AST),"[1628969, 1626157]",1610612752.0,NYK,cutting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,1.76,Made,5.0,K. Towns,1626157.0,3.0,,,,,,,,,,,,
74,PT05M04.00S,2025-01-22T00:48:26.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626156,87.99277266754271,50.73529411764706,1610612751,11,17,2025-01-22T00:48:31Z,740000,False,4.0,60.0,1,right,D. Russell 6' driving Layup (4 PTS),[1626156],1610612751.0,BKN,driving,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,6.05,Made,4.0,,,,,,,,,,,,,,,
75,PT05M04.00S,2025-01-22T00:48:30.2Z,1,REGULAR,foul,personal,['1freethrow'],1628969,,,1610612751,11,17,2025-01-22T00:48:56Z,750000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Russell 1 FT),"[1628969, 1626156]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,202901.0,,,,,,,,,,,,,,1.0,0.0,Russell,1626156.0,,
77,PT05M04.00S,2025-01-22T00:48:37.0Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,11,17,2025-01-22T00:48:54Z,770000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M04.00S,2025-01-22T00:48:37.0Z,1,REGULAR,substitution,out,[],1628969,,,1610612751,11,17,2025-01-22T00:48:54Z,780000,False,,,0,,SUB out: M. Bridges,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
