actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
173,PT00M03.70S,2024-01-03T03:33:40.4Z,1,REGULAR,3pt,Jump Shot,[],1626179,24.26084099868594,85.5392156862745,1610612766,21,25,2024-01-03T03:46:11Z,1710000,False,-178.0,176.0,1,left,T. Rozier 24' 3PT step back (10 PTS),[1626179],1610612766.0,CHA,step back,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,24.98,Made,,,,,,,10.0,,,,,,,,
174,PT00M00.10S,2024-01-03T03:33:53.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630558,92.59198423127464,54.166666666666664,1610612758,21,25,2024-01-03T03:34:02Z,1720000,False,21.0,17.0,1,right,MISS D. Mitchell driving Layup,[1630558],1610612758.0,SAC,driving,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,2.69,Missed,,,,,,,,,,,,,,,
175,PT00M00.10S,2024-01-03T03:33:53.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,21,25,2024-01-03T03:34:02Z,1730000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,174.0,,,,,,,,,,,,
176,PT00M00.00S,2024-01-03T03:35:07.0Z,1,REGULAR,period,end,[],0,,,1610612758,21,25,2024-01-03T03:35:07Z,1740000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],1630537,,,1610612758,21,25,2024-01-03T03:36:35Z,1750000,False,,,0,,SUB out: C. Duarte,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],1631099,,,1610612758,21,25,2024-01-03T03:36:35Z,1760000,False,,,0,,SUB out: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],1629308,,,1610612758,21,25,2024-01-03T03:36:35Z,1770000,False,,,0,,SUB out: J. Toscano-Anderson,[1629308],1610612758.0,SAC,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],1628970,,,1610612758,21,25,2024-01-03T03:36:35Z,1780000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],202397,,,1610612758,21,25,2024-01-03T03:36:35Z,1790000,False,,,0,,SUB out: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,out,['startperiod'],1630550,,,1610612758,21,25,2024-01-03T03:36:35Z,1800000,False,,,0,,SUB out: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],1628368,,,1610612758,21,25,2024-01-03T03:36:35Z,1810000,False,,,0,,SUB in: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],1628989,,,1610612758,21,25,2024-01-03T03:36:35Z,1820000,False,,,0,,SUB in: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],203458,,,1610612758,21,25,2024-01-03T03:36:35Z,1830000,False,,,0,,SUB in: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],1641877,,,1610612758,21,25,2024-01-03T03:36:35Z,1840000,False,,,0,,SUB in: N. Mensah,[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],1641733,,,1610612758,21,25,2024-01-03T03:36:35Z,1850000,False,,,0,,SUB in: N. Smith Jr.,[1641733],1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT12M00.00S,2024-01-03T03:35:56.1Z,2,REGULAR,substitution,in,['startperiod'],1628998,,,1610612758,21,25,2024-01-03T03:36:35Z,1860000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT12M00.00S,2024-01-03T03:36:33.6Z,2,REGULAR,period,start,[],0,,,1610612758,21,25,2024-01-03T03:36:36Z,1870000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT11M42.00S,2024-01-03T03:36:50.9Z,2,REGULAR,3pt,Jump Shot,[],1626168,72.88107752956637,79.65686274509804,1610612758,24,25,2024-01-03T03:36:57Z,1880000,False,148.0,202.0,1,right,T. Lyles 25' 3PT  (6 PTS) (A. Len 2 AST),"[1626168, 203458]",1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Right Center,,,,25.09,Made,,,,,,,6.0,,,,A. Len,203458.0,2.0,,
192,PT11M19.00S,2024-01-03T03:37:14.3Z,2,REGULAR,3pt,Jump Shot,[],1626179,28.597240473061763,72.54901960784314,1610612766,24,25,2024-01-03T03:47:49Z,1900000,False,-113.0,216.0,1,left,MISS T. Rozier 24' pullup 3PT,[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,24.39,Missed,,,,,,,,,,,,,,,
193,PT11M15.00S,2024-01-03T03:37:16.9Z,2,REGULAR,rebound,defensive,[],203458,,,1610612758,24,25,2024-01-03T03:37:16Z,1910000,False,,,0,,A. Len REBOUND (Off:0 Def:1),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,Above the Break 3,24+ Left Center,,,,,,,,192.0,1.0,1.0,0.0,,,,,,,,,
194,PT11M08.00S,2024-01-03T03:37:25.3Z,2,REGULAR,2pt,Jump Shot,[],1628989,82.9993429697766,69.6078431372549,1610612758,24,25,2024-01-03T03:37:36Z,1920000,False,98.0,107.0,1,right,MISS K. Huerter 14' fadeaway Shot,[1628989],1610612758.0,SAC,fadeaway,,,Huerter,K. Huerter,,,,,Mid-Range,8-16 Right,,,,14.53,Missed,,,,,,,,,,,,,,,
195,PT11M05.00S,2024-01-03T03:37:28.3Z,2,REGULAR,rebound,defensive,[],1629023,,,1610612766,24,25,2024-01-03T03:37:36Z,1930000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Mid-Range,8-16 Right,,,,,,,,194.0,1.0,1.0,0.0,,,,,,,,,
196,PT10M55.00S,2024-01-03T03:37:36.8Z,2,REGULAR,3pt,Jump Shot,[],1626179,24.83574244415243,86.54258578431373,1610612766,24,25,2024-01-03T03:50:52Z,1940000,False,-183.0,181.0,1,left,MISS T. Rozier 25' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,,,,25.72,Missed,,,,,,,,,,,,,,,
197,PT10M52.00S,2024-01-03T03:37:39.8Z,2,REGULAR,rebound,defensive,[],203458,,,1610612758,24,25,2024-01-03T03:37:43Z,1950000,False,,,0,,A. Len REBOUND (Off:0 Def:2),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,Mid-Range,16-24 Left Center,,,,,,,,196.0,2.0,2.0,0.0,,,,,,,,,
198,PT10M43.00S,2024-01-03T03:37:49.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,93.11760840998686,49.754901960784316,1610612758,26,25,2024-01-03T03:49:11Z,1960000,False,-1.0,12.0,1,right,K. Huerter cutting Layup (2 PTS) (A. Len 3 AST),"[1628989, 203458]",1610612758.0,SAC,cutting,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,,,,1.23,Made,,,,,,,2.0,,,,A. Len,203458.0,3.0,,
200,PT10M27.00S,2024-01-03T03:38:08.0Z,2,REGULAR,foul,personal,[],1630558,,,1610612766,26,25,2024-01-03T03:38:13Z,1980000,False,,,0,,D. Mitchell personal FOUL (1 PF),"[1630558, 1629023]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1627524.0,1.0,0.0,,,,Washington,1629023.0
202,PT10M20.00S,2024-01-03T03:38:36.0Z,2,REGULAR,3pt,Jump Shot,[],1641733,4.02431011826544,96.56862745098039,1610612766,26,28,2024-01-03T03:38:41Z,2000000,False,-233.0,-15.0,1,left,N. Smith Jr. 3PT  (3 PTS) (C. Martin 1 AST),"[1641733, 1628998]",1610612766.0,CHA,,,,Smith Jr.,N. Smith Jr.,,,,,Left Corner 3,24+ Left,,,,23.33,Made,,,,,,,3.0,,,,C. Martin,1628998.0,1.0,,
204,PT10M09.00S,2024-01-03T03:38:50.0Z,2,REGULAR,foul,personal,['2freethrow'],1641733,,,1610612758,26,28,2024-01-03T03:38:58Z,2020000,False,,,0,,N. Smith Jr. shooting personal FOUL (1 PF) (Huerter 2 FT),"[1641733, 1628989]",1610612766.0,CHA,shooting,,,Smith Jr.,N. Smith Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1627524.0,1.0,0.0,,,,Huerter,1628989.0
206,PT10M09.00S,2024-01-03T03:39:12.5Z,2,REGULAR,freethrow,1 of 2,[],1628989,,,1610612758,27,28,2024-01-03T03:39:12Z,2040000,False,,,0,,K. Huerter Free Throw 1 of 2 (3 PTS),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,Made,,,,,,,3.0,,,,,,,,
207,PT10M09.00S,2024-01-03T03:39:27.9Z,2,REGULAR,freethrow,2 of 2,[],1628989,,,1610612758,28,28,2024-01-03T03:39:28Z,2050000,False,,,0,,K. Huerter Free Throw 2 of 2 (4 PTS),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,Made,,,,,,,4.0,,,,,,,,
208,PT09M48.00S,2024-01-03T03:39:50.3Z,2,REGULAR,3pt,Jump Shot,[],1629023,31.61957950065703,35.294117647058826,1610612766,28,31,2024-01-03T03:39:54Z,2060000,False,74.0,245.0,1,left,P. Washington 25' 3PT  (6 PTS) (N. Smith Jr. 1 AST),"[1629023, 1641733]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Center,,,,25.55,Made,,,,,,,6.0,,,,N. Smith Jr.,1641733.0,1.0,,
210,PT09M37.00S,2024-01-03T03:40:00.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],203458,92.72339027595268,50.49019607843137,1610612758,30,31,2024-01-03T03:40:04Z,2080000,False,2.0,16.0,1,right,A. Len cutting Layup (2 PTS) (D. Fox 4 AST),"[203458, 1628368]",1610612758.0,SAC,cutting,,,Len,A. Len,,,,,Restricted Area,0-8 Center,,,,1.61,Made,,,,,,,2.0,,,,D. Fox,1628368.0,4.0,,
216,PT09M24.00S,2024-01-03T03:40:39.9Z,2,REGULAR,foul,personal,[],1628989,,,1610612766,30,31,2024-01-03T03:40:44Z,2140000,False,,,0,,K. Huerter personal FOUL (2 PF),"[1628989, 1628998]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1628953.0,2.0,0.0,,,,Martin,1628998.0
218,PT09M17.00S,2024-01-03T03:41:03.3Z,2,REGULAR,2pt,Jump Shot,[],1628998,18.2161629434954,26.96078431372549,1610612766,30,31,2024-01-03T03:46:12Z,2160000,False,115.0,119.0,1,left,MISS C. Martin 16' pullup Shot,[1628998],1610612766.0,CHA,pullup,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right Center,,,,16.54,Missed,,,,,,,,,,,,,,,
219,PT09M13.00S,2024-01-03T03:41:07.6Z,2,REGULAR,rebound,defensive,[],203458,,,1610612758,30,31,2024-01-03T03:41:07Z,2170000,False,,,0,,A. Len REBOUND (Off:0 Def:3),[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,Mid-Range,16-24 Right Center,,,,,,,,218.0,3.0,3.0,0.0,,,,,,,,,
220,PT09M09.00S,2024-01-03T03:41:11.2Z,2,REGULAR,turnover,lost ball,[],1630558,,,1610612758,30,31,2024-01-03T03:41:36Z,2180000,False,,,0,,D. Mitchell lost ball TURNOVER (1 TO),"[1630558, 1641877]",1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,1.0,Mensah,1641877.0,,,,,,,,,,,,,,,,,
221,PT09M09.00S,2024-01-03T03:41:11.2Z,2,REGULAR,steal,,[],1641877,,,1610612766,30,31,2024-01-03T03:56:40Z,2190000,False,,,0,,N. Mensah STEAL (2 STL),[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
222,PT09M02.00S,2024-01-03T03:41:18.4Z,2,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1641733,29.6484888304862,25.245098039215684,1610612766,30,31,2024-01-03T03:52:42Z,2200000,False,124.0,226.0,1,left,MISS N. Smith Jr. 25' running 3PT,[1641733],1610612766.0,CHA,running,,,Smith Jr.,N. Smith Jr.,,,,,Above the Break 3,24+ Right Center,,,,25.79,Missed,,,,,,,,,,,,,,,
223,PT08M57.00S,2024-01-03T03:41:22.9Z,2,REGULAR,rebound,defensive,[],1626168,,,1610612758,30,31,2024-01-03T03:41:22Z,2210000,False,,,0,,T. Lyles REBOUND (Off:0 Def:2),[1626168],1610612758.0,SAC,,,,Lyles,T. Lyles,,,,,Above the Break 3,24+ Right Center,,,,,,,,222.0,2.0,2.0,0.0,,,,,,,,,
224,PT08M52.00S,2024-01-03T03:41:31.6Z,2,REGULAR,foul,personal,['2freethrow'],1628998,,,1610612758,30,31,2024-01-03T03:41:38Z,2220000,False,,,0,,C. Martin shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1628998, 1630558]",1610612766.0,CHA,shooting,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628953.0,1.0,0.0,,,,Mitchell,1630558.0
226,PT08M52.00S,2024-01-03T03:41:57.5Z,2,REGULAR,freethrow,1 of 2,[],1630558,,,1610612758,30,31,2024-01-03T03:41:57Z,2240000,False,,,0,,MISS D. Mitchell Free Throw 1 of 2,[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
227,PT08M52.00S,2024-01-03T03:41:57.5Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,30,31,2024-01-03T03:41:57Z,2250000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,226.0,,,,,,,,,,,,
228,PT08M52.00S,2024-01-03T03:41:58.1Z,2,REGULAR,substitution,out,[],1628368,,,1610612758,30,31,2024-01-03T03:42:07Z,2260000,False,,,0,,SUB out: D. Fox,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M52.00S,2024-01-03T03:41:58.1Z,2,REGULAR,substitution,out,[],203458,,,1610612758,30,31,2024-01-03T03:42:07Z,2270000,False,,,0,,SUB out: A. Len,[203458],1610612758.0,SAC,,,,Len,A. Len,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT08M52.00S,2024-01-03T03:41:58.1Z,2,REGULAR,substitution,in,[],1627734,,,1610612758,30,31,2024-01-03T03:42:07Z,2280000,False,,,0,,SUB in: D. Sabonis,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT08M52.00S,2024-01-03T03:41:58.1Z,2,REGULAR,substitution,in,[],1631099,,,1610612758,30,31,2024-01-03T03:42:07Z,2290000,False,,,0,,SUB in: K. Murray,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M52.00S,2024-01-03T03:42:21.5Z,2,REGULAR,freethrow,2 of 2,[],1630558,,,1610612758,31,31,2024-01-03T03:42:21Z,2300000,False,,,0,,D. Mitchell Free Throw 2 of 2 (1 PTS),[1630558],1610612758.0,SAC,,,,Mitchell,D. Mitchell,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,,
233,PT08M36.00S,2024-01-03T03:42:38.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1641877,6.783837056504599,54.166666666666664,1610612766,31,31,2024-01-03T03:53:19Z,2310000,False,-21.0,11.0,1,left,MISS N. Mensah cutting Layup,[1641877],1610612766.0,CHA,cutting,,,Mensah,N. Mensah,,,,,Restricted Area,0-8 Center,,,,2.37,Missed,,,,,,,,,,,,,,,
234,PT08M33.00S,2024-01-03T03:42:41.6Z,2,REGULAR,rebound,defensive,[],1627734,,,1610612758,31,31,2024-01-03T03:57:04Z,2320000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:5),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,233.0,6.0,5.0,1.0,,,,,,,,,
235,PT08M23.00S,2024-01-03T03:42:54.8Z,2,REGULAR,foul,offensive,[],1627734,,,1610612758,31,31,2024-01-03T03:43:08Z,2330000,False,,,0,,D. Sabonis charge offensive FOUL (1 PF),"[1627734, 1641877]",1610612758.0,SAC,charge,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1627524.0,1.0,1.0,,,,Mensah,1641877.0
237,PT08M23.00S,2024-01-03T03:42:54.8Z,2,REGULAR,turnover,offensive foul,[],1627734,,,1610612758,31,31,2024-01-03T03:42:54Z,2350000,False,,,0,,D. Sabonis offensive foul TURNOVER (4 TO),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,4.0,,,,,,,,,,,,1627524.0,,,,,,,
238,PT08M01.00S,2024-01-03T03:43:33.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1626179,16.63929040735874,29.65686274509804,1610612766,31,33,2024-01-03T03:54:40Z,2360000,False,102.0,104.0,1,left,T. Rozier 14' driving floating Jump Shot (12 PTS) (P. Washington 1 AST),"[1626179, 1629023]",1610612766.0,CHA,driving floating,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Right,,,,14.54,Made,,,,,,,12.0,,,,P. Washington,1629023.0,1.0,,
241,PT07M49.00S,2024-01-03T03:43:56.7Z,2,REGULAR,foul,personal,[],1641877,,,1610612758,31,33,2024-01-03T03:57:14Z,2390000,False,,,0,,N. Mensah loose ball personal FOUL (2 PF),"[1641877, 1626168]",1610612766.0,CHA,loose ball,,,Mensah,N. Mensah,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1627524.0,2.0,0.0,,,,Lyles,1626168.0
244,PT07M49.00S,2024-01-03T03:44:05.4Z,2,REGULAR,substitution,out,[],1628989,,,1610612758,31,33,2024-01-03T03:57:14Z,2420000,False,,,0,,SUB out: K. Huerter,[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT07M49.00S,2024-01-03T03:44:05.4Z,2,REGULAR,substitution,out,[],1626179,,,1610612758,31,33,2024-01-03T03:57:14Z,2430000,False,,,0,,SUB out: T. Rozier,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,,,,,,,,,,,,,,,,,,,,,,
246,PT07M49.00S,2024-01-03T03:44:05.4Z,2,REGULAR,substitution,out,[],1629023,,,1610612758,31,33,2024-01-03T03:57:14Z,2440000,False,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT07M49.00S,2024-01-03T03:44:05.4Z,2,REGULAR,substitution,out,[],1641877,,,1610612758,31,33,2024-01-03T03:57:14Z,2450000,False,,,0,,SUB out: N. Mensah,[1641877],1610612766.0,CHA,,,,Mensah,N. Mensah,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT07M49.00S,2024-01-03T03:44:05.4Z,2,REGULAR,substitution,in,[],1630537,,,1610612758,31,33,2024-01-03T03:57:14Z,2460000,False,,,0,,SUB in: C. Duarte,[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M49.00S,2024-01-03T03:44:05.4Z,2,REGULAR,substitution,in,[],1630208,,,1610612758,31,33,2024-01-03T03:57:14Z,2470000,False,,,0,,SUB in: N. Richards,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M49.00S,2024-01-03T03:44:05.4Z,2,REGULAR,substitution,in,[],1628970,,,1610612758,31,33,2024-01-03T03:57:14Z,2480000,False,,,0,,SUB in: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M49.00S,2024-01-03T03:44:05.4Z,2,REGULAR,substitution,in,[],202397,,,1610612758,31,33,2024-01-03T03:57:14Z,2490000,False,,,0,,SUB in: I. Smith,[202397],1610612766.0,CHA,,,,Smith,I. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
252,PT07M35.00S,2024-01-03T03:44:27.3Z,2,REGULAR,3pt,Jump Shot,[],1631099,90.09526938239159,97.30392156862744,1610612758,31,33,2024-01-03T03:57:03Z,2500000,False,237.0,41.0,1,right,MISS K. Murray 24' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,,,,24.0,Missed,,,,,,,,,,,,,,,
253,PT07M31.00S,2024-01-03T03:44:31.7Z,2,REGULAR,rebound,defensive,[],1628970,,,1610612766,31,33,2024-01-03T03:44:31Z,2510000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,,,,,,252.0,2.0,2.0,0.0,,,,,,,,,
254,PT07M27.00S,2024-01-03T03:44:35.9Z,2,REGULAR,3pt,Jump Shot,[],1628998,6.521024967148489,94.6078431372549,1610612766,31,33,2024-01-03T03:44:49Z,2520000,False,-223.0,9.0,1,left,MISS C. Martin 3PT,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,,,,22.32,Missed,,,,,,,,,,,,,,,
255,PT07M26.00S,2024-01-03T03:44:36.9Z,2,REGULAR,rebound,defensive,[],1630537,,,1610612758,31,33,2024-01-03T03:59:24Z,2530000,False,,,0,,C. Duarte REBOUND (Off:1 Def:1),[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Left Corner 3,24+ Left,,,,,,,,254.0,2.0,1.0,1.0,,,,,,,,,
258,PT07M18.00S,2024-01-03T03:44:44.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627734,92.46057818659659,53.431372549019606,1610612758,31,33,2024-01-03T03:59:54Z,2560000,False,17.0,18.0,1,right,MISS D. Sabonis running Layup,[1627734],1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,2.52,Missed,,,,,,,,,,,,,,,
259,PT07M17.00S,2024-01-03T03:44:45.7Z,2,REGULAR,rebound,offensive,[],1630537,,,1610612758,31,33,2024-01-03T03:59:54Z,2570000,False,,,0,,C. Duarte REBOUND (Off:2 Def:1),[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,,,,,258.0,3.0,1.0,2.0,,,,,,,,,
260,PT07M17.00S,2024-01-03T03:44:53.5Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630537,94.40999984741211,50.0,1610612758,33,33,2024-01-03T04:00:00Z,2580000,False,0.0,0.0,1,right,C. Duarte tip Layup (7 PTS),[1630537],1610612758.0,SAC,tip,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,0.0,Made,,,,,,,7.0,,,,,,,,
277,PT07M09.00S,2024-01-03T03:45:01.7Z,2,REGULAR,turnover,bad pass,[],202397,,,1610612766,33,33,2024-01-03T03:48:54Z,2590000,False,,,0,,I. Smith bad pass TURNOVER (2 TO),"[202397, 1631099]",1610612766.0,CHA,,,,Smith,I. Smith,,,,,In The Paint (Non-RA),8-16 Center,2.0,Murray,1631099.0,,,,,,,,,,,,,,,,,
278,PT07M09.00S,2024-01-03T03:45:01.7Z,2,REGULAR,steal,,[],1631099,,,1610612758,33,33,2024-01-03T03:48:54Z,2595000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
282,PT07M01.00S,2024-01-03T03:45:05.8Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1631099,76.5604467805519,52.20588235294118,1610612758,33,33,2024-01-03T04:00:41Z,2597500,False,11.0,168.0,1,right,MISS K. Murray 16' turnaround Shot,[1631099],1610612758.0,SAC,turnaround,,,Murray,K. Murray,,,,,Mid-Range,16-24 Center,,,,16.82,Missed,,,,,,,,,,,,,,,
283,PT06M58.00S,2024-01-03T03:45:08.8Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612766,33,33,2024-01-03T03:49:57Z,2598750,False,,,0,,N. Richards REBOUND (Off:0 Def:3),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,16-24 Center,,,,,,,,282.0,3.0,3.0,0.0,,,,,,,,,
267,PT06M47.00S,2024-01-03T03:45:25.0Z,2,REGULAR,foul,personal,[],1631099,,,1610612766,33,33,2024-01-03T03:56:18Z,2650000,False,,,0,,K. Murray personal FOUL (1 PF),"[1631099, 1628970]",1610612758.0,SAC,,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,204059.0,1.0,0.0,,,,Bridges,1628970.0
