actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
106,PT03M12.00S,2024-02-13T01:31:35.0Z,1,REGULAR,substitution,out,[],203109,,,1610612743,16,16,2024-02-13T01:31:47Z,1060000,False,,,0,,SUB out: J. Crowder,[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PT03M12.00S,2024-02-13T01:31:35.0Z,1,REGULAR,substitution,out,[],203932,,,1610612743,16,16,2024-02-13T01:31:47Z,1070000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PT03M12.00S,2024-02-13T01:31:35.0Z,1,REGULAR,substitution,in,[],201976,,,1610612743,16,16,2024-02-13T01:31:47Z,1080000,False,,,0,,SUB in: P. Beverley,[201976],1610612749.0,MIL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PT03M12.00S,2024-02-13T01:31:35.0Z,1,REGULAR,substitution,in,[],1626192,,,1610612743,16,16,2024-02-13T01:31:47Z,1090000,False,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PT03M12.00S,2024-02-13T01:31:35.0Z,1,REGULAR,substitution,in,[],1631212,,,1610612743,16,16,2024-02-13T01:31:47Z,1100000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT03M02.00S,2024-02-13T01:32:07.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203999,80.6833114323259,57.37591911764706,1610612743,16,18,2024-02-13T01:32:15Z,1110000,False,37.0,129.0,1,right,N. Jokic 13' Jump Shot (11 PTS) (R. Jackson 2 AST),"[203999, 202704]",1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,13.43,Made,,,,,,,11.0,R. Jackson,202704.0,2.0,,,,,,,,
113,PT02M48.00S,2024-02-13T01:32:21.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626171,13.87976346911958,63.725490196078425,1610612749,18,18,2024-02-13T01:32:25Z,1130000,False,-69.0,78.0,1,left,B. Portis 10' turnaround Hook (2 PTS) (P. Beverley 1 AST),"[1626171, 201976]",1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,In The Paint (Non-RA),8-16 Left,10.39,Made,,,,,,,2.0,P. Beverley,201976.0,1.0,,,,,,,,
115,PT02M40.00S,2024-02-13T01:32:31.8Z,1,REGULAR,foul,personal,['2freethrow'],201572,,,1610612743,18,18,2024-02-13T01:32:43Z,1150000,False,,,0,,B. Lopez shooting personal FOUL (1 PF) (Jokic 2 FT),"[201572, 203999]",1610612749.0,MIL,shooting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628171.0,,1.0,0.0,Jokic,203999.0,,
117,PT02M40.00S,2024-02-13T01:33:05.0Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,18,18,2024-02-13T01:33:05Z,1170000,False,,,0,,MISS N. Jokic Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
118,PT02M40.00S,2024-02-13T01:33:05.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,18,18,2024-02-13T01:33:05Z,1180000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,
