actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
144,PT00M36.60S,2023-12-27T00:33:53.1Z,1,REGULAR,freethrow,2 of 2,[],1626153,,,1610612764,31,28,2023-12-27T00:33:53Z,1440000,False,,,0,,D. Wright Free Throw 2 of 2 (5 PTS),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
145,PT00M29.20S,2023-12-27T00:34:02.5Z,1,REGULAR,3pt,Jump Shot,[],203914,3.7614980289093296,97.54901960784314,1610612753,31,31,2023-12-27T00:34:08Z,1450000,False,-238.0,-17.0,1,left,G. Harris 3PT  (3 PTS) (F. Wagner 5 AST),"[203914, 1630532]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,Left Corner 3,24+ Left,23.83,Made,3.0,F. Wagner,1630532.0,5.0,,,,,,,,,,,,,,
147,PT00M11.90S,2023-12-27T00:34:24.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,89.17542706964521,57.107843137254896,1610612764,33,31,2023-12-27T00:35:40Z,1470000,False,36.0,49.0,1,right,J. Poole 6' driving floating bank Jump Shot (5 PTS),[1629673],1610612764.0,WAS,driving floating bank,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,6.08,Made,5.0,,,,,,,,,,,,,,,,,
148,PT00M02.90S,2023-12-27T00:34:36.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.703679369250986,63.48039215686274,1610612753,33,31,2023-12-27T00:36:08Z,1480000,False,-67.0,20.0,1,left,MISS F. Wagner 7' driving Layup - blocked,"[1630532, 1641731]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,7.03,Missed,,,,,,,,,,,,,,,,,Coulibaly,1641731.0
149,PT00M02.90S,2023-12-27T00:34:36.1Z,1,REGULAR,block,,[],1641731,,,1610612753,33,31,2023-12-27T00:34:39Z,1490000,False,,,0,,B. Coulibaly BLOCK (2 BLK),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
150,PT00M02.90S,2023-12-27T00:34:36.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,33,31,2023-12-27T00:34:42Z,1500000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,148.0,,,,,,,,,,,,,
152,PT00M01.70S,2023-12-27T00:34:53.2Z,1,REGULAR,foul,personal,['2freethrow'],1626153,,,1610612753,33,31,2023-12-27T00:35:01Z,1520000,False,,,0,,D. Wright shooting personal FOUL (1 PF) (Wagner 2 FT),"[1626153, 1630532]",1610612764.0,WAS,shooting,,,Wright,D. Wright,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1626300.0,,,,1.0,0.0,Wagner,1630532.0,,
154,PT00M01.70S,2023-12-27T00:35:21.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630532,,,1610612753,33,32,2023-12-27T00:35:21Z,1540000,False,,,0,,F. Wagner Free Throw 1 of 2 (1 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
155,PT00M01.70S,2023-12-27T00:35:39.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630532,,,1610612753,33,33,2023-12-27T00:35:39Z,1550000,False,,,0,,F. Wagner Free Throw 2 of 2 (2 PTS),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
156,PT00M00.00S,2023-12-27T00:35:49.1Z,1,REGULAR,period,end,[],0,,,1610612764,33,33,2023-12-27T00:35:49Z,1560000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,PT12M00.00S,2023-12-27T00:37:51.8Z,2,REGULAR,substitution,out,['startperiod'],1630557,,,1610612764,33,33,2023-12-27T00:38:13Z,1570000,False,,,0,,SUB out: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
