actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId
177,PT09M56.00S,2022-01-29T03:52:22.2Z,2,REGULAR,foul,personal,[],202692,,,1610612749,44,33,2022-01-29T03:52:52Z,1740000,,,0,,A. Burks take personal FOUL (1 PF),"[202692, 203507]",1610612752.0,NYK,take,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Antetokounmpo,203507.0,,,
179,PT09M47.00S,2022-01-29T03:52:48.0Z,2,REGULAR,turnover,bad pass,[],203507,,,1610612749,44,33,2022-01-29T03:52:55Z,1760000,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1629656]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,1.0,Grimes,1629656.0,,,,,,,,,,,,,,,,,,
180,PT09M47.00S,2022-01-29T03:52:48.0Z,2,REGULAR,steal,,[],1629656,,,1610612752,44,33,2022-01-29T03:52:50Z,1770000,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT09M42.00S,2022-01-29T03:52:53.8Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629656,85.10183968462549,95.83333333333334,1610612752,44,36,2022-01-29T03:53:35Z,1780000,229.0,88.0,1,right,Q. Grimes 24' 3PT running (6 PTS) (A. Burks 2 AST),"[1629656, 202692]",1610612752.0,NYK,running,,,Grimes,Q. Grimes,,,,,,,,24.53,Made,6.0,A. Burks,202692.0,2.0,,,,,,,,,,,,
183,PT09M23.00S,2022-01-29T03:53:12.3Z,2,REGULAR,3pt,Jump Shot,[],1628960,2.8416557161629434,95.34313725490196,1610612749,47,36,2022-01-29T03:53:16Z,1800000,-227.0,-26.0,1,left,G. Allen 3PT  (6 PTS) (G. Antetokounmpo 3 AST),"[1628960, 203507]",1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,22.82,Made,6.0,G. Antetokounmpo,203507.0,3.0,,,,,,,,,,,,
185,PT09M10.00S,2022-01-29T03:53:26.1Z,2,REGULAR,2pt,Jump Shot,[],1630193,79.188567674113,46.07843137254902,1610612752,47,36,2022-01-29T03:53:33Z,1820000,-20.0,143.0,1,right,MISS I. Quickley 14' driving floating Shot,[1630193],1610612752.0,NYK,driving floating,,,Quickley,I. Quickley,,,,,,,,14.44,Missed,,,,,,,,,,,,,,,,
186,PT09M07.00S,2022-01-29T03:53:29.1Z,2,REGULAR,rebound,defensive,[],202083,,,1610612749,47,36,2022-01-29T03:53:56Z,1830000,,,0,,W. Matthews REBOUND (Off:0 Def:1),[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,185.0,1.0,1.0,0.0,,,,,,,,
187,PT09M03.00S,2022-01-29T03:53:33.1Z,2,REGULAR,3pt,Jump Shot,[],201950,32.933639947437584,31.127450980392158,1610612749,50,36,2022-01-29T03:53:40Z,1840000,94.0,257.0,1,left,J. Holiday 27' 3PT step back (14 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,,,,27.39,Made,14.0,,,,,,,,,,,,,,,
188,PT08M53.00S,2022-01-29T03:53:47.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,50,36,2022-01-29T03:53:47Z,1850000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT08M53.00S,2022-01-29T03:56:12.3Z,2,REGULAR,substitution,out,[],1628978,,,1610612752,50,36,2022-01-29T03:56:59Z,1860000,,,0,,SUB out: D. DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT08M53.00S,2022-01-29T03:56:12.3Z,2,REGULAR,substitution,out,[],203507,,,1610612752,50,36,2022-01-29T03:56:59Z,1870000,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT08M53.00S,2022-01-29T03:56:12.3Z,2,REGULAR,substitution,out,[],203457,,,1610612752,50,36,2022-01-29T03:56:59Z,1880000,,,0,,SUB out: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT08M53.00S,2022-01-29T03:56:12.3Z,2,REGULAR,substitution,in,[],203114,,,1610612752,50,36,2022-01-29T03:56:59Z,1890000,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT08M53.00S,2022-01-29T03:56:12.3Z,2,REGULAR,substitution,in,[],1626192,,,1610612752,50,36,2022-01-29T03:56:59Z,1900000,,,0,,SUB in: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT08M53.00S,2022-01-29T03:56:12.3Z,2,REGULAR,substitution,in,[],1629011,,,1610612752,50,36,2022-01-29T03:56:59Z,1910000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT08M40.00S,2022-01-29T03:57:26.8Z,2,REGULAR,2pt,Jump Shot,[],1629656,82.47371879106439,31.61764705882353,1610612752,50,38,2022-01-29T03:57:31Z,1920000,-92.0,112.0,1,right,Q. Grimes 14' floating Jump Shot (8 PTS),[1629656],1610612752.0,NYK,floating,,,Grimes,Q. Grimes,,,,,,,,14.5,Made,8.0,,,,,,,,,,,,,,,
196,PT08M28.00S,2022-01-29T03:57:40.0Z,2,REGULAR,3pt,Jump Shot,[],201950,32.670827858081466,34.31372549019608,1610612749,50,38,2022-01-29T03:57:44Z,1930000,78.0,255.0,1,left,MISS J. Holiday 26' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,26.64,Missed,,,,,,,,,,,,,,,,
197,PT08M25.00S,2022-01-29T03:57:43.0Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612752,50,38,2022-01-29T03:57:44Z,1940000,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,196.0,1.0,1.0,0.0,,,,,,,,
198,PT08M22.00S,2022-01-29T03:57:48.4Z,2,REGULAR,foul,personal,[],202083,,,1610612752,50,38,2022-01-29T03:57:59Z,1950000,,,0,,W. Matthews personal FOUL (2 PF),"[202083, 202692]",1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,1193.0,2.0,0.0,Burks,202692.0,,,
200,PT08M07.00S,2022-01-29T03:58:20.0Z,2,REGULAR,3pt,Jump Shot,[],1629656,64.33968462549278,41.66666666666667,1610612752,50,38,2022-01-29T03:58:25Z,1970000,-42.0,283.0,1,right,MISS Q. Grimes 28' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,28.58,Missed,,,,,,,,,,,,,,,,
201,PT08M03.00S,2022-01-29T03:58:24.0Z,2,REGULAR,rebound,defensive,[],203114,,,1610612749,50,38,2022-01-29T03:58:25Z,1980000,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,200.0,2.0,2.0,0.0,,,,,,,,
202,PT07M53.00S,2022-01-29T03:58:33.3Z,2,REGULAR,2pt,Jump Shot,[],203114,20.45006570302234,41.66666666666667,1610612749,50,38,2022-01-29T03:58:38Z,1990000,42.0,140.0,1,left,MISS K. Middleton 14' pullup Shot,[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,,,,14.58,Missed,,,,,,,,,,,,,,,,
203,PT07M50.00S,2022-01-29T03:58:36.3Z,2,REGULAR,rebound,defensive,[],1629011,,,1610612752,50,38,2022-01-29T03:58:38Z,2000000,,,0,,M. Robinson REBOUND (Off:2 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,202.0,3.0,1.0,2.0,,,,,,,,
215,PT07M36.00S,2022-01-29T03:58:51.3Z,2,REGULAR,turnover,out-of-bounds,[],202692,,,1610612752,50,38,2022-01-29T04:01:29Z,2020000,,,0,,A. Burks lost ball out-of-bounds TURNOVER (2 TO),[202692],1610612752.0,NYK,lost ball,,,Burks,A. Burks,,,,,2.0,,,,,,,,,,,,,201245.0,,,,,,,
207,PT07M36.00S,2022-01-29T03:59:09.4Z,2,REGULAR,substitution,out,[],202083,,,1610612749,50,38,2022-01-29T04:00:25Z,2040000,,,0,,SUB out: W. Matthews,[202083],1610612749.0,MIL,,,,Matthews,W. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M36.00S,2022-01-29T03:59:09.4Z,2,REGULAR,substitution,in,[],1626171,,,1610612749,50,38,2022-01-29T04:00:25Z,2050000,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M21.00S,2022-01-29T03:59:29.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203114,16.507884362680684,50.98039215686274,1610612749,52,38,2022-01-29T04:00:25Z,2060000,-5.0,103.0,1,left,K. Middleton 10' turnaround Jump Shot (6 PTS) (J. Holiday 5 AST),"[203114, 201950]",1610612749.0,MIL,turnaround,,,Middleton,K. Middleton,,,,,,,,10.28,Made,6.0,J. Holiday,201950.0,5.0,,,,,,,,,,,,
211,PT07M02.00S,2022-01-29T03:59:49.4Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630167,93.51182654402102,50.73529411764706,1610612752,52,40,2022-01-29T04:06:23Z,2080000,4.0,8.0,1,right,O. Toppin alley-oop DUNK (2 PTS) (I. Quickley 2 AST),"[1630167, 1630193]",1610612752.0,NYK,alley-oop,,,Toppin,O. Toppin,,,,,,,,0.93,Made,2.0,I. Quickley,1630193.0,2.0,,,,,,,,,,,,
213,PT06M57.00S,2022-01-29T03:59:57.4Z,2,REGULAR,foul,personal,['2freethrow'],202692,,,1610612749,52,40,2022-01-29T04:00:20Z,2100000,,,0,,A. Burks shooting personal FOUL (2 PF) (Allen 2 FT),"[202692, 1628960]",1610612752.0,NYK,shooting,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,1193.0,2.0,0.0,Allen,1628960.0,,,
216,PT06M57.00S,2022-01-29T04:00:27.3Z,2,REGULAR,freethrow,1 of 2,[],1628960,,,1610612749,53,40,2022-01-29T04:00:27Z,2120000,,,0,,G. Allen Free Throw 1 of 2 (7 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
217,PT06M57.00S,2022-01-29T04:00:28.2Z,2,REGULAR,substitution,out,[],201950,,,1610612749,53,40,2022-01-29T04:00:42Z,2130000,,,0,,SUB out: J. Holiday,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT06M57.00S,2022-01-29T04:00:28.2Z,2,REGULAR,substitution,out,[],1630193,,,1610612749,53,40,2022-01-29T04:00:42Z,2140000,,,0,,SUB out: I. Quickley,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT06M57.00S,2022-01-29T04:00:28.2Z,2,REGULAR,substitution,out,[],202692,,,1610612749,53,40,2022-01-29T04:00:42Z,2150000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT06M57.00S,2022-01-29T04:00:28.2Z,2,REGULAR,substitution,in,[],201588,,,1610612749,53,40,2022-01-29T04:00:42Z,2160000,,,0,,SUB in: G. Hill,[201588],1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT06M57.00S,2022-01-29T04:00:28.2Z,2,REGULAR,substitution,in,[],202689,,,1610612749,53,40,2022-01-29T04:00:42Z,2170000,,,0,,SUB in: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT06M57.00S,2022-01-29T04:00:28.2Z,2,REGULAR,substitution,in,[],203095,,,1610612749,53,40,2022-01-29T04:00:42Z,2180000,,,0,,SUB in: E. Fournier,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT06M57.00S,2022-01-29T04:00:47.4Z,2,REGULAR,freethrow,2 of 2,[],1628960,,,1610612749,54,40,2022-01-29T04:00:47Z,2190000,,,0,,G. Allen Free Throw 2 of 2 (8 PTS),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,Made,8.0,,,,,,,,,,,,,,,
224,PT06M47.00S,2022-01-29T04:00:58.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630167,92.72339027595268,48.77450980392157,1610612752,54,42,2022-01-29T04:01:07Z,2200000,-6.0,16.0,1,right,O. Toppin driving DUNK (4 PTS) (K. Walker 2 AST),"[1630167, 202689]",1610612752.0,NYK,driving,,,Toppin,O. Toppin,,,,,,,,1.7,Made,4.0,K. Walker,202689.0,2.0,,,,,,,,,,,,
226,PT06M34.00S,2022-01-29T04:01:19.1Z,2,REGULAR,foul,technical,['1freethrow'],1629011,,,1610612749,54,42,2022-01-29T04:01:34Z,2220000,,,0,,M. Robinson defensive-3-second technical FOUL (1 Tech),[1629011],1610612752.0,NYK,defensive-3-second,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,1193.0,2.0,1.0,,,,,
227,PT06M34.00S,2022-01-29T04:01:35.7Z,2,REGULAR,freethrow,1 of 1,[],203114,,,1610612749,55,42,2022-01-29T04:01:35Z,2230000,,,0,,K. Middleton technical Free Throw 1 of 1 (7 PTS),[203114],1610612749.0,MIL,technical,,,Middleton,K. Middleton,,,,,,,,,Made,7.0,,,,,,,,,,,,,,,
228,PT06M26.00S,2022-01-29T04:01:52.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,16.63929040735874,60.5392156862745,1610612749,55,42,2022-01-29T04:06:19Z,2240000,-53.0,104.0,1,left,MISS K. Middleton 11' fadeaway Shot - blocked,"[203114, 1629656]",1610612749.0,MIL,fadeaway,,,Middleton,K. Middleton,,,,,,,,11.65,Missed,,,,,,,,,,,,,,,Grimes,1629656.0
229,PT06M26.00S,2022-01-29T04:01:52.3Z,2,REGULAR,block,,[],1629656,,,1610612749,55,42,2022-01-29T04:01:55Z,2250000,,,0,,Q. Grimes BLOCK (1 BLK),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT06M25.00S,2022-01-29T04:01:53.3Z,2,REGULAR,rebound,defensive,[],202689,,,1610612752,55,42,2022-01-29T04:01:57Z,2260000,,,0,,K. Walker REBOUND (Off:0 Def:2),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,228.0,2.0,2.0,0.0,,,,,,,,
231,PT06M25.00S,2022-01-29T04:01:59.0Z,2,REGULAR,foul,personal,[],201588,,,1610612752,55,42,2022-01-29T04:02:32Z,2270000,,,0,,G. Hill personal FOUL (1 PF),"[201588, 202689]",1610612749.0,MIL,,,,Hill,G. Hill,,,,,,,,,,,,,,,,,,1193.0,1.0,0.0,Walker,202689.0,,,
233,PT06M12.00S,2022-01-29T04:02:23.5Z,2,REGULAR,3pt,Jump Shot,[],203095,68.67608409986859,28.676470588235293,1610612752,55,42,2022-01-29T04:02:34Z,2290000,-107.0,242.0,1,right,MISS E. Fournier 26' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,26.43,Missed,,,,,,,,,,,,,,,,
234,PT06M09.00S,2022-01-29T04:02:26.8Z,2,REGULAR,rebound,defensive,[],1628960,,,1610612749,55,42,2022-01-29T04:02:26Z,2300000,,,0,,G. Allen REBOUND (Off:0 Def:2),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,233.0,2.0,2.0,0.0,,,,,,,,
235,PT05M59.00S,2022-01-29T04:02:37.5Z,2,REGULAR,3pt,Jump Shot,[],1626171,10.463206307490145,2.941176470588235,1610612749,55,42,2022-01-29T04:02:41Z,2310000,235.0,46.0,1,left,MISS B. Portis 3PT,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,23.97,Missed,,,,,,,,,,,,,,,,
236,PT05M56.00S,2022-01-29T04:02:40.5Z,2,REGULAR,rebound,defensive,[],1629656,,,1610612752,55,42,2022-01-29T04:02:41Z,2320000,,,0,,Q. Grimes REBOUND (Off:0 Def:2),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,235.0,2.0,2.0,0.0,,,,,,,,
237,PT05M51.00S,2022-01-29T04:02:45.3Z,2,REGULAR,turnover,bad pass,[],1629656,,,1610612752,55,42,2022-01-29T04:02:55Z,2330000,,,0,,Q. Grimes bad pass TURNOVER (1 TO),"[1629656, 1628960]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,1.0,Allen,1628960.0,,,,,,,,,,,,,,,,,,
238,PT05M51.00S,2022-01-29T04:02:45.3Z,2,REGULAR,steal,,[],1628960,,,1610612749,55,42,2022-01-29T04:02:47Z,2340000,,,0,,G. Allen STEAL (2 STL),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M42.00S,2022-01-29T04:02:54.4Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],203114,12.959921156373195,75.98039215686273,1610612749,57,42,2022-01-29T04:02:59Z,2350000,-130.0,69.0,1,left,K. Middleton 14' Jump Shot (9 PTS) (G. Allen 2 AST),"[203114, 1628960]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,14.72,Made,9.0,G. Allen,1628960.0,2.0,,,,,,,,,,,,
241,PT05M28.00S,2022-01-29T04:03:07.1Z,2,REGULAR,3pt,Jump Shot,[],1629656,68.80749014454665,14.215686274509803,1610612752,57,45,2022-01-29T04:03:12Z,2370000,-179.0,241.0,1,right,Q. Grimes 29' 3PT  (11 PTS) (K. Walker 3 AST),"[1629656, 202689]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,29.99,Made,11.0,K. Walker,202689.0,3.0,,,,,,,,,,,,
243,PT05M16.00S,2022-01-29T04:03:20.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626192,8.229303547963205,48.03921568627451,1610612749,57,45,2022-01-29T04:03:24Z,2390000,10.0,25.0,1,left,MISS P. Connaughton driving Layup,[1626192],1610612749.0,MIL,driving,,,Connaughton,P. Connaughton,,,,,,,,2.68,Missed,,,,,,,,,,,,,,,,
244,PT05M14.00S,2022-01-29T04:03:22.2Z,2,REGULAR,rebound,defensive,[],1630167,,,1610612752,57,45,2022-01-29T04:03:24Z,2400000,,,0,,O. Toppin REBOUND (Off:0 Def:2),[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,243.0,2.0,2.0,0.0,,,,,,,,
245,PT05M08.00S,2022-01-29T04:03:27.7Z,2,REGULAR,turnover,bad pass,[],1629656,,,1610612752,57,45,2022-01-29T04:03:33Z,2410000,,,0,,Q. Grimes bad pass TURNOVER (2 TO),"[1629656, 1626171]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,2.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,
246,PT05M08.00S,2022-01-29T04:03:27.7Z,2,REGULAR,steal,,[],1626171,,,1610612749,57,45,2022-01-29T04:03:30Z,2420000,,,0,,B. Portis STEAL (1 STL),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT05M00.00S,2022-01-29T04:03:35.2Z,2,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628960,9.149145860709593,96.56862745098039,1610612749,57,45,2022-01-29T04:07:07Z,2430000,-233.0,34.0,1,left,MISS G. Allen 3PT,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,23.52,Missed,,,,,,,,,,,,,,,,
248,PT04M57.00S,2022-01-29T04:03:38.2Z,2,REGULAR,rebound,defensive,[],203095,,,1610612752,57,45,2022-01-29T04:07:07Z,2440000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,247.0,1.0,1.0,0.0,,,,,,,,
249,PT04M51.00S,2022-01-29T04:03:44.6Z,2,REGULAR,3pt,Jump Shot,[],202689,64.99671484888306,51.71568627450981,1610612752,57,45,2022-01-29T04:03:53Z,2450000,9.0,277.0,1,right,MISS K. Walker 27' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,27.66,Missed,,,,,,,,,,,,,,,,
250,PT04M50.00S,2022-01-29T04:03:52.5Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612752,57,45,2022-01-29T04:03:52Z,2460000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,249.0,,,,,,,,,,,
251,PT04M50.00S,2022-01-29T04:03:53.4Z,2,REGULAR,foul,personal,[],1628960,,,1610612752,57,45,2022-01-29T04:04:03Z,2470000,,,0,,G. Allen loose ball personal FOUL (1 PF),"[1628960, 1629011]",1610612749.0,MIL,loose ball,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Robinson,1629011.0,,,
253,PT04M50.00S,2022-01-29T04:04:03.2Z,2,REGULAR,substitution,out,[],1628960,,,1610612752,57,45,2022-01-29T04:04:14Z,2490000,,,0,,SUB out: G. Allen,[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT04M50.00S,2022-01-29T04:04:03.2Z,2,REGULAR,substitution,out,[],1626192,,,1610612752,57,45,2022-01-29T04:04:14Z,2500000,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT04M50.00S,2022-01-29T04:04:03.2Z,2,REGULAR,substitution,out,[],1629656,,,1610612752,57,45,2022-01-29T04:04:14Z,2510000,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT04M50.00S,2022-01-29T04:04:03.2Z,2,REGULAR,substitution,in,[],1628978,,,1610612752,57,45,2022-01-29T04:04:14Z,2520000,,,0,,SUB in: D. DiVincenzo,[1628978],1610612749.0,MIL,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT04M50.00S,2022-01-29T04:04:03.2Z,2,REGULAR,substitution,in,[],203507,,,1610612752,57,45,2022-01-29T04:04:14Z,2530000,,,0,,SUB in: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M50.00S,2022-01-29T04:04:03.2Z,2,REGULAR,substitution,in,[],1629628,,,1610612752,57,45,2022-01-29T04:04:14Z,2540000,,,0,,SUB in: R. Barrett,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M43.00S,2022-01-29T04:04:24.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629011,92.46057818659659,50.73529411764706,1610612752,57,47,2022-01-29T04:04:29Z,2550000,4.0,18.0,1,right,M. Robinson alley-oop DUNK (6 PTS) (K. Walker 4 AST),"[1629011, 202689]",1610612752.0,NYK,alley-oop,,,Robinson,M. Robinson,,,,,,,,1.88,Made,6.0,K. Walker,202689.0,4.0,,,,,,,,,,,,
261,PT04M33.00S,2022-01-29T04:04:34.6Z,2,REGULAR,3pt,Jump Shot,[],203114,32.802233902759525,35.294117647058826,1610612749,57,47,2022-01-29T04:04:39Z,2570000,74.0,256.0,1,left,MISS K. Middleton 26' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,26.62,Missed,,,,,,,,,,,,,,,,
262,PT04M30.00S,2022-01-29T04:04:37.6Z,2,REGULAR,rebound,defensive,[],1629628,,,1610612752,57,47,2022-01-29T04:04:39Z,2580000,,,0,,R. Barrett REBOUND (Off:1 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,,261.0,2.0,1.0,1.0,,,,,,,,
263,PT04M21.00S,2022-01-29T04:04:47.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.72339027595268,47.05882352941176,1610612752,57,49,2022-01-29T04:04:51Z,2590000,-15.0,16.0,1,right,R. Barrett driving Layup (7 PTS),[1629628],1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,,,,2.17,Made,7.0,,,,,,,,,,,,,,,
264,PT04M13.00S,2022-01-29T04:04:57.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,57,49,2022-01-29T04:04:57Z,2600000,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,PT04M13.00S,2022-01-29T04:07:57.3Z,2,REGULAR,substitution,out,[],1630167,,,1610612749,57,49,2022-01-29T04:08:20Z,2610000,,,0,,SUB out: O. Toppin,[1630167],1610612752.0,NYK,,,,Toppin,O. Toppin,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT04M13.00S,2022-01-29T04:07:57.3Z,2,REGULAR,substitution,in,[],203944,,,1610612749,57,49,2022-01-29T04:08:20Z,2620000,,,0,,SUB in: J. Randle,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT03M57.00S,2022-01-29T04:08:41.7Z,2,REGULAR,2pt,Jump Shot,[],1626171,24.917871222076215,46.32352941176471,1610612749,57,49,2022-01-29T04:09:19Z,2630000,18.0,182.0,1,left,MISS B. Portis 18' pullup Shot,[1626171],1610612749.0,MIL,pullup,,,Portis,B. Portis,,,,,,,,18.26,Missed,,,,,,,,,,,,,,,,
268,PT03M52.00S,2022-01-29T04:08:46.7Z,2,REGULAR,rebound,defensive,[],202689,,,1610612752,57,49,2022-01-29T04:08:48Z,2640000,,,0,,K. Walker REBOUND (Off:0 Def:3),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,267.0,3.0,3.0,0.0,,,,,,,,
