actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
617,PT00M06.60S,2022-11-10T03:15:21.9Z,4,REGULAR,turnover,shot clock,['team'],0,,,1610612763,112,112,2022-11-10T03:15:33Z,6110000,False,,,0,,MEM shot clock Team TURNOVER,[],1610612763.0,MEM,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,1155.0,,,,,,
618,PT00M06.60S,2022-11-10T03:15:27.8Z,4,REGULAR,timeout,full,['team'],0,,,1610612759,112,112,2022-11-10T03:15:27Z,6120000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,PT00M06.60S,2022-11-10T03:16:39.9Z,4,REGULAR,substitution,out,[],1627751,,,1610612759,112,112,2022-11-10T03:16:59Z,6130000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
620,PT00M06.60S,2022-11-10T03:16:39.9Z,4,REGULAR,substitution,in,[],203926,,,1610612759,112,112,2022-11-10T03:16:59Z,6140000,False,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
621,PT00M02.10S,2022-11-10T03:17:08.9Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629640,86.41590013140605,44.6078431372549,1610612759,112,112,2022-11-10T03:36:08Z,6150000,False,-27.0,75.0,1,right,MISS K. Johnson 7' pullup Shot,[1629640],1610612759.0,SAS,pullup,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,7.99,Missed,,,,,,,,,,,,,,,,,,
622,PT00M00.40S,2022-11-10T03:17:10.6Z,4,REGULAR,rebound,defensive,[],203500,,,1610612763,112,112,2022-11-10T03:36:08Z,6160000,False,,,0,,S. Adams REBOUND (Off:10 Def:8),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,621.0,18.0,8.0,10.0,,,,,,,,,,
623,PT00M00.00S,2022-11-10T03:17:17.1Z,4,REGULAR,period,end,[],0,,,1610612763,112,112,2022-11-10T03:17:17Z,6170000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,PT05M00.00S,2022-11-10T03:20:04.5Z,5,OVERTIME,substitution,out,['startperiod'],203926,,,1610612763,112,112,2022-11-10T03:20:26Z,6180000,False,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
625,PT05M00.00S,2022-11-10T03:20:04.5Z,5,OVERTIME,substitution,in,['startperiod'],1627751,,,1610612763,112,112,2022-11-10T03:20:26Z,6190000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
626,PT05M00.00S,2022-11-10T03:20:43.0Z,5,OVERTIME,period,start,[],0,,,0,112,112,2022-11-10T03:20:43Z,6200000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
