actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
169,PT00M00.00S,2023-02-04T01:38:01.8Z,1,REGULAR,3pt,Jump Shot,[],1629003,64.07687253613666,72.79411764705883,1610612755,26,26,2023-02-04T01:38:24Z,1650000,False,-114.0,550.0,1,left,MISS S. Milton 56' pullup 3PT,[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,Above the Break 3,24+ Right Center,,,,,56.15,Missed,,,,,,,,,,,,,,
170,PT00M00.00S,2023-02-04T01:38:01.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,26,26,2023-02-04T01:38:24Z,1660000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,169.0,,,,,,,,,,,,
171,PT00M00.00S,2023-02-04T01:38:19.3Z,1,REGULAR,period,end,[],0,,,1610612755,26,26,2023-02-04T01:38:19Z,1670000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2023-02-04T01:40:10.0Z,2,REGULAR,substitution,out,['startperiod'],1628380,,,1610612755,26,26,2023-02-04T01:40:32Z,1680000,False,,,0,,SUB out: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2023-02-04T01:40:10.0Z,2,REGULAR,substitution,in,['startperiod'],1627751,,,1610612755,26,26,2023-02-04T01:40:32Z,1690000,False,,,0,,SUB in: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2023-02-04T01:40:49.9Z,2,REGULAR,period,start,[],0,,,1610612759,26,26,2023-02-04T01:40:49Z,1700000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT11M46.00S,2023-02-04T01:41:03.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628966,85.89027595269383,50.0,1610612759,26,26,2023-02-04T01:41:09Z,1710000,False,0.0,80.0,1,right,MISS K. Bates-Diop 8' floating Shot - blocked,"[1628966, 1627777]",1610612759.0,SAS,floating,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),8-16 Center,,,,,8.01,Missed,,,,,,,,,,,,,Niang,1627777.0
199,PT11M46.00S,2023-02-04T01:41:03.5Z,2,REGULAR,block,,[],1627777,,,1610612759,26,26,2023-02-04T01:44:37Z,1715000,False,,,0,,G. Niang BLOCK (1 BLK),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
177,PT11M40.00S,2023-02-04T01:41:09.5Z,2,REGULAR,rebound,offensive,[],1628966,,,1610612759,26,26,2023-02-04T01:41:09Z,1720000,False,,,0,,K. Bates-Diop REBOUND (Off:1 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,176.0,2.0,1.0,1.0,,,,,,,,,
178,PT11M40.00S,2023-02-04T01:41:08.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628966,94.40999984741211,50.0,1610612759,28,26,2023-02-04T01:41:08Z,1730000,False,0.0,0.0,1,right,K. Bates-Diop putback Layup (7 PTS),[1628966],1610612759.0,SAS,putback,,,Bates-Diop,K. Bates-Diop,,,,,Mid-Range,8-16 Left,,,,,0.0,Made,7.0,,,,,,,,,,,,,
179,PT11M25.00S,2023-02-04T01:41:23.4Z,2,REGULAR,3pt,Jump Shot,[],1627777,31.488173455978973,65.68627450980392,1610612755,28,26,2023-02-04T01:41:29Z,1740000,False,-78.0,243.0,1,left,MISS G. Niang 25' 3PT,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Center,,,,,25.58,Missed,,,,,,,,,,,,,,
180,PT11M25.00S,2023-02-04T01:41:23.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612759,28,26,2023-02-04T01:41:29Z,1750000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,179.0,,,,,,,,,,,,
182,PT11M06.00S,2023-02-04T01:41:50.8Z,2,REGULAR,2pt,Jump Shot,[],1627751,92.06636005256242,67.40196078431373,1610612759,28,26,2023-02-04T01:41:58Z,1770000,False,87.0,22.0,1,right,MISS J. Poeltl 8' floating Shot,[1627751],1610612759.0,SAS,floating,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Right,,,,,8.98,Missed,,,,,,,,,,,,,,
183,PT11M06.00S,2023-02-04T01:41:50.8Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612755,28,26,2023-02-04T01:41:58Z,1780000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,,182.0,,,,,,,,,,,,
185,PT10M46.00S,2023-02-04T01:42:16.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.389618922470433,46.568627450980394,1610612755,28,28,2023-02-04T01:42:22Z,1800000,False,17.0,8.0,1,left,T. Maxey driving finger roll Layup (7 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,1.88,Made,7.0,,,,,,,,,,,,,
186,PT10M38.00S,2023-02-04T01:42:26.6Z,2,REGULAR,turnover,out-of-bounds,[],1627751,,,1610612759,28,28,2023-02-04T01:42:32Z,1810000,False,,,0,,J. Poeltl bad pass out-of-bounds TURNOVER (1 TO),[1627751],1610612759.0,SAS,bad pass,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,1626302.0,,,,,,,,,,,,,,,,
187,PT10M38.00S,2023-02-04T01:42:30.1Z,2,REGULAR,substitution,out,[],1626169,,,1610612755,28,28,2023-02-04T01:42:38Z,1820000,False,,,0,,SUB out: S. Johnson,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT10M38.00S,2023-02-04T01:42:30.1Z,2,REGULAR,substitution,in,[],1631103,,,1610612755,28,28,2023-02-04T01:42:38Z,1830000,False,,,0,,SUB in: M. Branham,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT10M28.00S,2023-02-04T01:42:50.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626149,6.1268068331143235,51.9607843137255,1610612755,28,30,2023-02-04T01:42:58Z,1840000,False,-10.0,5.0,1,left,M. Harrell alley-oop Layup (2 PTS) (T. Maxey 1 AST),"[1626149, 1630178]",1610612755.0,PHI,alley-oop,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,,,1.1,Made,2.0,,,,,T. Maxey,1630178.0,1.0,,,,,,
191,PT10M11.00S,2023-02-04T01:43:08.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203926,90.22667542706965,57.84313725490197,1610612759,30,30,2023-02-04T01:43:16Z,1860000,False,39.0,39.0,1,right,D. McDermott driving floating bank Jump Shot (4 PTS) (J. Poeltl 2 AST),"[203926, 1627751]",1610612759.0,SAS,driving floating bank,,,McDermott,D. McDermott,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.56,Made,4.0,,,,,J. Poeltl,1627751.0,2.0,,,,,,
193,PT09M53.00S,2023-02-04T01:43:26.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626149,8.360709592641262,49.754901960784316,1610612755,30,32,2023-02-04T01:43:33Z,1880000,False,1.0,26.0,1,left,M. Harrell turnaround Jump Shot (4 PTS),[1626149],1610612755.0,PHI,turnaround,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,,,2.61,Made,4.0,,,,,,,,,,,,,
194,PT09M38.00S,2023-02-04T01:43:40.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,91.40932982917214,49.754901960784316,1610612759,32,32,2023-02-04T01:43:47Z,1890000,False,-1.0,28.0,1,right,J. Poeltl finger roll Layup (4 PTS) (J. Richardson 2 AST),"[1627751, 1626196]",1610612759.0,SAS,finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,2.83,Made,4.0,,,,,J. Richardson,1626196.0,2.0,,,,,,
196,PT09M31.00S,2023-02-04T01:43:54.0Z,2,REGULAR,foul,personal,['2freethrow'],1626196,,,1610612755,32,32,2023-02-04T01:44:22Z,1910000,False,,,0,,J. Richardson shooting personal FOUL (2 PF) (Maxey 2 FT),"[1626196, 1630178]",1610612759.0,SAS,shooting,,,Richardson,J. Richardson,,,,,In The Paint (Non-RA),0-8 Center,,,,1662.0,,,,,,,,,,,2.0,0.0,Maxey,1630178.0,,
198,PT09M31.00S,2023-02-04T01:44:23.0Z,2,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,32,33,2023-02-04T01:44:41Z,1930000,False,,,0,,T. Maxey Free Throw 1 of 2 (8 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Made,8.0,,,,,,,,,,,,,
200,PT09M31.00S,2023-02-04T01:44:23.0Z,2,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,32,33,2023-02-04T01:44:41Z,1940000,False,,,0,,MISS T. Maxey Free Throw 2 of 2,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
201,PT09M28.00S,2023-02-04T01:44:26.0Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612759,32,33,2023-02-04T01:44:41Z,1950000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:2),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,200.0,4.0,2.0,2.0,,,,,,,,,
202,PT09M20.00S,2023-02-04T01:44:48.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,82.07950065703022,52.450980392156865,1610612759,34,33,2023-02-04T01:44:53Z,1960000,False,12.0,116.0,1,right,M. Branham 11' pullup Jump Shot (6 PTS),[1631103],1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,,,,,11.67,Made,6.0,,,,,,,,,,,,,
203,PT09M03.00S,2023-02-04T01:45:04.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,12.040078843626807,58.82352941176471,1610612755,34,35,2023-02-04T01:45:09Z,1970000,False,-44.0,61.0,1,left,S. Milton 7' pullup Jump Shot (6 PTS),[1629003],1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.5,Made,6.0,,,,,,,,,,,,,
204,PT08M51.00S,2023-02-04T01:45:17.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1626196,93.51182654402102,53.67647058823529,1610612759,34,35,2023-02-04T01:45:26Z,1980000,False,18.0,8.0,1,right,MISS J. Richardson reverse Layup,[1626196],1610612759.0,SAS,reverse,,,Richardson,J. Richardson,,,,,Restricted Area,0-8 Center,,,,,2.03,Missed,,,,,,,,,,,,,,
205,PT08M48.00S,2023-02-04T01:45:20.1Z,2,REGULAR,rebound,defensive,[],1626149,,,1610612755,34,35,2023-02-04T01:45:26Z,1990000,False,,,0,,M. Harrell REBOUND (Off:1 Def:1),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,,,,,,204.0,2.0,1.0,1.0,,,,,,,,,
206,PT08M40.00S,2023-02-04T01:45:28.6Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629680,11.645860709592641,54.41176470588235,1610612755,34,37,2023-02-04T01:45:37Z,2000000,False,-22.0,57.0,1,left,M. Thybulle 6' floating Jump Shot (2 PTS),[1629680],1610612755.0,PHI,floating,,,Thybulle,M. Thybulle,,,,,In The Paint (Non-RA),0-8 Center,,,,,6.11,Made,2.0,,,,,,,,,,,,,
207,PT08M23.00S,2023-02-04T01:45:45.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.32917214191852,53.67647058823529,1610612759,36,37,2023-02-04T01:45:51Z,2010000,False,18.0,20.0,1,right,J. Poeltl Layup (6 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,2.69,Made,6.0,,,,,,,,,,,,,
208,PT08M15.00S,2023-02-04T01:45:56.4Z,2,REGULAR,foul,personal,['2freethrow'],1631103,,,1610612755,36,37,2023-02-04T01:46:07Z,2020000,False,,,0,,M. Branham shooting personal FOUL (2 PF) (Maxey 2 FT),"[1631103, 1630178]",1610612759.0,SAS,shooting,,,Branham,M. Branham,,,,,In The Paint (Non-RA),0-8 Center,,,,1626302.0,,,,,,,,,,,2.0,0.0,Maxey,1630178.0,,
210,PT08M15.00S,2023-02-04T01:46:26.1Z,2,REGULAR,freethrow,1 of 2,[],1630178,,,1610612755,36,38,2023-02-04T01:46:26Z,2040000,False,,,0,,T. Maxey Free Throw 1 of 2 (9 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Made,9.0,,,,,,,,,,,,,
211,PT08M15.00S,2023-02-04T01:46:26.9Z,2,REGULAR,substitution,out,[],203926,,,1610612755,36,38,2023-02-04T01:46:40Z,2050000,False,,,0,,SUB out: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT08M15.00S,2023-02-04T01:46:26.9Z,2,REGULAR,substitution,in,[],1629640,,,1610612755,36,38,2023-02-04T01:46:40Z,2060000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT08M15.00S,2023-02-04T01:46:45.4Z,2,REGULAR,timeout,full,['team'],0,,,1610612755,36,38,2023-02-04T01:46:45Z,2070000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M15.00S,2023-02-04T01:49:44.9Z,2,REGULAR,freethrow,2 of 2,[],1630178,,,1610612755,36,39,2023-02-04T01:49:44Z,2080000,False,,,0,,T. Maxey Free Throw 2 of 2 (10 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,Made,10.0,,,,,,,,,,,,,
216,PT07M54.00S,2023-02-04T01:50:06.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,91.93495400788436,48.28431372549019,1610612759,38,39,2023-02-04T01:50:53Z,2090000,False,-9.0,23.0,1,right,M. Branham driving Layup (8 PTS),[1631103],1610612759.0,SAS,driving,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,,,,2.48,Made,8.0,,,,,,,,,,,,,
217,PT07M27.00S,2023-02-04T01:50:33.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627777,8.492115637319317,49.50980392156863,1610612755,38,39,2023-02-04T01:50:38Z,2100000,False,2.0,27.0,1,left,MISS G. Niang Hook,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,,,,2.74,Missed,,,,,,,,,,,,,,
218,PT07M25.00S,2023-02-04T01:50:35.5Z,2,REGULAR,rebound,offensive,[],1626149,,,1610612755,38,39,2023-02-04T01:50:35Z,2110000,False,,,0,,M. Harrell REBOUND (Off:2 Def:1),[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,,,,,,217.0,3.0,1.0,2.0,,,,,,,,,
219,PT07M19.00S,2023-02-04T01:50:42.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627777,26.62614980289093,16.666666666666664,1610612755,38,42,2023-02-04T01:50:47Z,2120000,False,167.0,198.0,1,left,G. Niang 25' 3PT  (3 PTS) (M. Harrell 1 AST),"[1627777, 1626149]",1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Right Center,,,,,25.87,Made,3.0,,,,,M. Harrell,1626149.0,1.0,,,,,,
221,PT07M02.00S,2023-02-04T01:50:58.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,92.46057818659659,44.36274509803921,1610612759,40,42,2023-02-04T01:51:12Z,2140000,False,-28.0,18.0,1,right,J. Poeltl reverse Layup (8 PTS) (J. Richardson 3 AST),"[1627751, 1626196]",1610612759.0,SAS,reverse,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,,,,,3.37,Made,8.0,,,,,J. Richardson,1626196.0,3.0,,,,,,
223,PT06M50.00S,2023-02-04T01:51:10.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,8.360709592641262,42.64705882352941,1610612755,40,42,2023-02-04T01:52:09Z,2160000,False,37.0,26.0,1,left,MISS T. Maxey driving floating bank Shot,[1630178],1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,4.51,Missed,,,,,,,,,,,,,,
224,PT06M50.00S,2023-02-04T01:51:10.0Z,2,REGULAR,rebound,offensive,[],1630178,,,1610612755,40,42,2023-02-04T01:51:15Z,2170000,False,,,0,,T. Maxey REBOUND (Off:2 Def:0),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,223.0,2.0,0.0,2.0,,,,,,,,,
225,PT06M42.00S,2023-02-04T01:51:17.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627777,6.258212877792378,44.85294117647059,1610612755,40,44,2023-02-04T01:51:22Z,2180000,False,26.0,6.0,1,left,G. Niang driving Layup (5 PTS) (T. Maxey 2 AST),"[1627777, 1630178]",1610612755.0,PHI,driving,,,Niang,G. Niang,,,,,Restricted Area,0-8 Center,,,,,2.65,Made,5.0,,,,,T. Maxey,1630178.0,2.0,,,,,,
227,PT06M30.00S,2023-02-04T01:51:30.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628966,92.85479632063075,45.83333333333333,1610612759,42,44,2023-02-04T01:51:35Z,2200000,False,-21.0,15.0,1,right,K. Bates-Diop Layup (9 PTS) (J. Poeltl 3 AST),"[1628966, 1627751]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,,2.55,Made,9.0,,,,,J. Poeltl,1627751.0,3.0,,,,,,
229,PT06M11.00S,2023-02-04T01:51:48.6Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1626149,6.389618922470433,47.794117647058826,1610612755,42,46,2023-02-04T01:51:54Z,2220000,False,11.0,8.0,1,left,M. Harrell alley-oop DUNK (6 PTS) (T. Maxey 3 AST),"[1626149, 1630178]",1610612755.0,PHI,alley-oop,,,Harrell,M. Harrell,,,,,Restricted Area,0-8 Center,,,,,1.34,Made,6.0,,,,,T. Maxey,1630178.0,3.0,,,,,,
231,PT05M59.00S,2023-02-04T01:52:00.6Z,2,REGULAR,3pt,Jump Shot,[],1631103,69.20170827858082,24.509803921568626,1610612759,42,46,2023-02-04T01:52:05Z,2240000,False,-127.0,237.0,1,right,MISS M. Branham 26' 3PT,[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Left Center,,,,,26.91,Missed,,,,,,,,,,,,,,
232,PT05M57.00S,2023-02-04T01:52:02.6Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612755,42,46,2023-02-04T01:52:05Z,2250000,False,,,0,,G. Niang REBOUND (Off:0 Def:2),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,Above the Break 3,24+ Left Center,,,,,,,,231.0,2.0,2.0,0.0,,,,,,,,,
233,PT05M47.00S,2023-02-04T01:52:13.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629003,7.5722733245729295,52.94117647058824,1610612755,42,48,2023-02-04T01:52:18Z,2260000,False,-15.0,19.0,1,left,S. Milton driving floating Jump Shot (8 PTS),[1629003],1610612755.0,PHI,driving floating,,,Milton,S. Milton,,,,,Restricted Area,0-8 Center,,,,,2.38,Made,8.0,,,,,,,,,,,,,
234,PT05M27.00S,2023-02-04T01:52:32.9Z,2,REGULAR,3pt,Jump Shot,[],1626196,68.15045992115637,70.58823529411765,1610612759,45,48,2023-02-04T01:52:38Z,2270000,False,103.0,247.0,1,right,J. Richardson 26' 3PT  (6 PTS) (J. Poeltl 4 AST),"[1626196, 1627751]",1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,Above the Break 3,24+ Right Center,,,,,26.75,Made,6.0,,,,,J. Poeltl,1627751.0,4.0,,,,,,
236,PT05M25.00S,2023-02-04T01:52:39.9Z,2,REGULAR,timeout,full,['team'],0,,,1610612755,45,48,2023-02-04T01:52:39Z,2290000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT05M25.00S,2023-02-04T01:54:36.2Z,2,REGULAR,substitution,out,[],1626196,,,1610612755,45,48,2023-02-04T01:55:20Z,2300000,False,,,0,,SUB out: J. Richardson,[1626196],1610612759.0,SAS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT05M25.00S,2023-02-04T01:54:36.2Z,2,REGULAR,substitution,out,[],1626149,,,1610612755,45,48,2023-02-04T01:55:20Z,2310000,False,,,0,,SUB out: M. Harrell,[1626149],1610612755.0,PHI,,,,Harrell,M. Harrell,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT05M25.00S,2023-02-04T01:54:36.2Z,2,REGULAR,substitution,out,[],1629680,,,1610612755,45,48,2023-02-04T01:55:20Z,2330000,False,,,0,,SUB out: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT05M25.00S,2023-02-04T01:54:36.2Z,2,REGULAR,substitution,in,[],1626169,,,1610612755,45,48,2023-02-04T01:55:20Z,2340000,False,,,0,,SUB in: S. Johnson,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT05M25.00S,2023-02-04T01:54:36.2Z,2,REGULAR,substitution,in,[],201935,,,1610612755,45,48,2023-02-04T01:55:20Z,2350000,False,,,0,,SUB in: J. Harden,[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,,,,,,,,,
243,PT05M25.00S,2023-02-04T01:54:36.2Z,2,REGULAR,substitution,in,[],202699,,,1610612755,45,48,2023-02-04T01:55:20Z,2360000,False,,,0,,SUB in: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M25.00S,2023-02-04T01:54:36.2Z,2,REGULAR,substitution,in,[],203954,,,1610612755,45,48,2023-02-04T01:55:20Z,2370000,False,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,,
257,PT05M25.00S,2023-02-04T01:54:36.2Z,2,REGULAR,substitution,out,[],1627777,,,1610612755,45,48,2023-02-04T01:56:41Z,2375000,False,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT05M07.00S,2023-02-04T01:55:46.0Z,2,REGULAR,2pt,Jump Shot,[],203954,22.28975032851511,49.26470588235294,1610612755,45,48,2023-02-04T01:55:51Z,2380000,False,4.0,157.0,1,left,MISS J. Embiid 15' Jump Shot,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Center,,,,,15.7,Missed,,,,,,,,,,,,,,
246,PT05M04.00S,2023-02-04T01:55:49.0Z,2,REGULAR,rebound,defensive,[],1627751,,,1610612759,45,48,2023-02-04T01:55:51Z,2390000,False,,,0,,J. Poeltl REBOUND (Off:2 Def:3),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,Mid-Range,8-16 Center,,,,,,,,245.0,5.0,3.0,2.0,,,,,,,,,
247,PT04M54.00S,2023-02-04T01:55:59.8Z,2,REGULAR,turnover,bad pass,[],1631103,,,1610612759,45,48,2023-02-04T01:56:05Z,2400000,False,,,0,,M. Branham bad pass TURNOVER (1 TO),"[1631103, 1629003]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,1.0,Milton,1629003.0,,,,,,,,,,,,,,,,,
248,PT04M54.00S,2023-02-04T01:55:59.8Z,2,REGULAR,steal,,[],1629003,,,1610612755,45,48,2023-02-04T01:56:03Z,2410000,False,,,0,,S. Milton STEAL (2 STL),[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
249,PT04M51.00S,2023-02-04T01:56:10.5Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630178,7.835085413929041,48.03921568627451,1610612755,45,50,2023-02-04T01:58:18Z,2420000,False,10.0,21.0,1,left,T. Maxey running Layup (12 PTS) (S. Milton 1 AST),"[1630178, 1629003]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,2.33,Made,12.0,,,,,S. Milton,1629003.0,1.0,,,,,,
251,PT04M51.00S,2023-02-04T01:56:15.8Z,2,REGULAR,foul,personal,['1freethrow'],1628966,,,1610612755,45,50,2023-02-04T01:56:43Z,2440000,False,,,0,,K. Bates-Diop shooting personal FOUL (1 PF) (Maxey 1 FT),"[1628966, 1630178]",1610612759.0,SAS,shooting,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,,,,1662.0,,,,,,,,,,,1.0,0.0,Maxey,1630178.0,,
253,PT04M51.00S,2023-02-04T01:56:24.2Z,2,REGULAR,substitution,out,[],1627751,,,1610612755,45,50,2023-02-04T01:58:18Z,2460000,False,,,0,,SUB out: J. Poeltl,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT04M51.00S,2023-02-04T01:56:24.2Z,2,REGULAR,substitution,in,[],1628380,,,1610612755,45,50,2023-02-04T01:58:18Z,2480000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT04M51.00S,2023-02-04T01:56:24.2Z,2,REGULAR,substitution,out,[],1629003,,,1610612755,45,50,2023-02-04T01:58:18Z,2495000,False,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,,,
