actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
58,PT06M42.00S,2025-12-23T03:20:41.2Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,9,14,2025-12-23T03:20:42Z,570000,False,,,0,,D. Green REBOUND (Off:1 Def:3),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,16-24 Left Center,,,,,57.0,4.0,3.0,1.0,,,,,,,,,,,,
59,PT06M35.00S,2025-12-23T03:20:48.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627780,93.64323258869908,51.71568627450981,1610612744,11,14,2025-12-23T03:20:52Z,580000,False,9.0,7.0,1,right,G. Payton II alley-oop DUNK (2 PTS) (B. Podziemski 2 AST),"[1627780, 1641764]",1610612744.0,GSW,alley-oop,,,Payton II,G. Payton II,,,,,Restricted Area,0-8 Center,,,1.13,Made,,,,,2.0,B. Podziemski,1641764.0,2.0,,,,,,,,
61,PT06M19.00S,2025-12-23T03:21:04.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641710,7.30946123521682,44.11764705882353,1610612753,11,16,2025-12-23T03:21:19Z,600000,False,29.0,16.0,1,left,A. Black cutting Layup (2 PTS) (P. Banchero 2 AST),"[1641710, 1631094]",1610612753.0,ORL,cutting,,,Black,A. Black,,,,,Restricted Area,0-8 Center,,,3.36,Made,,,,,2.0,P. Banchero,1631094.0,2.0,,,,,,,,
63,PT06M13.00S,2025-12-23T03:21:10.6Z,1,REGULAR,3pt,Jump Shot,[],201939,67.49342969776609,18.872549019607842,1610612744,11,16,2025-12-23T03:21:16Z,620000,False,-156.0,253.0,1,right,MISS S. Curry 29' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,29.71,Missed,,,,,,,,,,,,,,,,
64,PT06M10.00S,2025-12-23T03:21:13.6Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,11,16,2025-12-23T03:21:16Z,630000,False,,,0,,A. Black REBOUND (Off:0 Def:2),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,Above the Break 3,24+ Left Center,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,
65,PT06M05.00S,2025-12-23T03:21:19.8Z,1,REGULAR,turnover,out-of-bounds,[],1631094,,,1610612753,11,16,2025-12-23T03:21:24Z,640000,False,,,0,,P. Banchero bad pass out-of-bounds TURNOVER (1 TO),[1631094],1610612753.0,ORL,bad pass,,,Banchero,P. Banchero,,,,,Mid-Range,16-24 Right Center,201638.0,1.0,,,,,,,,,,,,,,,,,,
66,PT06M05.00S,2025-12-23T03:21:44.4Z,1,REGULAR,substitution,out,[],1627780,,,1610612744,11,16,2025-12-23T03:22:06Z,650000,False,,,0,,SUB out: G. Payton II,[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M05.00S,2025-12-23T03:21:44.4Z,1,REGULAR,substitution,out,[],1630217,,,1610612744,11,16,2025-12-23T03:22:06Z,660000,False,,,0,,SUB out: D. Bane,[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M05.00S,2025-12-23T03:21:44.4Z,1,REGULAR,substitution,in,[],1631218,,,1610612744,11,16,2025-12-23T03:22:06Z,670000,False,,,0,,SUB in: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M05.00S,2025-12-23T03:21:44.4Z,1,REGULAR,substitution,in,[],1641724,,,1610612744,11,16,2025-12-23T03:22:06Z,680000,False,,,0,,SUB in: J. Howard,[1641724],1610612753.0,ORL,,,,Howard,J. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,
