actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
70,PT05M53.00S,2021-12-12T00:24:58.2Z,1,REGULAR,2pt,Jump Shot,[],1628378,14.109724047306173,72.79411764705883,1610612762,11,16,2021-12-12T00:25:08Z,680000,-114.0,80.0,1,left,MISS D. Mitchell 13' driving floating Shot,[1628378],1610612762.0,UTA,driving floating,,,Mitchell,D. Mitchell,,,,,13.93,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M51.00S,2021-12-12T00:25:00.2Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,11,16,2021-12-12T00:25:08Z,690000,,,0,,R. Neto REBOUND (Off:0 Def:1),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,,,,,
72,PT05M45.00S,2021-12-12T00:25:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,90.8508541392904,51.22549019607843,1610612764,11,16,2021-12-12T00:25:12Z,700000,6.0,34.0,1,right,MISS B. Beal driving Layup,[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,3.41,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M45.00S,2021-12-12T00:25:06.2Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,11,16,2021-12-12T00:25:12Z,710000,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,,,,72.0,1.0,0.0,1.0,,,,,,,,,,,
74,PT05M41.00S,2021-12-12T00:25:09.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629655,94.40999984741211,50.0,1610612764,13,16,2021-12-12T00:27:17Z,720000,0.0,0.0,1,right,D. Gafford tip DUNK (4 PTS),[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,0.0,Made,4.0,,,,,,,,,,,,,,,,,,
75,PT05M24.00S,2021-12-12T00:25:26.8Z,1,REGULAR,3pt,Jump Shot,[],204060,30.404073587385014,70.58823529411765,1610612762,13,16,2021-12-12T00:25:30Z,730000,-103.0,233.0,1,left,MISS J. Ingles 25' 3PT,[204060],1610612762.0,UTA,,,,Ingles,J. Ingles,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,,
76,PT05M21.00S,2021-12-12T00:25:29.8Z,1,REGULAR,rebound,defensive,[],203526,,,1610612764,13,16,2021-12-12T00:25:30Z,740000,,,0,,R. Neto REBOUND (Off:0 Def:2),[203526],1610612764.0,WAS,,,,Neto,R. Neto,,,,,,,,,,,75.0,2.0,2.0,0.0,,,,,,,,,,,
77,PT05M13.00S,2021-12-12T00:25:37.9Z,1,REGULAR,3pt,Jump Shot,[],203526,68.24901445466492,69.11764705882354,1610612764,13,16,2021-12-12T00:25:46Z,750000,96.0,246.0,1,right,MISS R. Neto 26' pullup 3PT,[203526],1610612764.0,WAS,pullup,,,Neto,R. Neto,,,,,26.39,Missed,,,,,,,,,,,,,,,,,,,
78,PT05M10.00S,2021-12-12T00:25:40.9Z,1,REGULAR,rebound,defensive,[],202355,,,1610612762,13,16,2021-12-12T00:25:46Z,760000,,,0,,H. Whiteside REBOUND (Off:0 Def:1),[202355],1610612762.0,UTA,,,,Whiteside,H. Whiteside,,,,,,,,,,,77.0,1.0,1.0,0.0,,,,,,,,,,,
79,PT04M58.00S,2021-12-12T00:25:53.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202355,8.722076215505908,45.833333333333336,1610612762,13,18,2021-12-12T00:26:03Z,770000,21.0,29.0,1,left,H. Whiteside floating Jump Shot (2 PTS) (B. Bogdanovic 1 AST),"[202355, 202711]",1610612762.0,UTA,floating,,,Whiteside,H. Whiteside,,,,,3.61,Made,2.0,B. Bogdanovic,202711.0,1.0,,,,,,,,,,,,,,,
