actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
176,PT10M01.00S,2022-01-20T00:41:48.6Z,2,REGULAR,3pt,Jump Shot,[],1629643,68.24901445466492,62.745098039215684,1610612753,34,27,2022-01-20T00:41:53Z,1750000,64.0,246.0,1,right,C. Okeke 25' 3PT  (3 PTS) (M. Bamba 1 AST),"[1629643, 1628964]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.41,Made,,,,,3.0,,,,,,M. Bamba,1628964.0,1.0,,,,,,
178,PT09M43.00S,2022-01-20T00:42:06.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203083,10.167542706964511,53.18627450980392,1610612755,36,27,2022-01-20T00:42:10Z,1770000,-16.0,43.0,1,left,A. Drummond Hook (4 PTS),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,4.59,Made,,,,,4.0,,,,,,,,,,,,,,
179,PT09M33.00S,2022-01-20T00:42:16.8Z,2,REGULAR,3pt,Jump Shot,[],1629643,71.7969776609724,20.34313725490196,1610612753,36,30,2022-01-20T00:42:20Z,1780000,-148.0,213.0,1,right,C. Okeke 25' 3PT  (6 PTS) (M. Bamba 2 AST),"[1629643, 1628964]",1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,25.92,Made,,,,,6.0,,,,,,M. Bamba,1628964.0,2.0,,,,,,
181,PT09M17.00S,2022-01-20T00:42:31.9Z,2,REGULAR,2pt,Jump Shot,[],1627788,18.7089356110381,32.1078431372549,1610612755,36,30,2022-01-20T00:44:36Z,1800000,89.0,123.0,1,left,MISS F. Korkmaz 15' pullup Shot,[1627788],1610612755.0,PHI,pullup,,,Korkmaz,F. Korkmaz,,,,,15.24,Missed,,,,,,,,,,,,,,,,,,,
182,PT09M14.00S,2022-01-20T00:42:34.9Z,2,REGULAR,rebound,defensive,[],1629643,,,1610612753,36,30,2022-01-20T00:42:36Z,1810000,,,0,,C. Okeke REBOUND (Off:0 Def:1),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,181.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
183,PT09M01.00S,2022-01-20T00:42:51.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,36,30,2022-01-20T00:42:51Z,1820000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT08M51.00S,2022-01-20T00:43:12.1Z,2,REGULAR,2pt,Jump Shot,[],1630591,79.41852825229961,54.16666666666667,1610612753,36,32,2022-01-20T00:43:16Z,1830000,21.0,141.0,1,right,J. Suggs 14' pullup Jump Shot (4 PTS),[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,14.25,Made,,,,,4.0,,,,,,,,,,,,,,
185,PT08M39.00S,2022-01-20T00:43:24.5Z,2,REGULAR,turnover,bad pass,[],203083,,,1610612755,36,32,2022-01-20T00:43:28Z,1840000,,,0,,A. Drummond bad pass TURNOVER (1 TO),"[203083, 1629643]",1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,1.0,Okeke,1629643.0,,,,,,,,,
186,PT08M39.00S,2022-01-20T00:43:24.5Z,2,REGULAR,steal,,[],1629643,,,1610612753,36,32,2022-01-20T00:43:26Z,1850000,,,0,,C. Okeke STEAL (1 STL),[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT08M30.00S,2022-01-20T00:43:33.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630181,94.53022339027595,46.07843137254902,1610612753,36,32,2022-01-20T00:43:38Z,1860000,-20.0,-1.0,1,right,MISS R. Hampton driving Layup,[1630181],1610612753.0,ORL,driving,,,Hampton,R. Hampton,,,,,1.96,Missed,,,,,,,,,,,,,,,,,,,
188,PT08M28.00S,2022-01-20T00:43:35.1Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,36,32,2022-01-20T00:43:38Z,1870000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,187.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
189,PT08M12.00S,2022-01-20T00:43:51.7Z,2,REGULAR,3pt,Jump Shot,[],1627788,29.221419185282528,81.37254901960785,1610612755,36,32,2022-01-20T00:43:56Z,1880000,-157.0,222.0,1,left,MISS F. Korkmaz 27' step back 3PT,[1627788],1610612755.0,PHI,step back,,,Korkmaz,F. Korkmaz,,,,,27.2,Missed,,,,,,,,,,,,,,,,,,,
190,PT08M09.00S,2022-01-20T00:43:54.7Z,2,REGULAR,rebound,defensive,[],1630181,,,1610612753,36,32,2022-01-20T00:43:56Z,1890000,,,0,,R. Hampton REBOUND (Off:0 Def:2),[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,189.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
191,PT08M03.00S,2022-01-20T00:44:00.4Z,2,REGULAR,3pt,Jump Shot,[],1628964,67.32917214191853,42.64705882352941,1610612753,36,35,2022-01-20T00:44:04Z,1900000,-37.0,255.0,1,right,M. Bamba 25' 3PT  (11 PTS) (R. Hampton 1 AST),"[1628964, 1630181]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.72,Made,,,,,11.0,,,,,,R. Hampton,1630181.0,1.0,,,,,,
193,PT07M36.00S,2022-01-20T00:44:26.9Z,2,REGULAR,2pt,Jump Shot,[],202699,4.517082785808142,69.36274509803921,1610612755,38,35,2022-01-20T00:44:31Z,1920000,-97.0,-10.0,1,left,T. Harris 9' turnaround fadeaway Jump Shot (6 PTS) (G. Niang 1 AST),"[202699, 1627777]",1610612755.0,PHI,turnaround fadeaway,,,Harris,T. Harris,,,,,9.73,Made,,,,,6.0,,,,,,G. Niang,1627777.0,1.0,,,,,,
195,PT07M22.00S,2022-01-20T00:44:42.4Z,2,REGULAR,2pt,Jump Shot,[],1628964,74.29369250985545,57.1078431372549,1610612753,38,37,2022-01-20T00:44:46Z,1940000,36.0,189.0,1,right,M. Bamba 19' pullup Jump Shot (13 PTS),[1628964],1610612753.0,ORL,pullup,,,Bamba,M. Bamba,,,,,19.24,Made,,,,,13.0,,,,,,,,,,,,,,
196,PT07M01.00S,2022-01-20T00:45:06.1Z,2,REGULAR,turnover,out-of-bounds,[],203083,,,1610612755,38,37,2022-01-20T00:45:17Z,1950000,,,0,,A. Drummond step out-of-bounds TURNOVER (2 TO),[203083],1610612755.0,PHI,step,,,Drummond,A. Drummond,,,,,,,,,,,,,,2.0,,,,,,202027.0,,,,,
197,PT07M01.00S,2022-01-20T00:45:12.8Z,2,REGULAR,violation,delay-of-game,['team'],0,,,1610612753,38,37,2022-01-20T00:45:23Z,1960000,,,0,,TEAM delay-of-game VIOLATION,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,202027.0,,,,,
198,PT07M01.00S,2022-01-20T00:45:18.6Z,2,REGULAR,substitution,out,[],1627788,,,1610612753,38,37,2022-01-20T00:45:26Z,1970000,,,0,,SUB out: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,
199,PT07M01.00S,2022-01-20T00:45:18.6Z,2,REGULAR,substitution,in,[],1630178,,,1610612753,38,37,2022-01-20T00:45:26Z,1980000,,,0,,SUB in: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT06M43.00S,2022-01-20T00:45:52.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203082,86.64586070959264,41.17647058823529,1610612753,38,37,2022-01-20T00:45:57Z,1990000,-44.0,73.0,1,right,MISS T. Ross 8' driving floating Shot,[203082],1610612753.0,ORL,driving floating,,,Ross,T. Ross,,,,,8.53,Missed,,,,,,,,,,,,,,,,,,,
201,PT06M41.00S,2022-01-20T00:45:54.1Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612755,38,37,2022-01-20T00:45:57Z,2000000,,,0,,G. Niang REBOUND (Off:0 Def:2),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,200.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
202,PT06M40.00S,2022-01-20T00:45:57.5Z,2,REGULAR,turnover,out-of-bounds,[],1627777,,,1610612755,38,37,2022-01-20T00:46:06Z,2010000,,,0,,G. Niang bad pass out-of-bounds TURNOVER (1 TO),[1627777],1610612755.0,PHI,bad pass,,,Niang,G. Niang,,,,,,,,,,,,,,1.0,,,,,,1628954.0,,,,,
203,PT06M40.00S,2022-01-20T00:46:03.2Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,38,37,2022-01-20T00:46:03Z,2020000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT06M40.00S,2022-01-20T00:47:53.3Z,2,REGULAR,substitution,out,[],203083,,,1610612753,38,37,2022-01-20T00:48:01Z,2030000,,,0,,SUB out: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT06M40.00S,2022-01-20T00:47:53.3Z,2,REGULAR,substitution,in,[],203954,,,1610612753,38,37,2022-01-20T00:48:01Z,2040000,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
206,PT06M40.00S,2022-01-20T00:48:18.0Z,2,REGULAR,substitution,out,[],1627777,,,1610612753,38,37,2022-01-20T00:48:24Z,2050000,,,0,,SUB out: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT06M40.00S,2022-01-20T00:48:18.0Z,2,REGULAR,substitution,in,[],203552,,,1610612753,38,37,2022-01-20T00:48:24Z,2060000,,,0,,SUB in: S. Curry,[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT06M40.00S,2022-01-20T00:48:41.0Z,2,REGULAR,substitution,out,[],1630591,,,1610612753,38,37,2022-01-20T00:49:00Z,2070000,,,0,,SUB out: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
209,PT06M40.00S,2022-01-20T00:48:41.0Z,2,REGULAR,substitution,out,[],1630181,,,1610612753,38,37,2022-01-20T00:49:00Z,2080000,,,0,,SUB out: R. Hampton,[1630181],1610612753.0,ORL,,,,Hampton,R. Hampton,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT06M40.00S,2022-01-20T00:48:41.0Z,2,REGULAR,substitution,out,[],203082,,,1610612753,38,37,2022-01-20T00:49:00Z,2090000,,,0,,SUB out: T. Ross,[203082],1610612753.0,ORL,,,,Ross,T. Ross,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT06M40.00S,2022-01-20T00:48:41.0Z,2,REGULAR,substitution,in,[],203914,,,1610612753,38,37,2022-01-20T00:49:00Z,2100000,,,0,,SUB in: G. Harris,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT06M40.00S,2022-01-20T00:48:41.0Z,2,REGULAR,substitution,in,[],1630175,,,1610612753,38,37,2022-01-20T00:49:00Z,2110000,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT06M40.00S,2022-01-20T00:48:41.0Z,2,REGULAR,substitution,in,[],1630532,,,1610612753,38,37,2022-01-20T00:49:00Z,2120000,,,0,,SUB in: F. Wagner,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT06M29.00S,2022-01-20T00:49:10.0Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1628964,87.17148488830486,95.09803921568627,1610612753,38,37,2022-01-20T00:49:13Z,2130000,225.0,68.0,1,right,MISS M. Bamba 3PT,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,23.56,Missed,,,,,,,,,,,,,,,,,,,
215,PT06M27.00S,2022-01-20T00:49:12.0Z,2,REGULAR,rebound,defensive,[],203552,,,1610612755,38,37,2022-01-20T00:49:13Z,2140000,,,0,,S. Curry REBOUND (Off:0 Def:4),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,214.0,4.0,4.0,0.0,,,,,,,,,,,,,,,
216,PT06M12.00S,2022-01-20T00:49:26.7Z,2,REGULAR,3pt,Jump Shot,[],202699,28.95860709592641,81.12745098039215,1610612755,38,37,2022-01-20T00:49:30Z,2150000,-156.0,220.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,26.92,Missed,,,,,,,,,,,,,,,,,,,
217,PT06M09.00S,2022-01-20T00:49:29.7Z,2,REGULAR,rebound,defensive,[],1630532,,,1610612753,38,37,2022-01-20T00:49:30Z,2160000,,,0,,F. Wagner REBOUND (Off:0 Def:7),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,216.0,7.0,7.0,0.0,,,,,,,,,,,,,,,
218,PT06M05.00S,2022-01-20T00:49:36.8Z,2,REGULAR,foul,personal,['2freethrow'],203954,,,1610612753,38,37,2022-01-20T00:49:47Z,2170000,,,0,,J. Embiid shooting personal FOUL (2 PF) (Bamba 2 FT),"[203954, 1628964]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,1628954.0,2.0,0.0,Bamba,1628964.0,
220,PT06M05.00S,2022-01-20T00:50:06.1Z,2,REGULAR,freethrow,1 of 2,[],1628964,,,1610612753,38,37,2022-01-20T00:50:06Z,2190000,,,0,,MISS M. Bamba Free Throw 1 of 2,[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,Missed,,,,,,,,,,,,,,,,,,,
221,PT06M05.00S,2022-01-20T00:50:06.1Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612753,38,37,2022-01-20T00:50:06Z,2200000,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,,,220.0,,,,,,,,,,,,,,,,,,
222,PT06M05.00S,2022-01-20T00:50:23.1Z,2,REGULAR,freethrow,2 of 2,[],1628964,,,1610612753,38,38,2022-01-20T00:50:23Z,2210000,,,0,,M. Bamba Free Throw 2 of 2 (14 PTS),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,Made,,,,,14.0,,,,,,,,,,,,,,
223,PT05M55.00S,2022-01-20T00:50:35.3Z,2,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612755,38,38,2022-01-20T00:50:45Z,2220000,,,0,,M. Bamba shooting personal FOUL (2 PF) (Embiid 2 FT),"[1628964, 203954]",1610612753.0,ORL,shooting,,,Bamba,M. Bamba,,,,,,,,,,,,,,,,,,,,1628954.0,2.0,0.0,Embiid,203954.0,
225,PT05M55.00S,2022-01-20T00:51:04.3Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,39,38,2022-01-20T00:51:04Z,2240000,,,0,,J. Embiid Free Throw 1 of 2 (21 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,21.0,,,,,,,,,,,,,,
226,PT05M55.00S,2022-01-20T00:51:07.4Z,2,REGULAR,substitution,out,[],1630198,,,1610612755,39,38,2022-01-20T00:51:16Z,2250000,,,0,,SUB out: I. Joe,[1630198],1610612755.0,PHI,,,,Joe,I. Joe,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT05M55.00S,2022-01-20T00:51:07.4Z,2,REGULAR,substitution,in,[],1629718,,,1610612755,39,38,2022-01-20T00:51:16Z,2260000,,,0,,SUB in: C. Brown Jr.,[1629718],1610612755.0,PHI,,,,Brown Jr.,C. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT05M55.00S,2022-01-20T00:51:29.9Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,40,38,2022-01-20T00:51:29Z,2270000,,,0,,J. Embiid Free Throw 2 of 2 (22 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,Made,,,,,22.0,,,,,,,,,,,,,,
229,PT05M43.00S,2022-01-20T00:51:42.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630175,94.26741130091985,50.0,1610612753,40,40,2022-01-20T00:51:47Z,2280000,0.0,1.0,1,right,C. Anthony driving finger roll Layup (6 PTS),[1630175],1610612753.0,ORL,driving finger roll,,,Anthony,C. Anthony,,,,,0.14,Made,,,,,6.0,,,,,,,,,,,,,,
230,PT05M25.00S,2022-01-20T00:52:01.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,15.029566360052556,55.63725490196079,1610612755,40,40,2022-01-20T00:52:04Z,2290000,-28.0,89.0,1,left,MISS J. Embiid 9' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,9.32,Missed,,,,,,,,,,,,,,,,,,,
231,PT05M23.00S,2022-01-20T00:52:03.1Z,2,REGULAR,rebound,defensive,[],1630175,,,1610612753,40,40,2022-01-20T00:52:04Z,2300000,,,0,,C. Anthony REBOUND (Off:0 Def:3),[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,230.0,3.0,3.0,0.0,,,,,,,,,,,,,,,
232,PT05M10.00S,2022-01-20T00:52:15.9Z,2,REGULAR,3pt,Jump Shot,[],1628964,68.38042049934297,63.23529411764706,1610612753,40,43,2022-01-20T00:52:19Z,2310000,66.0,245.0,1,right,M. Bamba 25' 3PT  (17 PTS) (C. Anthony 3 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.35,Made,,,,,17.0,,,,,,C. Anthony,1630175.0,3.0,,,,,,
234,PT04M53.00S,2022-01-20T00:52:32.9Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203954,6.356767411300922,48.28431372549019,1610612755,42,43,2022-01-20T00:52:36Z,2330000,9.0,7.0,1,left,J. Embiid driving DUNK (24 PTS) (S. Curry 2 AST),"[203954, 203552]",1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,1.13,Made,,,,,24.0,,,,,,S. Curry,203552.0,2.0,,,,,,
236,PT04M38.00S,2022-01-20T00:52:47.6Z,2,REGULAR,3pt,Jump Shot,[],1629643,96.23850197109067,0.9803921568627345,1610612753,42,43,2022-01-20T00:52:52Z,2350000,-245.0,-17.0,1,right,MISS C. Okeke 24' 3PT,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,24.57,Missed,,,,,,,,,,,,,,,,,,,
237,PT04M35.00S,2022-01-20T00:52:50.6Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,42,43,2022-01-20T00:52:52Z,2360000,,,0,,J. Embiid REBOUND (Off:0 Def:6),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,236.0,6.0,6.0,0.0,,,,,,,,,,,,,,,
238,PT04M25.00S,2022-01-20T00:53:00.6Z,2,REGULAR,2pt,Jump Shot,[],203552,14.50394218134035,81.86274509803921,1610612755,44,43,2022-01-20T00:53:04Z,2370000,-159.0,84.0,1,left,S. Curry 18' pullup Jump Shot (2 PTS),[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,18.0,Made,,,,,2.0,,,,,,,,,,,,,,
239,PT04M17.00S,2022-01-20T00:53:12.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612753,44,43,2022-01-20T00:53:12Z,2380000,,,0,,ORL Timeout,[],1610612753.0,ORL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT04M17.00S,2022-01-20T00:55:53.1Z,2,REGULAR,substitution,out,[],1629643,,,1610612753,44,43,2022-01-20T00:56:00Z,2390000,,,0,,SUB out: C. Okeke,[1629643],1610612753.0,ORL,,,,Okeke,C. Okeke,,,,,,,,,,,,,,,,,,,,,,,,,
241,PT04M17.00S,2022-01-20T00:55:53.1Z,2,REGULAR,substitution,in,[],1630591,,,1610612753,44,43,2022-01-20T00:56:00Z,2400000,,,0,,SUB in: J. Suggs,[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,,,,,,,,,,,,,,,,,,,
242,PT04M09.00S,2022-01-20T00:56:15.8Z,2,REGULAR,3pt,Jump Shot,[],1628964,67.7233902759527,58.57843137254902,1610612753,44,46,2022-01-20T00:56:20Z,2410000,43.0,251.0,1,right,M. Bamba 25' 3PT  (20 PTS) (C. Anthony 4 AST),"[1628964, 1630175]",1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,25.45,Made,,,,,20.0,,,,,,C. Anthony,1630175.0,4.0,,,,,,
244,PT03M56.00S,2022-01-20T00:56:33.9Z,2,REGULAR,foul,offensive,[],203954,,,1610612755,44,46,2022-01-20T00:56:46Z,2430000,,,0,,J. Embiid offensive FOUL (3 PF),"[203954, 1630591]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,1628954.0,3.0,0.0,Suggs,1630591.0,
246,PT03M56.00S,2022-01-20T00:56:33.9Z,2,REGULAR,turnover,offensive foul,[],203954,,,1610612755,44,46,2022-01-20T00:56:46Z,2450000,,,0,,J. Embiid offensive foul TURNOVER (2 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,2.0,,,,,,1628954.0,,,,,
247,PT03M45.00S,2022-01-20T00:57:02.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1630532,73.37385019710908,15.931372549019613,1610612753,44,46,2022-01-20T00:57:06Z,2460000,-170.0,198.0,1,right,MISS F. Wagner 26' pullup 3PT,[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,26.1,Missed,,,,,,,,,,,,,,,,,,,
248,PT03M42.00S,2022-01-20T00:57:05.5Z,2,REGULAR,rebound,defensive,[],203552,,,1610612755,44,46,2022-01-20T00:57:06Z,2470000,,,0,,S. Curry REBOUND (Off:0 Def:5),[203552],1610612755.0,PHI,,,,Curry,S. Curry,,,,,,,247.0,5.0,5.0,0.0,,,,,,,,,,,,,,,
249,PT03M27.00S,2022-01-20T00:57:20.6Z,2,REGULAR,3pt,Jump Shot,[],1630178,36.0545335085414,58.57843137254902,1610612755,44,46,2022-01-20T00:57:25Z,2480000,-43.0,286.0,1,left,MISS T. Maxey 28' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,28.96,Missed,,,,,,,,,,,,,,,,,,,
250,PT03M24.00S,2022-01-20T00:57:23.6Z,2,REGULAR,rebound,offensive,[],203954,,,1610612755,44,46,2022-01-20T00:57:25Z,2490000,,,0,,J. Embiid REBOUND (Off:1 Def:6),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,249.0,7.0,6.0,1.0,,,,,,,,,,,,,,,
251,PT03M20.00S,2022-01-20T00:57:28.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],203954,33.55781865965835,47.549019607843135,1610612755,44,46,2022-01-20T00:57:32Z,2500000,12.0,263.0,1,left,MISS J. Embiid 26' pullup 3PT,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,26.32,Missed,,,,,,,,,,,,,,,,,,,
252,PT03M16.00S,2022-01-20T00:57:32.1Z,2,REGULAR,rebound,defensive,[],1630591,,,1610612753,44,46,2022-01-20T00:57:32Z,2510000,,,0,,J. Suggs REBOUND (Off:0 Def:2),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,,,251.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
253,PT03M07.00S,2022-01-20T00:57:42.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612753,44,46,2022-01-20T00:57:42Z,2520000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,PT03M07.00S,2022-01-20T00:57:46.4Z,2,REGULAR,substitution,out,[],203954,,,1610612753,44,46,2022-01-20T00:57:51Z,2530000,,,0,,SUB out: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,,
255,PT03M07.00S,2022-01-20T00:57:46.4Z,2,REGULAR,substitution,in,[],203083,,,1610612753,44,46,2022-01-20T00:57:51Z,2540000,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
256,PT03M01.00S,2022-01-20T00:58:10.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,95.18725361366623,53.18627450980392,1610612753,44,46,2022-01-20T00:58:15Z,2550000,16.0,-7.0,1,right,MISS F. Wagner Layup - blocked,"[1630532, 203083]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,1.75,Missed,,,,,,Drummond,203083.0,,,,,,,,,,,,
257,PT03M01.00S,2022-01-20T00:58:10.0Z,2,REGULAR,block,,[],203083,,,1610612753,44,46,2022-01-20T00:58:12Z,2560000,,,0,,A. Drummond BLOCK (1 BLK),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
258,PT02M59.00S,2022-01-20T00:58:12.0Z,2,REGULAR,rebound,offensive,[],1630532,,,1610612753,44,46,2022-01-20T01:02:19Z,2570000,,,0,,F. Wagner REBOUND (Off:1 Def:7),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,256.0,8.0,7.0,1.0,,,,,,,,,,,,,,,
259,PT02M59.00S,2022-01-20T00:58:14.9Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,93.74178712220763,50.73529411764706,1610612753,44,46,2022-01-20T01:01:32Z,2580000,4.0,6.0,1,right,MISS F. Wagner reverse Layup,[1630532],1610612753.0,ORL,reverse,,,Wagner,F. Wagner,,,,,0.73,Missed,,,,,,,,,,,,,,,,,,,
261,PT02M59.00S,2022-01-20T00:58:14.9Z,2,REGULAR,rebound,offensive,[],1628964,,,1610612753,44,46,2022-01-20T01:02:29Z,2600000,,,0,,M. Bamba REBOUND (Off:4 Def:0),[1628964],1610612753.0,ORL,,,,Bamba,M. Bamba,,,,,,,259.0,4.0,0.0,4.0,,,,,,,,,,,,,,,
262,PT02M58.00S,2022-01-20T00:58:23.1Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628964,94.40999984741211,50.0,1610612753,44,48,2022-01-20T01:01:47Z,2610000,0.0,0.0,1,right,M. Bamba tip Layup (22 PTS),[1628964],1610612753.0,ORL,tip,,,Bamba,M. Bamba,,,,,0.0,Made,,,,,22.0,,,,,,,,,,,,,,
