actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
186,PT08M46.00S,2022-02-16T01:10:02.3Z,2,REGULAR,turnover,out-of-bounds,[],1629680,,,1610612755,24,43,2022-02-16T01:10:10Z,1860000,,,0,,M. Thybulle bad pass out-of-bounds TURNOVER (1 TO),[1629680],1610612755.0,PHI,bad pass,,,Thybulle,M. Thybulle,,,,,204058.0,,,,,,,,,,,,,,,,,1.0,,
187,PT08M46.00S,2022-02-16T01:10:11.3Z,2,REGULAR,substitution,out,[],1628401,,,1610612738,24,43,2022-02-16T01:10:16Z,1870000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
188,PT08M46.00S,2022-02-16T01:10:11.3Z,2,REGULAR,substitution,in,[],1627759,,,1610612738,24,43,2022-02-16T01:10:16Z,1880000,,,0,,SUB in: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,
189,PT08M29.00S,2022-02-16T01:10:46.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,93.47897503285151,52.94117647058824,1610612738,24,43,2022-02-16T01:10:52Z,1890000,15.0,9.0,1,right,MISS J. Tatum driving reverse Layup,[1628369],1610612738.0,BOS,driving reverse,,,Tatum,J. Tatum,,,,,,,,,,1.71,Missed,,,,,,,,,,,,,
190,PT08M25.00S,2022-02-16T01:10:50.0Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,24,43,2022-02-16T01:19:22Z,1900000,,,0,,J. Tatum REBOUND (Off:1 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,189.0,6.0,5.0,1.0,,,,,
191,PT08M21.00S,2022-02-16T01:10:53.8Z,2,REGULAR,turnover,bad pass,[],1627759,,,1610612738,24,43,2022-02-16T01:11:03Z,1910000,,,0,,J. Brown bad pass TURNOVER (2 TO),"[1627759, 202699]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,2.0,Harris,202699.0
192,PT08M21.00S,2022-02-16T01:10:53.8Z,2,REGULAR,steal,,[],202699,,,1610612755,24,43,2022-02-16T01:10:58Z,1920000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
193,PT08M13.00S,2022-02-16T01:11:05.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630178,6.750985545335084,52.94117647058824,1610612755,26,43,2022-02-16T01:16:56Z,1930000,-15.0,11.0,1,left,T. Maxey driving finger roll Layup (5 PTS) (T. Harris 1 AST),"[1630178, 202699]",1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,,,,,,1.84,Made,5.0,T. Harris,202699.0,1.0,,,,,,,,,
195,PT08M13.00S,2022-02-16T01:11:09.0Z,2,REGULAR,foul,personal,['1freethrow'],1628464,,,1610612755,26,43,2022-02-16T01:11:14Z,1950000,,,0,,D. Theis shooting personal FOUL (2 PF) (Maxey 1 FT),"[1628464, 1630178]",1610612738.0,BOS,shooting,,,Theis,D. Theis,,,,,101283.0,2.0,0.0,Maxey,1630178.0,,,,,,,,,,,,,,,
197,PT08M13.00S,2022-02-16T01:11:32.8Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1630178,,,1610612755,27,43,2022-02-16T01:11:32Z,1970000,,,0,,T. Maxey Free Throw 1 of 1 (6 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,Made,6.0,,,,,,,,,,,,
198,PT07M59.00S,2022-02-16T01:11:51.1Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.3988173455979,53.431372549019606,1610612738,27,43,2022-02-16T01:11:56Z,1980000,17.0,0.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 1629680]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,,,,,,1.72,Missed,,,,,,,,,Thybulle,1629680.0,,,
199,PT07M59.00S,2022-02-16T01:11:51.1Z,2,REGULAR,block,,[],1629680,,,1610612738,27,43,2022-02-16T01:12:20Z,1990000,,,0,,M. Thybulle BLOCK (1 BLK),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,
200,PT07M59.00S,2022-02-16T01:11:51.1Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,43,2022-02-16T01:11:56Z,2000000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,198.0,,,,,,,,
201,PT07M59.00S,2022-02-16T01:11:57.4Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,27,43,2022-02-16T01:11:57Z,2010000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT07M52.00S,2022-02-16T01:12:13.2Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,27,43,2022-02-16T01:12:13Z,2020000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT07M49.00S,2022-02-16T01:12:35.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1627759,93.87319316688567,26.715686274509807,1610612738,27,43,2022-02-16T01:12:41Z,2030000,-116.0,5.0,1,right,MISS J. Brown 11' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,,,,,,11.65,Missed,,,,,,,,,,,,,
204,PT07M49.00S,2022-02-16T01:12:35.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612738,27,43,2022-02-16T01:12:41Z,2040000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,203.0,,,,,,,,
205,PT07M49.00S,2022-02-16T01:12:43.2Z,2,REGULAR,foul,personal,[],1629003,,,1610612738,27,43,2022-02-16T01:12:51Z,2050000,,,0,,S. Milton loose ball personal FOUL (2 PF),"[1629003, 1630174]",1610612755.0,PHI,loose ball,,,Milton,S. Milton,,,,,204058.0,2.0,0.0,Nesmith,1630174.0,,,,,,,,,,,,,,,
207,PT07M49.00S,2022-02-16T01:12:51.0Z,2,REGULAR,substitution,out,[],1630194,,,1610612738,27,43,2022-02-16T01:13:15Z,2070000,,,0,,SUB out: P. Reed,[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,,,,,,,,,,,,,,,,,,,,
208,PT07M49.00S,2022-02-16T01:12:51.0Z,2,REGULAR,substitution,out,[],1628369,,,1610612738,27,43,2022-02-16T01:13:15Z,2080000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
209,PT07M49.00S,2022-02-16T01:12:51.0Z,2,REGULAR,substitution,out,[],1630202,,,1610612738,27,43,2022-02-16T01:13:15Z,2090000,,,0,,SUB out: P. Pritchard,[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M49.00S,2022-02-16T01:12:51.0Z,2,REGULAR,substitution,out,[],1628464,,,1610612738,27,43,2022-02-16T01:13:15Z,2100000,,,0,,SUB out: D. Theis,[1628464],1610612738.0,BOS,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M49.00S,2022-02-16T01:12:51.0Z,2,REGULAR,substitution,in,[],203954,,,1610612738,27,43,2022-02-16T01:13:15Z,2110000,,,0,,SUB in: J. Embiid,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M49.00S,2022-02-16T01:12:51.0Z,2,REGULAR,substitution,in,[],201143,,,1610612738,27,43,2022-02-16T01:13:15Z,2120000,,,0,,SUB in: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M49.00S,2022-02-16T01:12:51.0Z,2,REGULAR,substitution,in,[],1628401,,,1610612738,27,43,2022-02-16T01:13:15Z,2130000,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M49.00S,2022-02-16T01:12:51.0Z,2,REGULAR,substitution,in,[],203935,,,1610612738,27,43,2022-02-16T01:13:15Z,2140000,,,0,,SUB in: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M42.00S,2022-02-16T01:13:24.2Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1627759,67.32917214191853,37.745098039215684,1610612738,27,46,2022-02-16T01:20:15Z,2150000,-61.0,255.0,1,right,J. Brown 26' 3PT pullup (14 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,,,,,,26.19,Made,14.0,,,,,,,,,,,,
216,PT07M25.00S,2022-02-16T01:13:43.2Z,2,REGULAR,foul,technical,['1freethrow'],1630174,,,1610612755,27,46,2022-02-16T01:13:53Z,2160000,,,0,,A. Nesmith defensive-3-second technical FOUL (1 Tech),[1630174],1610612738.0,BOS,defensive-3-second,,,Nesmith,A. Nesmith,,,,,204058.0,1.0,1.0,,,,,,,,,,,,,,,,,
217,PT07M25.00S,2022-02-16T01:14:08.2Z,2,REGULAR,freethrow,1 of 1,[],1630178,,,1610612755,28,46,2022-02-16T01:14:08Z,2170000,,,0,,T. Maxey technical Free Throw 1 of 1 (7 PTS),[1630178],1610612755.0,PHI,technical,,,Maxey,T. Maxey,,,,,,,,,,,Made,7.0,,,,,,,,,,,,
218,PT07M25.00S,2022-02-16T01:14:13.3Z,2,REGULAR,substitution,out,[],1629003,,,1610612755,28,46,2022-02-16T01:14:18Z,2180000,,,0,,SUB out: S. Milton,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,,,,,,,,,,,,,,,,,,,,
219,PT07M25.00S,2022-02-16T01:14:13.3Z,2,REGULAR,substitution,in,[],201980,,,1610612755,28,46,2022-02-16T01:14:18Z,2190000,,,0,,SUB in: D. Green,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,
220,PT07M15.00S,2022-02-16T01:14:36.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,17.000657030223394,48.529411764705884,1610612755,28,46,2022-02-16T01:14:40Z,2200000,7.0,107.0,1,left,MISS J. Embiid 10' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,,,,,,10.76,Missed,,,,,,,,,,,,,
221,PT07M12.00S,2022-02-16T01:14:39.8Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,28,46,2022-02-16T01:14:40Z,2210000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,220.0,1.0,1.0,0.0,,,,,
222,PT07M09.00S,2022-02-16T01:14:43.2Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1630174,71.27135348226018,76.9607843137255,1610612738,28,49,2022-02-16T01:14:50Z,2220000,135.0,218.0,1,right,A. Nesmith 25' 3PT  (3 PTS) (A. Horford 1 AST),"[1630174, 201143]",1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,25.59,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,
224,PT06M49.00S,2022-02-16T01:15:02.8Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,14.635348226018394,38.725490196078425,1610612755,28,49,2022-02-16T01:15:08Z,2240000,56.0,85.0,1,left,MISS T. Maxey 10' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,,,,,,10.21,Missed,,,,,,,,,,,,,
225,PT06M45.00S,2022-02-16T01:15:06.8Z,2,REGULAR,rebound,defensive,[],1627759,,,1610612738,28,49,2022-02-16T01:15:08Z,2250000,,,0,,J. Brown REBOUND (Off:1 Def:5),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,224.0,6.0,5.0,1.0,,,,,
226,PT06M40.00S,2022-02-16T01:15:11.4Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,68.38042049934297,74.75490196078431,1610612738,28,52,2022-02-16T01:15:18Z,2260000,124.0,245.0,1,right,J. Brown 27' 3PT running pullup (17 PTS),[1627759],1610612738.0,BOS,running pullup,,,Brown,J. Brown,,,,,,,,,,27.42,Made,17.0,,,,,,,,,,,,
227,PT06M39.00S,2022-02-16T01:15:19.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,28,52,2022-02-16T01:15:19Z,2270000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M19.00S,2022-02-16T01:19:03.4Z,2,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612755,28,52,2022-02-16T01:19:09Z,2280000,,,0,,D. White shooting personal FOUL (2 PF) (Thybulle 2 FT),"[1628401, 1629680]",1610612738.0,BOS,shooting,,,White,D. White,,,,,2714.0,2.0,0.0,Thybulle,1629680.0,,,,,,,,,,,,,,,
230,PT06M19.00S,2022-02-16T01:19:24.4Z,2,REGULAR,freethrow,1 of 2,[],1629680,,,1610612755,29,52,2022-02-16T01:19:38Z,2300000,,,0,,M. Thybulle Free Throw 1 of 2 (1 PTS),[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
231,PT06M19.00S,2022-02-16T01:19:24.4Z,2,REGULAR,freethrow,2 of 2,[],1629680,,,1610612755,29,52,2022-02-16T01:19:38Z,2310000,,,0,,MISS M. Thybulle Free Throw 2 of 2,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,Missed,,,,,,,,,,,,,
232,PT06M16.00S,2022-02-16T01:19:27.4Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,29,52,2022-02-16T01:19:38Z,2320000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,231.0,2.0,2.0,0.0,,,,,
233,PT06M03.00S,2022-02-16T01:19:50.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.66162943495401,49.26470588235294,1610612738,29,54,2022-02-16T01:19:54Z,2330000,-4.0,-2.0,1,right,J. Brown cutting Layup (19 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,,,,,,0.44,Made,19.0,D. White,1628401.0,1.0,,,,,,,,,
235,PT05M47.00S,2022-02-16T01:20:07.4Z,2,REGULAR,2pt,Jump Shot,[],203954,10.167542706964511,76.47058823529412,1610612755,31,54,2022-02-16T01:20:11Z,2350000,-132.0,43.0,1,left,J. Embiid 13' pullup Jump Shot (9 PTS),[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,,,,,,13.92,Made,9.0,,,,,,,,,,,,
236,PT05M41.00S,2022-02-16T01:20:19.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629680,,,1610612738,31,54,2022-02-16T01:20:26Z,2360000,,,0,,M. Thybulle personal FOUL (1 PF) (Brown 2 FT),"[1629680, 1627759]",1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,204058.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
238,PT05M41.00S,2022-02-16T01:20:47.8Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,31,54,2022-02-16T01:20:47Z,2380000,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M41.00S,2022-02-16T01:20:54.9Z,2,REGULAR,instantreplay,challenge,[],0,,,1610612738,31,54,2022-02-16T02:28:01Z,2390000,,,0,,,[],1610612755.0,PHI,support,,,,,,,,,2714.0,,,,,,,,,,,,,,,,,,,
240,PT05M41.00S,2022-02-16T01:24:13.5Z,2,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,31,55,2022-02-16T01:24:39Z,2400000,,,0,,J. Brown Free Throw 1 of 2 (20 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Made,20.0,,,,,,,,,,,,
241,PT05M41.00S,2022-02-16T01:24:13.5Z,2,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,31,55,2022-02-16T01:24:39Z,2410000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,Missed,,,,,,,,,,,,,
242,PT05M38.00S,2022-02-16T01:24:16.5Z,2,REGULAR,rebound,defensive,[],202699,,,1610612755,31,55,2022-02-16T01:24:39Z,2420000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,241.0,2.0,2.0,0.0,,,,,
243,PT05M22.00S,2022-02-16T01:24:42.9Z,2,REGULAR,3pt,Jump Shot,[],201980,28.43298291721419,83.57843137254902,1610612755,31,55,2022-02-16T01:24:47Z,2430000,-168.0,215.0,1,left,MISS D. Green 27' 3PT,[201980],1610612755.0,PHI,,,,Green,D. Green,,,,,,,,,,27.26,Missed,,,,,,,,,,,,,
244,PT05M18.00S,2022-02-16T01:24:46.9Z,2,REGULAR,rebound,defensive,[],201143,,,1610612738,31,55,2022-02-16T01:24:47Z,2440000,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,243.0,3.0,3.0,0.0,,,,,
245,PT05M15.00S,2022-02-16T01:24:55.9Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",203954,,,1610612738,31,55,2022-02-16T01:26:52Z,2450000,,,0,,J. Embiid shooting personal FOUL (2 PF) (Smart 2 FT),"[203954, 203935]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,101283.0,2.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
247,PT05M15.00S,2022-02-16T01:25:34.5Z,2,REGULAR,timeout,full,['team'],0,,,1610612738,31,55,2022-02-16T01:25:34Z,2470000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,PT05M15.00S,2022-02-16T01:27:08.2Z,2,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,31,55,2022-02-16T01:27:27Z,2480000,,,0,,MISS M. Smart Free Throw 1 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,Missed,,,,,,,,,,,,,
249,PT05M15.00S,2022-02-16T01:27:08.2Z,2,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612738,31,55,2022-02-16T01:27:27Z,2490000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,248.0,,,,,,,,
250,PT05M15.00S,2022-02-16T01:27:08.2Z,2,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,31,55,2022-02-16T01:27:27Z,2500000,,,0,,MISS M. Smart Free Throw 2 of 2,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,Missed,,,,,,,,,,,,,
251,PT05M14.00S,2022-02-16T01:27:09.2Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,31,55,2022-02-16T01:27:52Z,2510000,,,0,,J. Embiid REBOUND (Off:0 Def:5),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,250.0,5.0,5.0,0.0,,,,,
252,PT05M13.00S,2022-02-16T01:27:26.1Z,2,REGULAR,foul,personal,[],1630174,,,1610612755,31,55,2022-02-16T01:27:43Z,2520000,,,0,,A. Nesmith take personal FOUL (2 PF),"[1630174, 203954]",1610612738.0,BOS,take,,,Nesmith,A. Nesmith,,,,,2714.0,2.0,1.0,Embiid,203954.0,,,,,,,,,,,,,,,
254,PT05M13.00S,2022-02-16T01:27:38.0Z,2,REGULAR,substitution,out,[],1630174,,,1610612755,31,55,2022-02-16T01:27:42Z,2540000,,,0,,SUB out: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,
255,PT05M13.00S,2022-02-16T01:27:38.0Z,2,REGULAR,substitution,out,[],203935,,,1610612755,31,55,2022-02-16T01:27:42Z,2550000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,
256,PT05M13.00S,2022-02-16T01:27:38.0Z,2,REGULAR,substitution,in,[],1629684,,,1610612755,31,55,2022-02-16T01:27:42Z,2560000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,
257,PT05M13.00S,2022-02-16T01:27:38.0Z,2,REGULAR,substitution,in,[],1628369,,,1610612755,31,55,2022-02-16T01:27:42Z,2570000,,,0,,SUB in: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,
258,PT04M56.00S,2022-02-16T01:28:00.7Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,5.962549277266746,45.58823529411765,1610612755,31,55,2022-02-16T01:29:06Z,2580000,22.0,4.0,1,left,MISS T. Maxey driving floating bank Shot,[1630178],1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,,,,,,2.24,Missed,,,,,,,,,,,,,
259,PT04M54.00S,2022-02-16T01:28:02.7Z,2,REGULAR,rebound,defensive,[],1629684,,,1610612738,31,55,2022-02-16T01:28:05Z,2590000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,258.0,2.0,2.0,0.0,,,,,
260,PT04M36.00S,2022-02-16T01:28:21.1Z,2,REGULAR,3pt,Jump Shot,[],1627759,74.29369250985545,88.23529411764706,1610612738,31,58,2022-02-16T01:28:25Z,2600000,191.0,189.0,1,right,J. Brown 26' 3PT  (23 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,26.89,Made,23.0,,,,,,,,,,,,
261,PT04M24.00S,2022-02-16T01:28:33.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203954,6.750985545335084,51.22549019607843,1610612755,33,58,2022-02-16T01:28:38Z,2610000,-6.0,11.0,1,left,J. Embiid driving DUNK (11 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,,,,,,1.26,Made,11.0,,,,,,,,,,,,
262,PT04M01.00S,2022-02-16T01:28:54.8Z,2,REGULAR,3pt,Jump Shot,[],1628401,66.40932982917215,59.068627450980394,1610612738,33,58,2022-02-16T01:29:00Z,2620000,45.0,263.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,26.72,Missed,,,,,,,,,,,,,
263,PT04M00.00S,2022-02-16T01:28:55.8Z,2,REGULAR,rebound,defensive,[],203954,,,1610612755,33,58,2022-02-16T01:29:00Z,2630000,,,0,,J. Embiid REBOUND (Off:0 Def:6),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,262.0,6.0,6.0,0.0,,,,,
264,PT04M00.00S,2022-02-16T01:29:01.1Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629684,,,1610612755,33,58,2022-02-16T01:29:06Z,2640000,,,0,,G. Williams personal FOUL (2 PF) (Embiid 2 FT),"[1629684, 203954]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,204058.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
266,PT04M00.00S,2022-02-16T01:29:32.8Z,2,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,34,58,2022-02-16T01:29:32Z,2660000,,,0,,J. Embiid Free Throw 1 of 2 (12 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,12.0,,,,,,,,,,,,
267,PT04M00.00S,2022-02-16T01:29:33.7Z,2,REGULAR,substitution,out,[],202699,,,1610612755,34,58,2022-02-16T01:29:48Z,2670000,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,
268,PT04M00.00S,2022-02-16T01:29:33.7Z,2,REGULAR,substitution,in,[],1627777,,,1610612755,34,58,2022-02-16T01:29:48Z,2680000,,,0,,SUB in: G. Niang,[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,,,,,,,,,
269,PT04M00.00S,2022-02-16T01:29:59.0Z,2,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,35,58,2022-02-16T01:29:59Z,2690000,,,0,,J. Embiid Free Throw 2 of 2 (13 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,Made,13.0,,,,,,,,,,,,
270,PT03M37.00S,2022-02-16T01:30:24.3Z,2,REGULAR,3pt,Jump Shot,[],201143,90.45663600525624,96.56862745098039,1610612738,35,58,2022-02-16T01:30:29Z,2700000,233.0,37.0,1,right,MISS A. Horford 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,23.58,Missed,,,,,,,,,,,,,
271,PT03M33.00S,2022-02-16T01:30:28.3Z,2,REGULAR,rebound,offensive,[],1628369,,,1610612738,35,58,2022-02-16T01:30:29Z,2710000,,,0,,J. Tatum REBOUND (Off:2 Def:5),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,270.0,7.0,5.0,2.0,,,,,
272,PT03M33.00S,2022-02-16T01:30:31.1Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628369,92.82194480946123,55.3921568627451,1610612738,35,58,2022-02-16T01:32:08Z,2720000,27.0,15.0,1,right,MISS J. Tatum putback DUNK - blocked,"[1628369, 203954]",1610612738.0,BOS,putback,,,Tatum,J. Tatum,,,,,,,,,,3.09,Missed,,,,,,,,,Embiid,203954.0,,,
273,PT03M33.00S,2022-02-16T01:30:31.1Z,2,REGULAR,block,,[],203954,,,1610612738,35,58,2022-02-16T01:30:34Z,2730000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,,,,,,,,
274,PT03M33.00S,2022-02-16T01:30:31.1Z,2,REGULAR,rebound,defensive,[],1627777,,,1610612755,35,58,2022-02-16T01:30:35Z,2740000,,,0,,G. Niang REBOUND (Off:1 Def:2),[1627777],1610612755.0,PHI,,,,Niang,G. Niang,,,,,,,,,,,,,,,,272.0,3.0,2.0,1.0,,,,,
