actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
168,PT00M00.00S,2023-12-13T01:34:30.4Z,1,REGULAR,period,end,[],0,,,1610612741,25,32,2023-12-13T01:50:52Z,1660000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,PT12M00.00S,2023-12-13T01:36:56.1Z,2,REGULAR,substitution,out,['startperiod'],1630245,,,1610612741,25,32,2023-12-13T01:50:52Z,1670000,False,,,0,,SUB out: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
170,PT12M00.00S,2023-12-13T01:36:56.1Z,2,REGULAR,substitution,in,['startperiod'],1629632,,,1610612741,25,32,2023-12-13T01:50:52Z,1680000,False,,,0,,SUB in: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2023-12-13T01:37:13.8Z,2,REGULAR,period,start,[],0,,,1610612741,25,32,2023-12-13T01:37:13Z,1690000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT11M47.00S,2023-12-13T01:37:25.2Z,2,REGULAR,3pt,Jump Shot,[],1628975,30.436925098554536,67.40196078431373,1610612741,25,32,2023-12-13T01:37:32Z,1700000,False,-87.0,234.0,1,left,MISS J. Carter 24' 3PT,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,Above the Break 3,24+ Left Center,24.93,Missed,,,,,,,,,,,,,,,,,,
173,PT11M45.00S,2023-12-13T01:37:27.2Z,2,REGULAR,rebound,defensive,[],1631128,,,1610612743,25,32,2023-12-13T01:37:32Z,1710000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,
174,PT11M40.00S,2023-12-13T01:37:38.6Z,2,REGULAR,foul,personal,[],201942,,,1610612743,25,32,2023-12-13T01:37:53Z,1720000,False,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 1631128]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1628159.0,,,,,1.0,0.0,Braun,1631128.0,,,,,
176,PT11M32.00S,2023-12-13T01:38:05.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],202704,92.9862023653088,47.30392156862745,1610612743,25,32,2023-12-13T01:48:11Z,1740000,False,-13.0,13.0,1,right,MISS R. Jackson driving finger roll Layup,[202704],1610612743.0,DEN,driving finger roll,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,1.9,Missed,,,,,,,,,,,,,,,,,,
177,PT11M31.00S,2023-12-13T01:38:06.9Z,2,REGULAR,rebound,offensive,[],201599,,,1610612743,25,32,2023-12-13T01:41:28Z,1750000,False,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,,,,,176.0,2.0,1.0,1.0,,,,,,,,,
178,PT11M31.00S,2023-12-13T01:38:10.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201599,94.40999984741211,50.0,1610612743,25,32,2023-12-13T01:42:03Z,1760000,False,0.0,0.0,1,right,MISS D. Jordan tip Layup,[201599],1610612743.0,DEN,tip,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
179,PT11M29.00S,2023-12-13T01:38:12.3Z,2,REGULAR,rebound,offensive,[],201599,,,1610612743,25,32,2023-12-13T01:42:03Z,1770000,False,,,0,,D. Jordan REBOUND (Off:2 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,,,,,,178.0,3.0,1.0,2.0,,,,,,,,,
180,PT11M29.00S,2023-12-13T01:38:13.7Z,2,REGULAR,foul,personal,['2freethrow'],1628470,,,1610612743,25,32,2023-12-13T01:38:20Z,1780000,False,,,0,,T. Craig shooting personal FOUL (1 PF) (Jordan 2 FT),"[1628470, 201599]",1610612741.0,CHI,shooting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,,,,,1193.0,,,,,1.0,0.0,Jordan,201599.0,,,,,
182,PT11M29.00S,2023-12-13T01:38:40.9Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],201599,,,1610612743,25,33,2023-12-13T01:38:40Z,1800000,False,,,0,,D. Jordan Free Throw 1 of 2 (1 PTS),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
183,PT11M29.00S,2023-12-13T01:38:42.2Z,2,REGULAR,substitution,out,[],1628975,,,1610612743,25,33,2023-12-13T01:38:45Z,1810000,False,,,0,,SUB out: J. Carter,[1628975],1610612741.0,CHI,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT11M29.00S,2023-12-13T01:38:42.2Z,2,REGULAR,substitution,in,[],1631207,,,1610612743,25,33,2023-12-13T01:38:45Z,1820000,False,,,0,,SUB in: D. Terry,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT11M29.00S,2023-12-13T01:38:40.9Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],201599,,,1610612743,25,33,2023-12-13T01:39:13Z,1830000,False,,,0,,MISS D. Jordan Free Throw 2 of 2,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
186,PT11M24.00S,2023-12-13T01:38:45.9Z,2,REGULAR,rebound,defensive,[],1628470,,,1610612741,25,33,2023-12-13T01:39:13Z,1840000,False,,,0,,T. Craig REBOUND (Off:0 Def:2),[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,185.0,2.0,2.0,0.0,,,,,,,,,
187,PT11M17.00S,2023-12-13T01:39:18.8Z,2,REGULAR,3pt,Jump Shot,[],1629632,30.962549277266753,61.51960784313726,1610612741,28,33,2023-12-13T01:50:15Z,1850000,False,-58.0,239.0,1,left,C. White 24' 3PT pullup (8 PTS) (D. Terry 1 AST),"[1629632, 1631207]",1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Center,24.54,Made,8.0,D. Terry,1631207.0,1.0,,,,,,,,,,,,,,
189,PT10M58.00S,2023-12-13T01:39:38.5Z,2,REGULAR,turnover,bad pass,[],1631128,,,1610612743,28,33,2023-12-13T01:39:43Z,1870000,False,,,0,,C. Braun bad pass TURNOVER (1 TO),"[1631128, 203083]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,1.0,,,Drummond,203083.0
190,PT10M58.00S,2023-12-13T01:39:38.5Z,2,REGULAR,steal,,[],203083,,,1610612741,28,33,2023-12-13T01:39:40Z,1880000,False,,,0,,A. Drummond STEAL (1 STL),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
191,PT10M51.00S,2023-12-13T01:39:47.6Z,2,REGULAR,foul,personal,[],203200,,,1610612741,28,33,2023-12-13T01:40:11Z,1890000,False,,,0,,J. Holiday personal FOUL (1 PF),"[203200, 203083]",1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,Restricted Area,0-8 Center,,,,,,,1193.0,,,,,1.0,0.0,Drummond,203083.0,,,,,
193,PT10M45.00S,2023-12-13T01:40:09.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201942,6.521024967148489,48.28431372549019,1610612741,30,33,2023-12-13T01:40:13Z,1910000,False,9.0,9.0,1,left,D. DeRozan driving Layup (7 PTS),[201942],1610612741.0,CHI,driving,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,1.23,Made,7.0,,,,,,,,,,,,,,,,,
194,PT10M30.00S,2023-12-13T01:40:24.7Z,2,REGULAR,3pt,Jump Shot,[],202704,68.41327201051249,58.08823529411765,1610612743,30,36,2023-12-13T01:40:30Z,1920000,False,40.0,244.0,1,right,R. Jackson 24' 3PT  (11 PTS) (C. Braun 1 AST),"[202704, 1631128]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,24.77,Made,11.0,C. Braun,1631128.0,1.0,,,,,,,,,,,,,,
196,PT10M11.00S,2023-12-13T01:40:44.3Z,2,REGULAR,3pt,Jump Shot,[],1631207,31.488173455978973,66.17647058823529,1610612741,30,36,2023-12-13T01:40:57Z,1940000,False,-81.0,243.0,1,left,MISS D. Terry 25' pullup 3PT,[1631207],1610612741.0,CHI,pullup,,,Terry,D. Terry,,,,,Above the Break 3,24+ Left Center,25.66,Missed,,,,,,,,,,,,,,,,,,
197,PT10M07.00S,2023-12-13T01:40:48.3Z,2,REGULAR,rebound,offensive,[],1628470,,,1610612741,30,36,2023-12-13T01:40:57Z,1950000,False,,,0,,T. Craig REBOUND (Off:1 Def:2),[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Left Center,,,,,,,,196.0,3.0,2.0,1.0,,,,,,,,,
198,PT09M57.00S,2023-12-13T01:40:59.9Z,2,REGULAR,foul,personal,['2freethrow'],201599,,,1610612741,30,36,2023-12-13T01:41:07Z,1960000,False,,,0,,D. Jordan shooting personal FOUL (2 PF) (White 2 FT),"[201599, 1629632]",1610612743.0,DEN,shooting,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,200834.0,,,,,2.0,0.0,White,1629632.0,,,,,
200,PT09M57.00S,2023-12-13T01:41:30.5Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],1629632,,,1610612741,31,36,2023-12-13T01:41:30Z,1980000,False,,,0,,C. White Free Throw 1 of 2 (9 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
201,PT09M57.00S,2023-12-13T01:41:31.2Z,2,REGULAR,substitution,out,[],1628470,,,1610612741,31,36,2023-12-13T01:41:37Z,1990000,False,,,0,,SUB out: T. Craig,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PT09M57.00S,2023-12-13T01:41:31.2Z,2,REGULAR,substitution,out,[],1631128,,,1610612741,31,36,2023-12-13T01:41:37Z,2000000,False,,,0,,SUB out: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PT09M57.00S,2023-12-13T01:41:31.2Z,2,REGULAR,substitution,in,[],1641763,,,1610612741,31,36,2023-12-13T01:41:37Z,2010000,False,,,0,,SUB in: J. Phillips,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT09M57.00S,2023-12-13T01:41:31.2Z,2,REGULAR,substitution,in,[],1631124,,,1610612741,31,36,2023-12-13T01:41:37Z,2020000,False,,,0,,SUB in: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT09M57.00S,2023-12-13T01:41:49.3Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],1629632,,,1610612741,32,36,2023-12-13T01:41:49Z,2030000,False,,,0,,C. White Free Throw 2 of 2 (10 PTS),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
206,PT09M44.00S,2023-12-13T01:42:03.3Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,93.38042049934296,50.98039215686274,1610612743,32,38,2023-12-13T01:42:18Z,2040000,False,5.0,10.0,1,right,D. Jordan alley-oop DUNK (3 PTS) (R. Jackson 2 AST),"[201599, 202704]",1610612743.0,DEN,alley-oop,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,1.09,Made,3.0,R. Jackson,202704.0,2.0,,,,,,,,,,,,,,
208,PT09M25.00S,2023-12-13T01:42:22.2Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],203083,11.645860709592641,46.568627450980394,1610612741,34,38,2023-12-13T01:52:09Z,2060000,False,17.0,57.0,1,left,A. Drummond driving Hook (2 PTS) (C. White 2 AST),"[203083, 1629632]",1610612741.0,CHI,driving,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,2.0,C. White,1629632.0,2.0,,,,,,,,,,,,,,
210,PT09M11.00S,2023-12-13T01:42:36.5Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631124,92.32917214191852,47.549019607843135,1610612743,34,38,2023-12-13T01:52:39Z,2080000,False,-12.0,20.0,1,right,MISS J. Strawther driving floating bank Shot,[1631124],1610612743.0,DEN,driving floating bank,,,Strawther,J. Strawther,,,,,Restricted Area,0-8 Center,2.31,Missed,,,,,,,,,,,,,,,,,,
211,PT09M09.00S,2023-12-13T01:42:38.5Z,2,REGULAR,rebound,defensive,[],203083,,,1610612741,34,38,2023-12-13T01:42:41Z,2090000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,210.0,1.0,1.0,0.0,,,,,,,,,
212,PT09M03.00S,2023-12-13T01:42:47.3Z,2,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612741,34,38,2023-12-13T01:42:59Z,2100000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1631212, 201942]",1610612743.0,DEN,shooting,,,Watson,P. Watson,,,,,Mid-Range,8-16 Left,,,,,,,1193.0,,,,,1.0,0.0,DeRozan,201942.0,,,,,
214,PT09M03.00S,2023-12-13T01:43:12.1Z,2,REGULAR,freethrow,1 of 2,[],201942,,,1610612741,35,38,2023-12-13T01:43:12Z,2120000,False,,,0,,D. DeRozan Free Throw 1 of 2 (8 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
215,PT09M03.00S,2023-12-13T01:43:12.1Z,2,REGULAR,freethrow,2 of 2,[],201942,,,1610612741,36,38,2023-12-13T01:53:04Z,2130000,False,,,0,,D. DeRozan Free Throw 2 of 2 (9 PTS),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
216,PT08M49.00S,2023-12-13T01:43:45.9Z,2,REGULAR,3pt,Jump Shot,[],202704,71.43561103810775,76.47058823529412,1610612743,36,38,2023-12-13T01:43:53Z,2140000,False,132.0,216.0,1,right,MISS R. Jackson 25' 3PT,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Right Center,25.33,Missed,,,,,,,,,,,,,,,,,,
217,PT08M45.00S,2023-12-13T01:43:49.9Z,2,REGULAR,rebound,defensive,[],203083,,,1610612741,36,38,2023-12-13T01:43:53Z,2150000,False,,,0,,A. Drummond REBOUND (Off:0 Def:2),[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Right Center,,,,,,,,216.0,2.0,2.0,0.0,,,,,,,,,
218,PT08M39.00S,2023-12-13T01:43:58.4Z,2,REGULAR,turnover,traveling,[],1641763,,,1610612741,36,38,2023-12-13T01:44:02Z,2160000,False,,,0,,J. Phillips traveling TURNOVER (1 TO),[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,Mid-Range,16-24 Right,,,,,,,200834.0,,,,,,,,,1.0,,,,
219,PT08M39.00S,2023-12-13T01:44:01.0Z,2,REGULAR,substitution,out,[],201942,,,1610612743,36,38,2023-12-13T01:44:20Z,2170000,False,,,0,,SUB out: D. DeRozan,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,,,,,,,,,,,,,,,,,,,
220,PT08M39.00S,2023-12-13T01:44:01.0Z,2,REGULAR,substitution,out,[],203200,,,1610612743,36,38,2023-12-13T01:44:20Z,2180000,False,,,0,,SUB out: J. Holiday,[203200],1610612743.0,DEN,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
221,PT08M39.00S,2023-12-13T01:44:01.0Z,2,REGULAR,substitution,in,[],1630172,,,1610612743,36,38,2023-12-13T01:44:20Z,2190000,False,,,0,,SUB in: P. Williams,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
222,PT08M39.00S,2023-12-13T01:44:01.0Z,2,REGULAR,substitution,in,[],1629008,,,1610612743,36,38,2023-12-13T01:44:20Z,2200000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M17.00S,2023-12-13T01:44:51.8Z,2,REGULAR,foul,personal,['2freethrow'],1641763,,,1610612743,36,38,2023-12-13T01:45:12Z,2210000,False,,,0,,J. Phillips shooting personal FOUL (1 PF) (Jackson 2 FT),"[1641763, 202704]",1610612741.0,CHI,shooting,,,Phillips,J. Phillips,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1193.0,,,,,1.0,0.0,Jackson,202704.0,,,,,
225,PT08M17.00S,2023-12-13T01:45:24.0Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],202704,,,1610612743,36,39,2023-12-13T01:45:24Z,2230000,False,,,0,,R. Jackson Free Throw 1 of 2 (12 PTS),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
226,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,out,[],1629632,,,1610612743,36,39,2023-12-13T01:45:42Z,2240000,False,,,0,,SUB out: C. White,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,out,[],203083,,,1610612743,36,39,2023-12-13T01:45:42Z,2250000,False,,,0,,SUB out: A. Drummond,[203083],1610612741.0,CHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,out,[],1631124,,,1610612743,36,39,2023-12-13T01:45:42Z,2260000,False,,,0,,SUB out: J. Strawther,[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,out,[],201599,,,1610612743,36,39,2023-12-13T01:45:42Z,2270000,False,,,0,,SUB out: D. Jordan,[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
230,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,out,[],1631212,,,1610612743,36,39,2023-12-13T01:45:42Z,2280000,False,,,0,,SUB out: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
231,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,in,[],202696,,,1610612743,36,39,2023-12-13T01:45:42Z,2290000,False,,,0,,SUB in: N. Vucevic,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,,,,,,,,,,,,,,,,
232,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,in,[],1630245,,,1610612743,36,39,2023-12-13T01:45:42Z,2300000,False,,,0,,SUB in: A. Dosunmu,[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,in,[],203484,,,1610612743,36,39,2023-12-13T01:45:42Z,2310000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,in,[],203932,,,1610612743,36,39,2023-12-13T01:45:42Z,2320000,False,,,0,,SUB in: A. Gordon,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT08M17.00S,2023-12-13T01:45:25.2Z,2,REGULAR,substitution,in,[],203999,,,1610612743,36,39,2023-12-13T01:45:42Z,2330000,False,,,0,,SUB in: N. Jokic,[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT08M17.00S,2023-12-13T01:45:56.7Z,2,REGULAR,freethrow,2 of 2,['fromturnover'],202704,,,1610612743,36,40,2023-12-13T01:45:56Z,2340000,False,,,0,,R. Jackson Free Throw 2 of 2 (13 PTS),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
237,PT07M59.00S,2023-12-13T01:46:19.1Z,2,REGULAR,3pt,Jump Shot,[],1631207,29.517082785808146,68.38235294117648,1610612741,36,40,2023-12-13T01:46:32Z,2350000,False,-92.0,225.0,1,left,MISS D. Terry 24' 3PT,[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Above the Break 3,24+ Left Center,24.3,Missed,,,,,,,,,,,,,,,,,,
238,PT07M55.00S,2023-12-13T01:46:23.1Z,2,REGULAR,rebound,defensive,[],203932,,,1610612743,36,40,2023-12-13T01:46:32Z,2360000,False,,,0,,A. Gordon REBOUND (Off:1 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,237.0,2.0,1.0,1.0,,,,,,,,,
239,PT07M51.00S,2023-12-13T01:46:26.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203484,93.11760840998686,48.77450980392157,1610612743,36,40,2023-12-13T01:55:37Z,2370000,False,-6.0,12.0,1,right,MISS K. Caldwell-Pope running Layup - blocked,"[203484, 1631207]",1610612743.0,DEN,running,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Restricted Area,0-8 Center,1.36,Missed,,,,,,,,,,,,,,,Terry,1631207.0,,
240,PT07M51.00S,2023-12-13T01:46:26.7Z,2,REGULAR,block,,[],1631207,,,1610612743,36,40,2023-12-13T01:46:29Z,2380000,False,,,0,,D. Terry BLOCK (1 BLK),[1631207],1610612741.0,CHI,,,,Terry,D. Terry,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
241,PT07M48.00S,2023-12-13T01:46:29.7Z,2,REGULAR,rebound,defensive,[],202696,,,1610612741,36,40,2023-12-13T01:46:29Z,2390000,False,,,0,,N. Vucevic REBOUND (Off:3 Def:5),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,239.0,8.0,5.0,3.0,,,,,,,,,
242,PT07M41.00S,2023-12-13T01:46:37.9Z,2,REGULAR,2pt,Jump Shot,[],1630172,25.837713534822605,62.254901960784316,1610612741,36,40,2023-12-13T01:56:00Z,2400000,False,-61.0,190.0,1,left,MISS P. Williams 20' pullup Shot,[1630172],1610612741.0,CHI,pullup,,,Williams,P. Williams,,,,,Mid-Range,16-24 Center,20.0,Missed,,,,,,,,,,,,,,,,,,
243,PT07M39.00S,2023-12-13T01:46:39.9Z,2,REGULAR,rebound,defensive,[],203999,,,1610612743,36,40,2023-12-13T01:46:42Z,2410000,False,,,0,,N. Jokic REBOUND (Off:3 Def:5),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Mid-Range,16-24 Center,,,,,,,,242.0,8.0,5.0,3.0,,,,,,,,,
244,PT07M25.00S,2023-12-13T01:46:53.1Z,2,REGULAR,2pt,Jump Shot,[],1629008,76.95466491458606,64.2156862745098,1610612743,36,40,2023-12-13T01:56:24Z,2420000,False,71.0,164.0,1,right,MISS M. Porter Jr. 17' pullup Shot,[1629008],1610612743.0,DEN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,17.88,Missed,,,,,,,,,,,,,,,,,,
245,PT07M23.00S,2023-12-13T01:46:55.1Z,2,REGULAR,rebound,defensive,[],1630172,,,1610612741,36,40,2023-12-13T01:46:58Z,2430000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Mid-Range,16-24 Right Center,,,,,,,,244.0,1.0,1.0,0.0,,,,,,,,,
246,PT07M19.00S,2023-12-13T01:47:03.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612741,36,40,2023-12-13T01:47:03Z,2440000,False,,,0,,CHI Timeout,[],1610612741.0,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT07M19.00S,2023-12-13T01:49:32.7Z,2,REGULAR,substitution,out,[],202704,,,1610612741,36,40,2023-12-13T01:49:47Z,2450000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
250,PT07M19.00S,2023-12-13T01:49:32.7Z,2,REGULAR,substitution,in,[],1631128,,,1610612741,36,40,2023-12-13T01:49:47Z,2460000,False,,,0,,SUB in: C. Braun,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,,,,,,,,,,,,,,,,,,,
251,PT07M02.00S,2023-12-13T01:50:21.6Z,2,REGULAR,3pt,Jump Shot,[],1641763,22.28975032851511,12.009803921568627,1610612741,36,40,2023-12-13T01:50:29Z,2470000,False,190.0,157.0,1,left,MISS J. Phillips 24' 3PT,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,Above the Break 3,24+ Right Center,24.65,Missed,,,,,,,,,,,,,,,,,,
252,PT06M58.00S,2023-12-13T01:50:25.6Z,2,REGULAR,rebound,offensive,[],202696,,,1610612741,36,40,2023-12-13T01:50:29Z,2480000,False,,,0,,N. Vucevic REBOUND (Off:4 Def:5),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,,251.0,9.0,5.0,4.0,,,,,,,,,
253,PT06M57.00S,2023-12-13T01:50:26.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202696,5.469776609724048,52.20588235294118,1610612741,38,40,2023-12-13T01:57:05Z,2490000,False,-11.0,-1.0,1,left,N. Vucevic putback Layup (8 PTS),[202696],1610612741.0,CHI,putback,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,1.11,Made,8.0,,,,,,,,,,,,,,,,,
