actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
247,PT04M57.00S,2025-01-09T03:29:15.1Z,2,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631260,93.9060446780552,49.01960784313725,1610612749,48,37,2025-01-09T03:31:33Z,2400000,False,-5.0,5.0,1,right,A. Green running Layup (8 PTS) (T. Prince 1 AST),"[1631260, 1627752]",1610612749.0,MIL,running,,,Green,A. Green,,,,,Restricted Area,0-8 Center,,,,Made,8.0,0.69,,,,,,,,,,T. Prince,1627752.0,1.0,,
249,PT04M36.00S,2025-01-09T03:29:35.9Z,2,REGULAR,2pt,Jump Shot,[],1630577,23.603810775295663,49.754901960784316,1610612759,48,37,2025-01-09T03:29:46Z,2420000,False,1.0,169.0,1,left,MISS J. Champagnie 16' driving floating Shot,[1630577],1610612759.0,SAS,driving floating,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Center,,,,Missed,,16.94,,,,,,,,,,,,,,
250,PT04M34.00S,2025-01-09T03:29:37.9Z,2,REGULAR,rebound,defensive,[],203507,,,1610612749,48,37,2025-01-09T03:29:46Z,2430000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:7),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Center,,,,,,,249.0,8.0,7.0,1.0,,,,,,,,,,
251,PT04M29.00S,2025-01-09T03:29:44.8Z,2,REGULAR,3pt,Jump Shot,[],1627752,95.3515111695138,3.6764705882352944,1610612749,48,37,2025-01-09T03:29:54Z,2440000,False,-232.0,-9.0,1,right,MISS T. Prince 3PT,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,Left Corner 3,24+ Left,,,,Missed,,23.18,,,,,,,,,,,,,,
252,PT04M29.00S,2025-01-09T03:29:44.8Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612749,48,37,2025-01-09T03:29:54Z,2450000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,251.0,,,,,,,,,,,,,
253,PT04M29.00S,2025-01-09T03:29:51.9Z,2,REGULAR,foul,personal,[],101108,,,1610612749,48,37,2025-01-09T03:30:15Z,2460000,False,,,0,,C. Paul loose ball personal FOUL (1 PF),"[101108, 203507]",1610612759.0,SAS,loose ball,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,202027.0,1.0,0.0,,,,,,,,,,,,,,,,Antetokounmpo,203507.0
255,PT04M16.00S,2025-01-09T03:30:41.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],203507,77.87450722733246,26.715686274509803,1610612749,50,37,2025-01-09T03:37:23Z,2480000,False,-116.0,155.0,1,right,G. Antetokounmpo 19' pullup Jump Shot (13 PTS),[203507],1610612749.0,MIL,pullup,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left Center,,,,Made,13.0,19.42,,,,,,,,,,,,,,
256,PT04M06.00S,2025-01-09T03:30:51.6Z,2,REGULAR,2pt,Jump Shot,[],1630170,23.209592641261498,43.13725490196079,1610612759,50,37,2025-01-09T03:38:06Z,2490000,False,34.0,166.0,1,left,MISS D. Vassell 16' pullup Shot,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Center,,,,Missed,,16.92,,,,,,,,,,,,,,
257,PT04M01.00S,2025-01-09T03:30:55.9Z,2,REGULAR,rebound,offensive,[],1629646,,,1610612759,50,37,2025-01-09T03:30:55Z,2500000,False,,,0,,C. Bassey REBOUND (Off:1 Def:0),[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,Mid-Range,16-24 Center,,,,,,,256.0,1.0,0.0,1.0,,,,,,,,,,
258,PT03M57.00S,2025-01-09T03:31:01.1Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630577,9.149145860709593,46.32352941176471,1610612759,50,37,2025-01-09T03:31:08Z,2510000,False,18.0,34.0,1,left,MISS J. Champagnie driving Layup,[1630577],1610612759.0,SAS,driving,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,Missed,,3.82,,,,,,,,,,,,,,
259,PT03M57.00S,2025-01-09T03:31:01.1Z,2,REGULAR,rebound,defensive,[],201572,,,1610612749,50,37,2025-01-09T03:31:08Z,2520000,False,,,0,,B. Lopez REBOUND (Off:1 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,258.0,3.0,2.0,1.0,,,,,,,,,,
260,PT03M50.00S,2025-01-09T03:31:07.7Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],203081,82.21090670170827,4.901960784313726,1610612749,53,37,2025-01-09T03:31:13Z,2530000,False,-225.0,115.0,1,right,D. Lillard 25' 3PT running (10 PTS) (G. Antetokounmpo 6 AST),"[203081, 203507]",1610612749.0,MIL,running,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,,Made,10.0,25.3,,,,,,,,,,G. Antetokounmpo,203507.0,6.0,,
263,PT03M39.00S,2025-01-09T03:31:22.8Z,2,REGULAR,foul,personal,[],1631260,,,1610612759,53,37,2025-01-09T03:31:42Z,2560000,False,,,0,,A. Green personal FOUL (1 PF),"[1631260, 101108]",1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,201639.0,1.0,0.0,,,,,,,,,,,,,,,,Paul,101108.0
265,PT03M39.00S,2025-01-09T03:31:42.5Z,2,REGULAR,substitution,out,[],1627752,,,1610612759,53,37,2025-01-09T03:31:59Z,2580000,False,,,0,,SUB out: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT03M39.00S,2025-01-09T03:31:42.5Z,2,REGULAR,substitution,out,[],1630577,,,1610612759,53,37,2025-01-09T03:31:59Z,2590000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT03M39.00S,2025-01-09T03:31:42.5Z,2,REGULAR,substitution,out,[],1629646,,,1610612759,53,37,2025-01-09T03:31:59Z,2600000,False,,,0,,SUB out: C. Bassey,[1629646],1610612759.0,SAS,,,,Bassey,C. Bassey,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT03M39.00S,2025-01-09T03:31:42.5Z,2,REGULAR,substitution,in,[],203114,,,1610612759,53,37,2025-01-09T03:31:59Z,2610000,False,,,0,,SUB in: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
269,PT03M39.00S,2025-01-09T03:31:42.5Z,2,REGULAR,substitution,in,[],1642264,,,1610612759,53,37,2025-01-09T03:31:59Z,2620000,False,,,0,,SUB in: S. Castle,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,,,,,,,,,,,,,,,,,,,,,,
270,PT03M39.00S,2025-01-09T03:31:42.5Z,2,REGULAR,substitution,in,[],1641705,,,1610612759,53,37,2025-01-09T03:31:59Z,2630000,False,,,0,,SUB in: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
271,PT03M25.00S,2025-01-09T03:32:07.0Z,2,REGULAR,3pt,Jump Shot,[],101108,27.020367936925098,14.705882352941178,1610612759,53,40,2025-01-09T03:40:40Z,2640000,False,176.0,201.0,1,left,C. Paul 26' 3PT pullup (4 PTS) (S. Castle 2 AST),"[101108, 1642264]",1610612759.0,SAS,pullup,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,Made,4.0,26.79,,,,,,,,,,S. Castle,1642264.0,2.0,,
273,PT03M14.00S,2025-01-09T03:32:19.9Z,2,REGULAR,2pt,Hook,[],201572,90.62089356110381,69.36274509803921,1610612749,53,40,2025-01-09T03:42:32Z,2660000,False,97.0,36.0,1,right,MISS B. Lopez 10' driving Hook,[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Right,,,,Missed,,10.32,,,,,,,,,,,,,,
274,PT03M12.00S,2025-01-09T03:32:21.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612749,53,40,2025-01-09T03:43:19Z,2670000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,273.0,,,,,,,,,,,,,
275,PT03M12.00S,2025-01-09T03:32:30.3Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",101108,,,1610612749,53,40,2025-01-09T03:32:50Z,2680000,False,,,0,,C. Paul loose ball personal FOUL (2 PF) (Middleton 2 FT),"[101108, 203114]",1610612759.0,SAS,loose ball,,,Paul,C. Paul,,,,,Mid-Range,8-16 Left,201639.0,2.0,0.0,,,,,,,,,,,,,,,,Middleton,203114.0
277,PT03M12.00S,2025-01-09T03:33:05.4Z,2,REGULAR,freethrow,1 of 2,['2ndchance'],203114,,,1610612749,53,40,2025-01-09T03:33:05Z,2700000,False,,,0,,MISS K. Middleton Free Throw 1 of 2,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
278,PT03M12.00S,2025-01-09T03:33:05.4Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,53,40,2025-01-09T03:33:05Z,2710000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,277.0,,,,,,,,,,,,,
279,PT03M12.00S,2025-01-09T03:33:19.7Z,2,REGULAR,freethrow,2 of 2,['2ndchance'],203114,,,1610612749,54,40,2025-01-09T03:33:19Z,2720000,False,,,0,,K. Middleton Free Throw 2 of 2 (4 PTS),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
281,PT02M56.00S,2025-01-09T03:33:42.9Z,2,REGULAR,substitution,out,[],203081,,,1610612759,54,40,2025-01-09T03:33:47Z,2740000,False,,,0,,SUB out: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
282,PT02M56.00S,2025-01-09T03:33:42.9Z,2,REGULAR,substitution,in,[],1629018,,,1610612759,54,40,2025-01-09T03:33:47Z,2750000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
283,PT02M48.00S,2025-01-09T03:34:03.6Z,2,REGULAR,3pt,Jump Shot,[],101108,32.14520367936925,75.73529411764706,1610612759,54,43,2025-01-09T03:34:09Z,2760000,False,-129.0,250.0,1,left,C. Paul 28' 3PT step back (7 PTS),[101108],1610612759.0,SAS,step back,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,,Made,7.0,28.09,,,,,,,,,,,,,,
284,PT02M28.00S,2025-01-09T03:34:26.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,91.27792378449409,55.392156862745104,1610612749,54,43,2025-01-09T03:40:48Z,2770000,False,27.0,29.0,1,right,MISS G. Antetokounmpo driving DUNK,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Missed,,4.0,,,,,,,,,,,,,,
285,PT02M27.00S,2025-01-09T03:34:27.0Z,2,REGULAR,rebound,offensive,[],203507,,,1610612749,54,43,2025-01-09T03:40:48Z,2780000,False,,,0,,G. Antetokounmpo REBOUND (Off:2 Def:7),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,284.0,9.0,7.0,2.0,,,,,,,,,,
286,PT02M26.00S,2025-01-09T03:34:29.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203507,93.77463863337714,50.49019607843137,1610612749,54,43,2025-01-09T03:41:40Z,2790000,False,2.0,6.0,1,right,MISS G. Antetokounmpo putback Layup - blocked,"[203507, 101108]",1610612749.0,MIL,putback,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Missed,,0.65,,,,,,,,Paul,101108.0,,,,,
287,PT02M26.00S,2025-01-09T03:34:29.2Z,2,REGULAR,block,,[],101108,,,1610612749,54,43,2025-01-09T03:34:33Z,2800000,False,,,0,,C. Paul BLOCK (1 BLK),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
288,PT02M25.00S,2025-01-09T03:34:30.2Z,2,REGULAR,rebound,defensive,[],101108,,,1610612759,54,43,2025-01-09T03:41:40Z,2810000,False,,,0,,C. Paul REBOUND (Off:1 Def:2),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,,,,,,,286.0,3.0,2.0,1.0,,,,,,,,,,
289,PT02M11.00S,2025-01-09T03:34:41.3Z,2,REGULAR,3pt,Jump Shot,[],1630170,28.86005256241787,81.61764705882352,1610612759,54,43,2025-01-09T03:34:47Z,2820000,False,-158.0,219.0,1,left,MISS D. Vassell 26' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Left Center,,,,Missed,,26.99,,,,,,,,,,,,,,
290,PT02M06.00S,2025-01-09T03:34:44.8Z,2,REGULAR,rebound,defensive,[],1629018,,,1610612749,54,43,2025-01-09T03:34:44Z,2830000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:2),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,289.0,2.0,2.0,0.0,,,,,,,,,,
291,PT01M59.00S,2025-01-09T03:34:54.0Z,2,REGULAR,3pt,Jump Shot,[],1631260,93.9060446780552,2.941176470588235,1610612749,57,43,2025-01-09T03:45:55Z,2840000,False,-235.0,5.0,1,right,A. Green 3PT  (11 PTS),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Left Corner 3,24+ Left,,,,Made,11.0,23.53,,,,,,,,,,,,,,
292,PT01M46.00S,2025-01-09T03:35:05.2Z,2,REGULAR,3pt,Jump Shot,[],1642264,33.64816031537451,48.20389093137255,1610612759,57,43,2025-01-09T03:35:16Z,2850000,False,9.0,264.0,1,left,MISS S. Castle 26' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,,,,Missed,,26.4,,,,,,,,,,,,,,
293,PT01M43.00S,2025-01-09T03:35:08.2Z,2,REGULAR,rebound,defensive,[],203114,,,1610612749,57,43,2025-01-09T03:35:16Z,2860000,False,,,0,,K. Middleton REBOUND (Off:0 Def:2),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,,,,,292.0,2.0,2.0,0.0,,,,,,,,,,
294,PT01M38.00S,2025-01-09T03:35:13.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1631260,65.39093298291722,24.509803921568626,1610612749,60,43,2025-01-09T03:35:20Z,2870000,False,-127.0,273.0,1,right,A. Green 30' 3PT running (14 PTS) (K. Middleton 2 AST),"[1631260, 203114]",1610612749.0,MIL,running,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,,,,Made,14.0,30.11,,,,,,,,,,K. Middleton,203114.0,2.0,,
296,PT01M12.00S,2025-01-09T03:35:40.0Z,2,REGULAR,3pt,Jump Shot,[],1630170,26.62614980289093,9.803921568627452,1610612759,60,46,2025-01-09T03:47:08Z,2890000,False,201.0,198.0,1,left,D. Vassell 28' 3PT pullup (8 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,Made,8.0,28.2,,,,,,,,,,,,,,
297,PT00M51.00S,2025-01-09T03:36:04.7Z,2,REGULAR,2pt,Jump Shot,[],203507,95.48291721419186,12.254901960784313,1610612749,62,46,2025-01-09T03:36:10Z,2900000,False,-189.0,-10.0,1,right,G. Antetokounmpo 18' turnaround fadeaway Jump Shot (15 PTS),[203507],1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left,,,,Made,15.0,18.9,,,,,,,,,,,,,,
298,PT00M30.60S,2025-01-09T03:36:27.2Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630170,8.623521681997373,47.794117647058826,1610612759,62,46,2025-01-09T03:36:33Z,2910000,False,11.0,29.0,1,left,MISS D. Vassell driving DUNK - blocked,"[1630170, 203507]",1610612759.0,SAS,driving,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,Missed,,3.06,,,,,,,,Antetokounmpo,203507.0,,,,,
299,PT00M30.60S,2025-01-09T03:36:27.2Z,2,REGULAR,block,,[],203507,,,1610612759,62,46,2025-01-09T03:36:30Z,2920000,False,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
300,PT00M25.80S,2025-01-09T03:36:32.0Z,2,REGULAR,rebound,defensive,[],1631260,,,1610612749,62,46,2025-01-09T03:36:33Z,2930000,False,,,0,,A. Green REBOUND (Off:0 Def:1),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Restricted Area,0-8 Center,,,,,,,298.0,1.0,1.0,0.0,,,,,,,,,,
301,PT00M07.10S,2025-01-09T03:36:50.7Z,2,REGULAR,3pt,Jump Shot,[],203114,66.96780551905388,65.44117647058823,1610612749,62,46,2025-01-09T03:48:07Z,2940000,False,77.0,258.0,1,right,MISS K. Middleton 26' step back 3PT,[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,,Missed,,26.93,,,,,,,,,,,,,,
302,PT00M04.90S,2025-01-09T03:36:52.9Z,2,REGULAR,rebound,offensive,[],201572,,,1610612749,62,46,2025-01-09T03:36:52Z,2950000,False,,,0,,B. Lopez REBOUND (Off:2 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,,,,,301.0,4.0,2.0,2.0,,,,,,,,,,
303,PT00M04.00S,2025-01-09T03:36:54.5Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],201572,72.61826544021025,16.666666666666664,1610612749,65,46,2025-01-09T03:37:08Z,2960000,False,-167.0,205.0,1,right,B. Lopez 26' 3PT  (17 PTS),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,,,,Made,17.0,26.41,,,,,,,,,,,,,,
304,PT00M00.00S,2025-01-09T03:37:03.0Z,2,REGULAR,3pt,Jump Shot,[],1642264,28.991458607095925,11.76470588235294,1610612759,65,46,2025-01-09T03:37:14Z,2970000,False,191.0,220.0,1,left,MISS S. Castle 29' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Right Center,,,,Missed,,29.15,,,,,,,,,,,,,,
305,PT00M00.00S,2025-01-09T03:37:05.9Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612759,65,46,2025-01-09T03:37:05Z,2980000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,304.0,,,,,,,,,,,,,
306,PT00M00.00S,2025-01-09T03:37:19.3Z,2,REGULAR,period,end,[],0,,,1610612759,65,46,2025-01-09T03:37:19Z,2990000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,PT12M00.00S,2025-01-09T03:52:14.5Z,3,REGULAR,substitution,out,['startperiod'],1631260,,,1610612759,65,46,2025-01-09T03:53:20Z,3000000,False,,,0,,SUB out: A. Green,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
308,PT12M00.00S,2025-01-09T03:52:14.5Z,3,REGULAR,substitution,out,['startperiod'],203114,,,1610612759,65,46,2025-01-09T03:53:20Z,3010000,False,,,0,,SUB out: K. Middleton,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,
309,PT12M00.00S,2025-01-09T03:52:14.5Z,3,REGULAR,substitution,out,['startperiod'],1629018,,,1610612759,65,46,2025-01-09T03:53:20Z,3020000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
310,PT12M00.00S,2025-01-09T03:52:14.5Z,3,REGULAR,substitution,in,['startperiod'],203081,,,1610612759,65,46,2025-01-09T03:53:20Z,3030000,False,,,0,,SUB in: D. Lillard,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,,,,,,,,,,,,,,,,,,,,,,
311,PT12M00.00S,2025-01-09T03:52:14.5Z,3,REGULAR,substitution,in,['startperiod'],1627752,,,1610612759,65,46,2025-01-09T03:53:20Z,3040000,False,,,0,,SUB in: T. Prince,[1627752],1610612749.0,MIL,,,,Prince,T. Prince,,,,,,,,,,,,,,,,,,,,,,,,,,
312,PT12M00.00S,2025-01-09T03:52:14.5Z,3,REGULAR,substitution,in,['startperiod'],1641748,,,1610612759,65,46,2025-01-09T03:53:20Z,3050000,False,,,0,,SUB in: A. Jackson Jr.,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
313,PT12M00.00S,2025-01-09T03:53:19.8Z,3,REGULAR,period,start,[],0,,,1610612749,65,46,2025-01-09T03:53:20Z,3060000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,PT11M33.00S,2025-01-09T03:53:46.0Z,3,REGULAR,3pt,Jump Shot,[],201572,38.32128777923784,42.8921568627451,1610612749,65,46,2025-01-09T03:53:56Z,3070000,False,36.0,308.0,1,left,MISS B. Lopez 30' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,,Missed,,30.97,,,,,,,,,,,,,,
315,PT11M31.00S,2025-01-09T03:53:48.7Z,3,REGULAR,rebound,offensive,[],1641748,,,1610612749,65,46,2025-01-09T03:53:48Z,3080000,False,,,0,,A. Jackson Jr. REBOUND (Off:2 Def:0),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,,,314.0,2.0,0.0,2.0,,,,,,,,,,
316,PT11M26.00S,2025-01-09T03:53:52.8Z,3,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203507,7.440867279894875,49.754901960784316,1610612749,67,46,2025-01-09T03:54:01Z,3090000,False,1.0,17.0,1,left,G. Antetokounmpo reverse DUNK (17 PTS) (D. Lillard 5 AST),"[203507, 203081]",1610612749.0,MIL,reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,Made,17.0,1.74,,,,,,,,,,D. Lillard,203081.0,5.0,,
318,PT11M03.00S,2025-01-09T03:54:15.0Z,3,REGULAR,3pt,Jump Shot,[],203084,96.00854139290408,96.81372549019608,1610612759,67,49,2025-01-09T03:54:20Z,3110000,False,234.0,-15.0,1,right,H. Barnes 3PT  (5 PTS) (S. Castle 3 AST),"[203084, 1642264]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,,,,Made,5.0,23.46,,,,,,,,,,S. Castle,1642264.0,3.0,,
320,PT10M39.00S,2025-01-09T03:54:39.7Z,3,REGULAR,3pt,Jump Shot,[],203081,33.327858081471746,56.61764705882353,1610612749,70,49,2025-01-09T03:54:45Z,3130000,False,-33.0,261.0,1,left,D. Lillard 26' 3PT step back (13 PTS) (B. Lopez 1 AST),"[203081, 201572]",1610612749.0,MIL,step back,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,Made,13.0,26.29,,,,,,,,,,B. Lopez,201572.0,1.0,,
322,PT10M16.00S,2025-01-09T03:55:02.5Z,3,REGULAR,3pt,Jump Shot,[],1641705,73.27529566360053,13.725490196078432,1610612759,70,52,2025-01-09T03:55:42Z,3150000,False,-181.0,199.0,1,right,V. Wembanyama 26' 3PT pullup (10 PTS) (S. Castle 4 AST),"[1641705, 1642264]",1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,Made,10.0,26.9,,,,,,,,,,S. Castle,1642264.0,4.0,,
324,PT09M57.00S,2025-01-09T03:55:21.7Z,3,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,16.90210249671485,47.05882352941176,1610612749,72,52,2025-01-09T03:55:31Z,3170000,False,15.0,106.0,1,left,G. Antetokounmpo 10' floating Jump Shot (19 PTS),[203507],1610612749.0,MIL,floating,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,Made,19.0,10.74,,,,,,,,,,,,,,
325,PT09M43.00S,2025-01-09T03:55:35.7Z,3,REGULAR,2pt,Layup,['pointsinthepaint'],203084,93.24901445466492,49.50980392156863,1610612759,72,54,2025-01-09T03:55:42Z,3180000,False,-2.0,11.0,1,right,H. Barnes driving reverse Layup (7 PTS) (S. Castle 5 AST),"[203084, 1642264]",1610612759.0,SAS,driving reverse,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,,Made,7.0,1.13,,,,,,,,,,S. Castle,1642264.0,5.0,,
327,PT09M27.00S,2025-01-09T03:55:52.4Z,3,REGULAR,2pt,Jump Shot,[],203507,4.812746386333772,76.7156862745098,1610612749,72,54,2025-01-09T03:55:59Z,3200000,False,-134.0,-7.0,1,left,MISS G. Antetokounmpo 13' turnaround fadeaway Shot,[203507],1610612749.0,MIL,turnaround fadeaway,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,,,,Missed,,13.38,,,,,,,,,,,,,,
328,PT09M23.00S,2025-01-09T03:55:56.4Z,3,REGULAR,rebound,defensive,[],1630170,,,1610612759,72,54,2025-01-09T03:55:59Z,3210000,False,,,0,,D. Vassell REBOUND (Off:0 Def:5),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Left,,,,,,,327.0,5.0,5.0,0.0,,,,,,,,,,
329,PT09M20.00S,2025-01-09T03:55:58.6Z,3,REGULAR,3pt,Jump Shot,['fastbreak'],203084,67.62483574244416,82.1078431372549,1610612759,72,54,2025-01-09T03:56:49Z,3220000,False,161.0,252.0,1,right,MISS H. Barnes 29' running pullup 3PT,[203084],1610612759.0,SAS,running pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,Missed,,29.86,,,,,,,,,,,,,,
