actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
70,PT06M29.00S,2025-01-03T03:17:02.4Z,1,REGULAR,steal,,[],200768,,,1610612755,15,6,2025-01-03T03:17:04Z,700000,False,,,0,,K. Lowry STEAL (1 STL),[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
71,PT06M25.00S,2025-01-03T03:17:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,9.543363994743759,56.127450980392155,1610612755,15,6,2025-01-03T03:19:35Z,710000,False,-31.0,37.0,1,left,MISS T. Maxey running Layup,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,4.82,Missed,,,,,,,,,,,,,,,
72,PT06M21.00S,2025-01-03T03:17:10.6Z,1,REGULAR,rebound,defensive,[],1631218,,,1610612744,15,6,2025-01-03T03:17:10Z,720000,False,,,0,,T. Jackson-Davis REBOUND (Off:0 Def:2),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,71.0,2.0,2.0,0.0,,,,
73,PT06M18.00S,2025-01-03T03:17:13.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203110,91.80354796320631,57.107843137254896,1610612744,17,6,2025-01-03T03:17:19Z,730000,False,36.0,25.0,1,right,D. Green running Layup (4 PTS) (A. Wiggins 3 AST),"[203110, 203952]",1610612744.0,GSW,running,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,4.31,Made,4.0,A. Wiggins,203952.0,3.0,,,,,,,,,,,
75,PT06M01.00S,2025-01-03T03:17:33.1Z,1,REGULAR,foul,personal,[],203471,,,1610612755,17,6,2025-01-03T03:17:41Z,750000,False,,,0,,D. Schröder personal FOUL (1 PF),"[203471, 1630178]",1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Center,,,,,,,,,,1627529.0,,,,,,,1.0,0.0,Maxey,1630178.0
77,PT06M01.00S,2025-01-03T03:17:43.4Z,1,REGULAR,substitution,out,[],1631218,,,1610612755,17,6,2025-01-03T03:18:07Z,770000,False,,,0,,SUB out: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M01.00S,2025-01-03T03:17:43.4Z,1,REGULAR,substitution,out,[],203471,,,1610612755,17,6,2025-01-03T03:18:07Z,780000,False,,,0,,SUB out: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M01.00S,2025-01-03T03:17:43.4Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,17,6,2025-01-03T03:18:07Z,790000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M01.00S,2025-01-03T03:17:43.4Z,1,REGULAR,substitution,out,[],200768,,,1610612755,17,6,2025-01-03T03:18:07Z,800000,False,,,0,,SUB out: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M01.00S,2025-01-03T03:17:43.4Z,1,REGULAR,substitution,in,[],1627741,,,1610612755,17,6,2025-01-03T03:18:07Z,810000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
