actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
170,PT12M00.00S,2025-01-05T02:10:08.6Z,2,REGULAR,substitution,out,['startperiod'],1630541,,,1610612744,30,29,2025-01-05T02:10:28Z,1700000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
171,PT12M00.00S,2025-01-05T02:10:08.6Z,2,REGULAR,substitution,out,['startperiod'],203937,,,1610612744,30,29,2025-01-05T02:10:28Z,1710000,False,,,0,,SUB out: K. Anderson,[203937],1610612744.0,GSW,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
172,PT12M00.00S,2025-01-05T02:10:08.6Z,2,REGULAR,substitution,out,['startperiod'],1630311,,,1610612744,30,29,2025-01-05T02:10:28Z,1720000,False,,,0,,SUB out: P. Spencer,[1630311],1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
173,PT12M00.00S,2025-01-05T02:10:08.6Z,2,REGULAR,substitution,in,['startperiod'],203471,,,1610612744,30,29,2025-01-05T02:10:28Z,1730000,False,,,0,,SUB in: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
174,PT12M00.00S,2025-01-05T02:10:08.6Z,2,REGULAR,substitution,in,['startperiod'],1627741,,,1610612744,30,29,2025-01-05T02:10:28Z,1740000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
175,PT12M00.00S,2025-01-05T02:10:08.6Z,2,REGULAR,substitution,in,['startperiod'],203110,,,1610612744,30,29,2025-01-05T02:10:28Z,1750000,False,,,0,,SUB in: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
176,PT12M00.00S,2025-01-05T02:10:43.3Z,2,REGULAR,period,start,[],0,,,1610612744,30,29,2025-01-05T02:10:43Z,1760000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,PT11M50.00S,2025-01-05T02:10:52.5Z,2,REGULAR,3pt,Jump Shot,[],1630322,31.94809461235217,64.23866421568627,1610612744,33,29,2025-01-05T02:10:58Z,1770000,False,-71.0,248.0,1,left,L. Waters III 25' 3PT  (3 PTS) (J. Kuminga 2 AST),"[1630322, 1630228]",1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Above the Break 3,24+ Center,25.78,Made,3.0,,,,J. Kuminga,1630228.0,2.0,,,,,,,,,,,
179,PT11M37.00S,2025-01-05T02:11:05.9Z,2,REGULAR,turnover,out-of-bounds,[],1631222,,,1610612763,33,29,2025-01-05T02:11:10Z,1790000,False,,,0,,J. LaRavia bad pass out-of-bounds TURNOVER (3 TO),[1631222],1610612763.0,MEM,bad pass,,,LaRavia,J. LaRavia,,,,,Above the Break 3,24+ Right Center,,,,3.0,,,,,,,1629178.0,,,,,,,,,
180,PT11M31.00S,2025-01-05T02:11:14.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203110,29.25427069645204,75.49019607843137,1610612744,33,29,2025-01-05T02:27:42Z,1800000,False,-127.0,222.0,1,left,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,25.64,Missed,,,,,,,,,,,,,,,,,,
181,PT11M28.00S,2025-01-05T02:11:17.5Z,2,REGULAR,rebound,defensive,[],1630590,,,1610612763,33,29,2025-01-05T02:11:19Z,1810000,False,,,0,,S. Pippen Jr. REBOUND (Off:1 Def:1),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,180.0,,2.0,1.0,1.0,,,,,,
182,PT11M18.00S,2025-01-05T02:11:29.4Z,2,REGULAR,foul,offensive,[],1628991,,,1610612763,33,29,2025-01-05T02:11:35Z,1820000,False,,,0,,J. Jackson Jr. charge offensive FOUL (1 PF),"[1628991, 1630228]",1610612763.0,MEM,charge,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1629178.0,,,,1.0,0.0,Kuminga,1630228.0,,
184,PT11M18.00S,2025-01-05T02:11:29.4Z,2,REGULAR,turnover,offensive foul,[],1628991,,,1610612763,33,29,2025-01-05T02:11:29Z,1840000,False,,,0,,J. Jackson Jr. offensive foul TURNOVER (1 TO),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,,,,,,,1629178.0,,,,,,,,,
185,PT11M04.00S,2025-01-05T02:12:15.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630322,7.30946123521682,44.11764705882353,1610612744,35,29,2025-01-05T02:12:18Z,1850000,False,29.0,16.0,1,left,L. Waters III cutting Layup (5 PTS) (D. Green 1 AST),"[1630322, 203110]",1610612744.0,GSW,cutting,,,Waters III,L. Waters III,,,,,Restricted Area,0-8 Center,3.36,Made,5.0,,,,D. Green,203110.0,1.0,,,,,,,,,,,
187,PT10M52.00S,2025-01-05T02:12:26.3Z,2,REGULAR,3pt,Jump Shot,[],1630590,80.89684625492772,94.11764705882352,1610612763,35,29,2025-01-05T02:12:30Z,1870000,False,221.0,127.0,1,right,MISS S. Pippen Jr. 25' 3PT,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
188,PT10M50.00S,2025-01-05T02:12:28.3Z,2,REGULAR,rebound,defensive,[],1630228,,,1610612744,35,29,2025-01-05T02:12:30Z,1880000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:2),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,187.0,,2.0,2.0,0.0,,,,,,
189,PT10M39.00S,2025-01-05T02:12:40.0Z,2,REGULAR,3pt,Jump Shot,[],1630322,33.74466162943495,23.79748774509804,1610612744,38,29,2025-01-05T02:12:50Z,1890000,False,131.0,265.0,1,left,L. Waters III 29' 3PT  (8 PTS) (D. Green 2 AST),"[1630322, 203110]",1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Above the Break 3,24+ Right Center,29.53,Made,8.0,,,,D. Green,203110.0,2.0,,,,,,,,,,,
191,PT10M37.00S,2025-01-05T02:12:49.1Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,38,29,2025-01-05T02:12:49Z,1910000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,PT10M37.00S,2025-01-05T02:14:20.6Z,2,REGULAR,substitution,out,[],1642285,,,1610612763,38,29,2025-01-05T02:15:29Z,1920000,False,,,0,,SUB out: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
194,PT10M37.00S,2025-01-05T02:14:20.6Z,2,REGULAR,substitution,in,[],1642377,,,1610612763,38,29,2025-01-05T02:15:29Z,1930000,False,,,0,,SUB in: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
195,PT10M14.00S,2025-01-05T02:16:01.1Z,2,REGULAR,2pt,Jump Shot,[],1630590,71.82982917214193,45.83333333333333,1610612763,38,29,2025-01-05T02:16:09Z,1940000,False,-21.0,212.0,1,right,MISS S. Pippen Jr. 21' floating Shot,[1630590],1610612763.0,MEM,floating,,,Pippen Jr.,S. Pippen Jr.,,,,,Mid-Range,16-24 Center,21.33,Missed,,,,,,,,,,,,,,,,,,
196,PT10M08.00S,2025-01-05T02:16:07.1Z,2,REGULAR,rebound,defensive,[],203471,,,1610612744,38,29,2025-01-05T02:16:09Z,1950000,False,,,0,,D. Schröder REBOUND (Off:1 Def:1),[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,Mid-Range,16-24 Center,,,,,,,,,,195.0,,2.0,1.0,1.0,,,,,,
197,PT09M51.00S,2025-01-05T02:16:24.7Z,2,REGULAR,2pt,Jump Shot,[],203471,7.178055190538765,68.62745098039215,1610612744,40,29,2025-01-05T02:16:28Z,1960000,False,-93.0,15.0,1,left,D. Schröder 9' driving floating Jump Shot (8 PTS),[203471],1610612744.0,GSW,driving floating,,,Schröder,D. Schröder,,,,,Mid-Range,8-16 Left,9.43,Made,8.0,,,,,,,,,,,,,,,,,
198,PT09M36.00S,2025-01-05T02:16:38.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642377,92.32917214191852,39.21568627450981,1610612763,40,29,2025-01-05T02:34:38Z,1970000,False,-54.0,20.0,1,right,MISS J. Wells driving Layup,[1642377],1610612763.0,MEM,driving,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,5.74,Missed,,,,,,,,,,,,,,,,,,
200,PT09M36.00S,2025-01-05T02:16:38.6Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612763,40,29,2025-01-05T02:16:44Z,1990000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,198.0,,,,,,,,,,
202,PT09M25.00S,2025-01-05T02:17:09.1Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1628991,85.62746386333771,73.52941176470588,1610612763,40,29,2025-01-05T02:30:58Z,2010000,False,118.0,83.0,1,right,MISS J. Jackson Jr. 14' driving floating bank Shot,[1628991],1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,14.37,Missed,,,,,,,,,,,,,,,,,,
203,PT09M22.00S,2025-01-05T02:17:12.1Z,2,REGULAR,rebound,defensive,[],1630322,,,1610612744,40,29,2025-01-05T02:30:58Z,2020000,False,,,0,,L. Waters III REBOUND (Off:0 Def:2),[1630322],1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Mid-Range,8-16 Right,,,,,,,,,,202.0,,2.0,2.0,0.0,,,,,,
204,PT09M12.00S,2025-01-05T02:17:21.8Z,2,REGULAR,3pt,Jump Shot,[],203110,25.443495400788436,14.460784313725492,1610612744,40,29,2025-01-05T02:17:25Z,2030000,False,178.0,187.0,1,left,MISS D. Green 25' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,25.77,Missed,,,,,,,,,,,,,,,,,,
205,PT09M08.00S,2025-01-05T02:17:25.8Z,2,REGULAR,rebound,defensive,[],1628991,,,1610612763,40,29,2025-01-05T02:17:25Z,2040000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:2),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,204.0,,2.0,2.0,0.0,,,,,,
206,PT08M51.00S,2025-01-05T02:17:42.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642377,86.15308804204993,50.245098039215684,1610612763,40,29,2025-01-05T02:17:47Z,2050000,False,1.0,78.0,1,right,MISS J. Wells 7' floating Shot,[1642377],1610612763.0,MEM,floating,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,7.77,Missed,,,,,,,,,,,,,,,,,,
207,PT08M47.00S,2025-01-05T02:17:46.3Z,2,REGULAR,rebound,offensive,[],1642377,,,1610612763,40,29,2025-01-05T02:17:47Z,2060000,False,,,0,,J. Wells REBOUND (Off:1 Def:0),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,206.0,,1.0,0.0,1.0,,,,,,
208,PT08M47.00S,2025-01-05T02:17:46.6Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642377,94.40999984741211,50.0,1610612763,40,31,2025-01-05T02:17:46Z,2070000,False,0.0,0.0,1,right,J. Wells tip Layup (4 PTS),[1642377],1610612763.0,MEM,tip,,,Wells,J. Wells,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
209,PT08M36.00S,2025-01-05T02:17:59.8Z,2,REGULAR,foul,personal,['2freethrow'],1631222,,,1610612744,40,31,2025-01-05T02:18:12Z,2080000,False,,,0,,J. LaRavia shooting personal FOUL (1 PF) (Kuminga 2 FT),"[1631222, 1630228]",1610612763.0,MEM,shooting,,,LaRavia,J. LaRavia,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,,,,1.0,0.0,Kuminga,1630228.0,,
211,PT08M36.00S,2025-01-05T02:18:31.7Z,2,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,40,31,2025-01-05T02:18:31Z,2100000,False,,,0,,MISS J. Kuminga Free Throw 1 of 2,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
212,PT08M36.00S,2025-01-05T02:18:31.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,40,31,2025-01-05T02:18:31Z,2110000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,211.0,,,,,,,,,,
213,PT08M36.00S,2025-01-05T02:18:32.6Z,2,REGULAR,substitution,out,[],203110,,,1610612744,40,31,2025-01-05T02:18:44Z,2120000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT08M36.00S,2025-01-05T02:18:32.6Z,2,REGULAR,substitution,out,[],1631222,,,1610612744,40,31,2025-01-05T02:18:44Z,2130000,False,,,0,,SUB out: J. LaRavia,[1631222],1610612763.0,MEM,,,,LaRavia,J. LaRavia,,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT08M36.00S,2025-01-05T02:18:32.6Z,2,REGULAR,substitution,out,[],1641744,,,1610612744,40,31,2025-01-05T02:18:44Z,2140000,False,,,0,,SUB out: Z. Edey,[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PT08M36.00S,2025-01-05T02:18:32.6Z,2,REGULAR,substitution,in,[],1631218,,,1610612744,40,31,2025-01-05T02:18:44Z,2150000,False,,,0,,SUB in: T. Jackson-Davis,[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT08M36.00S,2025-01-05T02:18:32.6Z,2,REGULAR,substitution,in,[],1629634,,,1610612744,40,31,2025-01-05T02:18:44Z,2160000,False,,,0,,SUB in: B. Clarke,[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,
218,PT08M36.00S,2025-01-05T02:18:32.6Z,2,REGULAR,substitution,in,[],1630217,,,1610612744,40,31,2025-01-05T02:18:44Z,2170000,False,,,0,,SUB in: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
219,PT08M36.00S,2025-01-05T02:18:57.1Z,2,REGULAR,freethrow,2 of 2,[],1630228,,,1610612744,41,31,2025-01-05T02:18:57Z,2180000,False,,,0,,J. Kuminga Free Throw 2 of 2 (9 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
220,PT08M30.00S,2025-01-05T02:19:08.9Z,2,REGULAR,foul,personal,[],1630322,,,1610612763,41,31,2025-01-05T02:19:17Z,2190000,False,,,0,,L. Waters III personal FOUL (2 PF),"[1630322, 1630590]",1610612744.0,GSW,,,,Waters III,L. Waters III,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1629178.0,,,,2.0,0.0,Pippen Jr.,1630590.0,,
222,PT08M30.00S,2025-01-05T02:19:20.0Z,2,REGULAR,substitution,out,[],1630228,,,1610612763,41,31,2025-01-05T02:19:22Z,2210000,False,,,0,,SUB out: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT08M30.00S,2025-01-05T02:19:20.0Z,2,REGULAR,substitution,in,[],203952,,,1610612763,41,31,2025-01-05T02:19:22Z,2220000,False,,,0,,SUB in: A. Wiggins,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT08M22.00S,2025-01-05T02:19:38.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,87.46714848883047,51.71568627450981,1610612763,41,31,2025-01-05T02:19:42Z,2230000,False,9.0,65.0,1,right,MISS J. Jackson Jr. 6' driving floating Shot,[1628991],1610612763.0,MEM,driving floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,6.59,Missed,,,,,,,,,,,,,,,,,,
225,PT08M17.00S,2025-01-05T02:19:43.2Z,2,REGULAR,rebound,offensive,[],1629634,,,1610612763,41,31,2025-01-05T02:19:42Z,2240000,False,,,0,,B. Clarke REBOUND (Off:1 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,224.0,,2.0,1.0,1.0,,,,,,
226,PT08M17.00S,2025-01-05T02:19:42.2Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629634,94.40999984741211,50.0,1610612763,41,33,2025-01-05T02:19:42Z,2250000,False,0.0,0.0,1,right,B. Clarke putback Layup (2 PTS),[1629634],1610612763.0,MEM,putback,,,Clarke,B. Clarke,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
227,PT08M07.00S,2025-01-05T02:19:53.1Z,2,REGULAR,2pt,Jump Shot,[],203471,18.610381077529567,29.166666666666668,1610612744,41,33,2025-01-05T02:19:56Z,2260000,False,104.0,122.0,1,left,MISS D. Schröder 16' pullup Shot - blocked,"[203471, 1630590]",1610612744.0,GSW,pullup,,,Schröder,D. Schröder,,,,,Mid-Range,8-16 Right,16.07,Missed,,,,,,,,,,,,,,,,,Pippen Jr.,1630590.0
228,PT08M07.00S,2025-01-05T02:19:53.1Z,2,REGULAR,block,,[],1630590,,,1610612744,41,33,2025-01-05T02:19:55Z,2270000,False,,,0,,S. Pippen Jr. BLOCK (1 BLK),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
229,PT08M03.00S,2025-01-05T02:19:57.1Z,2,REGULAR,rebound,defensive,[],1642377,,,1610612763,41,33,2025-01-05T02:19:56Z,2280000,False,,,0,,J. Wells REBOUND (Off:1 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,8-16 Right,,,,,,,,,,227.0,,2.0,1.0,1.0,,,,,,
230,PT07M53.00S,2025-01-05T02:20:07.0Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,88.78120893561103,39.21568627450981,1610612763,41,35,2025-01-05T02:21:00Z,2290000,False,-54.0,53.0,1,right,J. Jackson Jr. 7' driving Layup (4 PTS) (D. Bane 3 AST),"[1628991, 1630217]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.56,Made,4.0,,,,D. Bane,1630217.0,3.0,,,,,,,,,,,
231,PT07M53.00S,2025-01-05T02:20:10.4Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,41,35,2025-01-05T02:20:10Z,2300000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,PT07M53.00S,2025-01-05T02:22:39.4Z,2,REGULAR,substitution,out,[],1627741,,,1610612744,41,35,2025-01-05T02:23:02Z,2310000,False,,,0,,SUB out: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
234,PT07M53.00S,2025-01-05T02:22:39.4Z,2,REGULAR,substitution,out,[],203471,,,1610612744,41,35,2025-01-05T02:23:02Z,2320000,False,,,0,,SUB out: D. Schröder,[203471],1610612744.0,GSW,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M53.00S,2025-01-05T02:22:39.4Z,2,REGULAR,substitution,in,[],1630311,,,1610612744,41,35,2025-01-05T02:23:02Z,2330000,False,,,0,,SUB in: P. Spencer,[1630311],1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M53.00S,2025-01-05T02:22:39.4Z,2,REGULAR,substitution,in,[],1630228,,,1610612744,41,35,2025-01-05T02:23:02Z,2340000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT07M31.00S,2025-01-05T02:23:39.8Z,2,REGULAR,turnover,bad pass,[],1630311,,,1610612744,41,35,2025-01-05T02:23:43Z,2360000,False,,,0,,P. Spencer bad pass TURNOVER (1 TO),"[1630311, 1630217]",1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,Mid-Range,8-16 Left,,,,1.0,Bane,1630217.0,,,,,,,,,,,,,,
239,PT07M31.00S,2025-01-05T02:23:39.8Z,2,REGULAR,steal,,[],1630217,,,1610612763,41,35,2025-01-05T02:23:41Z,2370000,False,,,0,,D. Bane STEAL (2 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
240,PT07M28.00S,2025-01-05T02:23:42.2Z,2,REGULAR,turnover,bad pass,[],1630217,,,1610612763,41,35,2025-01-05T02:23:45Z,2380000,False,,,0,,D. Bane bad pass TURNOVER (3 TO),"[1630217, 1631218]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,8-16 Right,,,,3.0,Jackson-Davis,1631218.0,,,,,,,,,,,,,,
241,PT07M28.00S,2025-01-05T02:23:42.2Z,2,REGULAR,steal,,[],1631218,,,1610612744,41,35,2025-01-05T02:23:43Z,2390000,False,,,0,,T. Jackson-Davis STEAL (2 STL),[1631218],1610612744.0,GSW,,,,Jackson-Davis,T. Jackson-Davis,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
242,PT07M23.00S,2025-01-05T02:23:47.6Z,2,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203952,10.5946123521682,48.28431372549019,1610612744,43,35,2025-01-05T02:23:51Z,2400000,False,9.0,47.0,1,left,A. Wiggins turnaround Hook (2 PTS),[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,4.79,Made,2.0,,,,,,,,,,,,,,,,,
243,PT07M10.00S,2025-01-05T02:24:00.3Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642377,88.51839684625493,40.68627450980392,1610612763,43,35,2025-01-05T02:40:16Z,2410000,False,-47.0,55.0,1,right,MISS J. Wells 7' driving floating bank Shot,[1642377],1610612763.0,MEM,driving floating bank,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,7.24,Missed,,,,,,,,,,,,,,,,,,
244,PT07M10.00S,2025-01-05T02:24:00.3Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612763,43,35,2025-01-05T02:24:10Z,2420000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,243.0,,,,,,,,,,
245,PT07M10.00S,2025-01-05T02:24:09.7Z,2,REGULAR,foul,personal,[],1631218,,,1610612763,43,35,2025-01-05T02:24:19Z,2430000,False,,,0,,T. Jackson-Davis loose ball personal FOUL (1 PF),"[1631218, 1642377]",1610612744.0,GSW,loose ball,,,Jackson-Davis,T. Jackson-Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202007.0,,,,1.0,0.0,Wells,1642377.0,,
247,PT06M57.00S,2025-01-05T02:24:31.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630590,91.67214191852825,40.68627450980392,1610612763,43,35,2025-01-05T02:24:34Z,2450000,False,-47.0,26.0,1,right,MISS S. Pippen Jr. driving Layup,[1630590],1610612763.0,MEM,driving,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.33,Missed,,,,,,,,,,,,,,,,,,
248,PT06M55.00S,2025-01-05T02:24:34.0Z,2,REGULAR,rebound,offensive,[],1629634,,,1610612763,43,35,2025-01-05T02:24:34Z,2460000,False,,,0,,B. Clarke REBOUND (Off:2 Def:1),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,247.0,,3.0,1.0,2.0,,,,,,
249,PT06M55.00S,2025-01-05T02:24:34.0Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629634,94.40999984741211,50.0,1610612763,43,37,2025-01-05T02:24:34Z,2470000,False,0.0,0.0,1,right,B. Clarke putback Layup (4 PTS),[1629634],1610612763.0,MEM,putback,,,Clarke,B. Clarke,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
250,PT06M45.00S,2025-01-05T02:24:43.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630311,8.360709592641262,57.59803921568627,1610612744,43,37,2025-01-05T02:24:46Z,2480000,False,-38.0,26.0,1,left,MISS P. Spencer driving Layup,[1630311],1610612744.0,GSW,driving,,,Spencer,P. Spencer,,,,,In The Paint (Non-RA),0-8 Center,4.61,Missed,,,,,,,,,,,,,,,,,,
251,PT06M43.00S,2025-01-05T02:24:45.7Z,2,REGULAR,rebound,defensive,[],1629634,,,1610612763,43,37,2025-01-05T02:24:46Z,2490000,False,,,0,,B. Clarke REBOUND (Off:2 Def:2),[1629634],1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,250.0,,4.0,2.0,2.0,,,,,,
252,PT06M35.00S,2025-01-05T02:24:53.3Z,2,REGULAR,turnover,bad pass,[],1630217,,,1610612763,43,37,2025-01-05T02:24:57Z,2500000,False,,,0,,D. Bane bad pass TURNOVER (4 TO),"[1630217, 1630311]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,4.0,Spencer,1630311.0,,,,,,,,,,,,,,
