actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
177,PT00M00.00S,2025-10-25T00:10:49.1Z,1,REGULAR,period,end,[],0,,,1610612739,23,34,2025-10-25T00:10:49Z,1750000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,PT12M00.00S,2025-10-25T00:11:21.0Z,2,REGULAR,substitution,out,['startperiod'],1630533,,,1610612739,23,34,2025-10-25T00:13:24Z,1760000,False,,,0,,SUB out: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT12M00.00S,2025-10-25T00:11:21.0Z,2,REGULAR,substitution,out,['startperiod'],1628386,,,1610612739,23,34,2025-10-25T00:13:24Z,1770000,False,,,0,,SUB out: J. Allen,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
180,PT12M00.00S,2025-10-25T00:11:21.0Z,2,REGULAR,substitution,out,['startperiod'],1629731,,,1610612739,23,34,2025-10-25T00:13:24Z,1780000,False,,,0,,SUB out: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
181,PT12M00.00S,2025-10-25T00:11:21.0Z,2,REGULAR,substitution,in,['startperiod'],1629008,,,1610612739,23,34,2025-10-25T00:13:24Z,1790000,False,,,0,,SUB in: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
182,PT12M00.00S,2025-10-25T00:11:21.0Z,2,REGULAR,substitution,in,['startperiod'],1626204,,,1610612739,23,34,2025-10-25T00:13:24Z,1800000,False,,,0,,SUB in: L. Nance Jr.,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT12M00.00S,2025-10-25T00:11:21.0Z,2,REGULAR,substitution,in,['startperiod'],1642878,,,1610612739,23,34,2025-10-25T00:13:24Z,1810000,False,,,0,,SUB in: T. Proctor,[1642878],1610612739.0,CLE,,,,Proctor,T. Proctor,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT12M00.00S,2025-10-25T00:13:33.7Z,2,REGULAR,period,start,[],0,,,1610612739,23,34,2025-10-25T00:13:33Z,1820000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT11M46.00S,2025-10-25T00:13:47.1Z,2,REGULAR,3pt,Jump Shot,[],1630596,66.83639947437582,56.372549019607845,1610612739,23,37,2025-10-25T00:13:56Z,1830000,False,32.0,259.0,1,right,E. Mobley 26' 3PT  (11 PTS) (L. Nance Jr. 1 AST),"[1630596, 1626204]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,,,26.12,Made,,,,,11.0,L. Nance Jr.,1626204.0,1.0,,,,,,
187,PT11M27.00S,2025-10-25T00:14:05.3Z,2,REGULAR,3pt,Jump Shot,[],1641730,12.828515111695138,97.05882352941177,1610612751,26,37,2025-10-25T00:14:25Z,1850000,False,-235.0,68.0,1,left,N. Clowney 24' 3PT  (3 PTS) (N. Claxton 1 AST),"[1641730, 1629651]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Left Corner 3,24+ Left,,,,,24.5,Made,,,,,3.0,N. Claxton,1629651.0,1.0,,,,,,
189,PT11M06.00S,2025-10-25T00:14:26.3Z,2,REGULAR,3pt,Jump Shot,[],1626204,72.48685939553219,82.59803921568627,1610612739,26,37,2025-10-25T00:14:30Z,1870000,False,163.0,206.0,1,right,MISS L. Nance Jr. 26' 3PT,[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Right Center,,,,,26.28,Missed,,,,,,,,,,,,,,
190,PT11M03.00S,2025-10-25T00:14:29.3Z,2,REGULAR,rebound,defensive,[],1642856,,,1610612751,26,37,2025-10-25T00:14:30Z,1880000,False,,,0,,E. Dëmin REBOUND (Off:0 Def:1),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Right Center,,,,,,,189.0,1.0,1.0,0.0,,,,,,,,,,
191,PT10M59.00S,2025-10-25T00:14:33.8Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,30.042706964520367,27.941176470588236,1610612751,26,37,2025-10-25T00:14:43Z,1890000,False,110.0,230.0,1,left,MISS M. Porter Jr. 25' running 3PT,[1629008],1610612751.0,BKN,running,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,25.5,Missed,,,,,,,,,,,,,,
192,PT10M56.00S,2025-10-25T00:14:36.8Z,2,REGULAR,rebound,defensive,[],1641854,,,1610612739,26,37,2025-10-25T00:14:37Z,1900000,False,,,0,,C. Porter Jr. REBOUND (Off:0 Def:2),[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,191.0,2.0,2.0,0.0,,,,,,,,,,
193,PT10M48.00S,2025-10-25T00:14:44.7Z,2,REGULAR,3pt,Jump Shot,[],1628378,87.33574244415243,4.901960784313726,1610612739,26,40,2025-10-25T00:14:50Z,1910000,False,-225.0,67.0,1,right,D. Mitchell 3PT  (8 PTS) (C. Porter Jr. 1 AST),"[1628378, 1641854]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Left Corner 3,24+ Left,,,,,23.51,Made,,,,,8.0,C. Porter Jr.,1641854.0,1.0,,,,,,
195,PT10M29.00S,2025-10-25T00:15:03.7Z,2,REGULAR,2pt,Jump Shot,[],1629008,19.267411300919843,67.40196078431373,1610612751,28,40,2025-10-25T00:15:15Z,1930000,False,-87.0,129.0,1,left,M. Porter Jr. 15' pullup Jump Shot (10 PTS) (T. Martin 1 AST),"[1629008, 1631213]",1610612751.0,BKN,pullup,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,8-16 Left,,,,,15.53,Made,,,,,10.0,T. Martin,1631213.0,1.0,,,,,,
197,PT10M13.00S,2025-10-25T00:15:19.6Z,2,REGULAR,3pt,Jump Shot,[],1642878,84.97043363994744,4.6568627450980395,1610612739,28,40,2025-10-25T00:15:26Z,1950000,False,-227.0,89.0,1,right,MISS T. Proctor 24' 3PT,[1642878],1610612739.0,CLE,,,,Proctor,T. Proctor,,,,,Left Corner 3,24+ Left,,,,,24.35,Missed,,,,,,,,,,,,,,
198,PT10M08.00S,2025-10-25T00:15:24.6Z,2,REGULAR,rebound,defensive,[],1631213,,,1610612751,28,40,2025-10-25T00:15:26Z,1960000,False,,,0,,T. Martin REBOUND (Off:0 Def:2),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Left Corner 3,24+ Left,,,,,,,197.0,2.0,2.0,0.0,,,,,,,,,,
199,PT09M56.00S,2025-10-25T00:15:37.6Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,7.440867279894875,50.73529411764706,1610612751,30,40,2025-10-25T00:15:42Z,1970000,False,-4.0,17.0,1,left,M. Porter Jr. cutting Layup (12 PTS) (N. Claxton 2 AST),"[1629008, 1629651]",1610612751.0,BKN,cutting,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,1.78,Made,,,,,12.0,N. Claxton,1629651.0,2.0,,,,,,
201,PT09M39.00S,2025-10-25T00:15:54.6Z,2,REGULAR,3pt,Jump Shot,[],1641854,66.44218134034165,56.61764705882353,1610612739,30,43,2025-10-25T00:15:58Z,1990000,False,33.0,263.0,1,right,C. Porter Jr. 26' 3PT  (5 PTS),[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,26.5,Made,,,,,5.0,,,,,,,,,
202,PT09M10.00S,2025-10-25T00:16:25.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,6.783837056504599,52.94117647058824,1610612751,30,43,2025-10-25T00:17:10Z,2000000,False,-15.0,11.0,1,left,MISS N. Claxton reverse Layup,[1629651],1610612751.0,BKN,reverse,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,1.85,Missed,,,,,,,,,,,,,,
203,PT09M07.00S,2025-10-25T00:16:28.4Z,2,REGULAR,rebound,offensive,['team'],0,,,1610612751,30,43,2025-10-25T00:17:10Z,2010000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,202.0,,,,,,,,,,,,,
204,PT09M07.00S,2025-10-25T00:16:35.5Z,2,REGULAR,foul,personal,[],1642878,,,1610612751,30,43,2025-10-25T00:16:50Z,2020000,False,,,0,,T. Proctor loose ball personal FOUL (1 PF),"[1642878, 1629651]",1610612739.0,CLE,loose ball,,,Proctor,T. Proctor,,,,,Restricted Area,0-8 Center,,,,202056.0,,,,,,,,,,,1.0,0.0,Claxton,1629651.0,,
206,PT09M07.00S,2025-10-25T00:16:54.1Z,2,REGULAR,substitution,out,[],1641854,,,1610612751,30,43,2025-10-25T00:16:57Z,2040000,False,,,0,,SUB out: C. Porter Jr.,[1641854],1610612739.0,CLE,,,,Porter Jr.,C. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
207,PT09M07.00S,2025-10-25T00:16:54.1Z,2,REGULAR,substitution,in,[],1642281,,,1610612751,30,43,2025-10-25T00:16:57Z,2050000,False,,,0,,SUB in: J. Tyson,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PT09M00.00S,2025-10-25T00:17:01.6Z,2,REGULAR,2pt,Jump Shot,['2ndchance'],1629008,23.340998685939553,27.205882352941174,1610612751,32,43,2025-10-25T00:17:24Z,2060000,False,114.0,167.0,1,left,M. Porter Jr. 20' Jump Shot (14 PTS),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Right Center,,,,,20.21,Made,,,,,14.0,,,,,,,,,
209,PT08M51.00S,2025-10-25T00:17:09.5Z,2,REGULAR,3pt,Jump Shot,[],1628378,66.83639947437582,43.872549019607845,1610612739,32,46,2025-10-25T00:19:32Z,2070000,False,-31.0,259.0,1,right,D. Mitchell 26' 3PT step back (11 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,,,,,26.1,Made,,,,,11.0,,,,,,,,,
210,PT08M24.00S,2025-10-25T00:17:36.5Z,2,REGULAR,3pt,Jump Shot,[],1629651,30.831143232588698,34.80392156862745,1610612751,32,46,2025-10-25T00:17:40Z,2080000,False,76.0,237.0,1,left,MISS N. Claxton 24' step back 3PT,[1629651],1610612751.0,BKN,step back,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,,24.92,Missed,,,,,,,,,,,,,,
211,PT08M21.00S,2025-10-25T00:17:40.0Z,2,REGULAR,rebound,defensive,[],1626204,,,1610612739,32,46,2025-10-25T00:17:40Z,2090000,False,,,0,,L. Nance Jr. REBOUND (Off:0 Def:1),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Center,,,,,,,210.0,1.0,1.0,0.0,,,,,,,,,,
212,PT08M16.00S,2025-10-25T00:17:45.3Z,2,REGULAR,3pt,Jump Shot,['fastbreak'],1642878,82.86793692509855,98.0392156862745,1610612739,32,46,2025-10-25T00:17:53Z,2100000,False,240.0,109.0,1,right,MISS T. Proctor 26' running 3PT,[1642878],1610612739.0,CLE,running,,,Proctor,T. Proctor,,,,,Above the Break 3,24+ Right Center,,,,,26.36,Missed,,,,,,,,,,,,,,
213,PT08M12.00S,2025-10-25T00:17:49.3Z,2,REGULAR,rebound,offensive,[],1626204,,,1610612739,32,46,2025-10-25T00:17:53Z,2110000,False,,,0,,L. Nance Jr. REBOUND (Off:1 Def:1),[1626204],1610612739.0,CLE,,,,Nance Jr.,L. Nance Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,212.0,2.0,1.0,1.0,,,,,,,,,,
214,PT08M12.00S,2025-10-25T00:17:49.0Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626204,94.40999984741211,50.0,1610612739,32,46,2025-10-25T00:18:01Z,2120000,False,0.0,0.0,1,right,MISS L. Nance Jr. tip Layup,[1626204],1610612739.0,CLE,tip,,,Nance Jr.,L. Nance Jr.,,,,,Restricted Area,0-8 Center,,,,,0.0,Missed,,,,,,,,,,,,,,
215,PT08M10.00S,2025-10-25T00:17:51.0Z,2,REGULAR,rebound,defensive,[],1631213,,,1610612751,32,46,2025-10-25T00:18:01Z,2130000,False,,,0,,T. Martin REBOUND (Off:0 Def:3),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Restricted Area,0-8 Center,,,,,,,214.0,3.0,3.0,0.0,,,,,,,,,,
216,PT08M04.00S,2025-10-25T00:17:57.0Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631213,11.12023653088042,54.65686274509803,1610612751,32,46,2025-10-25T00:18:04Z,2140000,False,-23.0,52.0,1,left,MISS T. Martin turnaround Shot,[1631213],1610612751.0,BKN,turnaround,,,Martin,T. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,5.7,Missed,,,,,,,,,,,,,,
217,PT08M00.00S,2025-10-25T00:18:01.0Z,2,REGULAR,rebound,offensive,[],1629651,,,1610612751,32,46,2025-10-25T00:18:04Z,2150000,False,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,216.0,3.0,1.0,2.0,,,,,,,,,,
218,PT08M00.00S,2025-10-25T00:18:00.7Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629651,5.590000152587891,50.0,1610612751,32,46,2025-10-25T00:18:12Z,2160000,False,0.0,0.0,1,left,MISS N. Claxton putback Layup,[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,0.0,Missed,,,,,,,,,,,,,,
219,PT07M58.00S,2025-10-25T00:18:02.7Z,2,REGULAR,rebound,defensive,[],1642878,,,1610612739,32,46,2025-10-25T00:18:12Z,2170000,False,,,0,,T. Proctor REBOUND (Off:0 Def:1),[1642878],1610612739.0,CLE,,,,Proctor,T. Proctor,,,,,Restricted Area,0-8 Center,,,,,,,218.0,1.0,1.0,0.0,,,,,,,,,,
220,PT07M56.00S,2025-10-25T00:18:04.8Z,2,REGULAR,foul,personal,['3freethrow'],1642856,,,1610612739,32,46,2025-10-25T00:18:35Z,2180000,False,,,0,,E. Dëmin shooting personal FOUL (1 PF) (Mitchell 3 FT),"[1642856, 1628378]",1610612751.0,BKN,shooting,,,Dëmin,E. Dëmin,,,,,Above the Break 3,24+ Left Center,,,,204058.0,,,,,,,,,,,1.0,1.0,Mitchell,1628378.0,,
223,PT07M56.00S,2025-10-25T00:19:35.7Z,2,REGULAR,substitution,out,[],1642856,,,1610612739,32,46,2025-10-25T00:19:53Z,2210000,False,,,0,,SUB out: E. Dëmin,[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M56.00S,2025-10-25T00:19:35.7Z,2,REGULAR,substitution,out,[],1631213,,,1610612739,32,46,2025-10-25T00:19:53Z,2220000,False,,,0,,SUB out: T. Martin,[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M56.00S,2025-10-25T00:19:35.7Z,2,REGULAR,substitution,out,[],1629651,,,1610612739,32,46,2025-10-25T00:19:53Z,2230000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M56.00S,2025-10-25T00:19:35.7Z,2,REGULAR,substitution,in,[],1630560,,,1610612739,32,46,2025-10-25T00:19:53Z,2240000,False,,,0,,SUB in: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M56.00S,2025-10-25T00:19:35.7Z,2,REGULAR,substitution,in,[],1642879,,,1610612739,32,46,2025-10-25T00:19:53Z,2250000,False,,,0,,SUB in: B. Saraf,[1642879],1610612751.0,BKN,,,,Saraf,B. Saraf,,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT07M56.00S,2025-10-25T00:19:35.7Z,2,REGULAR,substitution,in,[],1630533,,,1610612739,32,46,2025-10-25T00:19:53Z,2260000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
229,PT07M56.00S,2025-10-25T00:20:15.8Z,2,REGULAR,freethrow,1 of 3,[],1628378,,,1610612739,32,47,2025-10-25T00:20:15Z,2270000,False,,,0,,D. Mitchell Free Throw 1 of 3 (12 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,Made,,,,,12.0,,,,,,,,,
230,PT07M56.00S,2025-10-25T00:20:33.3Z,2,REGULAR,freethrow,2 of 3,[],1628378,,,1610612739,32,48,2025-10-25T00:20:33Z,2280000,False,,,0,,D. Mitchell Free Throw 2 of 3 (13 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,Made,,,,,13.0,,,,,,,,,
231,PT07M56.00S,2025-10-25T00:20:54.5Z,2,REGULAR,freethrow,3 of 3,[],1628378,,,1610612739,32,49,2025-10-25T00:20:54Z,2290000,False,,,0,,D. Mitchell Free Throw 3 of 3 (14 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,Made,,,,,14.0,,,,,,,,,
232,PT07M45.00S,2025-10-25T00:21:12.1Z,2,REGULAR,foul,personal,[],1642878,,,1610612751,32,49,2025-10-25T00:21:48Z,2300000,False,,,0,,T. Proctor personal FOUL (2 PF),"[1642878, 1630560]",1610612739.0,CLE,,,,Proctor,T. Proctor,,,,,Mid-Range,16-24 Left Center,,,,204058.0,,,,,,,,,,,2.0,0.0,Thomas,1630560.0,,
234,PT07M45.00S,2025-10-25T00:21:18.0Z,2,REGULAR,substitution,out,[],1628378,,,1610612751,32,49,2025-10-25T00:21:22Z,2320000,False,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT07M45.00S,2025-10-25T00:21:18.0Z,2,REGULAR,substitution,in,[],1629731,,,1610612751,32,49,2025-10-25T00:21:22Z,2330000,False,,,0,,SUB in: D. Wade,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT07M35.00S,2025-10-25T00:21:44.8Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1630533,5.075558475689881,51.71568627450981,1610612751,34,49,2025-10-25T00:21:52Z,2340000,False,-9.0,-5.0,1,left,Z. Williams alley-oop DUNK (8 PTS) (N. Clowney 2 AST),"[1630533, 1641730]",1610612751.0,BKN,alley-oop,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,,0.98,Made,,,,,8.0,N. Clowney,1641730.0,2.0,,,,,,
238,PT07M35.00S,2025-10-25T00:21:49.1Z,2,REGULAR,foul,personal,['1freethrow'],1642281,,,1610612751,34,49,2025-10-25T00:21:58Z,2360000,False,,,0,,J. Tyson shooting personal FOUL (2 PF) (Williams 1 FT),"[1642281, 1630533]",1610612739.0,CLE,shooting,,,Tyson,J. Tyson,,,,,Restricted Area,0-8 Center,,,,200832.0,,,,,,,,,,,2.0,0.0,Williams,1630533.0,,
240,PT07M35.00S,2025-10-25T00:22:13.4Z,2,REGULAR,freethrow,1 of 1,[],1630533,,,1610612751,35,49,2025-10-25T00:22:13Z,2380000,False,,,0,,Z. Williams Free Throw 1 of 1 (9 PTS),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,Made,,,,,9.0,,,,,,,,,
241,PT07M11.00S,2025-10-25T00:22:40.5Z,2,REGULAR,3pt,Jump Shot,[],1630596,68.80749014454665,63.725490196078425,1610612739,35,49,2025-10-25T00:23:16Z,2390000,False,69.0,241.0,1,right,MISS E. Mobley 25' 3PT,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Center,,,,,25.03,Missed,,,,,,,,,,,,,,
242,PT07M09.00S,2025-10-25T00:22:42.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612751,35,49,2025-10-25T00:23:16Z,2400000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,241.0,,,,,,,,,,,,,
244,PT06M54.00S,2025-10-25T00:23:15.3Z,2,REGULAR,foul,personal,['2freethrow'],1629731,,,1610612751,35,49,2025-10-25T00:23:24Z,2420000,False,,,0,,D. Wade shooting personal FOUL (1 PF) (Thomas 2 FT),"[1629731, 1630560]",1610612739.0,CLE,shooting,,,Wade,D. Wade,,,,,In The Paint (Non-RA),8-16 Left,,,,202056.0,,,,,,,,,,,1.0,0.0,Thomas,1630560.0,,
246,PT06M54.00S,2025-10-25T00:23:28.3Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,35,49,2025-10-25T00:23:28Z,2440000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,PT06M54.00S,2025-10-25T00:26:34.0Z,2,REGULAR,freethrow,1 of 2,[],1630560,,,1610612751,36,49,2025-10-25T00:26:34Z,2450000,False,,,0,,C. Thomas Free Throw 1 of 2 (3 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,
248,PT06M54.00S,2025-10-25T00:26:49.6Z,2,REGULAR,freethrow,2 of 2,[],1630560,,,1610612751,37,49,2025-10-25T00:26:49Z,2460000,False,,,0,,C. Thomas Free Throw 2 of 2 (4 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,
249,PT06M36.00S,2025-10-25T00:27:09.5Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,92.32917214191852,48.28431372549019,1610612739,37,49,2025-10-25T00:27:14Z,2470000,False,-9.0,20.0,1,right,MISS E. Mobley driving Layup,[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,2.14,Missed,,,,,,,,,,,,,,
250,PT06M33.00S,2025-10-25T00:27:12.5Z,2,REGULAR,rebound,defensive,[],1641730,,,1610612751,37,49,2025-10-25T00:27:14Z,2480000,False,,,0,,N. Clowney REBOUND (Off:0 Def:2),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Restricted Area,0-8 Center,,,,,,,249.0,2.0,2.0,0.0,,,,,,,,,,
251,PT06M29.00S,2025-10-25T00:27:16.5Z,2,REGULAR,turnover,bad pass,[],1641730,,,1610612751,37,49,2025-10-25T00:27:22Z,2490000,False,,,0,,N. Clowney bad pass TURNOVER (3 TO),"[1641730, 1642281]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,16-24 Right Center,3.0,Tyson,1642281.0,,,,,,,,,,,,,,,,,
252,PT06M29.00S,2025-10-25T00:27:16.5Z,2,REGULAR,steal,,[],1642281,,,1610612739,37,49,2025-10-25T00:27:18Z,2500000,False,,,0,,J. Tyson STEAL (3 STL),[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
253,PT06M24.00S,2025-10-25T00:27:21.9Z,2,REGULAR,turnover,bad pass,[],1642878,,,1610612739,37,49,2025-10-25T00:27:27Z,2510000,False,,,0,,T. Proctor bad pass TURNOVER (1 TO),"[1642878, 1641730]",1610612739.0,CLE,,,,Proctor,T. Proctor,,,,,Mid-Range,8-16 Left,1.0,Clowney,1641730.0,,,,,,,,,,,,,,,,,
254,PT06M24.00S,2025-10-25T00:27:21.9Z,2,REGULAR,steal,,[],1641730,,,1610612751,37,49,2025-10-25T00:27:25Z,2520000,False,,,0,,N. Clowney STEAL (1 STL),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
255,PT06M08.00S,2025-10-25T00:27:39.9Z,2,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629731,,,1610612751,37,49,2025-10-25T00:27:47Z,2530000,False,,,0,,D. Wade shooting personal FOUL (2 PF) (Thomas 2 FT),"[1629731, 1630560]",1610612739.0,CLE,shooting,,,Wade,D. Wade,,,,,In The Paint (Non-RA),8-16 Right,,,,204058.0,,,,,,,,,,,2.0,0.0,Thomas,1630560.0,,
257,PT06M08.00S,2025-10-25T00:28:10.4Z,2,REGULAR,freethrow,1 of 2,['fromturnover'],1630560,,,1610612751,38,49,2025-10-25T00:28:10Z,2550000,False,,,0,,C. Thomas Free Throw 1 of 2 (5 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,Made,,,,,5.0,,,,,,,,,
258,PT06M08.00S,2025-10-25T00:28:11.3Z,2,REGULAR,substitution,out,[],1629008,,,1610612751,38,49,2025-10-25T00:28:30Z,2560000,False,,,0,,SUB out: M. Porter Jr.,[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
259,PT06M08.00S,2025-10-25T00:28:11.3Z,2,REGULAR,substitution,out,[],1630596,,,1610612751,38,49,2025-10-25T00:28:30Z,2570000,False,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT06M08.00S,2025-10-25T00:28:11.3Z,2,REGULAR,substitution,out,[],1642281,,,1610612751,38,49,2025-10-25T00:28:30Z,2580000,False,,,0,,SUB out: J. Tyson,[1642281],1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,,,,,,,,,,,,,,,,,,,,,,
261,PT06M08.00S,2025-10-25T00:28:11.3Z,2,REGULAR,substitution,out,[],1642878,,,1610612751,38,49,2025-10-25T00:28:30Z,2590000,False,,,0,,SUB out: T. Proctor,[1642878],1610612739.0,CLE,,,,Proctor,T. Proctor,,,,,,,,,,,,,,,,,,,,,,,,,,
262,PT06M08.00S,2025-10-25T00:28:11.3Z,2,REGULAR,substitution,in,[],1629611,,,1610612751,38,49,2025-10-25T00:28:30Z,2600000,False,,,0,,SUB in: T. Mann,[1629611],1610612751.0,BKN,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
