actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
163,PT11M08.00S,2026-03-06T02:38:40.1Z,2,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630208,,,1610612741,20,27,2026-03-06T02:46:52Z,1630000,False,,,0,,N. Richards Free Throw 1 of 2 (1 PTS),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
164,PT11M08.00S,2026-03-06T02:38:42.0Z,2,REGULAR,substitution,out,[],1642853,,,1610612741,20,27,2026-03-06T02:38:48Z,1640000,False,,,0,,SUB out: R. Fleming,[1642853],1610612756.0,PHX,,,,Fleming,R. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,
165,PT11M08.00S,2026-03-06T02:38:42.0Z,2,REGULAR,substitution,in,[],1630224,,,1610612741,20,27,2026-03-06T02:38:48Z,1650000,False,,,0,,SUB in: J. Green,[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
166,PT11M08.00S,2026-03-06T02:38:40.1Z,2,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1630208,,,1610612741,20,28,2026-03-06T02:46:52Z,1660000,False,,,0,,N. Richards Free Throw 2 of 2 (2 PTS),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
167,PT10M58.00S,2026-03-06T02:39:24.5Z,2,REGULAR,foul,personal,[],1631159,,,1610612756,20,28,2026-03-06T02:39:33Z,1670000,False,,,0,,L. Miller personal FOUL (1 PF),"[1631159, 1630224]",1610612741.0,CHI,,,,Miller,L. Miller,,,,,Above the Break 3,24+ Center,,,,,,,,201639.0,,,,1.0,0.0,Green,1630224.0,,,,,
169,PT10M56.00S,2026-03-06T02:39:49.1Z,2,REGULAR,3pt,Jump Shot,[],1628960,33.590670170827856,52.20588235294118,1610612756,20,28,2026-03-06T02:39:54Z,1690000,False,-11.0,263.0,1,left,MISS G. Allen 26' 3PT,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,26.35,Missed,,,,,,,,,,,,,,,,,,
170,PT10M52.00S,2026-03-06T02:39:53.1Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612741,20,28,2026-03-06T02:39:54Z,1700000,False,,,0,,N. Richards REBOUND (Off:0 Def:3),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,169.0,3.0,3.0,0.0,,,,,,,,,,,,,,
171,PT10M42.00S,2026-03-06T02:40:02.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630200,93.11760840998686,46.32352941176471,1610612741,20,30,2026-03-06T02:40:07Z,1710000,False,-18.0,12.0,1,right,T. Jones driving Layup (7 PTS) (N. Richards 1 AST),"[1630200, 1630208]",1610612741.0,CHI,driving,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,7.0,,,,,,,,,,,N. Richards,1630208.0,1.0
173,PT10M27.00S,2026-03-06T02:40:18.1Z,2,REGULAR,3pt,Jump Shot,[],1628960,33.98488830486202,33.82352941176471,1610612756,23,30,2026-03-06T02:40:22Z,1730000,False,81.0,267.0,1,left,G. Allen 27' 3PT  (3 PTS) (O. Ighodaro 1 AST),"[1628960, 1642345]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Center,27.9,Made,,,,,3.0,,,,,,,,,,,O. Ighodaro,1642345.0,1.0
175,PT10M02.00S,2026-03-06T02:40:42.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,93.24901445466492,62.5,1610612741,23,32,2026-03-06T02:48:38Z,1750000,False,62.0,11.0,1,right,T. Jones 6' driving floating Jump Shot (9 PTS) (Y. Kawamura 2 AST),"[1630200, 1642530]",1610612741.0,CHI,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,6.35,Made,,,,,9.0,,,,,,,,,,,Y. Kawamura,1642530.0,2.0
177,PT09M51.00S,2026-03-06T02:40:55.0Z,2,REGULAR,3pt,Jump Shot,[],1628960,27.283180026281208,16.42156862745098,1610612756,26,32,2026-03-06T02:40:59Z,1770000,False,168.0,204.0,1,left,G. Allen 26' 3PT  (6 PTS) (C. Gillespie 3 AST),"[1628960, 1631221]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Above the Break 3,24+ Right Center,26.42,Made,,,,,6.0,,,,,,,,,,,C. Gillespie,1631221.0,3.0
179,PT09M35.00S,2026-03-06T02:41:12.8Z,2,REGULAR,foul,offensive,[],1630208,,,1610612741,26,32,2026-03-06T02:41:21Z,1790000,False,,,0,,N. Richards offensive FOUL (2 PF),"[1630208, 1631221]",1610612741.0,CHI,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,,,,,,1628954.0,,,,2.0,0.0,Gillespie,1631221.0,,,,,
181,PT09M35.00S,2026-03-06T02:41:12.8Z,2,REGULAR,turnover,offensive foul,[],1630208,,,1610612741,26,32,2026-03-06T02:41:12Z,1810000,False,,,0,,N. Richards offensive foul TURNOVER (1 TO),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,,,,,,1628954.0,1.0,,,,,,,,,,,
182,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,out,[],1642346,,,1610612756,26,32,2026-03-06T02:41:39Z,1820000,False,,,0,,SUB out: R. Dunn,[1642346],1610612756.0,PHX,,,,Dunn,R. Dunn,,,,,,,,,,,,,,,,,,,,,,,,,,
183,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,out,[],1631221,,,1610612756,26,32,2026-03-06T02:41:39Z,1830000,False,,,0,,SUB out: C. Gillespie,[1631221],1610612756.0,PHX,,,,Gillespie,C. Gillespie,,,,,,,,,,,,,,,,,,,,,,,,,,
184,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,out,[],1631159,,,1610612756,26,32,2026-03-06T02:41:39Z,1840000,False,,,0,,SUB out: L. Miller,[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
185,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,out,[],1630208,,,1610612756,26,32,2026-03-06T02:41:39Z,1850000,False,,,0,,SUB out: N. Richards,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
186,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,out,[],1630200,,,1610612756,26,32,2026-03-06T02:41:39Z,1860000,False,,,0,,SUB out: T. Jones,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
187,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,in,[],1626220,,,1610612756,26,32,2026-03-06T02:41:39Z,1870000,False,,,0,,SUB in: R. O'Neale,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,,,,,,,,,,,,,,,,,,,,,,
188,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,in,[],1629599,,,1610612756,26,32,2026-03-06T02:41:39Z,1880000,False,,,0,,SUB in: A. Coffey,[1629599],1610612756.0,PHX,,,,Coffey,A. Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,
189,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,in,[],1629012,,,1610612756,26,32,2026-03-06T02:41:39Z,1890000,False,,,0,,SUB in: C. Sexton,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
190,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,in,[],1642950,,,1610612756,26,32,2026-03-06T02:41:39Z,1900000,False,,,0,,SUB in: L. Olbrich,[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,,,,,,,,,,,,,,,,,,,,,,
191,PT09M35.00S,2026-03-06T02:41:20.2Z,2,REGULAR,substitution,in,[],1630171,,,1610612756,26,32,2026-03-06T02:41:39Z,1910000,False,,,0,,SUB in: I. Okoro,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
192,PT09M25.00S,2026-03-06T02:41:49.7Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629599,12.434296977660972,43.38235294117647,1610612756,28,32,2026-03-06T02:42:08Z,1920000,False,33.0,64.0,1,left,A. Coffey 7' pullup Jump Shot (2 PTS) (G. Allen 2 AST),"[1629599, 1628960]",1610612756.0,PHX,pullup,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),0-8 Center,7.24,Made,,,,,2.0,,,,,,,,,,,G. Allen,1628960.0,2.0
194,PT09M25.00S,2026-03-06T02:41:55.0Z,2,REGULAR,foul,personal,['1freethrow'],1642530,,,1610612756,28,32,2026-03-06T02:42:08Z,1940000,False,,,0,,Y. Kawamura shooting personal FOUL (1 PF) (Coffey 1 FT),"[1642530, 1629599]",1610612741.0,CHI,shooting,,,Kawamura,Y. Kawamura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1155.0,,,,1.0,0.0,Coffey,1629599.0,,,,,
196,PT09M25.00S,2026-03-06T02:42:02.4Z,2,REGULAR,substitution,out,[],1642530,,,1610612756,28,32,2026-03-06T02:42:49Z,1960000,False,,,0,,SUB out: Y. Kawamura,[1642530],1610612741.0,CHI,,,,Kawamura,Y. Kawamura,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PT09M25.00S,2026-03-06T02:42:02.4Z,2,REGULAR,substitution,in,[],1642265,,,1610612756,28,32,2026-03-06T02:42:49Z,1970000,False,,,0,,SUB in: R. Dillingham,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PT09M25.00S,2026-03-06T02:42:14.9Z,2,REGULAR,freethrow,1 of 1,['fromturnover'],1629599,,,1610612756,29,32,2026-03-06T02:42:14Z,1980000,False,,,0,,A. Coffey Free Throw 1 of 1 (3 PTS),[1629599],1610612756.0,PHX,,,,Coffey,A. Coffey,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
199,PT09M10.00S,2026-03-06T02:42:31.0Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1627824,86.28449408672799,51.71568627450981,1610612741,29,34,2026-03-06T02:50:34Z,1990000,False,9.0,76.0,1,right,G. Yabusele 7' driving Hook (5 PTS) (C. Sexton 2 AST),"[1627824, 1629012]",1610612741.0,CHI,driving,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,7.69,Made,,,,,5.0,,,,,,,,,,,C. Sexton,1629012.0,2.0
201,PT08M58.00S,2026-03-06T02:42:42.0Z,2,REGULAR,3pt,Jump Shot,[],1626220,4.812746386333772,94.6078431372549,1610612756,29,34,2026-03-06T02:42:59Z,2010000,False,-223.0,-7.0,1,left,MISS R. O'Neale 3PT,[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Left Corner 3,24+ Left,22.31,Missed,,,,,,,,,,,,,,,,,,
202,PT08M56.00S,2026-03-06T02:42:44.0Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612741,29,34,2026-03-06T02:42:59Z,2020000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Left Corner 3,24+ Left,,,201.0,,,,,,,,,,,,,,,,,
203,PT08M56.00S,2026-03-06T02:42:53.3Z,2,REGULAR,substitution,out,[],1642345,,,1610612741,29,34,2026-03-06T02:43:06Z,2030000,False,,,0,,SUB out: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M56.00S,2026-03-06T02:42:53.3Z,2,REGULAR,substitution,in,[],1642863,,,1610612741,29,34,2026-03-06T02:43:06Z,2040000,False,,,0,,SUB in: K. Maluach,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PT08M42.00S,2026-03-06T02:43:26.7Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,89.04402102496715,50.98039215686274,1610612741,29,34,2026-03-06T02:53:41Z,2050000,False,5.0,50.0,1,right,MISS I. Okoro cutting Layup,[1630171],1610612741.0,CHI,cutting,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),0-8 Center,5.07,Missed,,,,,,,,,,,,,,,,,,
206,PT08M40.00S,2026-03-06T02:43:28.7Z,2,REGULAR,rebound,offensive,[],1642950,,,1610612741,29,34,2026-03-06T02:53:41Z,2060000,False,,,0,,L. Olbrich REBOUND (Off:1 Def:1),[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,In The Paint (Non-RA),0-8 Center,,,205.0,2.0,1.0,1.0,,,,,,,,,,,,,,
207,PT08M40.00S,2026-03-06T02:43:30.3Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642950,94.40999984741211,50.0,1610612741,29,34,2026-03-06T02:53:51Z,2070000,False,0.0,0.0,1,right,MISS L. Olbrich tip Layup,[1642950],1610612741.0,CHI,tip,,,Olbrich,L. Olbrich,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
208,PT08M39.00S,2026-03-06T02:43:31.3Z,2,REGULAR,rebound,offensive,[],1642950,,,1610612741,29,34,2026-03-06T02:53:51Z,2080000,False,,,0,,L. Olbrich REBOUND (Off:2 Def:1),[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,Restricted Area,0-8 Center,,,207.0,3.0,1.0,2.0,,,,,,,,,,,,,,
209,PT08M38.00S,2026-03-06T02:43:31.9Z,2,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1642950,94.40999984741211,50.0,1610612741,29,34,2026-03-06T02:54:35Z,2090000,False,0.0,0.0,1,right,MISS L. Olbrich putback Layup,[1642950],1610612741.0,CHI,putback,,,Olbrich,L. Olbrich,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
210,PT08M37.00S,2026-03-06T02:43:32.9Z,2,REGULAR,rebound,offensive,[],1642950,,,1610612741,29,34,2026-03-06T02:54:04Z,2100000,False,,,0,,L. Olbrich REBOUND (Off:3 Def:1),[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,Restricted Area,0-8 Center,,,209.0,4.0,1.0,3.0,,,,,,,,,,,,,,
211,PT08M31.00S,2026-03-06T02:43:35.1Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629012,81.94809461235218,51.470588235294116,1610612741,29,36,2026-03-06T02:55:17Z,2110000,False,7.0,117.0,1,right,C. Sexton 11' driving floating Jump Shot (10 PTS) (L. Olbrich 2 AST),"[1629012, 1642950]",1610612741.0,CHI,driving floating,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Center,11.74,Made,,,,,10.0,,,,,,,,,,,L. Olbrich,1642950.0,2.0
213,PT08M17.00S,2026-03-06T02:43:49.8Z,2,REGULAR,3pt,Jump Shot,[],1630224,29.6484888304862,22.794117647058822,1610612756,29,36,2026-03-06T02:43:54Z,2130000,False,136.0,226.0,1,left,MISS J. Green 26' pullup 3PT,[1630224],1610612756.0,PHX,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,26.39,Missed,,,,,,,,,,,,,,,,,,
214,PT08M14.00S,2026-03-06T02:43:52.8Z,2,REGULAR,rebound,defensive,[],1627824,,,1610612741,29,36,2026-03-06T02:43:54Z,2140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:3),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,213.0,3.0,3.0,0.0,,,,,,,,,,,,,,
215,PT08M07.00S,2026-03-06T02:44:00.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1642265,90.62089356110381,42.64705882352941,1610612741,29,36,2026-03-06T02:44:03Z,2150000,False,-37.0,36.0,1,right,MISS R. Dillingham driving finger roll Layup,[1642265],1610612741.0,CHI,driving finger roll,,,Dillingham,R. Dillingham,,,,,In The Paint (Non-RA),0-8 Center,5.13,Missed,,,,,,,,,,,,,,,,,,
216,PT08M05.00S,2026-03-06T02:44:02.3Z,2,REGULAR,rebound,defensive,[],1629599,,,1610612756,29,36,2026-03-06T02:44:03Z,2160000,False,,,0,,A. Coffey REBOUND (Off:0 Def:1),[1629599],1610612756.0,PHX,,,,Coffey,A. Coffey,,,,,In The Paint (Non-RA),0-8 Center,,,215.0,1.0,1.0,0.0,,,,,,,,,,,,,,
217,PT07M55.00S,2026-03-06T02:44:11.9Z,2,REGULAR,turnover,lost ball,[],1642863,,,1610612756,29,36,2026-03-06T03:17:28Z,2170000,False,,,0,,K. Maluach lost ball TURNOVER (2 TO),"[1642863, 1630171]",1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,Restricted Area,0-8 Center,,,,,,,,,2.0,,,,,,,Okoro,1630171.0,,,
218,PT07M55.00S,2026-03-06T02:44:11.9Z,2,REGULAR,steal,,[],1630171,,,1610612741,29,36,2026-03-06T02:44:15Z,2180000,False,,,0,,I. Okoro STEAL (1 STL),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
219,PT07M51.00S,2026-03-06T02:44:16.5Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642265,92.85479632063075,51.9607843137255,1610612741,29,38,2026-03-06T02:44:23Z,2190000,False,10.0,15.0,1,right,R. Dillingham running Layup (8 PTS) (I. Okoro 1 AST),"[1642265, 1630171]",1610612741.0,CHI,running,,,Dillingham,R. Dillingham,,,,,Restricted Area,0-8 Center,1.77,Made,,,,,8.0,,,,,,,,,,,I. Okoro,1630171.0,1.0
221,PT07M51.00S,2026-03-06T02:44:19.9Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,29,38,2026-03-06T02:44:20Z,2210000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,PT07M51.00S,2026-03-06T02:46:38.9Z,2,REGULAR,substitution,out,[],1628960,,,1610612756,29,38,2026-03-06T02:46:54Z,2220000,False,,,0,,SUB out: G. Allen,[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,
224,PT07M51.00S,2026-03-06T02:46:38.9Z,2,REGULAR,substitution,in,[],1626164,,,1610612756,29,38,2026-03-06T02:46:54Z,2230000,False,,,0,,SUB in: D. Booker,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,,,,,,,,,,,,,,,,,,,
225,PT07M31.00S,2026-03-06T02:47:29.8Z,2,REGULAR,2pt,Hook,['pointsinthepaint'],1626220,12.302890932982917,41.17647058823529,1610612756,29,38,2026-03-06T02:58:19Z,2240000,False,44.0,63.0,1,left,MISS R. O'Neale 7' driving Hook,[1626220],1610612756.0,PHX,driving,,,O'Neale,R. O'Neale,,,,,In The Paint (Non-RA),0-8 Center,7.7,Missed,,,,,,,,,,,,,,,,,,
226,PT07M29.00S,2026-03-06T02:47:31.8Z,2,REGULAR,rebound,defensive,[],1627824,,,1610612741,29,38,2026-03-06T02:47:37Z,2250000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:4),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,225.0,4.0,4.0,0.0,,,,,,,,,,,,,,
227,PT07M22.00S,2026-03-06T02:47:39.3Z,2,REGULAR,turnover,bad pass,[],1642265,,,1610612741,29,38,2026-03-06T02:47:46Z,2260000,False,,,0,,R. Dillingham bad pass TURNOVER (1 TO),"[1642265, 1626164]",1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,Mid-Range,16-24 Left,,,,,,,,,1.0,,,,,,,Booker,1626164.0,,,
228,PT07M22.00S,2026-03-06T02:47:39.3Z,2,REGULAR,steal,,[],1626164,,,1610612756,29,38,2026-03-06T02:47:41Z,2270000,False,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
229,PT07M20.00S,2026-03-06T02:47:43.9Z,2,REGULAR,turnover,out-of-bounds,[],1626164,,,1610612756,29,38,2026-03-06T02:47:56Z,2280000,False,,,0,,D. Booker bad pass out-of-bounds TURNOVER (2 TO),[1626164],1610612756.0,PHX,bad pass,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,,,,,,,,201639.0,2.0,,,,,,,,,,,
230,PT07M01.00S,2026-03-06T02:48:17.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1642265,88.51839684625493,96.07843137254902,1610612741,29,38,2026-03-06T02:48:22Z,2290000,False,230.0,55.0,1,right,MISS R. Dillingham 3PT,[1642265],1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,Right Corner 3,24+ Right,23.7,Missed,,,,,,,,,,,,,,,,,,
231,PT06M58.00S,2026-03-06T02:48:20.9Z,2,REGULAR,rebound,defensive,[],1630224,,,1610612756,29,38,2026-03-06T02:48:22Z,2300000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,230.0,1.0,1.0,0.0,,,,,,,,,,,,,,
232,PT06M52.00S,2026-03-06T02:48:28.0Z,2,REGULAR,foul,personal,[],1642265,,,1610612756,29,38,2026-03-06T02:48:34Z,2310000,False,,,0,,R. Dillingham personal FOUL (2 PF),"[1642265, 1626164]",1610612741.0,CHI,,,,Dillingham,R. Dillingham,,,,,Mid-Range,8-16 Left,,,,,,,,1155.0,,,,2.0,0.0,Booker,1626164.0,,,,,
234,PT06M52.00S,2026-03-06T02:48:58.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,29,38,2026-03-06T02:48:58Z,2330000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,PT06M52.00S,2026-03-06T02:51:26.3Z,2,REGULAR,substitution,out,[],1642863,,,1610612756,29,38,2026-03-06T02:51:39Z,2340000,False,,,0,,SUB out: K. Maluach,[1642863],1610612756.0,PHX,,,,Maluach,K. Maluach,,,,,,,,,,,,,,,,,,,,,,,,,,
236,PT06M52.00S,2026-03-06T02:51:26.3Z,2,REGULAR,substitution,out,[],1642950,,,1610612756,29,38,2026-03-06T02:51:39Z,2350000,False,,,0,,SUB out: L. Olbrich,[1642950],1610612741.0,CHI,,,,Olbrich,L. Olbrich,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M52.00S,2026-03-06T02:51:26.3Z,2,REGULAR,substitution,in,[],1642345,,,1610612756,29,38,2026-03-06T02:51:39Z,2360000,False,,,0,,SUB in: O. Ighodaro,[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M52.00S,2026-03-06T02:51:26.3Z,2,REGULAR,substitution,in,[],1630208,,,1610612756,29,38,2026-03-06T02:51:39Z,2370000,False,,,0,,SUB in: N. Richards,[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,,,,,,,,,,,,,,,,,,,,,,
240,PT06M46.00S,2026-03-06T02:51:56.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,7.046649145860711,44.36274509803921,1610612756,29,38,2026-03-06T02:52:01Z,2380000,False,28.0,14.0,1,left,MISS J. Green driving Layup - blocked,"[1630224, 1630208]",1610612756.0,PHX,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,Richards,1630208.0,,,,,,,,,
241,PT06M46.00S,2026-03-06T02:51:56.8Z,2,REGULAR,block,,[],1630208,,,1610612756,29,38,2026-03-06T02:51:58Z,2390000,False,,,0,,N. Richards BLOCK (1 BLK),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
242,PT06M44.00S,2026-03-06T02:51:58.8Z,2,REGULAR,rebound,defensive,[],1630208,,,1610612741,29,38,2026-03-06T02:52:01Z,2400000,False,,,0,,N. Richards REBOUND (Off:0 Def:4),[1630208],1610612741.0,CHI,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,240.0,4.0,4.0,0.0,,,,,,,,,,,,,,
243,PT06M29.00S,2026-03-06T02:52:13.4Z,2,REGULAR,3pt,Jump Shot,[],1642265,69.99014454664915,24.019607843137255,1610612741,29,38,2026-03-06T02:52:17Z,2410000,False,-130.0,230.0,1,right,MISS R. Dillingham 26' pullup 3PT,[1642265],1610612741.0,CHI,pullup,,,Dillingham,R. Dillingham,,,,,Above the Break 3,24+ Left Center,26.38,Missed,,,,,,,,,,,,,,,,,,
244,PT06M25.00S,2026-03-06T02:52:17.4Z,2,REGULAR,rebound,defensive,[],1642345,,,1610612756,29,38,2026-03-06T02:52:17Z,2420000,False,,,0,,O. Ighodaro REBOUND (Off:1 Def:2),[1642345],1610612756.0,PHX,,,,Ighodaro,O. Ighodaro,,,,,Above the Break 3,24+ Left Center,,,243.0,3.0,2.0,1.0,,,,,,,,,,,,,,
245,PT06M12.00S,2026-03-06T02:52:30.0Z,2,REGULAR,3pt,Jump Shot,[],1626220,26.49474375821288,9.558823529411764,1610612756,32,38,2026-03-06T02:52:34Z,2430000,False,202.0,197.0,1,left,R. O'Neale 28' 3PT  (3 PTS) (O. Ighodaro 2 AST),"[1626220, 1642345]",1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,28.2,Made,,,,,3.0,,,,,,,,,,,O. Ighodaro,1642345.0,2.0
247,PT05M55.00S,2026-03-06T02:52:46.5Z,2,REGULAR,3pt,Jump Shot,[],1629012,70.64717477003943,83.57843137254902,1610612741,32,38,2026-03-06T03:00:53Z,2450000,False,168.0,223.0,1,right,MISS C. Sexton 27' pullup 3PT,[1629012],1610612741.0,CHI,pullup,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,27.95,Missed,,,,,,,,,,,,,,,,,,
248,PT05M51.00S,2026-03-06T02:52:50.5Z,2,REGULAR,rebound,defensive,[],1626220,,,1610612756,32,38,2026-03-06T02:52:52Z,2460000,False,,,0,,R. O'Neale REBOUND (Off:0 Def:2),[1626220],1610612756.0,PHX,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Right Center,,,247.0,2.0,2.0,0.0,,,,,,,,,,,,,,
