actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
63,PT07M23.00S,2025-04-03T00:46:08.6Z,1,REGULAR,turnover,bad pass,[],1630700,,,1610612737,14,11,2025-04-03T00:46:11Z,630000,False,,,0,,D. Daniels bad pass TURNOVER (1 TO),"[1630700, 202691]",1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Thompson,202691.0,,,,,,,,,,
64,PT07M23.00S,2025-04-03T00:46:08.6Z,1,REGULAR,steal,,[],202691,,,1610612742,14,11,2025-04-03T00:46:10Z,640000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
65,PT07M16.00S,2025-04-03T00:46:15.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631108,80.1084099868594,91.91176470588235,1610612742,14,11,2025-04-03T00:46:23Z,650000,False,210.0,134.0,1,right,MISS M. Christie 24' running 3PT,[1631108],1610612742.0,DAL,running,,,Christie,M. Christie,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
66,PT07M13.00S,2025-04-03T00:46:18.5Z,1,REGULAR,rebound,defensive,[],1631243,,,1610612737,14,11,2025-04-03T00:46:19Z,660000,False,,,0,,M. Gueye REBOUND (Off:0 Def:2),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Right Center,,,65.0,,,,,,,,2.0,2.0,0.0,,,,,,,
67,PT07M06.00S,2025-04-03T00:46:25.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,6.521024967148489,42.8921568627451,1610612737,14,13,2025-04-03T00:46:33Z,670000,False,36.0,9.0,1,left,O. Okongwu driving bank Hook (2 PTS) (D. Daniels 1 AST),"[1630168, 1630700]",1610612737.0,ATL,driving bank,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,3.66,Made,,2.0,D. Daniels,1630700.0,1.0,,,,,,,,,,,,,
69,PT06M45.00S,2025-04-03T00:46:45.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,86.94152431011827,51.470588235294116,1610612742,16,13,2025-04-03T00:46:56Z,690000,False,7.0,70.0,1,right,A. Davis 7' turnaround fadeaway Jump Shot (7 PTS),[203076],1610612742.0,DAL,turnaround fadeaway,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.06,Made,,7.0,,,,,,,,,,,,,,,,
70,PT06M30.00S,2025-04-03T00:47:01.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631243,6.1268068331143235,52.69607843137255,1610612737,16,15,2025-04-03T00:47:04Z,700000,False,-13.0,5.0,1,left,M. Gueye driving Layup (7 PTS) (T. Young 3 AST),"[1631243, 1629027]",1610612737.0,ATL,driving,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,1.44,Made,,7.0,T. Young,1629027.0,3.0,,,,,,,,,,,,,
72,PT06M11.00S,2025-04-03T00:47:19.4Z,1,REGULAR,3pt,Jump Shot,[],1631108,74.72076215505913,14.705882352941178,1610612742,16,15,2025-04-03T00:47:23Z,720000,False,-176.0,185.0,1,right,MISS M. Christie 25' 3PT,[1631108],1610612742.0,DAL,,,,Christie,M. Christie,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,,
73,PT06M08.00S,2025-04-03T00:47:22.4Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,16,15,2025-04-03T00:47:23Z,730000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,,,72.0,,,,,,,,1.0,1.0,0.0,,,,,,,
74,PT06M05.00S,2025-04-03T00:47:29.3Z,1,REGULAR,foul,personal,[],1631108,,,1610612737,16,15,2025-04-03T00:47:41Z,740000,False,,,0,,M. Christie personal FOUL (1 PF),"[1631108, 1629027]",1610612742.0,DAL,,,,Christie,M. Christie,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1627541.0,1.0,0.0,Young,1629027.0
76,PT06M05.00S,2025-04-03T00:47:43.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,16,15,2025-04-03T00:47:43Z,760000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M05.00S,2025-04-03T00:48:50.0Z,1,REGULAR,substitution,out,[],203076,,,1610612737,16,15,2025-04-03T00:50:31Z,770000,False,,,0,,SUB out: A. Davis,[203076],1610612742.0,DAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
