actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
60,PT08M02.00S,2023-11-01T02:49:13.2Z,1,REGULAR,rebound,defensive,[],201566,,,1610612746,2,2,2023-11-01T02:49:25Z,600000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,,,,,59.0,2.0,2.0,0.0,,,,,,,,,,,
61,PT07M54.00S,2023-11-01T02:49:22.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,92.29632063074901,41.91176470588235,1610612746,2,2,2023-11-01T02:49:28Z,610000,False,-40.0,20.0,1,right,MISS R. Westbrook Layup,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,4.5,Missed,,,,,,,,,,,,,,,
62,PT07M52.00S,2023-11-01T02:49:24.0Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,2,2,2023-11-01T02:49:28Z,620000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,
63,PT07M46.00S,2023-11-01T02:49:29.7Z,1,REGULAR,3pt,Jump Shot,[],1630532,27.38173455978975,17.40196078431373,1610612753,2,5,2023-11-01T02:49:38Z,630000,False,163.0,205.0,1,left,F. Wagner 26' 3PT  (3 PTS) (W. Carter Jr. 1 AST),"[1630532, 1628976]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,,,,26.18,Made,,,,,,,,,,,,3.0,W. Carter Jr.,1628976.0,1.0
65,PT07M25.00S,2023-11-01T02:49:50.3Z,1,REGULAR,3pt,Jump Shot,[],201566,75.34494086727989,12.74509803921569,1610612746,2,5,2023-11-01T02:49:58Z,650000,False,-186.0,179.0,1,right,MISS R. Westbrook 25' 3PT,[201566],1610612746.0,LAC,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,,25.86,Missed,,,,,,,,,,,,,,,
66,PT07M24.00S,2023-11-01T02:49:51.3Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,2,5,2023-11-01T02:49:58Z,660000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Above the Break 3,24+ Left Center,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,
67,PT07M14.00S,2023-11-01T02:50:02.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,6.619579500657039,48.28431372549019,1610612753,2,7,2023-11-01T02:50:08Z,670000,False,9.0,10.0,1,left,W. Carter Jr. alley-oop DUNK (2 PTS) (J. Suggs 1 AST),"[1628976, 1630591]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,1.3,Made,,,,,,,,,,,,2.0,J. Suggs,1630591.0,1.0
69,PT07M14.00S,2023-11-01T02:50:07.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,2,7,2023-11-01T02:50:07Z,690000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M53.00S,2023-11-01T02:53:20.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,82.9664914586071,56.61764705882353,1610612746,2,7,2023-11-01T02:53:26Z,700000,False,33.0,108.0,1,right,MISS K. Leonard 11' step back Shot,[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,,,,11.26,Missed,,,,,,,,,,,,,,,
71,PT06M49.00S,2023-11-01T02:53:24.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,7,2023-11-01T02:53:26Z,710000,False,,,0,,F. Wagner REBOUND (Off:0 Def:4),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),8-16 Center,,,,,,70.0,4.0,4.0,0.0,,,,,,,,,,,
