actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
564,PT08M57.00S,2023-12-17T05:38:06.9Z,4,REGULAR,2pt,Jump Shot,[],1630193,81.52102496714849,76.22549019607843,1610612752,122,104,2023-12-17T05:38:13Z,5480000,False,131.0,121.0,1,right,MISS I. Quickley 17' pullup Shot,[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,Mid-Range,16-24 Right Center,17.85,Missed,,,,,,,,,,,,,,,,,,
565,PT08M53.00S,2023-12-17T05:38:10.9Z,4,REGULAR,rebound,defensive,[],201935,,,1610612746,122,104,2023-12-17T05:38:13Z,5490000,False,,,0,,J. Harden REBOUND (Off:0 Def:4),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,,,,,,,,,564.0,4.0,4.0,0.0,,,,,,,,
566,PT08M40.00S,2023-12-17T05:38:22.9Z,4,REGULAR,3pt,Jump Shot,[],1626181,10.036136662286467,95.58823529411765,1610612746,125,104,2023-12-17T05:38:30Z,5500000,False,-228.0,42.0,1,left,N. Powell 3PT  (14 PTS) (J. Harden 10 AST),"[1626181, 201935]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Left Corner 3,24+ Left,23.17,Made,14.0,J. Harden,201935.0,10.0,,,,,,,,,,,,,,
568,PT08M18.00S,2023-12-17T05:38:44.8Z,4,REGULAR,3pt,Jump Shot,[],1630193,66.93495400788436,35.049019607843135,1610612752,125,104,2023-12-17T05:38:58Z,5520000,False,-75.0,258.0,1,right,MISS I. Quickley 26' 3PT,[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,26.89,Missed,,,,,,,,,,,,,,,,,,
569,PT08M14.00S,2023-12-17T05:38:48.8Z,4,REGULAR,rebound,offensive,[],1628392,,,1610612752,125,104,2023-12-17T05:38:58Z,5530000,False,,,0,,I. Hartenstein REBOUND (Off:5 Def:4),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Center,,,,,,,,,568.0,9.0,4.0,5.0,,,,,,,,
570,PT08M07.00S,2023-12-17T05:38:55.7Z,4,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628392,93.61038107752957,44.607843137254896,1610612752,125,106,2023-12-17T05:39:08Z,5540000,False,-27.0,8.0,1,right,I. Hartenstein driving bank Jump Shot (12 PTS),[1628392],1610612752.0,NYK,driving bank,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,2.8,Made,12.0,,,,,,,,,,,,,,,,,
571,PT07M47.00S,2023-12-17T05:39:19.3Z,4,REGULAR,foul,personal,[],1630540,,,1610612746,125,106,2023-12-17T05:39:38Z,5550000,False,,,0,,M. McBride personal FOUL (2 PF),"[1630540, 201935]",1610612752.0,NYK,,,,McBride,M. McBride,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,1628171.0,2.0,0.0,Harden,201935.0
573,PT07M42.00S,2023-12-17T05:39:49.7Z,4,REGULAR,turnover,bad pass,[],202331,,,1610612746,125,106,2023-12-17T05:39:53Z,5570000,False,,,0,,P. George bad pass TURNOVER (2 TO),"[202331, 1629656]",1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,2.0,Grimes,1629656.0,,,,,
574,PT07M42.00S,2023-12-17T05:39:49.7Z,4,REGULAR,steal,,[],1629656,,,1610612752,125,106,2023-12-17T05:39:51Z,5580000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
575,PT07M27.00S,2023-12-17T05:40:06.3Z,4,REGULAR,foul,personal,[],1626181,,,1610612752,125,106,2023-12-17T05:40:11Z,5590000,False,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 1629628]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Barrett,1629628.0
577,PT07M27.00S,2023-12-17T05:40:26.1Z,4,REGULAR,substitution,out,[],1628464,,,1610612752,125,106,2023-12-17T05:40:32Z,5610000,False,,,0,,SUB out: D. Theis,[1628464],1610612746.0,LAC,,,,Theis,D. Theis,,,,,,,,,,,,,,,,,,,,,,,,,,
578,PT07M27.00S,2023-12-17T05:40:26.1Z,4,REGULAR,substitution,in,[],1627826,,,1610612752,125,106,2023-12-17T05:40:32Z,5620000,False,,,0,,SUB in: I. Zubac,[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,,,,,,,,,,,,,,
579,PT07M19.00S,2023-12-17T05:40:45.6Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1629628,70.48291721419186,71.07843137254902,1610612752,125,106,2023-12-17T05:40:52Z,5630000,False,105.0,225.0,1,right,MISS R. Barrett 24' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,24.85,Missed,,,,,,,,,,,,,,,,,,
580,PT07M16.00S,2023-12-17T05:40:48.6Z,4,REGULAR,rebound,offensive,[],1628392,,,1610612752,125,106,2023-12-17T05:40:52Z,5640000,False,,,0,,I. Hartenstein REBOUND (Off:6 Def:4),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,579.0,10.0,4.0,6.0,,,,,,,,
