actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
172,PT11M05.00S,2022-01-29T01:36:41.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630177,9.017739816031538,54.90196078431373,1610612760,30,29,2022-01-29T01:36:44Z,1700000,-25.0,32.0,1,left,MISS T. Maledon driving Layup,[1630177],1610612760.0,OKC,driving,,,Maledon,T. Maledon,,,,,4.05,Missed,,,,,,,,,,,,,,,,,,,
173,PT11M03.00S,2022-01-29T01:36:43.3Z,2,REGULAR,rebound,defensive,[],1630678,,,1610612754,30,29,2022-01-29T01:36:44Z,1710000,,,0,,T. Taylor REBOUND (Off:0 Def:1),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,172.0,1.0,1.0,0.0,,,,,,,,,,,,,,
174,PT10M58.00S,2022-01-29T01:36:51.3Z,2,REGULAR,turnover,lost ball,[],202362,,,1610612754,30,29,2022-01-29T01:36:57Z,1720000,,,0,,L. Stephenson lost ball TURNOVER (1 TO),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,1.0,,,,,,,,,,
176,PT10M58.00S,2022-01-29T01:36:55.2Z,2,REGULAR,foul,personal,[],202362,,,1610612760,30,29,2022-01-29T01:37:05Z,1740000,,,0,,L. Stephenson loose ball personal FOUL (1 PF),"[202362, 1629603]",1610612754.0,IND,loose ball,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Diakite,1629603.0,
178,PT10M46.00S,2022-01-29T01:37:17.8Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,30,29,2022-01-29T01:37:17Z,1760000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,PT10M39.00S,2022-01-29T01:37:37.3Z,2,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629603,7.30946123521682,55.14705882352941,1610612760,32,29,2022-01-29T01:40:25Z,1770000,-26.0,16.0,1,left,M. Diakite cutting DUNK (2 PTS) (T. Maledon 1 AST),"[1629603, 1630177]",1610612760.0,OKC,cutting,,,Diakite,M. Diakite,,,,,3.04,Made,2.0,,,,,T. Maledon,1630177.0,1.0,,,,,,,,,,,
181,PT10M17.00S,2022-01-29T01:38:08.2Z,2,REGULAR,foul,personal,['2freethrow'],1629603,,,1610612754,32,29,2022-01-29T01:38:13Z,1790000,,,0,,M. Diakite shooting personal FOUL (1 PF) (Lamb 2 FT),"[1629603, 203087]",1610612760.0,OKC,shooting,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,202037.0,1.0,0.0,Lamb,203087.0,
183,PT10M17.00S,2022-01-29T01:38:30.7Z,2,REGULAR,freethrow,1 of 2,[],203087,,,1610612754,32,29,2022-01-29T01:38:30Z,1810000,,,0,,MISS J. Lamb Free Throw 1 of 2,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,Missed,,,,,,,,,,,,,,,,,,,
184,PT10M17.00S,2022-01-29T01:38:30.7Z,2,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,32,29,2022-01-29T01:38:30Z,1820000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,183.0,,,,,,,,,,,,,,,,,
185,PT10M17.00S,2022-01-29T01:38:47.1Z,2,REGULAR,freethrow,2 of 2,[],203087,,,1610612754,32,30,2022-01-29T01:38:47Z,1830000,,,0,,J. Lamb Free Throw 2 of 2 (4 PTS),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,Made,4.0,,,,,,,,,,,,,,,,,,
186,PT10M01.00S,2022-01-29T01:39:05.1Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,13.354139290407357,57.59803921568627,1610612760,32,30,2022-01-29T01:41:24Z,1840000,-38.0,73.0,1,left,MISS T. Jerome 8' driving floating Shot,[1629660],1610612760.0,OKC,driving floating,,,Jerome,T. Jerome,,,,,8.23,Missed,,,,,,,,,,,,,,,,,,,
187,PT09M59.00S,2022-01-29T01:39:07.1Z,2,REGULAR,rebound,defensive,[],203087,,,1610612754,32,30,2022-01-29T01:39:08Z,1850000,,,0,,J. Lamb REBOUND (Off:0 Def:1),[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,186.0,1.0,1.0,0.0,,,,,,,,,,,,,,
188,PT09M44.00S,2022-01-29T01:39:21.4Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,92.06636005256242,42.64705882352941,1610612754,32,32,2022-01-29T01:39:25Z,1860000,-37.0,22.0,1,right,T. Taylor cutting Layup (2 PTS) (J. Lamb 1 AST),"[1630678, 203087]",1610612754.0,IND,cutting,,,Taylor,T. Taylor,,,,,4.29,Made,2.0,,,,,J. Lamb,203087.0,1.0,,,,,,,,,,,
190,PT09M33.00S,2022-01-29T01:39:35.5Z,2,REGULAR,foul,personal,[],1630678,,,1610612760,32,32,2022-01-29T01:39:44Z,1880000,,,0,,T. Taylor personal FOUL (1 PF),"[1630678, 1629603]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,1626301.0,1.0,0.0,Diakite,1629603.0,
192,PT09M24.00S,2022-01-29T01:40:00.0Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629603,9.937582128777924,44.6078431372549,1610612760,34,32,2022-01-29T01:40:03Z,1900000,27.0,41.0,1,left,M. Diakite DUNK (4 PTS) (T. Jerome 1 AST),"[1629603, 1629660]",1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,4.9,Made,4.0,,,,,T. Jerome,1629660.0,1.0,,,,,,,,,,,
194,PT09M05.00S,2022-01-29T01:40:18.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,93.38042049934296,45.588235294117645,1610612754,34,34,2022-01-29T01:40:22Z,1920000,-22.0,10.0,1,right,T. Taylor Layup (4 PTS) (J. Lamb 2 AST),"[1630678, 203087]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,2.41,Made,4.0,,,,,J. Lamb,203087.0,2.0,,,,,,,,,,,
196,PT08M53.00S,2022-01-29T01:40:31.5Z,2,REGULAR,3pt,Jump Shot,[],1629660,22.552562417871222,88.97058823529412,1610612760,34,34,2022-01-29T01:40:35Z,1940000,-195.0,159.0,1,left,MISS T. Jerome 25' 3PT,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,25.18,Missed,,,,,,,,,,,,,,,,,,,
197,PT08M49.00S,2022-01-29T01:40:35.5Z,2,REGULAR,rebound,defensive,[],1629052,,,1610612754,34,34,2022-01-29T01:40:35Z,1950000,,,0,,O. Brissett REBOUND (Off:0 Def:3),[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,196.0,3.0,3.0,0.0,,,,,,,,,,,,,,
198,PT08M35.00S,2022-01-29T01:40:48.6Z,2,REGULAR,turnover,lost ball,[],203087,,,1610612754,34,34,2022-01-29T01:40:51Z,1960000,,,0,,J. Lamb lost ball TURNOVER (1 TO),"[203087, 1629603]",1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,1.0,Diakite,1629603.0,,,,,,,,
199,PT08M35.00S,2022-01-29T01:40:48.6Z,2,REGULAR,steal,,[],1629603,,,1610612760,34,34,2022-01-29T01:40:50Z,1970000,,,0,,M. Diakite STEAL (1 STL),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,,
200,PT08M26.00S,2022-01-29T01:40:58.8Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1629603,34.37910643889619,52.450980392156865,1610612760,34,34,2022-01-29T01:41:05Z,1980000,-12.0,271.0,1,left,MISS M. Diakite 27' 3PT,[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,27.1,Missed,,,,,,,,,,,,,,,,,,,
201,PT08M22.00S,2022-01-29T01:41:02.8Z,2,REGULAR,rebound,defensive,[],202362,,,1610612754,34,34,2022-01-29T01:41:05Z,1990000,,,0,,L. Stephenson REBOUND (Off:0 Def:1),[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,200.0,1.0,1.0,0.0,,,,,,,,,,,,,,
202,PT08M07.00S,2022-01-29T01:41:17.3Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630678,91.67214191852825,44.11764705882353,1610612754,34,34,2022-01-29T01:44:22Z,2000000,-29.0,26.0,1,right,MISS T. Taylor Layup - blocked,"[1630678, 1629647]",1610612754.0,IND,,,,Taylor,T. Taylor,,,,,3.91,Missed,,,,,,,,,,,,Bazley,1629647.0,,,,,,
203,PT08M07.00S,2022-01-29T01:41:17.3Z,2,REGULAR,block,,[],1629647,,,1610612754,34,34,2022-01-29T01:41:19Z,2010000,,,0,,D. Bazley BLOCK (1 BLK),[1629647],1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,,,,,,,,,,,,,,,,,,,,,
204,PT08M04.00S,2022-01-29T01:41:20.3Z,2,REGULAR,rebound,offensive,[],1630678,,,1610612754,34,34,2022-01-29T01:41:23Z,2020000,,,0,,T. Taylor REBOUND (Off:1 Def:1),[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,202.0,2.0,1.0,1.0,,,,,,,,,,,,,,
205,PT07M59.00S,2022-01-29T01:41:25.6Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630678,91.5407358738502,65.68627450980392,1610612754,34,34,2022-01-29T01:44:53Z,2030000,78.0,27.0,1,right,MISS T. Taylor 8' fadeaway Shot,[1630678],1610612754.0,IND,fadeaway,,,Taylor,T. Taylor,,,,,8.29,Missed,,,,,,,,,,,,,,,,,,,
206,PT07M57.00S,2022-01-29T01:41:27.2Z,2,REGULAR,rebound,defensive,[],1629026,,,1610612760,34,34,2022-01-29T01:41:27Z,2040000,,,0,,K. Williams REBOUND (Off:0 Def:1),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,205.0,1.0,1.0,0.0,,,,,,,,,,,,,,
207,PT07M53.00S,2022-01-29T01:41:32.2Z,2,REGULAR,foul,personal,[],202362,,,1610612760,34,34,2022-01-29T01:42:22Z,2050000,,,0,,L. Stephenson personal FOUL (2 PF),"[202362, 1630177]",1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,202037.0,2.0,0.0,Maledon,1630177.0,
209,PT07M53.00S,2022-01-29T01:41:40.4Z,2,REGULAR,substitution,out,[],202362,,,1610612760,34,34,2022-01-29T01:41:45Z,2070000,,,0,,SUB out: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
210,PT07M53.00S,2022-01-29T01:41:40.4Z,2,REGULAR,substitution,in,[],203200,,,1610612760,34,34,2022-01-29T01:41:45Z,2080000,,,0,,SUB in: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
211,PT07M53.00S,2022-01-29T01:41:48.8Z,2,REGULAR,substitution,out,[],203087,,,1610612760,34,34,2022-01-29T01:42:01Z,2090000,,,0,,SUB out: J. Lamb,[203087],1610612754.0,IND,,,,Lamb,J. Lamb,,,,,,,,,,,,,,,,,,,,,,,,,
212,PT07M53.00S,2022-01-29T01:41:48.8Z,2,REGULAR,substitution,out,[],1630678,,,1610612760,34,34,2022-01-29T01:42:01Z,2100000,,,0,,SUB out: T. Taylor,[1630678],1610612754.0,IND,,,,Taylor,T. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
213,PT07M53.00S,2022-01-29T01:41:48.8Z,2,REGULAR,substitution,in,[],1627734,,,1610612760,34,34,2022-01-29T01:42:01Z,2110000,,,0,,SUB in: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
214,PT07M53.00S,2022-01-29T01:41:48.8Z,2,REGULAR,substitution,in,[],1630537,,,1610612760,34,34,2022-01-29T01:42:01Z,2120000,,,0,,SUB in: C. Duarte,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,,,,,,,,
215,PT07M43.00S,2022-01-29T01:42:21.4Z,2,REGULAR,turnover,lost ball,[],1629660,,,1610612760,34,34,2022-01-29T01:42:24Z,2130000,,,0,,T. Jerome lost ball TURNOVER (1 TO),"[1629660, 1627734]",1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,1.0,Sabonis,1627734.0,,,,,,,,
216,PT07M43.00S,2022-01-29T01:42:21.4Z,2,REGULAR,steal,,[],1627734,,,1610612754,34,34,2022-01-29T01:42:23Z,2140000,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
217,PT07M37.00S,2022-01-29T01:42:27.5Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],1627747,95.22010512483574,95.34313725490196,1610612754,34,34,2022-01-29T01:46:31Z,2150000,227.0,-8.0,1,right,MISS C. LeVert running 3PT,[1627747],1610612754.0,IND,running,,,LeVert,C. LeVert,,,,,22.68,Missed,,,,,,,,,,,,,,,,,,,
218,PT07M35.00S,2022-01-29T01:42:29.5Z,2,REGULAR,rebound,defensive,[],1630177,,,1610612760,34,34,2022-01-29T01:42:31Z,2160000,,,0,,T. Maledon REBOUND (Off:0 Def:1),[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,217.0,1.0,1.0,0.0,,,,,,,,,,,,,,
219,PT07M28.00S,2022-01-29T01:42:36.4Z,2,REGULAR,3pt,Jump Shot,[],1630177,22.28975032851511,90.19607843137256,1610612760,34,34,2022-01-29T01:42:46Z,2170000,-201.0,157.0,1,left,MISS T. Maledon 25' 3PT,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,25.5,Missed,,,,,,,,,,,,,,,,,,,
220,PT07M25.00S,2022-01-29T01:42:39.4Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612754,34,34,2022-01-29T01:50:16Z,2180000,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,219.0,,,,,,,,,,,,,,,,,
222,PT07M11.00S,2022-01-29T01:42:59.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,91.5407358738502,44.11764705882353,1610612754,34,36,2022-01-29T01:50:04Z,2200000,-29.0,27.0,1,right,D. Sabonis cutting Layup (8 PTS) (J. Holiday 2 AST),"[1627734, 203200]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,3.99,Made,8.0,,,,,J. Holiday,203200.0,2.0,,,,,,,,,,,
224,PT07M06.00S,2022-01-29T01:43:13.0Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,34,36,2022-01-29T01:43:13Z,2220000,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,PT07M06.00S,2022-01-29T01:45:01.8Z,2,REGULAR,substitution,out,[],1629052,,,1610612760,34,36,2022-01-29T01:45:41Z,2230000,,,0,,SUB out: O. Brissett,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,,,,,,,,,,,,,,,,,,,,
227,PT07M06.00S,2022-01-29T01:45:01.8Z,2,REGULAR,substitution,in,[],1628470,,,1610612760,34,36,2022-01-29T01:45:41Z,2240000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
228,PT06M53.00S,2022-01-29T01:46:11.0Z,2,REGULAR,3pt,Jump Shot,[],1629026,32.933639947437584,29.166666666666668,1610612760,34,36,2022-01-29T01:46:19Z,2250000,104.0,257.0,1,left,MISS K. Williams 27' 3PT,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,27.74,Missed,,,,,,,,,,,,,,,,,,,
229,PT06M46.00S,2022-01-29T01:46:18.0Z,2,REGULAR,rebound,defensive,[],1627747,,,1610612754,34,36,2022-01-29T01:46:19Z,2260000,,,0,,C. LeVert REBOUND (Off:0 Def:2),[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,228.0,2.0,2.0,0.0,,,,,,,,,,,,,,
230,PT06M39.00S,2022-01-29T01:46:24.2Z,2,REGULAR,3pt,Jump Shot,[],203200,93.38042049934296,96.32352941176471,1610612754,34,39,2022-01-29T01:46:28Z,2270000,232.0,10.0,1,right,J. Holiday 3PT  (7 PTS) (C. Duarte 2 AST),"[203200, 1630537]",1610612754.0,IND,,,,Holiday,J. Holiday,,,,,23.18,Made,7.0,,,,,C. Duarte,1630537.0,2.0,,,,,,,,,,,
232,PT06M15.00S,2022-01-29T01:46:49.2Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1629647,10.5946123521682,43.872549019607845,1610612760,36,39,2022-01-29T01:46:53Z,2290000,31.0,47.0,1,left,D. Bazley cutting Layup (4 PTS) (T. Maledon 2 AST),"[1629647, 1630177]",1610612760.0,OKC,cutting,,,Bazley,D. Bazley,,,,,5.62,Made,4.0,,,,,T. Maledon,1630177.0,2.0,,,,,,,,,,,
234,PT06M00.00S,2022-01-29T01:47:02.5Z,2,REGULAR,3pt,Jump Shot,[],1630537,66.44218134034165,54.166666666666664,1610612754,36,39,2022-01-29T01:47:07Z,2310000,21.0,263.0,1,right,MISS C. Duarte 26' 3PT,[1630537],1610612754.0,IND,,,,Duarte,C. Duarte,,,,,26.37,Missed,,,,,,,,,,,,,,,,,,,
235,PT06M00.00S,2022-01-29T01:47:05.5Z,2,REGULAR,rebound,defensive,['team'],0,,,1610612760,36,39,2022-01-29T01:47:05Z,2320000,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,234.0,,,,,,,,,,,,,,,,,
236,PT06M00.00S,2022-01-29T01:47:06.7Z,2,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,36,39,2022-01-29T01:47:06Z,2330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,PT06M00.00S,2022-01-29T01:47:07.3Z,2,REGULAR,substitution,out,[],1630177,,,1610612760,36,39,2022-01-29T01:47:18Z,2340000,,,0,,SUB out: T. Maledon,[1630177],1610612760.0,OKC,,,,Maledon,T. Maledon,,,,,,,,,,,,,,,,,,,,,,,,,
238,PT06M00.00S,2022-01-29T01:47:07.3Z,2,REGULAR,substitution,in,[],1630581,,,1610612760,36,39,2022-01-29T01:47:18Z,2350000,,,0,,SUB in: J. Giddey,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,,,,,,,,
239,PT05M44.00S,2022-01-29T01:47:42.6Z,2,REGULAR,3pt,Jump Shot,[],1629647,28.597240473061763,82.35294117647058,1610612760,39,39,2022-01-29T01:47:46Z,2360000,-162.0,216.0,1,left,D. Bazley 27' 3PT  (7 PTS) (T. Jerome 2 AST),"[1629647, 1629660]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,27.01,Made,7.0,,,,,T. Jerome,1629660.0,2.0,,,,,,,,,,,
241,PT05M30.00S,2022-01-29T01:47:58.2Z,2,REGULAR,foul,personal,[],1629603,,,1610612754,39,39,2022-01-29T01:48:10Z,2380000,,,0,,M. Diakite personal FOUL (2 PF),"[1629603, 1627734]",1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,202037.0,2.0,0.0,Sabonis,1627734.0,
243,PT05M30.00S,2022-01-29T01:48:07.5Z,2,REGULAR,substitution,out,[],1627747,,,1610612754,39,39,2022-01-29T01:48:09Z,2400000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
244,PT05M30.00S,2022-01-29T01:48:07.5Z,2,REGULAR,substitution,in,[],202362,,,1610612754,39,39,2022-01-29T01:48:09Z,2410000,,,0,,SUB in: L. Stephenson,[202362],1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,,,,,,
245,PT05M19.00S,2022-01-29T01:48:29.8Z,2,REGULAR,2pt,Jump Shot,[],202362,79.71419185282524,23.03921568627451,1610612754,39,39,2022-01-29T01:48:36Z,2420000,-135.0,138.0,1,right,MISS L. Stephenson 19' pullup Shot,[202362],1610612754.0,IND,pullup,,,Stephenson,L. Stephenson,,,,,19.31,Missed,,,,,,,,,,,,,,,,,,,
246,PT05M17.00S,2022-01-29T01:48:31.8Z,2,REGULAR,rebound,defensive,[],1630581,,,1610612760,39,39,2022-01-29T01:48:36Z,2430000,,,0,,J. Giddey REBOUND (Off:0 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,245.0,3.0,3.0,0.0,,,,,,,,,,,,,,
247,PT05M09.00S,2022-01-29T01:48:40.2Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629660,12.302890932982917,49.50980392156863,1610612760,41,39,2022-01-29T01:48:43Z,2440000,2.0,63.0,1,left,T. Jerome 6' pullup Jump Shot (2 PTS),[1629660],1610612760.0,OKC,pullup,,,Jerome,T. Jerome,,,,,6.31,Made,2.0,,,,,,,,,,,,,,,,,,
248,PT05M08.00S,2022-01-29T01:48:44.7Z,2,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,41,39,2022-01-29T01:48:44Z,2450000,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,PT04M53.00S,2022-01-29T01:52:08.9Z,2,REGULAR,3pt,Jump Shot,[],202362,71.43561103810775,20.098039215686274,1610612754,41,42,2022-01-29T01:52:15Z,2460000,-150.0,216.0,1,right,L. Stephenson 26' 3PT  (7 PTS) (D. Sabonis 5 AST),"[202362, 1627734]",1610612754.0,IND,,,,Stephenson,L. Stephenson,,,,,26.27,Made,7.0,,,,,D. Sabonis,1627734.0,5.0,,,,,,,,,,,
251,PT04M43.00S,2022-01-29T01:52:28.4Z,2,REGULAR,turnover,traveling,[],1630581,,,1610612760,41,42,2022-01-29T01:52:33Z,2480000,,,0,,J. Giddey traveling TURNOVER (1 TO),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,1.0,,,,,1626301.0,,,,,
252,PT04M19.00S,2022-01-29T01:53:10.5Z,2,REGULAR,2pt,Jump Shot,['fromturnover'],1628470,77.08607095926413,26.715686274509803,1610612754,41,42,2022-01-29T01:54:49Z,2490000,-116.0,163.0,1,right,MISS T. Craig 20' step back Shot,[1628470],1610612754.0,IND,step back,,,Craig,T. Craig,,,,,20.02,Missed,,,,,,,,,,,,,,,,,,,
253,PT04M16.00S,2022-01-29T01:53:13.5Z,2,REGULAR,rebound,defensive,[],1629603,,,1610612760,41,42,2022-01-29T01:53:16Z,2500000,,,0,,M. Diakite REBOUND (Off:0 Def:1),[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,252.0,1.0,1.0,0.0,,,,,,,,,,,,,,
254,PT04M05.00S,2022-01-29T01:53:24.3Z,2,REGULAR,3pt,Jump Shot,[],1629647,34.37910643889619,38.970588235294116,1610612760,44,42,2022-01-29T01:53:28Z,2510000,55.0,271.0,1,left,D. Bazley 27' 3PT  (10 PTS) (K. Williams 1 AST),"[1629647, 1629026]",1610612760.0,OKC,,,,Bazley,D. Bazley,,,,,27.63,Made,10.0,,,,,K. Williams,1629026.0,1.0,,,,,,,,,,,
256,PT03M50.00S,2022-01-29T01:53:39.5Z,2,REGULAR,3pt,Jump Shot,[],203200,68.80749014454665,74.26470588235294,1610612754,44,42,2022-01-29T01:53:44Z,2530000,121.0,241.0,1,right,MISS J. Holiday 26' 3PT,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,26.95,Missed,,,,,,,,,,,,,,,,,,,
257,PT03M47.00S,2022-01-29T01:53:42.5Z,2,REGULAR,rebound,defensive,[],1629026,,,1610612760,44,42,2022-01-29T01:53:44Z,2540000,,,0,,K. Williams REBOUND (Off:0 Def:2),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,256.0,2.0,2.0,0.0,,,,,,,,,,,,,,
258,PT03M41.00S,2022-01-29T01:53:48.3Z,2,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629026,8.229303547963205,56.372549019607845,1610612760,44,42,2022-01-29T01:56:59Z,2550000,-32.0,25.0,1,left,MISS K. Williams running DUNK - blocked,"[1629026, 1627734]",1610612760.0,OKC,running,,,Williams,K. Williams,,,,,4.05,Missed,,,,,,,,,,,,Sabonis,1627734.0,,,,,,
259,PT03M41.00S,2022-01-29T01:53:48.3Z,2,REGULAR,block,,[],1627734,,,1610612760,44,42,2022-01-29T01:53:50Z,2560000,,,0,,D. Sabonis BLOCK (2 BLK),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
260,PT03M38.00S,2022-01-29T01:53:51.3Z,2,REGULAR,rebound,defensive,[],203200,,,1610612754,44,42,2022-01-29T01:53:54Z,2570000,,,0,,J. Holiday REBOUND (Off:0 Def:2),[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,258.0,2.0,2.0,0.0,,,,,,,,,,,,,,
261,PT03M34.00S,2022-01-29T01:53:55.9Z,2,REGULAR,2pt,Jump Shot,['fastbreak'],1630537,69.99014454664915,38.23529411764706,1610612754,44,42,2022-01-29T01:57:51Z,2580000,-59.0,230.0,1,right,MISS C. Duarte 23' running pullup Shot,[1630537],1610612754.0,IND,running pullup,,,Duarte,C. Duarte,,,,,23.7,Missed,,,,,,,,,,,,,,,,,,,
262,PT03M32.00S,2022-01-29T01:53:57.9Z,2,REGULAR,rebound,defensive,[],1629660,,,1610612760,44,42,2022-01-29T01:54:01Z,2590000,,,0,,T. Jerome REBOUND (Off:0 Def:2),[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,261.0,2.0,2.0,0.0,,,,,,,,,,,,,,
263,PT03M31.00S,2022-01-29T01:54:00.0Z,2,REGULAR,foul,personal,[],202362,,,1610612760,44,42,2022-01-29T02:11:20Z,2600000,,,0,,L. Stephenson take personal FOUL (3 PF),"[202362, 1629660]",1610612754.0,IND,take,,,Stephenson,L. Stephenson,,,,,,,,,,,,,,,,,,,,202037.0,3.0,0.0,Jerome,1629660.0,
265,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,out,[],1629660,,,1610612760,44,42,2022-01-29T01:54:31Z,2620000,,,0,,SUB out: T. Jerome,[1629660],1610612760.0,OKC,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,
266,PT03M31.00S,2022-01-29T01:54:05.3Z,2,REGULAR,substitution,out,[],1629603,,,1610612760,44,42,2022-01-29T01:54:31Z,2630000,,,0,,SUB out: M. Diakite,[1629603],1610612760.0,OKC,,,,Diakite,M. Diakite,,,,,,,,,,,,,,,,,,,,,,,,,
